orig_idx,SIG_CD,SIG_KOR_NM
0,28110,중구
1,28110,중구
2,11200,성동구
3,11215,광진구
4,11215,광진구
5,11680,강남구
6,11680,강남구
7,11680,강남구
8,11680,강남구
9,11650,서초구
10,11650,서초구
11,11680,강남구
12,11650,서초구
13,11680,강남구
14,11710,송파구
15,11740,강동구
16,11710,송파구
17,11545,금천구
18,11620,관악구
19,11560,영등포구
20,11500,강서구
21,11500,강서구
22,11140,중구
23,11380,은평구
24,11650,서초구
25,11560,영등포구
26,11560,영등포구
27,11560,영등포구
28,11440,마포구
29,11260,중랑구
30,11350,노원구
31,11710,송파구
32,11140,중구
33,11140,중구
34,11140,중구
35,11230,동대문구
36,11290,성북구
37,11650,서초구
38,11140,중구
39,11110,종로구
40,11110,종로구
41,11320,도봉구
42,11410,서대문구
43,11680,강남구
44,41190,부천시
45,26200,영도구
46,26230,부산진구
47,26230,부산진구
48,26350,해운대구
49,27230,북구
50,52113,전주시 덕진구
51,30110,동구
52,48880,거창군
53,27170,서구
54,26320,북구
55,44790,청양군
56,44200,아산시
57,11170,용산구
58,44133,천안시 서북구
59,44131,천안시 동남구
60,44133,천안시 서북구
61,41220,평택시
62,47111,포항시 남구
63,31710,울주군
64,31140,남구
65,31710,울주군
66,31710,울주군
67,30200,유성구
68,43730,옥천군
69,51830,양양군
70,41460,용인시
70,41460,용인시 기흥구
71,41110,수원시 영통구
71,41110,수원시
72,44200,아산시
73,51210,속초시
74,41460,용인시
74,41460,용인시 기흥구
75,41550,안성시
76,43110,청주시
76,43110,청주시 청원구
77,28260,서구
78,28245,계양구
79,44131,천안시 동남구
80,27200,남구
81,26410,금정구
82,50110,제주시
83,50130,서귀포시
84,11590,동작구
85,50110,제주시
86,50110,제주시
87,27260,수성구
88,11170,용산구
89,41290,과천시
90,41130,성남시 분당구
90,41130,성남시
91,44250,계룡시
92,41210,광명시
93,41590,화성시
94,52140,익산시
95,44180,보령시
96,52140,익산시
97,52130,군산시
98,27710,달성군
