region_1depth_name,region_2depth_name,b_count,b_capacity_MW,전년도발전용량,
서울,성동구,15,4,5183,
서울,동대문구,25,1,786,
서울,마포구,9,0,362,
서울,종로구,5,0,214,
서울,서초구,24,2,1455,
서울,강서구,32,10,11166,
서울,동작구,17,0,537,
서울,성북구,26,1,609,
서울,용산구,3,0,110,
서울,관악구,26,1,988,
서울,강북구,24,1,919,
서울,도봉구,30,1,1249,
서울,중랑구,30,3,3414,
서울,양천구,13,1,632,
서울,강동구,37,9,10437,
서울,영등포구,18,1,792,
서울,은평구,26,1,1120,
서울,금천구,24,1,1232,
서울,중구,7,0,179,
서울,구로구,31,2,1878,
서울,광진구,38,3,2955,
서울,강남구,25,2,2727,
서울,노원구,33,3,2434,
서울,서대문구,17,1,769,
서울,송파구,35,4,4146,
부산,사상구,71,5,2956,
부산,남구,14,6,5361,
부산,서구,6,0,367,
부산,부산진구,16,4,615,
부산,사하구,99,18,14350,
부산,영도구,11,1,438,
부산,강서구,913,225,162860,
부산,동래구,20,1,839,
부산,기장군,240,58,37794,
부산,중구,7,0,391,
부산,동구,8,1,1188,
부산,금정구,41,7,8716,
부산,해운대구,20,1,1553,
부산,북구,13,2,1981,
부산,연제구,6,0,283,
부산,수영구,5,0,198,
대구,남구,30,1,681,
대구,중구,14,0,288,
대구,달성군,1053,166,94508,
대구,북구,481,44,19785,
대구,달서구,787,104,50738,
대구,군위군,822,146,163279,
대구,서구,232,20,6315,
대구,동구,248,22,14423,
대구,수성구,55,2,2469,
인천,중구,89,27,20794,
인천,미추홀구,34,3,1346,
인천,계양구,29,4,3270,
인천,남동구,121,20,14454,
인천,강화군,488,39,28908,
인천,부평구,29,2,1900,
인천,옹진군,35,14,14487,
인천,서구,465,76,44125,
인천,연수구,19,2,2891,
인천,동구,6,1,764,
광주,서구,244,22,20626,
광주,남구,115,14,8536,
광주,광산구,1599,295,226126,
광주,동구,41,7,6704,
광주,북구,535,60,45612,
대전,중구,87,4,3479,
대전,유성구,184,22,17726,
대전,동구,139,10,6143,
대전,서구,143,6,5119,
대전,대덕구,266,31,23321,
울산,북구,220,54,20365,
울산,동구,26,1,545,
울산,중구,14,0,375,
울산,남구,102,25,15805,
울산,울주군,621,108,77889,
세종,세종시,696,98,79051,
경기,양평군,600,36,28447,
경기,가평군,407,43,40742,
경기,시흥시,458,67,36679,
경기,화성시,2941,318,230340,
경기,포천시,1757,205,115949,
경기,김포시,1430,125,63779,
경기,여주시,1610,202,183717,
경기,안성시,2097,246,174147,
경기,성남시,38,4,4266,
경기,안양시,29,2,1630,
경기,부천시,31,2,2330,
경기,양주시,674,64,33432,
경기,군포시,27,10,2112,
경기,구리시,19,1,1219,
경기,용인시,510,54,39338,
경기,평택시,1241,162,101973,
경기,연천군,976,210,184497,
경기,의왕시,17,1,1644,
경기,광명시,31,4,4462,
경기,이천시,1346,181,157983,
경기,광주시,556,55,36219,
경기,남양주시,346,34,22766,
경기,오산시,72,10,8061,
경기,수원시,155,14,10606,
경기,의정부시,47,7,6260,
경기,동두천시,105,13,8086,
경기,파주시,1345,141,88047,
경기,고양시,502,45,33372,
경기,과천시,3,0,272,
경기,안산시,458,61,38868,
경기,하남시,51,4,3831,
강원특별자치도,고성군,690,125,151711,
강원특별자치도,인제군,885,115,134317,
강원특별자치도,태백시,137,70,85713,
강원특별자치도,평창군,705,193,164743,
강원특별자치도,정선군,305,88,101391,
강원특별자치도,삼척시,483,155,131968,
강원특별자치도,영월군,510,128,140919,
강원특별자치도,춘천시,810,98,80016,
강원특별자치도,강릉시,707,112,129139,
강원특별자치도,양양군,101,21,24755,
강원특별자치도,동해시,117,26,27831,
강원특별자치도,홍천군,1613,190,173650,
강원특별자치도,속초시,79,6,6454,
강원특별자치도,철원군,903,213,207399,
강원특별자치도,원주시,1561,192,164783,
강원특별자치도,양구군,799,98,105099,
강원특별자치도,횡성군,811,104,77885,
강원특별자치도,화천군,553,103,112565,
충북,제천시,1081,118,105676,
충북,증평군,406,39,34011,
충북,진천군,1085,150,127746,
