태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자,x,y,region_1depth_name,region_2depth_name,region_3depth_h_name,source_file
조일에너지,경상남도 사천시 서포면 후포길 137,,,,,정상가동,189.0,380,60,2024,발전사업용,,경상남도 사천시,,2024-10-07,127.939465524837,35.0313088556537,경남,사천시,서포면,경상남도_사천시_태양광발전소전기사업허가정보_20241007.csv
(주)한태연3호사천태양광발전소,,경상남도 사천시 곤명면 송림리 산 56-1,,,,정상가동,300.0,22900,60,2009,발전사업용,,경상남도 사천시,,2024-10-07,127.963925739183,35.1187634626659,경남,사천시,곤명면,경상남도_사천시_태양광발전소전기사업허가정보_20241007.csv
(주)골드개발 태양광발전소,,경상남도 사천시 용현면 석계리 산 25-1 47번지 6호,,,,정상가동,1000.0,380,60,2013,발전사업용,,경상남도 사천시,,2024-10-07,128.078431427774,35.0257668447212,경남,사천시,용현면,경상남도_사천시_태양광발전소전기사업허가정보_20241007.csv
대경 태양광발전소,경상남도 사천시 사남면 진삼로 1068,,,,,정상가동,43.0,380,60,2012,발전사업용,,경상남도 사천시,,2024-10-07,128.072571638677,35.0496200333103,경남,사천시,사남면,경상남도_사천시_태양광발전소전기사업허가정보_20241007.csv
썬이앤씨태양광발전소,경상남도 사천시 사남면 초전로 52,,,,,정상가동,33.0,380,60,2012,발전사업용,,경상남도 사천시,,2024-10-07,128.055243078821,35.0578496678955,경남,사천시,사남면,경상남도_사천시_태양광발전소전기사업허가정보_20241007.csv
썬이앤씨2 태양광발전소,경상남도 사천시 사남면 초전로 53-2,,,,,정상가동,3.0,380,60,2012,발전사업용,,경상남도 사천시,,2024-10-07,128.05493449463,35.0576691132746,경남,사천시,사남면,경상남도_사천시_태양광발전소전기사업허가정보_20241007.csv
안중열태양광발전소,경상남도 사천시 사남면 초전로 28,,,,,정상가동,32.0,380,60,2012,발전사업용,,경상남도 사천시,,2024-10-07,128.057761227394,35.0572706270602,경남,사천시,사남면,경상남도_사천시_태양광발전소전기사업허가정보_20241007.csv
채경근태양광발전소,경상남도 사천시 정동면 고읍1길 89,,,,,정상가동,14.0,380,60,2012,발전사업용,,경상남도 사천시,,2024-10-07,128.096444449125,35.0656261883058,경남,사천시,정동면,경상남도_사천시_태양광발전소전기사업허가정보_20241007.csv
은민태양광발전소,,경상남도 사천시 사남면 방지리 323번지,,,,정상가동,55.0,380,60,2012,발전사업용,,경상남도 사천시,,2024-10-07,128.055723752659,35.0622699849609,경남,사천시,사남면,경상남도_사천시_태양광발전소전기사업허가정보_20241007.csv
차연옥태양광발전소,경상남도 사천시 사남면 초전로 28,,,,,정상가동,28.0,380,60,2012,발전사업용,,경상남도 사천시,,2024-10-07,128.057761227394,35.0572706270602,경남,사천시,사남면,경상남도_사천시_태양광발전소전기사업허가정보_20241007.csv
썬이앤씨4 태양광발전소,경상남도 사천시 사남면 초전로 50-1,,,,,정상가동,55.0,380,60,2012,발전사업용,,경상남도 사천시,,2024-10-07,128.055474271289,35.0578424286725,경남,사천시,사남면,경상남도_사천시_태양광발전소전기사업허가정보_20241007.csv
백청수태양광발전소,경상남도 사천시 사남면 초전로 22,,,,,정상가동,10.0,380,60,2013,발전사업용,,경상남도 사천시,,2024-10-07,128.058344813911,35.0571181702979,경남,사천시,사남면,경상남도_사천시_태양광발전소전기사업허가정보_20241007.csv
장태경태양광발전소,경상남도 사천시 사남면 초전로 53-2,,,,,정상가동,7.0,380,60,2013,발전사업용,,경상남도 사천시,,2024-10-07,128.05493449463,35.0576691132746,경남,사천시,사남면,경상남도_사천시_태양광발전소전기사업허가정보_20241007.csv
영석태양광발전소,경상남도 사천시 사남면 초전로 53-3,,,,,정상가동,10.0,380,60,2013,발전사업용,,경상남도 사천시,,2024-10-07,128.055048914246,35.0574888450447,경남,사천시,사남면,경상남도_사천시_태양광발전소전기사업허가정보_20241007.csv
용운사태양광발전소,경상남도 사천시 삼천포대교로 385-39 (동동),,,,,정상가동,10.0,380,60,2012,발전사업용,,경상남도 사천시,,2024-10-07,128.068860305321,34.9378045563357,경남,사천시,동서동,경상남도_사천시_태양광발전소전기사업허가정보_20241007.csv
영성태양광발전소,경상남도 사천시 사남면 곡성2길 49-6,,,,,정상가동,32.0,380,60,2012,발전사업용,,경상남도 사천시,,2024-10-07,128.071435235377,35.0617832191334,경남,사천시,사남면,경상남도_사천시_태양광발전소전기사업허가정보_20241007.csv
김옥자태양광발전소,경상남도 사천시 사남면 초전수양길 56-2,,,,,정상가동,29.0,380,60,2013,발전사업용,,경상남도 사천시,,2024-10-07,128.055618613938,35.0565635479588,경남,사천시,사남면,경상남도_사천시_태양광발전소전기사업허가정보_20241007.csv
양명선태양광발전소,경상남도 사천시 용현면 주문길 417,,,,,정상가동,10.0,380,60,2013,발전사업용,,경상남도 사천시,,2024-10-07,128.039957283703,35.000645328192,경남,사천시,용현면,경상남도_사천시_태양광발전소전기사업허가정보_20241007.csv
안영자태양광발전소,경상남도 사천시 곤양면 남문안길 45,,,,,정상가동,30.0,380,60,2013,발전사업용,,경상남도 사천시,,2024-10-07,127.959244421252,35.0550247545403,경남,사천시,곤양면,경상남도_사천시_태양광발전소전기사업허가정보_20241007.csv
대경에너지,경상남도 사천시 사천읍 둔암길 127,,,,,정상가동,100.0,380,60,2013,발전사업용,,경상남도 사천시,,2024-10-07,128.126126664397,35.1030907692361,경남,사천시,사천읍,경상남도_사천시_태양광발전소전기사업허가정보_20241007.csv
축동쏠라,경상남도 사천시 축동면 용수길 40-36,,,,,정상가동,62.0,380,60,2013,발전사업용,,경상남도 사천시,,2024-10-07,128.04045949459,35.0955512968431,경남,사천시,축동면,경상남도_사천시_태양광발전소전기사업허가정보_20241007.csv
쏠라에너지 2호,경상남도 사천시 문화안길 108-3 (죽림동),,,,,정상가동,55.0,380,60,2013,발전사업용,,경상남도 사천시,,2024-10-07,128.067973308279,34.9771210433323,경남,사천시,남양동,경상남도_사천시_태양광발전소전기사업허가정보_20241007.csv
봉경태양광발전소,경상남도 사천시 정동면 상정대로 2120,,,,,정상가동,12.0,220,60,2013,발전사업용,,경상남도 사천시,,2024-10-07,128.148892227948,35.0395295113141,경남,사천시,정동면,경상남도_사천시_태양광발전소전기사업허가정보_20241007.csv
(유)클린에코에너지,,"경상남도 사천시 서포면 다평리 1377번지 2호 1377-7,1377-12",,,,정상가동,400.0,22900,60,2014,발전사업용,,경상남도 사천시,,2024-10-07,127.956451827,34.9922486036983,경남,사천시,서포면,경상남도_사천시_태양광발전소전기사업허가정보_20241007.csv
밸리태양광발전소,경상남도 사천시 사천읍 성지공단길 19,,,,,정상가동,49.0,380,60,2013,발전사업용,,경상남도 사천시,,2024-10-07,128.111801232285,35.1042413905061,경남,사천시,사천읍,경상남도_사천시_태양광발전소전기사업허가정보_20241007.csv
사천농협태양광발전소,경상남도 사천시 사천읍 구암두문로 155,,,,,정상가동,199.0,380,60,2013,발전사업용,,경상남도 사천시,,2024-10-07,128.102899292494,35.0912282693126,경남,사천시,사천읍,경상남도_사천시_태양광발전소전기사업허가정보_20241007.csv
(유)서포에코에너지,,경상남도 사천시 서포면 다평리 1367번지 2호,,,,정상가동,99.0,380,60,2014,발전사업용,,경상남도 사천시,,2024-10-07,127.95555772377,34.9932449569482,경남,사천시,서포면,경상남도_사천시_태양광발전소전기사업허가정보_20241007.csv
예성태양광발전소,,경상남도 사천시 서포면 다평리 1390번지 8호,,,,정상가동,99.0,380,60,2014,발전사업용,,경상남도 사천시,,2024-10-07,127.957067845809,34.9901158620284,경남,사천시,서포면,경상남도_사천시_태양광발전소전기사업허가정보_20241007.csv
일신쏠라태양광발전소,,경상남도 사천시 서포면 다평리 1390번지 6호,,,,정상가동,99.0,380,60,2014,발전사업용,,경상남도 사천시,,2024-10-07,127.957067845809,34.9901158620284,경남,사천시,서포면,경상남도_사천시_태양광발전소전기사업허가정보_20241007.csv
햇빛광장태양광발전소,,경상남도 사천시 서포면 다평리 1390번지 9호,,,,정상가동,99.0,380,60,2014,발전사업용,,경상남도 사천시,,2024-10-07,127.957067845809,34.9901158620284,경남,사천시,서포면,경상남도_사천시_태양광발전소전기사업허가정보_20241007.csv
조일에너지3호 태양광발전소,경상남도 사천시 선전길 52 (송포동),,,,,정상가동,99.0,380,60,2014,발전사업용,,경상남도 사천시,,2024-10-07,128.056244406919,34.9769747843155,경남,사천시,남양동,경상남도_사천시_태양광발전소전기사업허가정보_20241007.csv
미주태양광발전소,,경상남도 사천시 서포면 다평리 1376번지 3호,,,,정상가동,99.0,380,60,2014,발전사업용,,경상남도 사천시,,2024-10-07,127.956402835338,34.9931684478366,경남,사천시,서포면,경상남도_사천시_태양광발전소전기사업허가정보_20241007.csv
사천1 태양광발전소,,경상남도 사천시 서포면 다평리 1390번지 11호,,,,정상가동,99.0,380,60,2014,발전사업용,,경상남도 사천시,,2024-10-07,127.957067845809,34.9901158620284,경남,사천시,서포면,경상남도_사천시_태양광발전소전기사업허가정보_20241007.csv
사천2 태양광발전소,,경상남도 사천시 서포면 다평리 1390번지 3호,,,,정상가동,99.0,380,60,2014,발전사업용,,경상남도 사천시,,2024-10-07,127.957067845809,34.9901158620284,경남,사천시,서포면,경상남도_사천시_태양광발전소전기사업허가정보_20241007.csv
수영태양광발전소,,경상남도 사천시 서포면 다평리 1376번지 5호,,,,정상가동,99.0,380,60,2014,발전사업용,,경상남도 사천시,,2024-10-07,127.956402835338,34.9931684478366,경남,사천시,서포면,경상남도_사천시_태양광발전소전기사업허가정보_20241007.csv
삼천포참빛에너지,경상남도 사천시 삼천포대교로 622-10 (좌룡동),,,,,정상가동,63.0,380,60,2014,발전사업용,,경상남도 사천시,,2024-10-07,128.077572329898,34.9536113869809,경남,사천시,선구동,경상남도_사천시_태양광발전소전기사업허가정보_20241007.csv
그린파워태양광발전소,,경상남도 사천시 서포면 다평리 1390번지 12호,,,,정상가동,99.0,380,60,2014,발전사업용,,경상남도 사천시,,2024-10-07,127.957067845809,34.9901158620284,경남,사천시,서포면,경상남도_사천시_태양광발전소전기사업허가정보_20241007.csv
무궁한태양광발전소,,경상남도 사천시 서포면 다평리 1390번지 13호,,,,정상가동,99.0,380,60,2014,발전사업용,,경상남도 사천시,,2024-10-07,127.957067845809,34.9901158620284,경남,사천시,서포면,경상남도_사천시_태양광발전소전기사업허가정보_20241007.csv
진주솔라태양광발전소,,경상남도 사천시 서포면 다평리 1390번지 1호,,,,정상가동,99.0,380,60,2014,발전사업용,,경상남도 사천시,,2024-10-07,127.957067845809,34.9901158620284,경남,사천시,서포면,경상남도_사천시_태양광발전소전기사업허가정보_20241007.csv
광윤태양광발전소,,경상남도 사천시 서포면 다평리 1381번지 13호,,,,정상가동,99.0,380,60,2014,발전사업용,,경상남도 사천시,,2024-10-07,127.956127804726,34.9905876404293,경남,사천시,서포면,경상남도_사천시_태양광발전소전기사업허가정보_20241007.csv
