index,page,page_index,uid,title,modified_date,status,saved_file,detail_onclick,download_onclick
0,1,0,c160bb99-4d4f-4149-89e9-dd6aed4b53fb,상세보기 : 경기도_성남시_태양광발전소전기사업허가정보,2026-02-24,skipped:up_to_date,,stdObj.fn_fileDataDetail('uddi:c160bb99-4d4f-4149-89e9-dd6aed4b53fb'),
1,1,1,f888848d-3c74-4b07-9c72-f3055ed8d3bd,상세보기 : 경상남도_진주시_태양광발전소전기사업허가정보,2026-02-11,ok,generator_next\source\raw_csv\경상남도_진주시_태양광발전소전기사업허가정보_20260128.csv,stdObj.fn_fileDataDetail('uddi:f888848d-3c74-4b07-9c72-f3055ed8d3bd'),"fn_fileDataDown('15107742', 'uddi:f888848d-3c74-4b07-9c72-f3055ed8d3bd', 'FILE_000000003592641', '1', 'csv')"
2,1,2,a5790c3d-acf3-4937-b763-e9e4d473d7c0,상세보기 : 경상남도_거제시_태양광발전소전기사업허가정보,2026-01-23,skipped:up_to_date,,stdObj.fn_fileDataDetail('uddi:a5790c3d-acf3-4937-b763-e9e4d473d7c0'),
3,1,3,51334c0e-11b1-4a4b-be05-d7407b06bfc0,상세보기 : 경기도_수원시_태양광발전소전기사업허가정보,2026-01-23,ok,generator_next\source\raw_csv\경기도_수원시_태양광발전소전기사업허가정보_20260115.csv,stdObj.fn_fileDataDetail('uddi:51334c0e-11b1-4a4b-be05-d7407b06bfc0'),"fn_fileDataDown('15107742', 'uddi:51334c0e-11b1-4a4b-be05-d7407b06bfc0', 'FILE_000000003585009', '1', 'csv')"
4,1,4,373d2abc-eec5-4d53-ae0f-83bc97832437,상세보기 : 서울특별시_서초구_태양광발전소전기사업허가정보,2026-01-23,skipped:up_to_date,,stdObj.fn_fileDataDetail('uddi:373d2abc-eec5-4d53-ae0f-83bc97832437'),
5,2,0,d93baa4d-7ebf-4a19-bb24-ea0379352315,상세보기 : 경상북도_청송군_태양광발전소전기사업허가정보,2026-01-22,skipped:up_to_date,,stdObj.fn_fileDataDetail('uddi:d93baa4d-7ebf-4a19-bb24-ea0379352315'),
6,2,1,3cc6fe62-81b5-4267-a566-adbb2a5b2c1c,상세보기 : 경기도_안양시_태양광발전소전기사업허가정보,2026-01-19,ok,generator_next\source\raw_csv\경기도_안양시_태양광발전소전기사업허가정보_20251219.csv,stdObj.fn_fileDataDetail('uddi:3cc6fe62-81b5-4267-a566-adbb2a5b2c1c'),"fn_fileDataDown('15107742', 'uddi:3cc6fe62-81b5-4267-a566-adbb2a5b2c1c', 'FILE_000000003566437', '1', 'csv')"
7,2,2,56f5e723-b7f4-4cfa-878e-fa2ec6dece13,상세보기 : 광주광역시_북구_태양광발전소전기사업허가정보,2026-01-19,skipped:up_to_date,,stdObj.fn_fileDataDetail('uddi:56f5e723-b7f4-4cfa-878e-fa2ec6dece13'),
8,2,3,d6849514-1510-47a9-b0ba-9460f8120745,상세보기 : 경기도_하남시_태양광발전소전기사업허가정보,2026-01-12,ok,generator_next\source\raw_csv\경기도_하남시_태양광발전소전기사업허가정보_20251203.csv,stdObj.fn_fileDataDetail('uddi:d6849514-1510-47a9-b0ba-9460f8120745'),"fn_fileDataDown('15107742', 'uddi:d6849514-1510-47a9-b0ba-9460f8120745', 'FILE_000000003568873', '1', 'csv')"
9,2,4,bd069762-db20-46ba-96a8-fcd74796c716,상세보기 : 충청남도_논산시_태양광발전소전기사업허가정보,2026-01-12,skipped:up_to_date,,stdObj.fn_fileDataDetail('uddi:bd069762-db20-46ba-96a8-fcd74796c716'),
