geo_addr,reason,updated_at
강원도 인제군 기린면 방동리 113번지 8호,no_result,2026-02-25T14:14:35
강원도 인제군 기린면 방동리 384번지 22호,no_result,2026-02-25T14:14:35
강원도 인제군 기린면 방동리 384번지 5호,no_result,2026-02-25T14:14:35
강원도 인제군 기린면 방동리 755번지 1호,no_result,2026-02-25T14:14:36
"강원도 인제군 기린면 북리 1023,1023-1",no_result,2026-02-25T14:14:36
강원도 인제군 기린면 북리 1031번지 2호,no_result,2026-02-25T14:14:36
"강원도 인제군 기린면 북리 104,104,109",no_result,2026-02-25T14:14:36
"강원도 인제군 기린면 북리 1176,1176-2",no_result,2026-02-25T14:14:37
"강원도 인제군 기린면 북리 728,729,730,731",no_result,2026-02-25T14:14:37
"강원도 인제군 기린면 북리 745,746",no_result,2026-02-25T14:14:38
"강원도 인제군 기린면 북리 745-2,746-1",no_result,2026-02-25T14:14:38
"강원도 인제군 기린면 북리 80,81",no_result,2026-02-25T14:14:38
"강원도 인제군 기린면 북리 833,835,837",no_result,2026-02-25T14:14:38
"강원도 인제군 기린면 북리 833,904",no_result,2026-02-25T14:14:38
"강원도 인제군 기린면 북리 846,847,851,852,853,854,855,855-1,855-2,856,857-3,857-4,868, 868-1,868-2동",no_result,2026-02-25T14:14:38
"강원도 인제군 기린면 북리 886,887",no_result,2026-02-25T14:14:38
"강원도 인제군 기린면 북리 917,918,919,920",no_result,2026-02-25T14:14:39
"강원도 인제군 기린면 북리 917,928,929-4",no_result,2026-02-25T14:14:39
"강원도 인제군 기린면 북리 970,972",no_result,2026-02-25T14:14:39
"강원도 인제군 기린면 북리 976,977,980",no_result,2026-02-25T14:14:39
"강원도 인제군 기린면 북리 977-1,980-1",no_result,2026-02-25T14:14:39
"강원도 인제군 기린면 북리 977-2,980-2",no_result,2026-02-25T14:14:39
"강원도 인제군 기린면 북리 977-3,980-3",no_result,2026-02-25T14:14:39
"강원도 인제군 기린면 서리 670-1,670-2",no_result,2026-02-25T14:14:40
"강원도 인제군 기린면 현리 248-12,248-14,248-16",no_result,2026-02-25T14:14:40
강원도 인제군 남면 갑둔리 124번지,no_result,2026-02-25T14:14:41
강원도 인제군 남면 갑둔리 97번지,no_result,2026-02-25T14:14:41
"강원도 인제군 남면 관대리 170-2,184-1",no_result,2026-02-25T14:14:41
"강원도 인제군 남면 관대리 428-4,428-6",no_result,2026-02-25T14:14:41
강원도 인제군 남면 관대리 428번지 3호,no_result,2026-02-25T14:14:41
"강원도 인제군 남면 관대리 660-2,720",no_result,2026-02-25T14:14:41
"강원도 인제군 남면 관대리 716,717,718-2",no_result,2026-02-25T14:14:41
"강원도 인제군 남면 관대리 740-2,741-4,742-1",no_result,2026-02-25T14:14:42
강원도 인제군 남면 관대리 산 106번지 3호,no_result,2026-02-25T14:14:42
"강원도 인제군 남면 남전리 527-6,527-7",no_result,2026-02-25T14:14:43
"강원도 인제군 남면 소치리 93,93-1",no_result,2026-02-25T14:14:43
"강원도 인제군 남면 소치리 93,93-1,93-2",no_result,2026-02-25T14:14:44
"강원도 인제군 남면 소치리 93-1,93-2",no_result,2026-02-25T14:14:44
"강원도 인제군 남면 수산리 657,658",no_result,2026-02-25T14:14:44
