태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
신안 태양광발전소,강원특별자치도 고성군 간성읍 간성로 51-14,,,,,정상가동,29.52,380,60,2024,,,,,2025-02-03
찬균태양광발전소,,강원특별자치도 고성군 간성읍 해상리 988,,,,정상가동,99.12,380,60,2023,,,,,2025-02-03
영광발전소,강원특별자치도 고성군 죽왕면 동해대로 6602-1,,,,,정상가동,29.75,380,60,2024,,,,,2025-02-03
어령골 태양광발전소,강원특별자치도 고성군 간성읍 어천1길 131-33,,,,,정상가동,99.96,380,60,2023,,,,,2025-02-03
어령골2호 태양광발전소,강원특별자치도 고성군 간성읍 어천1길 131-33,,,,,정상가동,99.96,380,60,2023,,,,,2025-02-03
어령골3호 태양광발전소,강원특별자치도 고성군 간성읍 어천1길 131-33,,,,,정상가동,99.96,380,60,2023,,,,,2025-02-03
시범3호 태양광발전소,강원특별자치도 고성군 거진읍 남강로 255-64,,,,,정상가동,97.58,380,60,2023,,,,,2025-02-03
시범2호 태양광발전소,강원특별자치도 고성군 거진읍 남강로 255-64,,,,,정상가동,99.96,380,60,2023,,,,,2025-02-03
시범1호 태양광발전소,강원특별자치도 고성군 거진읍 남강로 255-64,,,,,정상가동,99.96,380,60,2023,,,,,2025-02-03
시범5호 태양광발전소,강원특별자치도 고성군 거진읍 남강로 255-64,,,,,정상가동,97.58,380,60,2023,,,,,2025-02-03
시범4호 태양광발전소,강원특별자치도 고성군 거진읍 남강로 255-64,,,,,정상가동,97.58,380,60,2023,,,,,2025-02-03
광산리2호 태양광발전소,강원특별자치도 고성군 간성읍 광평1길 75-47,,,,,정상가동,99.96,380,60,2024,,,,,2025-02-03
광산리3호 태양광발전소,강원특별자치도 고성군 간성읍 광평1길 75-47,,,,,정상가동,99.96,380,60,2024,,,,,2025-02-03
광산리4호태양광발전소,강원특별자치도 고성군 간성읍 광평1길 75-47,,,,,정상가동,99.96,380,60,2024,,,,,2025-02-03
광산리5호 태양광발전소,강원특별자치도 고성군 간성읍 광평1길 75-47,,,,,정상가동,99.96,380,60,2024,,,,,2025-02-03
광산리1호 태양광발전소,강원특별자치도 고성군 간성읍 광평1길 75-47,,,,,정상가동,99.96,380,60,2024,,,,,2025-02-03
어기범발전소4호 태양광발전소,강원특별자치도 고성군 토성면 백촌5길 31-42,,,,,정상가동,93.56,380,60,2024,,,,,2025-02-03
어기범발전소3호 태양광발전소,강원특별자치도 고성군 토성면 백촌5길 31-42,,,,,정상가동,99.75,380,60,2024,,,,,2025-02-03
어기범발전소2호 태양광발전소,강원특별자치도 고성군 토성면 백촌5길 31-42,,,,,정상가동,99.99,380,60,2024,,,,,2025-02-03
어기범발전소1호 태양광발전소,강원특별자치도 고성군 토성면 백촌5길 31-42,,,,,정상가동,99.75,380,60,2024,,,,,2025-02-03
야촌1호 태양광발전소,,강원특별자치도 고성군 죽왕면 야촌리 1177-2,,,,정상가동,99.96,380,60,2024,,,,,2025-02-03
야촌2호 태양광발전소,,강원특별자치도 고성군 죽왕면 야촌리 1177-2,,,,정상가동,99.96,380,60,2024,,,,,2025-02-03
야촌3호 태양광발전소,,강원특별자치도 고성군 죽왕면 야촌리 1177-3,,,,정상가동,99.96,380,60,2024,,,,,2025-02-03
야촌4호 태양광발전소,,강원특별자치도 고성군 죽왕면 야촌리 1177-3,,,,정상가동,99.96,380,60,2024,,,,,2025-02-03
야촌5호 태양광발전소,,강원특별자치도 고성군 죽왕면 야촌리 720,,,,정상가동,88.06,380,60,2024,,,,,2025-02-03
아라 태양광발전소,강원특별자치도 고성군 죽왕면 동해대로 6130-2,,,,,정상가동,19.5,380,60,2023,,,,,2025-02-03
삼포리3호 태양광발전소,강원특별자치도 고성군 죽왕면 삼포길 9,,,,,정상가동,51.04,380,60,2023,,,,,2025-02-03
동근2호 태양광발전소,강원특별자치도 고성군 간성읍 건봉사로 209-16,,,,,정상가동,99.76,380,60,2023,,,,,2025-02-03
동근1호 태양광발전소,강원특별자치도 고성군 간성읍 건봉사로 209-16,,,,,정상가동,99.76,380,60,2023,,,,,2025-02-03
정하율3호태양광발전소,강원특별자치도 고성군 거진읍 송정2길 26-18,,,,,정상가동,40.6,380,60,2024,,,,,2025-02-03
대성1호 태양광발전소,,강원특별자치도 고성군 거진읍 초계리 630-4,,,,정상가동,99.99,380,60,2023,,,,,2025-02-03
대성2호 태양광발전소,,강원특별자치도 고성군 거진읍 초계리 630-4,,,,정상가동,99.99,380,60,2023,,,,,2025-02-03
대성3호 태양광발전소,,강원특별자치도 고성군 거진읍 초계리 630-4,,,,정상가동,99.99,380,60,2023,,,,,2025-02-03
대성4호 태양광발전소,,강원특별자치도 고성군 거진읍 초계리 630-4,,,,정상가동,99.99,380,60,2023,,,,,2025-02-03
대성5호 태양광발전소,,강원특별자치도 고성군 거진읍 초계리 630-4,,,,정상가동,99.99,380,60,2023,,,,,2025-02-03
대성6호 태양광발전소,,강원특별자치도 고성군 거진읍 초계리 630-4,,,,정상가동,99.99,380,60,2023,,,,,2025-02-03
대성7호 태양광발전소,,강원특별자치도 고성군 거진읍 초계리 630-4,,,,정상가동,99.99,380,60,2023,,,,,2025-02-03
어천2리 마을회발전소,,강원특별자치도 고성군 간성읍 어천리 243-1,,,,정상가동,90.44,380,60,2023,,,,,2025-02-03
준한우3호 태양광발전소,,강원특별자치도 고성군 토성면 용촌리 905-1,,,,정상가동,86.45,380,60,2023,,,,,2025-02-03
준한우1호 태양광발전소,,강원특별자치도 고성군 토성면 용촌리 905-1,,,,정상가동,99.75,380,60,2023,,,,,2025-02-03
준한우2호 태양광발전소,,강원특별자치도 고성군 토성면 용촌리 905-1,,,,정상가동,99.75,380,60,2023,,,,,2025-02-03
동근4호 태양광발전소,,강원특별자치도 고성군 간성읍 해상리 1232-4,,,,정상가동,99.76,380,60,2023,,,,,2025-02-03
성대 태양광발전소,,강원특별자치도 고성군 토성면 백촌리 263-9,,,,정상가동,50.5,380,60,2023,,,,,2025-02-03
동하4호 태양광발전소,,강원특별자치도 고성군 죽왕면 야촌리 649,,,,정상가동,51,380,60,2023,,,,,2025-02-03
만산2호 태양광발전시설,,강원특별자치도 고성군 간성읍 어천리 330-6,,,,정상가동,99.84,380,60,2023,,,,,2025-02-03
대광2호 태양광발전소,,강원특별자치도 고성군 현내면 화곡리 98,,,,정상가동,96.3,380,60,2023,,,,,2025-02-03
성윤2호 태양광발전소,,강원특별자치도 고성군 죽왕면 삼포리 1041-2,,,,정상가동,91.8,380,60,2023,,,,,2025-02-03
성윤1호 태양광발전소,,강원특별자치도 고성군 죽왕면 삼포리 1041-2,,,,정상가동,99.45,380,60,2023,,,,,2025-02-03
용촌우3호 태양광발전소,,강원특별자치도 고성군 토성면 용촌리 902-9,,,,정상가동,93.84,380,60,2023,,,,,2025-02-03
성익2호 태양광발전소,,강원특별자치도 고성군 현내면 죽정리 767-4,,,,정상가동,99.45,380,60,2023,,,,,2025-02-03
행복 태양광발전소,"강원특별자치도 고성군 토성면 무릉도원로 58-12, 고성고물상",,,,,정상가동,99.96,380,60,2023,,,,,2025-02-03
성천2호 태양광발전소,강원특별자치도 고성군 토성면 장성천길 257,,,,,정상가동,99.84,380,60,2023,,,,,2025-02-03
성천 태양광발전소,강원특별자치도 고성군 토성면 장성천길 257,,,,,정상가동,99.84,380,60,2023,,,,,2025-02-03
동근3호 태양광발전소,,강원특별자치도 고성군 간성읍 해상리 1232-4,,,,정상가동,99.76,380,60,2023,,,,,2025-02-03
삼포리1호 태양광발전소,,강원특별자치도 고성군 죽왕면 삼포리 1368,,,,정상가동,99.76,380,60,2023,,,,,2025-02-03
삼포리2호 태양광발전소,,강원특별자치도 고성군 죽왕면 삼포리 1368,,,,정상가동,99.76,380,60,2023,,,,,2025-02-03
송포리1호 태양광발전소,,강원특별자치도 고성군 거진읍 송포리 832,,,,정상가동,99.76,380,60,2023,,,,,2025-02-03
송포리2호 태양광발전소,,강원특별자치도 고성군 거진읍 송포리 832,,,,정상가동,99.76,380,60,2023,,,,,2025-02-03
덕구 태양광발전소,강원특별자치도 고성군 죽왕면 운봉산로 141,,,,,정상가동,17.76,380,60,2023,,,,,2025-02-03
