태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
(주)강원학교태양광(동해 묵호중 태양광발전소),강원특별자치도 동해시 향로3길 42 (발한동),강원특별자치도 동해시 발한동 190번지,37.54329866,129.1054298,,정상가동,99,380,60,2015,발전사업용,2015-11-16,강원특별자치도 동해시청,613,2025-11-17
(주)강원학교태양광(동해 동호초 태양광발전소),강원특별자치도 동해시 발한로 123 (발한동),강원특별자치도 동해시 발한동 572번지 2호,37.54417872,129.1001844,,정상가동,93,380,60,2015,발전사업용,2015-11-16,강원특별자치도 동해시청,642,2025-11-17
(주)강원학교태양광(동해 묵호고 태양광발전소),강원특별자치도 동해시 승지로 37 (부곡동),강원특별자치도 강릉시 내곡동 107번지 3호,37.53773459,129.0957467,,폐기,96,380,60,2015,발전사업용,2015-11-16,강원특별자치도 동해시청,602,2025-11-17
동해1호 태양광발전소,강원특별자치도 동해시 공단2로 74-1 (구호동),강원특별자치도 동해시 구호동 236번지 25호,37.4763651,129.1378837,,정상가동,98,380,60,2016,발전사업용,2016-01-13,강원특별자치도 동해시청,680,2025-11-17
태화마트 제2 태양광발전소,강원특별자치도 동해시 청운2길 42 (쇄운동),강원특별자치도 동해시 쇄운동 13번지 1호,37.48436384,129.1074488,,정상가동,99,380,60,2016,발전사업용,2016-01-13,강원특별자치도 동해시청,626,2025-11-17
운흥양림조합발전소,,강원특별자치도 동해시 지흥동 산 113번지,37.5125512,129.0973151,,정상가동,151,380,60,2016,발전사업용,2016-08-17,강원특별자치도 동해시청,946,2025-11-17
케스코,강원특별자치도 동해시 청운로 69-1 (쇄운동),강원특별자치도 동해시 천곡동 794번지,37.48628527,129.1015947,,정상가동,96,380,60,2017,발전사업용,2017-03-31,강원특별자치도 동해시청,680,2025-11-17
골말1태양광발전소,,강원특별자치도 동해시 발한동 681번지 1호,37.55786648,129.082507,,정상가동,97,380,60,2017,발전사업용,2017-07-04,강원특별자치도 동해시청,1000,2025-11-17
유은에너지,"강원특별자치도 동해시 공단1로 316, 하수종말처리장 (구호동)",강원특별자치도 동해시 발한동 681번지 1호,37.48776356,129.1448843,,정상가동,97,380,60,2017,발전사업용,2017-07-04,강원특별자치도 동해시청,1000,2025-11-17
미래솔라텍,"강원특별자치도 동해시 새골길 50, 상하수도사업소 (쇄운동)",강원특별자치도 동해시 발한동 681번지 1호,37.49311015,129.0919774,,정상가동,401,380,60,2017,발전사업용,2017-07-04,강원특별자치도 동해시청,4000,2025-11-17
골말2태양광 발전소,강원특별자치도 동해시 갯목길 52 (구미동),강원특별자치도 동해시 발한동 681번지 1호,37.4854303,129.132014,,정상가동,99,380,60,2017,발전사업용,2017-07-04,강원특별자치도 동해시청,1000,2025-11-17
골말3태양광 발전소,강원특별자치도 동해시 동해대로 5302 (천곡동),강원특별자치도 동해시 발한동 681번지 1호,37.51725457,129.1052674,,정상가동,97,380,60,2017,발전사업용,2017-07-04,강원특별자치도 동해시청,1000,2025-11-17
골말4태양광 발전소,"강원특별자치도 동해시 봉수로 160, 동해시생활환경센터 (대진동)",강원특별자치도 동해시 발한동 681번지 1호,37.5765149,129.1085601,,정상가동,99,380,60,2017,발전사업용,2017-07-04,강원특별자치도 동해시청,1000,2025-11-17
현진태양광발전소,강원특별자치도 동해시 한섬로 133-9 (천곡동),강원특별자치도 동해시 천곡동 839번지,37.5228596,129.1175338,,정상가동,47,380,60,2017,발전사업용,2017-07-24,강원특별자치도 동해시청,451,2025-11-17
이마트동해태양광발전소,강원특별자치도 동해시 천곡로 100 (천곡동),강원특별자치도 동해시 천곡동 831번지,37.52392048,129.1171289,,정상가동,95,380,60,2017,발전사업용,2017-07-25,강원특별자치도 동해시청,592,2025-11-17
제일태양광발전소,강원특별자치도 동해시 청운2길 17-2 (쇄운동),강원특별자치도 동해시 쇄운동 66번지 3호,37.48516974,129.1050393,,정상가동,18,380,60,2017,발전사업용,2017-08-31,강원특별자치도 동해시청,121,2025-11-17
동아태양광발전소,강원특별자치도 동해시 항골1길 5-12 (천곡동),강원특별자치도 동해시 천곡동 1086-11,37.52494843,129.105408,,정상가동,9,380,60,2017,발전사업용,2017-09-27,강원특별자치도 동해시청,142,2025-11-17
남선태양광발전소,강원특별자치도 동해시 공단7로 17 (구호동),강원특별자치도 동해시 구호동 235번지 11호,37.47438528,129.1376714,,정상가동,85,380,60,2017,발전사업용,2017-10-13,강원특별자치도 동해시청,572,2025-11-17
우성썬파워태양광발전소,,강원특별자치도 동해시 이로동 793-1,37.50297494,129.0581541,,정상가동,999,380,60,2017,발전사업용,2017-10-23,강원특별자치도 동해시청,6666,2025-11-17
골든캐슬태양광발전소,"강원특별자치도 동해시 동굴1길 12 (천곡동, 골든캐슬)",강원특별자치도 동해시 천곡동 1034번지 16호 골든캐슬,37.51834509,129.1140313,,정상가동,26,380,60,2017,발전사업용,2017-11-20,강원특별자치도 동해시청,176,2025-11-17
세희태양광발전소,강원특별자치도 동해시 붉은언덕길 64 (발한동),강원특별자치도 동해시 발한동 209번지 2호 춤추는삼겹살,37.54660336,129.1070015,,정상가동,10,380,60,2018,발전사업용,2018-04-16,강원특별자치도 동해시청,53,2025-11-17
덕흥태양광발전소,"강원특별자치도 동해시 동해항1길 27-2 (송정동, 덕흥원룸)",강원특별자치도 동해시 송정동 851번지 8호 덕흥원룸,37.49877243,129.1289684,,정상가동,19,380,60,2018,발전사업용,2018-04-18,강원특별자치도 동해시청,112,2025-11-17
서울태양광발전소,강원특별자치도 동해시 하평1길 5-1 (평릉동),강원특별자치도 동해시 평릉동 419번지 5호,37.5316538,129.1084143,,정상가동,18,380,60,2018,발전사업용,2018-06-04,강원특별자치도 동해시청,102,2025-11-17
동트는동해 A 태양광발전소,"강원특별자치도 동해시 새골길 50, 상하수도사업소 (쇄운동)",강원특별자치도 동해시 쇄운동 499,37.49311015,129.0919774,,정상가동,432,380,60,2018,발전사업용,2018-06-29,강원특별자치도 동해시청,2400,2025-11-17
동트는동해 B 태양광발전소,"강원특별자치도 동해시 공단1로 316, 하수종말처리장 (구호동)",강원특별자치도 동해시 구호동 232,37.48776356,129.1448843,,정상가동,276,380,60,2018,발전사업용,2018-06-29,강원특별자치도 동해시청,1536,2025-11-17
동트는동해 C 태양광발전소,"강원특별자치도 동해시 갯목길 52, 북평중계펌프장 (구미동)",강원특별자치도 동해시 구미동 566-14,37.4854303,129.132014,,정상가동,90,380,60,2018,발전사업용,2018-06-29,강원특별자치도 동해시청,504,2025-11-17
동트는동해 D 태양광발전소,"강원특별자치도 동해시 동해대로 5302, 천곡배수지 (천곡동)",강원특별자치도 동해시 천곡동 380-5,37.51725457,129.1052674,,정상가동,151,380,60,2018,발전사업용,2018-06-29,강원특별자치도 동해시청,840,2025-11-17
동트는동해 E 태양광 발전소,"강원특별자치도 동해시 봉수로 160, 동해시생활환경센터 (대진동)",강원특별자치도 동해시 대진동 74,37.5765149,129.1085601,,정상가동,51,380,60,2018,발전사업용,2018-06-29,강원특별자치도 동해시청,286,2025-11-17
리슈빌태양광발전소,강원특별자치도 동해시 감추5길 23-1 (천곡동),강원특별자치도 동해시 천곡동 967번지 13호,37.5172968,129.1201191,,정상가동,16,380,60,2018,발전사업용,2018-11-16,강원특별자치도 동해시청,146,2025-11-17
다모아태양광발전소,강원특별자치도 동해시 효자로 717-6 (효가동),강원특별자치도 동해시 효가동 203번지 1호,37.49494077,129.1123808,,정상가동,45,380,60,2019,발전사업용,2019-01-18,강원특별자치도 동해시청,320,2025-11-17
동해 명성1호 태양광발전소,강원특별자치도 동해시 동해대로 4759 (단봉동),강원특별자치도 동해시 단봉동 269번지 1호,37.4757635,129.1210923,,정상가동,99,380,60,2019,발전사업용,2019-03-15,강원특별자치도 동해시청,550,2025-11-17
건설 태양광발전소,강원특별자치도 동해시 공단7로 21 (구호동),강원특별자치도 동해시 구호동 235번지 10호,37.47440426,129.1381058,,정상가동,99,380,60,2019,발전사업용,2019-08-05,강원특별자치도 동해시청,500,2025-11-17
강진전설태양광발전소,"강원특별자치도 동해시 공단7로 25, 강진전설 (구호동)",강원특별자치도 동해시 구호동 235번지 9호 강진전설,37.47489216,129.1380609,,폐기,95,380,60,2020,발전사업용,2020-03-02,강원특별자치도 동해시청,464,2025-11-17
