태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
승대 태양광발전소,"강원특별자치도 삼척시 근덕면 삼척로 3316-27, (주1동)건물상부",,,,,정상가동,99.84,380,60,2022,,2022-11-08,강원특별자치도 삼척시,,2025-12-15
승대2호 태양광발전소,"강원특별자치도 삼척시 근덕면 삼척로 3316-27, (주1동, 부1동, 부4동) 건물상부",,,,,정상가동,96.96,380,60,2022,,2022-11-08,강원특별자치도 삼척시,,2025-12-15
대솔 태양광발전소,,강원특별자치도 삼척시 미로면 상거노리 387 건물상부,,,,정상가동,99.84,380,60,2022,,2022-11-02,강원특별자치도 삼척시,,2025-12-15
빌드삼척에너지2 태양광발전소,,"강원특별자치도 삼척시 신기면 신기리 13-1, 13-2, 16",,,,정상가동,374.4,380,60,2022,,2022-10-19,강원특별자치도 삼척시,,2025-12-15
건너뜰 태양광발전소,,강원특별자치도 삼척시 근덕면 매원리 759-1,,,,정상가동,98.94,380,60,2022,,2022-10-19,강원특별자치도 삼척시,,2025-12-15
교3통경로당발전사업추진회,"강원특별자치도 삼척시 뒷나루길 11-20, 건물상부 (교동)",,,,,정상가동,10,220,60,2022,,2022-10-13,강원특별자치도 삼척시,,2025-12-15
삼척교당 태양광발전소,"강원특별자치도 삼척시 대학로 88-19, 원불교 (교동)",,,,,정상가동,18.92,380,60,2022,,2022-10-04,강원특별자치도 삼척시,,2025-12-15
삼척솔라에너지1 태양광발전소,,"강원특별자치도 삼척시 신기면 신기리 25-1, 26",,,,정상가동,705.51,22900,60,2022,,2022-09-28,강원특별자치도 삼척시,,2025-12-15
효명삼척에너지3 태양광발전소,,"강원특별자치도 삼척시 신기면 신기리 50, 51",,,,정상가동,499.59,22900,60,2022,,2022-09-28,강원특별자치도 삼척시,,2025-12-15
효명삼척에너지4 태양광발전소,,강원특별자치도 삼척시 신기면 신기리 48,,,,정상가동,99.45,22900,60,2022,,2022-09-28,강원특별자치도 삼척시,,2025-12-15
은하수1호 태양광발전소,"강원특별자치도 삼척시 근덕면 부남길 73-45, (건물상부)",,,,,정상가동,99.71,380,60,2022,,2022-09-28,강원특별자치도 삼척시,,2025-12-15
은하수2호 태양광발전소,"강원특별자치도 삼척시 근덕면 부남길 73-45, (건물상부)",,,,,정상가동,99.71,380,60,2022,,2022-09-28,강원특별자치도 삼척시,,2025-12-15
은하수3호 태양광발전소,"강원특별자치도 삼척시 근덕면 부남길 73-45, (건물 상부)",,,,,정상가동,62.54,380,60,2022,,2022-09-28,강원특별자치도 삼척시,,2025-12-15
영도3호 태양광발전소,,"강원특별자치도 삼척시 도계읍 황조리 65,68",,,,정상가동,693.36,22900,60,2022,,2022-09-20,강원특별자치도 삼척시,,2025-12-15
영도4호 태양광발전소,,강원특별자치도 삼척시 도계읍 황조리 68,,,,정상가동,28.89,380,60,2022,,2022-09-20,강원특별자치도 삼척시,,2025-12-15
그린오목 태양광발전소,,"강원특별자치도 삼척시 가곡면 오목리 2, 3",,,,정상가동,698.32,22900,60,2022,,2022-09-06,강원특별자치도 삼척시,,2025-12-15
양지 발전소,"강원특별자치도 삼척시 도계읍 늑구점리길 52-22, 건물상부",,,,,정상가동,79.8,380,60,2022,,2022-09-06,강원특별자치도 삼척시,,2025-12-15
문의 발전소,"강원특별자치도 삼척시 도계읍 문의재로 1407, 건물상부",,,,,정상가동,67.85,380,60,2022,,2022-09-06,강원특별자치도 삼척시,,2025-12-15
동성4 태양광발전소,"강원특별자치도 삼척시 도계읍 강원남부로 2115, 다동",,,,,정상가동,28.56,380,60,2022,,2022-08-16,강원특별자치도 삼척시,,2025-12-15
동성5 태양광발전소,"강원특별자치도 삼척시 도계읍 강원남부로 2115, 다동",,,,,정상가동,26.18,380,60,2022,,2022-08-16,강원특별자치도 삼척시,,2025-12-15
동성6 태양광발전소,"강원특별자치도 삼척시 도계읍 강원남부로 2115, 다동",,,,,정상가동,28.56,380,60,2022,,2022-08-16,강원특별자치도 삼척시,,2025-12-15
동원1호 태양광발전소,"강원특별자치도 삼척시 미로면 동산길 448-48, 건물상부",,,,,정상가동,99.71,380,60,2022,,2022-08-03,강원특별자치도 삼척시,,2025-12-15
화인주식회사,강원특별자치도 삼척시 청석로 67 (교동),,,,,정상가동,197.6,380,60,2016,,2016-03-24,강원특별자치도 삼척시,,2025-12-15
성운 태양광발전소,"강원특별자치도 삼척시 근덕면 삼척로 3368-39, 건물상부",,,,,정상가동,98.94,380,60,2022,,2022-08-02,강원특별자치도 삼척시,,2025-12-15
하랑 태양광발전소,,강원특별자치도 삼척시 도계읍 전두리 168-1,,,,정상가동,94.58,380,60,2022,,2022-07-28,강원특별자치도 삼척시,,2025-12-15
효우 태양광발전소,,강원특별자치도 삼척시 도계읍 전두리 168-1,,,,정상가동,94.58,380,60,2022,,2022-07-28,강원특별자치도 삼척시,,2025-12-15
효성태양광2호 태양광발전소,,강원특별자치도 삼척시 도계읍 전두리 168-1,,,,정상가동,94.58,380,60,2022,,2022-07-28,강원특별자치도 삼척시,,2025-12-15
제이에스파워1호 태양광발전소,,강원특별자치도 삼척시 도계읍 전두리 168-1,,,,정상가동,94.58,380,60,2022,,2022-07-28,강원특별자치도 삼척시,,2025-12-15
