태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
유목동 태양광발전소,,강원특별자치도 양구군 국토정중앙면 가오작리 129-1,38.1312127882,128.0548528012,옥외,정상가동,51,380,60,2022,발전사업용,2021-11-26,강원특별자치도 양구군청,192,2025-11-03
보화쏠라 태양광발전소,,강원특별자치도 양구군 국토정중앙면 가오작리 144-11,38.1291683629,128.0495837456,기타,정상가동,99,380,60,2016,발전사업용,2016-09-21,강원특별자치도 양구군청,,2025-11-03
가오작 태양광발전소,,강원특별자치도 양구군 국토정중앙면 가오작리 161,38.1314538101,128.0522867747,옥외,정상가동,60,380,60,2021,발전사업용,2020-10-29,강원특별자치도 양구군청,512,2025-11-03
광치령신재생에너지 태양광발전소,,강원특별자치도 양구군 국토정중앙면 가오작리 218,38.143253311,128.0508147168,기타,정상가동,298,380,60,2018,발전사업용,2017-05-30,강원특별자치도 양구군청,5322,2025-11-03
광명 태양광발전소,,강원특별자치도 양구군 국토정중앙면 가오작리 56,38.1351502041,128.0620699957,기타,정상가동,198,380,60,2019,발전사업용,2017-12-29,강원특별자치도 양구군청,3000,2025-11-03
정다운9호 태양광발전소,,강원특별자치도 양구군 국토정중앙면 구암리 121,38.068141213,128.0130320986,기타,정상가동,100,380,60,2020,발전사업용,2020-06-09,강원특별자치도 양구군청,1728,2025-11-03
수진이3호태양광발전소,,강원특별자치도 양구군 국토정중앙면 구암리 121-1,38.0684158585,128.012939705,기타,정상가동,100,380,60,2020,발전사업용,2020-06-09,강원특별자치도 양구군청,1097,2025-11-03
양구구암태양광발전소,,강원특별자치도 양구군 국토정중앙면 구암리 123,38.0687091653,128.0133935128,기타,정상가동,100,380,60,2020,발전사업용,2020-06-09,강원특별자치도 양구군청,1616,2025-11-03
태연태양광발전소,,강원특별자치도 양구군 국토정중앙면 구암리 123-1,38.068566166,128.0133728297,기타,정상가동,100,380,60,2020,발전사업용,2020-06-09,강원특별자치도 양구군청,1030,2025-11-03
대영1호 태양광발전소,강원특별자치도 양구군 국토정중앙면 정중앙로 40,강원특별자치도 양구군 국토정중앙면 구암리 556-18,38.0825481393,128.0017418901,옥외,정상가동,99,380,60,2021,발전사업용,2021-12-08,강원특별자치도 양구군청,500,2025-11-03
대영2호 태양광발전소,강원특별자치도 양구군 국토정중앙면 정중앙로 40,강원특별자치도 양구군 국토정중앙면 구암리 556-18,38.0825481393,128.0017418901,옥외,정상가동,99,380,60,2021,발전사업용,2021-12-08,강원특별자치도 양구군청,500,2025-11-03
대영3호 태양광발전소,강원특별자치도 양구군 국토정중앙면 정중앙로 40,강원특별자치도 양구군 국토정중앙면 구암리 556-18,38.0825481393,128.0017418901,옥외,정상가동,99,380,60,2022,발전사업용,2022-09-02,강원특별자치도 양구군청,500,2025-11-03
대영4호 태양광발전소,,강원특별자치도 양구군 국토정중앙면 구암리 565,38.084671435,128.0011831599,옥외,정상가동,74,380,60,2022,발전사업용,2022-09-02,강원특별자치도 양구군청,400,2025-11-03
구암리마을회 태양광발전소,,강원특별자치도 양구군 국토정중앙면 구암리 69-1,38.0595911716,128.0158667069,기타,정상가동,99,380,60,2017,발전사업용,2016-07-04,강원특별자치도 양구군청,,2025-11-03
구암리3호 태양광발전소,,강원특별자치도 양구군 국토정중앙면 구암리 78-31,38.0580497308,128.0143240048,옥외,정상가동,99,380,60,2021,발전사업용,2021-03-27,강원특별자치도 양구군청,396,2025-11-03
구암1 태양광발전소,,강원특별자치도 양구군 국토정중앙면 구암리 78-38,38.0573054389,128.01433777,기타,정상가동,198,380,60,2018,발전사업용,2017-12-19,강원특별자치도 양구군청,3000,2025-11-03
구암2 태양광발전소,,강원특별자치도 양구군 국토정중앙면 구암리 78-38,38.0573054389,128.01433777,기타,정상가동,198,380,60,2018,발전사업용,2017-12-19,강원특별자치도 양구군청,3000,2025-11-03
석장골솔라 6호,,강원특별자치도 양구군 국토정중앙면 구암리 845,38.0849210402,128.0055979351,옥외,정상가동,99,380,60,2020,발전사업용,2019-12-06,강원특별자치도 양구군청,471,2025-11-03
석장골솔라 7호,,강원특별자치도 양구군 국토정중앙면 구암리 845,38.0849210402,128.0055979351,옥외,정상가동,99,380,60,2020,발전사업용,2019-12-06,강원특별자치도 양구군청,471,2025-11-03
현대전기 4호,,강원특별자치도 양구군 국토정중앙면 구암리 868,38.08439148,128.0081913853,옥외,정상가동,100,380,60,2020,발전사업용,2020-12-17,강원특별자치도 양구군청,372,2025-11-03
제이제이 솔라,,강원특별자치도 양구군 국토정중앙면 구암리 868-1,38.0845779282,128.0082667057,옥외,정상가동,100,380,60,2020,발전사업용,2020-12-17,강원특별자치도 양구군청,372,2025-11-03
명화 1호 태양광발전소,,강원특별자치도 양구군 국토정중앙면 구암리 868-2,38.0846664783,128.0077071749,옥외,정상가동,100,380,60,2020,발전사업용,2020-12-17,강원특별자치도 양구군청,372,2025-11-03
명현 솔라 1호,,강원특별자치도 양구군 국토정중앙면 구암리 868-4,38.0844797813,128.0076305928,옥외,정상가동,100,380,60,2020,발전사업용,2020-12-17,강원특별자치도 양구군청,372,2025-11-03
구암 태양광발전소,,강원특별자치도 양구군 국토정중앙면 구암리 928,38.0714805711,128.0051004626,기타,정상가동,292,380,60,2023,발전사업용,2023-04-24,강원특별자치도 양구군청,1251,2025-11-03
도촌리제1호 태양광발전소,,강원특별자치도 양구군 국토정중앙면 도촌리 145-1,38.0781222252,128.0246932271,기타,정상가동,99,380,60,2018,발전사업용,2017-11-10,강원특별자치도 양구군청,578,2025-11-03
도촌리제2호 태양광발전소,,강원특별자치도 양구군 국토정중앙면 도촌리 145-3,38.0779329941,128.0248009971,기타,정상가동,99,380,60,2018,발전사업용,2017-11-10,강원특별자치도 양구군청,578,2025-11-03
도촌리마을회2 태양광발전소,강원특별자치도 양구군 국토정중앙면 봉화산로 435-13,강원특별자치도 양구군 국토정중앙면 도촌리 180-1,38.073666565,128.0227020923,옥외,정상가동,30,380,60,2017,발전사업용,2016-07-25,강원특별자치도 양구군청,775,2025-11-03
되레지 한우목장 태양광발전소,,강원특별자치도 양구군 국토정중앙면 도촌리 200-5,38.0762395665,128.0238085208,옥외,정상가동,99,380,60,2016,발전사업용,2015-09-25,강원특별자치도 양구군청,,2025-11-03
도촌리제3호 태양광발전소,,강원특별자치도 양구군 국토정중앙면 도촌리 212-4,38.0777537511,128.0248680764,기타,정상가동,99,380,60,2018,발전사업용,2017-11-10,강원특별자치도 양구군청,578,2025-11-03
도촌리제4호 태양광발전소,,강원특별자치도 양구군 국토정중앙면 도촌리 212-7,38.0775708249,128.0243589568,기타,정상가동,99,380,60,2018,발전사업용,2017-11-10,강원특별자치도 양구군청,578,2025-11-03
도촌리제5호 태양광발전소,,강원특별자치도 양구군 국토정중앙면 도촌리 212-8,38.07734378,128.0243542958,기타,정상가동,99,380,60,2018,발전사업용,2017-11-10,강원특별자치도 양구군청,578,2025-11-03
트윈 태양광발전소,,강원특별자치도 양구군 국토정중앙면 도촌리 215,38.0759146668,128.0249301554,기타,정상가동,99,380,60,2018,발전사업용,2018-01-23,강원특별자치도 양구군청,1500,2025-11-03
한경 태양광발전소,,강원특별자치도 양구군 국토정중앙면 도촌리 215-1,38.0755648034,128.0251762857,기타,정상가동,99,380,60,2018,발전사업용,2018-01-23,강원특별자치도 양구군청,1500,2025-11-03
정호 태양광발전소,,강원특별자치도 양구군 국토정중앙면 도촌리 324-2,38.0680363406,128.0219296966,기타,정상가동,198,380,60,2018,발전사업용,2017-11-08,강원특별자치도 양구군청,3000,2025-11-03
정병삼 태양광발전소,강원특별자치도 양구군 국토정중앙면 봉화산로352번길 23-6,강원특별자치도 양구군 국토정중앙면 도촌리 335,38.0636450183,128.0211052343,기타,정상가동,99,380,60,2018,발전사업용,2017-06-09,강원특별자치도 양구군청,913,2025-11-03
정병삼2 태양광발전소,강원특별자치도 양구군 국토정중앙면 봉화산로352번길 23-6,강원특별자치도 양구군 국토정중앙면 도촌리 335,38.0636450183,128.0211052343,기타,정상가동,97,380,60,2019,발전사업용,2017-11-08,강원특별자치도 양구군청,1500,2025-11-03
최옥남 태양광발전소,,강원특별자치도 양구군 국토정중앙면 도촌리 360-1,38.0655475104,128.0229359794,기타,정상가동,198,380,60,2018,발전사업용,2017-09-01,강원특별자치도 양구군청,3000,2025-11-03
이상열 태양광발전소,,강원특별자치도 양구군 국토정중앙면 도촌리 360-1,38.0655475104,128.0229359794,기타,정상가동,198,380,60,2018,발전사업용,2017-09-01,강원특별자치도 양구군청,3000,2025-11-03
국토정중앙면도촌1호 태양광발전소,,강원특별자치도 양구군 국토정중앙면 도촌리 365,38.0634993465,128.0230300522,기타,정상가동,99,380,60,2018,발전사업용,2017-05-30,강원특별자치도 양구군청,598,2025-11-03
국토정중앙면도촌2호 태양광발전소,,강원특별자치도 양구군 국토정중앙면 도촌리 365-2,38.0630966377,128.0233966229,기타,정상가동,99,380,60,2018,발전사업용,2017-05-30,강원특별자치도 양구군청,598,2025-11-03
국토정중앙면도촌3호 태양광발전소,,강원특별자치도 양구군 국토정중앙면 도촌리 365-3,38.0627407978,128.0238148524,기타,정상가동,99,380,60,2018,발전사업용,2017-05-30,강원특별자치도 양구군청,598,2025-11-03
국토정중앙면도촌4호 태양광발전소,,강원특별자치도 양구군 국토정중앙면 도촌리 365-5,38.0624392758,128.0239000907,기타,정상가동,99,380,60,2019,발전사업용,2017-05-30,강원특별자치도 양구군청,598,2025-11-03
국토정중앙면도촌5호 태양광발전소,,강원특별자치도 양구군 국토정중앙면 도촌리 365-6,38.0620430437,128.0242308929,기타,정상가동,99,380,60,2019,발전사업용,2017-05-30,강원특별자치도 양구군청,598,2025-11-03
국토정중앙면도촌6호 태양광발전소,,강원특별자치도 양구군 국토정중앙면 도촌리 365-7,38.0615639643,128.0244858303,기타,정상가동,99,380,60,2019,발전사업용,2018-12-04,강원특별자치도 양구군청,1335,2025-11-03
국토정중앙면도촌7호 태양광발전소,,강원특별자치도 양구군 국토정중앙면 도촌리 365-8,38.0611903555,128.0245796052,기타,정상가동,99,380,60,2019,발전사업용,2018-12-04,강원특별자치도 양구군청,1605,2025-11-03
국토정중앙면도촌8호 태양광발전소,,강원특별자치도 양구군 국토정중앙면 도촌리 365-9,38.0608959154,128.0247314995,기타,정상가동,99,380,60,2019,발전사업용,2018-12-04,강원특별자치도 양구군청,1623,2025-11-03
되레지한우목장2 태양광발전소,,강원특별자치도 양구군 국토정중앙면 도촌리 400,38.0587677254,128.0220698903,기타,정상가동,99,380,60,2017,발전사업용,2016-07-25,강원특별자치도 양구군청,,2025-11-03
되레지한우목장3 태양광발전소,,강원특별자치도 양구군 국토정중앙면 도촌리 400,38.0587677254,128.0220698903,기타,정상가동,99,380,60,2017,발전사업용,2016-07-25,강원특별자치도 양구군청,,2025-11-03
도촌 태양광발전소,강원특별자치도 양구군 국토정중앙면 봉화산로352번길 116,강원특별자치도 양구군 국토정중앙면 도촌리 410,38.0584205058,128.0248087015,옥외,정상가동,201,380,60,2020,발전사업용,2019-09-16,강원특별자치도 양구군청,1085,2025-11-03
도촌청일태양광발전소,,강원특별자치도 양구군 국토정중앙면 도촌리 437-1,38.0587271403,128.0194739219,옥외,정상가동,100,380,60,2022,발전사업용,2021-04-15,강원특별자치도 양구군청,1174,2025-11-03
도촌솔태양광발전소,,강원특별자치도 양구군 국토정중앙면 도촌리 437-3,38.0585839585,128.0194246247,옥외,정상가동,100,380,60,2022,발전사업용,2021-04-15,강원특별자치도 양구군청,1110,2025-11-03
금이태양광발전소,,강원특별자치도 양구군 국토정중앙면 도촌리 437-4,38.0584446582,128.0194459339,옥외,정상가동,100,380,60,2022,발전사업용,2021-04-15,강원특별자치도 양구군청,1069,2025-11-03
지니3호태양광발전소,,강원특별자치도 양구군 국토정중앙면 도촌리 437-5,38.0583755815,128.0194598532,옥외,정상가동,100,380,60,2022,발전사업용,2021-04-15,강원특별자치도 양구군청,1143,2025-11-03
안다12호태양광발전소,,강원특별자치도 양구군 국토정중앙면 도촌리 437-6,38.0582597747,128.0194861458,옥외,정상가동,100,380,60,2022,발전사업용,2021-04-15,강원특별자치도 양구군청,1363,2025-11-03
삼윤태양광발전소,,강원특별자치도 양구군 국토정중앙면 도촌리 437-7,38.0580850352,128.0197516473,옥외,정상가동,100,380,60,2022,발전사업용,2021-04-15,강원특별자치도 양구군청,1570,2025-11-03
보석태양광발전소,,강원특별자치도 양구군 국토정중앙면 도촌리 440,38.0589277247,128.0203991836,옥외,정상가동,100,380,60,2021,발전사업용,2021-04-15,강원특별자치도 양구군청,1199,2025-11-03
한산2호태양광발전소,,강원특별자치도 양구군 국토정중앙면 도촌리 440,38.0589277247,128.0203991836,옥외,정상가동,100,380,60,2021,발전사업용,2021-04-15,강원특별자치도 양구군청,1088,2025-11-03
양구도촌태양광발전소,,강원특별자치도 양구군 국토정중앙면 도촌리 440,38.0589277247,128.0203991836,옥외,정상가동,100,380,60,2021,발전사업용,2021-04-15,강원특별자치도 양구군청,1144,2025-11-03
소민태양광발전소,,강원특별자치도 양구군 국토정중앙면 도촌리 441,38.0591979002,128.0199932733,옥외,정상가동,100,380,60,2021,발전사업용,2021-04-15,강원특별자치도 양구군청,1887,2025-11-03
황금태양광발전소,,강원특별자치도 양구군 국토정중앙면 도촌리 441-1,38.0590530596,128.0200670897,옥외,정상가동,100,380,60,2021,발전사업용,2021-04-15,강원특별자치도 양구군청,1066,2025-11-03
SG썬팜 5호태양광발전소,,강원특별자치도 양구군 국토정중앙면 도촌리 64,38.0648217595,128.0264794822,기타,정상가동,200,380,60,2024,발전사업용,2023-08-25,강원특별자치도 양구군청,1912,2025-11-03
미소 태양광발전소,,강원특별자치도 양구군 국토정중앙면 도촌리 64-1,38.0645212178,128.0266562129,기타,정상가동,100,380,60,2024,발전사업용,2023-08-25,강원특별자치도 양구군청,930,2025-11-03
가성1호 태양광발전소,,강원특별자치도 양구군 국토정중앙면 도촌리 64-2,38.064299591,128.0269044735,기타,정상가동,100,380,60,2024,발전사업용,2023-08-25,강원특별자치도 양구군청,930,2025-11-03
엘솔라 태양광발전소,,강원특별자치도 양구군 국토정중앙면 도촌리 64-3,38.0639364239,128.0269285506,기타,정상가동,175,380,60,2024,발전사업용,2023-08-25,강원특별자치도 양구군청,1631,2025-11-03
다옴 태양광발전소,,강원특별자치도 양구군 국토정중앙면 두무리 302,38.0461069512,128.0770727986,기타,정상가동,198,380,60,2019,발전사업용,2017-09-18,강원특별자치도 양구군청,4500,2025-11-03
보성 태양광발전소,,강원특별자치도 양구군 국토정중앙면 두무리 302,38.0461069512,128.0770727986,기타,정상가동,99,380,60,2019,발전사업용,2017-09-18,강원특별자치도 양구군청,3000,2025-11-03
한빛 태양광발전소,,강원특별자치도 양구군 국토정중앙면 두무리 302,38.0461069512,128.0770727986,기타,정상가동,99,380,60,2019,발전사업용,2017-09-18,강원특별자치도 양구군청,3000,2025-11-03
해를담은 태양광발전소,,강원특별자치도 양구군 국토정중앙면 두무리 302,38.0461069512,128.0770727986,기타,정상가동,99,380,60,2019,발전사업용,2017-09-18,강원특별자치도 양구군청,3000,2025-11-03
보물 태양광발전소,,강원특별자치도 양구군 국토정중앙면 두무리 302,38.0461069512,128.0770727986,기타,정상가동,99,380,60,2019,발전사업용,2017-09-18,강원특별자치도 양구군청,1500,2025-11-03
텃골 태양광발전소,,강원특별자치도 양구군 국토정중앙면 두무리 305-6,38.0465048208,128.0791593041,기타,정상가동,296,380,60,2019,발전사업용,2017-10-11,강원특별자치도 양구군청,4500,2025-11-03
해바라기 태양광발전소,,강원특별자치도 양구군 국토정중앙면 두무리 305-6,38.0465048208,128.0791593041,기타,정상가동,296,380,60,2019,발전사업용,2017-10-11,강원특별자치도 양구군청,4500,2025-11-03
샛별1호 태양광발전소,,강원특별자치도 양구군 국토정중앙면 송우리 36,38.0976146573,128.0268165998,기타,정상가동,99,380,60,2017,발전사업용,2016-01-08,강원특별자치도 양구군청,,2025-11-03
샛별2호 태양광발전소,,강원특별자치도 양구군 국토정중앙면 송우리 36,38.0976146573,128.0268165998,기타,정상가동,99,380,60,2017,발전사업용,2016-01-08,강원특별자치도 양구군청,,2025-11-03
동양솔라1호,강원특별자치도 양구군 국토정중앙면 정중앙로 548,강원특별자치도 양구군 국토정중앙면 송우리 52-1,38.1033180419,128.0283660664,옥외,정상가동,100,380,60,2020,발전사업용,2020-06-04,강원특별자치도 양구군청,512,2025-11-03
동양솔라2호,강원특별자치도 양구군 국토정중앙면 정중앙로 548,강원특별자치도 양구군 국토정중앙면 송우리 52-1,38.1033180419,128.0283660664,옥외,정상가동,100,380,60,2020,발전사업용,2020-06-04,강원특별자치도 양구군청,512,2025-11-03
동양솔라3호,강원특별자치도 양구군 국토정중앙면 정중앙로 548,강원특별자치도 양구군 국토정중앙면 송우리 52-1,38.1033180419,128.0283660664,옥외,정상가동,100,380,60,2020,발전사업용,2020-06-04,강원특별자치도 양구군청,512,2025-11-03
동양솔라4호,강원특별자치도 양구군 국토정중앙면 정중앙로 548,강원특별자치도 양구군 국토정중앙면 송우리 52-1,38.1033180419,128.0283660664,옥외,정상가동,100,380,60,2020,발전사업용,2020-06-04,강원특별자치도 양구군청,512,2025-11-03
동양솔라5호,강원특별자치도 양구군 국토정중앙면 정중앙로 548,강원특별자치도 양구군 국토정중앙면 송우리 52-1,38.1033180419,128.0283660664,옥외,정상가동,100,380,60,2020,발전사업용,2020-06-04,강원특별자치도 양구군청,512,2025-11-03
정중앙 솔라,,강원특별자치도 양구군 국토정중앙면 송우리 77-2,38.1012947977,128.022006612,옥외,정상가동,100,380,60,2020,발전사업용,2020-12-14,강원특별자치도 양구군청,372,2025-11-03
진우솔라 1호,,강원특별자치도 양구군 국토정중앙면 송우리 77-2,38.1012947977,128.022006612,옥외,정상가동,100,380,60,2020,발전사업용,2020-12-14,강원특별자치도 양구군청,372,2025-11-03
진광 솔라,,강원특별자치도 양구군 국토정중앙면 송우리 77-2,38.1012947977,128.022006612,옥외,정상가동,100,380,60,2020,발전사업용,2020-12-14,강원특별자치도 양구군청,372,2025-11-03
영종1호 태양광발전소,강원특별자치도 양구군 국토정중앙면 지픈개길 67,강원특별자치도 양구군 국토정중앙면 심포리 192-1,38.0565721868,127.9866687698,옥외,정상가동,100,380,60,2020,발전사업용,2020-08-31,강원특별자치도 양구군청,768,2025-11-03
영종2호 태양광발전소,,강원특별자치도 양구군 국토정중앙면 심포리 243-2,38.060514165,127.9852436738,옥외,정상가동,55,380,60,2021,발전사업용,2021-03-29,강원특별자치도 양구군청,267,2025-11-03
신영7호 태양광발전소,강원특별자치도 양구군 국토정중앙면 소양석현길 118-8,강원특별자치도 양구군 국토정중앙면 심포리 333-28,38.0447396577,127.9850832587,옥외,정상가동,18,380,60,2022,발전사업용,2022-05-30,강원특별자치도 양구군청,100,2025-11-03
신영1호 태양광발전소,,강원특별자치도 양구군 국토정중앙면 심포리 333-6,38.0435688513,127.9847364954,옥외,정상가동,96,380,60,2021,발전사업용,2021-06-10,강원특별자치도 양구군청,564,2025-11-03
신영2호 태양광발전소,,강원특별자치도 양구군 국토정중앙면 심포리 333-6,38.0435688513,127.9847364954,옥외,정상가동,76,380,60,2021,발전사업용,2021-06-10,강원특별자치도 양구군청,384,2025-11-03
신영3호 태양광발전소,,강원특별자치도 양구군 국토정중앙면 심포리 333-6,38.0435688513,127.9847364954,옥외,정상가동,69,380,60,2021,발전사업용,2021-06-10,강원특별자치도 양구군청,384,2025-11-03
신영4호 태양광발전소,,강원특별자치도 양구군 국토정중앙면 심포리 333-6,38.0435688513,127.9847364954,옥외,정상가동,69,380,60,2021,발전사업용,2021-06-10,강원특별자치도 양구군청,384,2025-11-03
신영5호 태양광발전소,,강원특별자치도 양구군 국토정중앙면 심포리 333-6,38.0435688513,127.9847364954,옥외,정상가동,76,380,60,2021,발전사업용,2021-06-10,강원특별자치도 양구군청,384,2025-11-03
신영6호 태양광발전소,강원특별자치도 양구군 국토정중앙면 소양석현길 118-13,강원특별자치도 양구군 국토정중앙면 심포리 333-8,38.044431578,127.9856886954,옥외,정상가동,18,380,60,2022,발전사업용,2022-05-30,강원특별자치도 양구군청,67,2025-11-03
기문 태양광발전소,강원특별자치도 양구군 국토정중앙면 지픈개길27번길 29-7,강원특별자치도 양구군 국토정중앙면 심포리 356,38.0605480857,127.9865149024,옥외,정상가동,79,380,60,2020,발전사업용,2020-08-31,강원특별자치도 양구군청,399,2025-11-03
야촌리1호 태양광발전소,,강원특별자치도 양구군 국토정중앙면 야촌리 161,38.1195138294,128.060546582,기타,정상가동,99,380,60,2022,발전사업용,2022-09-20,강원특별자치도 양구군청,1097,2025-11-03
