태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
장두골 태양광발전소,강원특별자치도 양양군 현남면 황태골로 235,강원특별자치도 양양군 현남면 후포매리 274,,,,정상가동,99.71,380,60,2023,,,,,2024-11-26
성수 태양광발전소,강원특별자치도 양양군 현북면 송이로 73,"강원특별자치도 양양군 현북면 중광정리 396, 397(건물 위)",,,,정상가동,99.84,380,60,2023,,,,,2024-11-26
선진1호 태양광발전소,,강원특별자치도 양양군 손양면 밀양리 271-1,,,,정상가동,58.86,380,60,2023,,,,,2024-11-26
선진2호 태양광발전소,,강원특별자치도 양양군 손양면 밀양리 271-1,,,,정상가동,85.02,380,60,2023,,,,,2024-11-26
플로라펜션 태양광,강원특별자치도 양양군 현남면 매바위길 113,,,,,정상가동,49.59,380,60,2023,,,,,2024-11-26
속초양양축협기자재판매점 태양광발전,강원특별자치도 양양군 양양읍 남대천로 99-20,,,,,정상가동,142.68,380,60,2023,,,,,2024-11-26
김남정 태양광발전소,강원특별자치도 양양군 강현면 강선중앙길 139-40,강원특별자치도 양양군 강현면 강선리 921,,,,정상가동,99.84,380,60,2023,,,,,2024-11-26
해오름4호 태양광발전소,,강원특별자치도 양양군 손양면 삽존리 239-1 외 1필지,,,,정상가동,99.24,380,60,2023,,,,,2024-11-26
견불1호 태양광발전소,,강원특별자치도 양양군 현남면 견불리 48-4번지 외8필지,,,,정상가동,965.7,380,60,2023,,,,,2024-11-26
견불2호 태양광발전소,,강원특별자치도 양양군 현남면 견불리 2-4번지 외 2필지,,,,정상가동,290.4,380,60,2023,,,,,2024-11-26
JH 태양광발전소,,강원특별자치도 양양군 강현면 하복리 64-3,,,,정상가동,46.8,380,60,2023,,,,,2024-11-26
체리미미 태양광발전소,,강원특별자치도 양양군 강현면 강선리 844-94,,,,정상가동,19.8,380,60,2023,,,,,2024-11-26
남윤학 태양광발전소,강원특별자치도 양양군 강현면 주청2길 31,,,,,정상가동,19.09,380,60,2023,,,,,2024-11-26
청산2호 태양광발전소,,"강원특별자치도 양양군 양양읍 감곡리 3, 6",,,,정상가동,99.6,380,60,2021,,,,,2024-11-26
청산3호 태양광발전소,,"강원특별자치도 양양군 양양읍 감곡리 3, 6(건물위)",,,,정상가동,99.6,380,60,2021,,,,,2024-11-26
청산1호 태양광발전소,,"강원특별자치도 양양군 양양읍 감곡리 590, 590-2, 591, 591-1",,,,정상가동,99.6,380,60,2021,,,,,2024-11-26
미래태양광발전소2호,강원특별자치도 양양군 강현면 용호길 122-37,강원특별자치도 양양군 강현면 용호리 288,,,,정상가동,98.18,380,60,2020,,,,,2024-11-26
광진 태양광발전소,,강원특별자치도 양양군 현남면 광진리 92-2,,,,정상가동,18.48,380,60,2018,,,,,2024-11-26
해비치 태양광발전소,,"강원특별자치도 양양군 손양면 삽존리 235, 237번지",,,,정상가동,221.13,380,60,2019,,,,,2024-11-26
JCL 태양광발전소,,강원특별자치도 양양군 서면 서선리 188-5,,,,정상가동,587.52,380,60,2019,,,,,2024-11-26
현남 태양광발전소,,강원특별자치도 양양군 현남면 인구리 196-3,,,,정상가동,99,380,60,2019,,,,,2024-11-26
금성 태양광발전소4호,,강원특별자치도 양양군 현남면 인구리 171-1,,,,정상가동,99,380,60,2019,,,,,2024-11-26
죽도 태양광발전소,,강원특별자치도 양양군 현남면 인구리 196,,,,정상가동,99,380,60,2019,,,,,2024-11-26
태모 태양광발전소,,강원특별자치도 양양군 현남면 죽리 산36,,,,정상가동,199.8,380,60,2019,,,,,2024-11-26
누리 태양광발전소,,강원특별자치도 양양군 현남면 죽리 254,,,,정상가동,99.36,380,60,2019,,,,,2024-11-26
경도 태양광발전소,,강원특별자치도 양양군 현남면 죽리 254,,,,정상가동,99.36,380,60,2019,,,,,2024-11-26
가온100 태양광발전소,,강원특별자치도 양양군 현남면 죽리 254-6,,,,정상가동,99.36,380,60,2019,,,,,2024-11-26
적성 태양광발전소,,강원특별자치도 양양군 손양면 삽존리 268,,,,정상가동,97.92,380,60,2019,,,,,2024-11-26
(주)강원학교태양광,강원특별자치도 양양군 양양읍 동해대로 3020,,,,,정상가동,99.32,380,60,2016,,,,,2024-11-26
(주)강원학교태양광,강원특별자치도 양양군 양양읍 서문3길 12 (양양여중고 건물상부),,,,,정상가동,170.56,380,60,2018,,,,,2024-11-26
