태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
한반도 태양광발전소,,강원특별자치도 영월군 한반도면 신천리 446-1,,,,정상가동,35,380,60,2024,발전사업용,2024-04-16,강원특별자치도 영월군,,2024-12-20
개척 태양광발전소,,강원특별자치도 영월군 무릉도원면 무릉리 1499,,,,정상가동,183.6,380,60,2024,발전사업용,2024-03-14,강원특별자치도 영월군,,2024-12-20
신천리 태양광발전소,강원특별자치도 영월군 한반도면 서면장터로 306,,,,,정상가동,19.2,380,60,2024,발전사업용,2024-01-19,강원특별자치도 영월군,,2024-12-20
해빛 태양광발전소,,강원특별자치도 영월군 남면 연당리 1342,,,,정상가동,99.37,380,60,2023,발전사업용,2023-12-22,강원특별자치도 영월군,,2024-12-20
진선 태양광발전소,,강원특별자치도 영월군 남면 연당리 1342,,,,정상가동,99.37,380,60,2023,발전사업용,2023-12-22,강원특별자치도 영월군,,2024-12-20
금화3태양광발전소,강원특별자치도 영월군 한반도면 점동길 17-6,,,,,정상가동,29.76,380,60,2023,발전사업용,2023-12-19,강원특별자치도 영월군,,2024-12-20
한국5호 태양광발전소,강원특별자치도 영월군 영월읍 팔괴로 130-15,,,,,정상가동,99.6,380,60,2023,발전사업용,2023-09-05,강원특별자치도 영월군,,2024-12-20
한국4호 태양광발전소,강원특별자치도 영월군 영월읍 팔괴로 130-15,,,,,정상가동,99.6,380,60,2023,발전사업용,2023-09-05,강원특별자치도 영월군,,2024-12-20
한국3호 태양광발전소,강원특별자치도 영월군 영월읍 팔괴로 130-15,,,,,정상가동,99.6,380,60,2023,발전사업용,2023-09-05,강원특별자치도 영월군,,2024-12-20
한국2호 태양광발전소,강원특별자치도 영월군 영월읍 팔괴로 130-15,,,,,정상가동,99.6,380,60,2023,발전사업용,2023-09-05,강원특별자치도 영월군,,2024-12-20
양지 태양광발전소,강원특별자치도 영월군 무릉도원면 양지마을길 5,,,,,정상가동,29.5,380,60,2023,발전사업용,2023-06-27,강원특별자치도 영월군,,2024-12-20
한국1호 태양광발전소,"강원특별자치도 영월군 영월읍 팔괴로 130-15, 라동",,,,,정상가동,99.6,380,60,2023,발전사업용,2023-06-07,강원특별자치도 영월군,,2024-12-20
탐나 태양광발전소,,강원특별자치도 영월군 북면 덕상리 135-4,,,,정상가동,99.83,380,60,2023,발전사업용,2023-05-30,강원특별자치도 영월군,,2024-12-20
현아 태양광발전소,,강원특별자치도 영월군 북면 덕상리 135-4,,,,정상가동,99.83,380,60,2023,발전사업용,2023-05-30,강원특별자치도 영월군,,2024-12-20
조민3 태양광발전소,,"강원특별자치도 영월군 북면 덕상리 134-1 , 135-12",,,,정상가동,55.66,380,60,2023,발전사업용,2023-05-30,강원특별자치도 영월군,,2024-12-20
