태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
자유2호 태양광발전소,,강원특별자치도 정선군 화암면 화암리 산 265,37.36293529,128.7959226,옥외,정상가동,99.2,380,60,2016,발전사업용,2015-08-19,강원특별자치도 정선군,1686,2025-08-08
제이에이치솔라2호 태양광발전소,,강원특별자치도 정선군 화암면 화암리 산 265,37.36293529,128.7959226,옥외,정상가동,99.2,380,60,2016,발전사업용,2015-08-19,강원특별자치도 정선군,1758,2025-08-08
빈나에너지 태양광발전소,,강원특별자치도 정선군 화암면 화암리 산 265,37.36293529,128.7959226,옥외,정상가동,99.2,380,60,2016,발전사업용,2015-08-19,강원특별자치도 정선군,1893,2025-08-08
형제솔라11호 태양광발전소,,강원특별자치도 정선군 화암면 화암리 산 265,37.36293529,128.7959226,옥외,정상가동,99.2,380,60,2016,발전사업용,2015-08-19,강원특별자치도 정선군,2162,2025-08-08
형제솔라12호 태양광발전소,,강원특별자치도 정선군 화암면 화암리 산 265,37.36293529,128.7959226,옥외,정상가동,99.2,380,60,2016,발전사업용,2015-08-19,강원특별자치도 정선군,1666,2025-08-08
대통3호 태양광발전소,,강원특별자치도 정선군 화암면 화암리 산 265,37.36293529,128.7959226,옥외,정상가동,99.2,380,60,2016,발전사업용,2015-08-19,강원특별자치도 정선군,1876,2025-08-08
스카이태양광발전소,,강원특별자치도 정선군 화암면 화암리 산 265,37.36293529,128.7959226,옥외,정상가동,99.2,380,60,2016,발전사업용,2015-08-19,강원특별자치도 정선군,1776,2025-08-08
정선 정선정보공고(㈜강원학교태양광),강원특별자치도 정선군 정선읍 용담샛길 2,강원특별자치도 정선군 정선읍 북실리 765-1,37.38045612,128.6471346,옥상,정상가동,74.88,380,60,2016,발전사업용,2015-10-05,강원특별자치도 정선군,481,2025-08-08
정선 정선초(㈜강원학교태양광),강원특별자치도 정선군 정선읍 비봉로 15,강원특별자치도 정선군 정선읍 봉양리 299-2,37.38121807,128.659662,옥상,정상가동,71.76,380,60,2017,발전사업용,2015-10-05,강원특별자치도 정선군,461,2025-08-08
정선 고한중고(㈜강원학교태양광),강원특별자치도 정선군 고한읍 고한9길 160,강원특별자치도 정선군 고한읍 고한리 80,37.20615372,128.8529158,옥상,정상가동,91,380,60,2016,발전사업용,2015-10-05,강원특별자치도 정선군,585,2025-08-08
화암태양광발전소 제1호기,,강원특별자치도 정선군 화암면 건천리 372-11,37.31798884,128.8437633,옥외,정상가동,99.2,380,60,2017,발전사업용,2015-12-02,강원특별자치도 정선군,1806,2025-08-08
화암태양광발전소 제2호기,,강원특별자치도 정선군 화암면 건천리 372-14,37.31775817,128.8437627,옥외,정상가동,99.2,380,60,2017,발전사업용,2015-12-02,강원특별자치도 정선군,1806,2025-08-08
화암태양광발전소 제3호기,,강원특별자치도 정선군 화암면 건천리 372-17,37.31750839,128.8437607,옥외,정상가동,99.2,380,60,2017,발전사업용,2015-12-02,강원특별자치도 정선군,1806,2025-08-08
