태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
케이탑 제2호 태양광발전소,,"강원특별자치도 춘천시 사북면 지촌리 130, 산10-8",38.04961019,127.645692,,정상가동,98.6,380,60,2018,발전사업용,2017-09-12,강원특별자치도 춘천시,1019,2025-07-14
케이탑 제3호 태양광발전소,,"강원특별자치도 춘천시 사북면 지촌리 130, 산10-8",38.04961019,127.645692,,정상가동,98.6,380,60,2018,발전사업용,2017-09-12,강원특별자치도 춘천시,1026,2025-07-14
케이탑 제4호 태양광발전소,,"강원특별자치도 춘천시 사북면 지촌리 130, 산10-8",38.04961019,127.645692,,정상가동,98.6,380,60,2018,발전사업용,2017-09-12,강원특별자치도 춘천시,1165,2025-07-14
케이탑 제5호 태양광발전소,,강원특별자치도 춘천시 사북면 지촌리 130,38.04961019,127.645692,,정상가동,98.6,380,60,2018,발전사업용,2017-09-12,강원특별자치도 춘천시,1153,2025-07-14
호반 태양광발전소,,"강원특별자치도 춘천시 퇴계동 856, 856-2",37.84679648,127.7383789,,정상가동,646.8,380,60,2017,발전사업용,2017-09-15,강원특별자치도 춘천시,9160,2025-07-14
삼포 태양광발전소,,강원특별자치도 춘천시 신동면 증리 107-1,37.80006478,127.7123449,,정상가동,91.12,380,60,2019,발전사업용,2017-10-16,강원특별자치도 춘천시,1034,2025-07-14
광학 태양광발전소,,강원특별자치도 춘천시 북산면 추곡리 900-1,38.03408665,127.8664551,,정상가동,99,380,60,2018,발전사업용,2017-10-16,강원특별자치도 춘천시,1296,2025-07-14
정 태양광발전소,,강원특별자치도 춘천시 북산면 추곡리 산244-7,,,,정상가동,97.81,380,60,2019,발전사업용,2017-10-16,강원특별자치도 춘천시,1983,2025-07-14
로댐 태양광발전소,,강원특별자치도 춘천시 북산면 추곡리 산112-1,38.01505752,127.8779553,,정상가동,99,380,60,2018,발전사업용,2017-10-20,강원특별자치도 춘천시,1796,2025-07-14
산천 태양광발전소,,강원특별자치도 춘천시 신북읍 산천리 870,37.96663668,127.7368893,,정상가동,99.125,380,60,2018,발전사업용,2017-11-03,강원특별자치도 춘천시,1364,2025-07-14
영준 태양광발전소,,"강원특별자치도 춘천시 신북읍 지내리 93, 96",37.96713727,127.7321845,,정상가동,98.325,380,60,2018,발전사업용,2017-11-03,강원특별자치도 춘천시,2033,2025-07-14
주식회사 현진에너지,,강원특별자치도 춘천시 동면 만천리 330-34,,,,정상가동,250.56,380,60,2018,발전사업용,2017-11-03,강원특별자치도 춘천시,1465.27,2025-07-14
케이탑 제6호 태양광발전소,,강원특별자치도 춘천시 사북면 지촌리 29-15,38.05048787,127.6523438,,정상가동,20.4,380,60,2018,발전사업용,2017-11-03,강원특별자치도 춘천시,117,2025-07-14
