태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
티비에스 태양광발전소,강원특별자치도 태백시 서학로 1039 (황지동),강원특별자치도 태백시 황지동 421-71,37.15464021,128.9785684,옥상,정상가동,29.58,380,60,2021,태양광,2021-04-21,강원특별자치도 태백시,,2024-09-25
(주)함백,강원특별자치도 태백시 노루목길 3 (문곡동),"강원특별자치도 태백시 문곡동 18, 18-1, 20",37.13497238,129.001207,기타,정상가동,990.99,380,60,2022,태양광,2021-02-01,강원특별자치도 태백시,,2024-09-25
상수2호 태양광발전소,강원특별자치도 태백시 된각길 81 (적각동),강원특별자치도 태백시 적각동 132-2,37.22018065,128.9898931,기타,정상가동,42.4,220,60,2021,태양광,2020-11-11,강원특별자치도 태백시,,2024-09-25
태백오키태양광발전소,강원특별자치도 태백시 통골길 269 (통동),"강원특별자치도 태백시 통동 30, 31",37.16570773,129.0558924,기타,정상가동,99.6,220,60,2021,태양광,2020-09-24,강원특별자치도 태백시,,2024-09-25
태백우리태양광발전소,강원특별자치도 태백시 통골길 269 (통동),강원특별자치도 태백시 통동 30,37.16570773,129.0558924,기타,정상가동,99.6,220,60,2021,태양광,2020-09-24,강원특별자치도 태백시,,2024-09-25
태백케이에스태양광발전소,강원특별자치도 태백시 통골길 269 (통동),강원특별자치도 태백시 통동 30,37.16570773,129.0558924,기타,정상가동,99.6,220,60,2021,태양광,2020-09-24,강원특별자치도 태백시,,2024-09-25
태백하영태양광발전소,강원특별자치도 태백시 통골길 269(통동),강원특별자치도 태백시 통동 30-1,37.16570773,129.0558924,기타,정상가동,84,220,60,2022,태양광,2020-09-24,강원특별자치도 태백시,,2024-09-25
태백제이티태양광발전소,강원특별자치도 태백시 통골길 269 (통동),"강원특별자치도 태백시 통동 34, 35",37.16570773,129.0558924,기타,정상가동,99.6,220,60,2021,태양광,2020-09-24,강원특별자치도 태백시,,2024-09-25
태백써니태양광발전소,강원특별자치도 태백시 통골길 269 (통동),강원특별자치도 태백시 통동 34,37.16570773,129.0558924,기타,정상가동,99.6,220,60,2021,태양광,2020-09-24,강원특별자치도 태백시,,2024-09-25
태백에스에스태양광발전소,강원특별자치도 태백시 통골길 143 (통동),강원특별자치도 태백시 통동 34,37.16384433,129.0453421,기타,정상가동,99.6,220,60,2021,태양광,2020-09-24,강원특별자치도 태백시,,2024-09-25
주식회사 왕산대기발전소,강원특별자치도 태백시 적각길 307 (적각동),"강원특별자치도 태백시 적각동64-4, 64-5, 64-6",37.23138255,129.0004288,기타,정상가동,792,380,60,2021,태양광,2020-08-03,강원특별자치도 태백시,,2024-09-25
영수태양광발전소,강원특별자치도 태백시 적각길 277-24 (적각동),강원특별자치도 태백시 적각동 1(축사위),37.23255127,129.0069694,옥상,정상가동,99,380,60,2023,태양광,2020-07-17,강원특별자치도 태백시,,2024-09-25
은휘태양광발전소,강원특별자치도 태백시 적각길 277-24 (적각동),강원특별자치도 태백시 적각동 1(축사위),37.23255127,129.0069694,옥상,정상가동,99,380,60,2023,태양광,2020-07-17,강원특별자치도 태백시,,2024-09-25
주식회사 태백에너지산업,강원특별자치도 태백시 적각길 291 (적각동),"강원특별자치도 태백시 적각동 8-1, 8-2, 18, 19-1",37.23200166,129.0023145,기타,정상가동,996,380,60,2021,태양광,2020-06-08,강원특별자치도 태백시,,2024-09-25
주식회사 성일에너지2호,강원특별자치도 태백시 적각길 291 (적각동),"강원특별자치도 태백시 적각동 12,13,13-1,29-2",37.23200166,129.0023145,기타,정상가동,804,380,60,2021,태양광,2020-04-01,강원특별자치도 태백시,,2024-09-25
중앙 태양광발전소,강원특별자치도 태백시 적각길 261 (적각동),강원특별자치도 태백시 적각동 29-4,37.23353542,129.0012901,기타,정상가동,99.9,220,60,2020,태양광,2020-04-01,강원특별자치도 태백시,,2024-09-25
주식회사 광명태양광2호,강원특별자치도 태백시 적각길 277-7(적각동),"강원특별자치도  태백시 적각동 7,9,10,11,12-2,12-3,32,33",37.23364092,129.0029919,기타,정상가동,840.22,380,60,2022,태양광,2020-01-20,강원특별자치도 태백시,,2024-09-25
주식회사 광명태양광1호,강원특별자치도 태백시 적각길 307 (적각동),"강원특별자치도  태백시 적각동 65,65-2,62,64,64-3",37.23138255,129.0004288,기타,정상가동,768,380,60,2022,태양광,2020-01-20,강원특별자치도 태백시,,2024-09-25
주식회사 현대에너지1호,강원특별자치도 태백시 적각길 291(적각동),"강원특별자치도  태백시 적각동 20,21,22,23,25,22-1,23-1",37.23200166,129.0023145,기타,정상가동,995.88,380,60,2022,태양광,2020-01-20,강원특별자치도 태백시,,2024-09-25
주식회사 현대에너지2호,강원특별자치도 태백시 적각길 277-24 (적각동),"강원특별자치도  태백시 적각동 1,6",37.23255127,129.0069694,기타,정상가동,876,380,60,2022,태양광,2020-01-20,강원특별자치도 태백시,,2024-09-25
주식회사 삼성태양광2호,강원특별자치도 태백시 적각길 307(적각동),"강원특별자치도  태백시 적각동 56,60,6161-2,62-2",37.23138255,129.0004288,기타,정상가동,996.74,380,60,2021,태양광,2020-01-20,강원특별자치도 태백시,,2024-09-25
