태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
순이네 태양광발전소,,강원특별자치도 홍천군 영귀미면,,,,정상가동,19.11,220,60,2021,,,,,2024-09-20
삼화2호 태양광발전소,,강원특별자치도 홍천군 내촌면,,,,정상가동,95.68,380,60,2022,,,,,2024-09-20
삼화 태양광발전소,,강원특별자치도 홍천군 내촌면,,,,정상가동,95.68,380,60,2022,,,,,2024-09-20
무지개태양광발전소,,강원특별자치도 홍천군 내촌면,,,,정상가동,95.68,380,60,2022,,,,,2024-09-20
엠지 태양광발전소,,강원특별자치도 홍천군 영귀미면,,,,정상가동,98.56,380,60,2021,,,,,2024-09-20
금학 태양광발전소,,강원특별자치도 홍천군 북방면,,,,정상가동,99,380,60,2021,,,,,2024-09-20
용호 태양광발전소,,강원특별자치도 홍천군 서석면,,,,정상가동,98.8,380,60,2021,,,,,2024-09-20
패밀리7 태양광발전소,,강원특별자치도 홍천군 영귀미면,,,,정상가동,90,380,60,2021,,,,,2024-09-20
은혜 태양광발전소,,강원특별자치도 홍천군 화촌면,,,,정상가동,95.68,380,60,2021,,,,,2024-09-20
광영 태양광발전소,,강원특별자치도 홍천군 화촌면,,,,정상가동,65.48,380,60,2021,,,,,2024-09-20
형재2호 태양광발전소,,강원특별자치도 홍천군 화촌면,,,,정상가동,79.12,380,60,2021,,,,,2024-09-20
형재 태양광발전소,,강원특별자치도 홍천군 화촌면,,,,정상가동,79.12,380,60,2021,,,,,2024-09-20
이시재 태양광발전소,,강원특별자치도 홍천군 남면,,,,정상가동,99,380,60,2021,,,,,2024-09-20
희만 태양광발전소,,강원특별자치도 홍천군 남면,,,,정상가동,95.68,380,60,2021,,,,,2024-09-20
고양태양광발전소,,강원특별자치도 홍천군 서석면,,,,정상가동,99.19,380,60,2021,,,,,2024-09-20
양지2호 태양광발전소,,강원특별자치도 홍천군 남면,,,,정상가동,99.68,380,60,2022,,,,,2024-09-20
양지1호 태양광발전소,,강원특별자치도 홍천군 남면,,,,정상가동,99.68,380,60,2022,,,,,2024-09-20
준 태양광발전소,,강원특별자치도 홍천군 영귀미면,,,,정상가동,98.56,380,60,2021,,,,,2024-09-20
까치 태양광발전소,,강원특별자치도 홍천군 영귀미면,,,,정상가동,99.68,380,60,2021,,,,,2024-09-20
