태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
하남태양광발전소,,"강원특별자치도 화천군 하남면 위라리 144-3 ,142-1, 143",,,,정상가동,113.03,380,60,2025,태양광,2025-03-11,강원특별자치도 화천군청,,2025-03-26
만선 태양광발전소,강원특별자치도 화천군 화천읍 노신로 247-390,강원특별자치도 화천군 화천읍 신읍리 1494,,,,정상가동,177.8,380,60,2025,태양광,2025-02-07,강원특별자치도 화천군청,,2025-03-26
연리지 태양광발전소,강원특별자치도 화천군 간동면 너래안길 85-19,"강원특별자치도 화천군 간동면 오음리 832-1, 832-2",,,,정상가동,195.58,380,60,2025,태양광,2025-01-20,강원특별자치도 화천군청,,2025-03-26
운봉 태양광발전소,,강원특별자치도 화천군 화천읍 동촌리 361,,,,정상가동,99.71,380,60,2024,태양광,2024-12-24,강원특별자치도 화천군청,,2025-03-26
호선 태양광발전소,강원특별자치도 화천군 화천읍 운봉동길 70,강원특별자치도 화천군 화천읍 동촌리 135-1,,,,정상가동,61.95,380,60,2024,태양광,2024-12-24,강원특별자치도 화천군청,,2025-03-26
이레14 발전소,,강원특별자치도 화천군 사내면 용담리 569,,,,정상가동,32.34,380,60,2024,태양광,2024-10-31,강원특별자치도 화천군청,,2025-03-26
이레13 발전소,,강원특별자치도 화천군 사내면 용담리 569,,,,정상가동,32.34,380,60,2024,태양광,2024-10-31,강원특별자치도 화천군청,,2025-03-26
이레12 발전소,,강원특별자치도 화천군 사내면 용담리 569,,,,정상가동,32.34,380,60,2024,태양광,2024-10-31,강원특별자치도 화천군청,,2025-03-26
이레11 발전소,,강원특별자치도 화천군 사내면 용담리 569,,,,정상가동,32.34,380,60,2024,태양광,2024-10-31,강원특별자치도 화천군청,,2025-03-26
이레10 발전소,,강원특별자치도 화천군 사내면 용담리 569,,,,정상가동,32.34,380,60,2024,태양광,2024-10-31,강원특별자치도 화천군청,,2025-03-26
이레8 발전소,,강원특별자치도 화천군 사내면 용담리 569,,,,정상가동,32.34,380,60,2024,태양광,2024-10-31,강원특별자치도 화천군청,,2025-03-26
이레7 발전소,,강원특별자치도 화천군 사내면 용담리 569,,,,정상가동,32.34,380,60,2024,태양광,2024-10-31,강원특별자치도 화천군청,,2025-03-26
이레6 발전소,,강원특별자치도 화천군 사내면 용담리 569,,,,정상가동,32.34,380,60,2024,태양광,2024-10-31,강원특별자치도 화천군청,,2025-03-26
이레5 발전소,,강원특별자치도 화천군 사내면 용담리 569,,,,정상가동,32.34,380,60,2024,태양광,2024-10-31,강원특별자치도 화천군청,,2025-03-26
이레9 발전소,,강원특별자치도 화천군 사내면 용담리 569,,,,정상가동,32.34,380,60,2024,태양광,2024-10-31,강원특별자치도 화천군청,,2025-03-26
이레4 발전소,,강원특별자치도 화천군 사내면 용담리 570-1,,,,정상가동,32.34,380,60,2024,태양광,2024-10-31,강원특별자치도 화천군청,,2025-03-26
이레3 발전소,,강원특별자치도 화천군 사내면 용담리 570-1,,,,정상가동,32.34,380,60,2024,태양광,2024-10-31,강원특별자치도 화천군청,,2025-03-26
이레2 발전소,,강원특별자치도 화천군 사내면 용담리 570-1,,,,정상가동,32.34,380,60,2024,태양광,2024-10-31,강원특별자치도 화천군청,,2025-03-26
이레1 발전소,,"강원특별자치도 화천군 사내면 용담리 567 , 570-1",,,,정상가동,29.9,380,60,2024,태양광,2024-10-31,강원특별자치도 화천군청,,2025-03-26
남균3호 태양광발전소,,"강원특별자치도 화천군 간동면 오음리 757-1 , 757-2, 산89-1",,,,정상가동,82.28,380,60,2024,태양광,2024-10-28,강원특별자치도 화천군청,,2025-03-26
주식회사 태산발전소,,강원특별자치도 화천군 하남면 논미리 1095,,,,정상가동,975,22900,60,2024,태양광,2024-08-09,강원특별자치도 화천군청,,2025-03-26
태산에너지,,강원특별자치도 화천군 하남면 논미리 1095,,,,정상가동,975,22900,60,2024,태양광,2024-08-08,강원특별자치도 화천군청,,2025-03-26
주식회사 태산태양광,,강원특별자치도 화천군 하남면 논미리 1095,,,,정상가동,975,22900,60,2024,태양광,2024-08-08,강원특별자치도 화천군청,,2025-03-26
유경발전소,강원특별자치도 화천군 상서면 가둔지길 94-8,강원특별자치도 화천군 상서면 부촌리 243-1,,,,정상가동,95.04,380,60,2024,태양광,2024-08-08,강원특별자치도 화천군청,,2025-03-26
다원 2호 태양광발전소,,강원특별자치도 화천군 화천읍 신읍리 1098,,,,정상가동,99.83,380,60,2024,태양광,2024-04-01,강원특별자치도 화천군청,,2025-03-26
다원 1호 태양광발전소,,강원특별자치도 화천군 화천읍 신읍리 1098,,,,정상가동,99.83,380,60,2024,태양광,2024-04-01,강원특별자치도 화천군청,,2025-03-26
황소 2호 태양광발전소,,"강원특별자치도 화천군 상서면 구운리 1132 , 1132-6",,,,정상가동,86.4,380,60,2024,태양광,2024-02-22,강원특별자치도 화천군청,,2025-03-26
황소 1호 태양광발전소,강원특별자치도 화천군 상서면 만산동로 1431,강원특별자치도 화천군 상서면 구운리 1132,,,,정상가동,86.4,380,60,2024,태양광,2024-02-22,강원특별자치도 화천군청,,2025-03-26
기호 2호 태양광발전소,강원특별자치도 화천군 상서면 토고미길 180,강원특별자치도 화천군 상서면 신대리 870,,,,정상가동,91.8,380,60,2024,태양광,2024-02-15,강원특별자치도 화천군청,,2025-03-26
기호 1호 태양광발전소,,강원특별자치도 화천군 상서면 신대리 12,,,,정상가동,93.6,380,60,2024,태양광,2024-02-15,강원특별자치도 화천군청,,2025-03-26
용진 4호 태양광발전소,,강원특별자치도 화천군 상서면 마현리 65,,,,정상가동,99.6,380,60,2024,태양광,2024-01-10,강원특별자치도 화천군청,,2025-03-26
용진3호 태양광발전소,,강원특별자치도 화천군 상서면 마현리 65,,,,정상가동,99.6,380,60,2024,태양광,2024-01-15,강원특별자치도 화천군청,,2025-03-26
용진 2호 태양광발전소,,강원특별자치도 화천군 상서면 마현리 65,,,,정상가동,99.6,380,60,2024,태양광,2024-01-15,강원특별자치도 화천군청,,2025-03-26
용진1호 태양광발전소,,강원특별자치도 화천군 상서면 마현리 65,,,,정상가동,99.6,380,60,2024,태양광,2024-01-15,강원특별자치도 화천군청,,2025-03-26
정미 태양광발전소,,강원특별자치도 화천군 하남면 논미리 1227-1,,,,정상가동,29.75,380,60,2023,태양광,2023-12-11,강원특별자치도 화천군청,,2025-03-26
광기B 2호 태양광발전소,,강원특별자치도 화천군 상서면 파포리 864-9,,,,정상가동,81,380,60,2023,태양광,2023-11-27,강원특별자치도 화천군청,,2025-03-26
광기B 3호 태양광발전소,,강원특별자치도 화천군 상서면 파포리 864-9,,,,정상가동,99,380,60,2023,태양광,2023-11-27,강원특별자치도 화천군청,,2025-03-26
광기B 1호 태양광발전소,,강원특별자치도 화천군 상서면 파포리 864-9,,,,정상가동,81,380,60,2023,태양광,2023-11-27,강원특별자치도 화천군청,,2025-03-26
원A 태양광발전소,강원특별자치도 화천군 상서면 토고미길 151-9,강원특별자치도 화천군 상서면 신대리 977-1,,,,정상가동,99,380,60,2023,태양광,2023-11-23,강원특별자치도 화천군청,,2025-03-26
성균 3호 태양광발전소,강원특별자치도 화천군 상서면 가둔지길 129-136,강원특별자치도 화천군 상서면 부촌리 1424,,,,정상가동,88.2,380,60,2023,태양광,2023-11-24,강원특별자치도 화천군청,,2025-03-26
성균 2호 태양광발전소,강원특별자치도 화천군 상서면 가둔지길 129-136,강원특별자치도 화천군 상서면 부촌리 1425,,,,정상가동,88.2,380,60,2023,태양광,2023-11-24,강원특별자치도 화천군청,,2025-03-26
성균1호 태양광발전소,강원특별자치도 화천군 상서면 가둔지길 129-136,강원특별자치도 화천군 상서면 부촌리 1426,,,,정상가동,88.2,380,60,2023,태양광,2023-11-24,강원특별자치도 화천군청,,2025-03-26
광기A 3호 태양광발전소,강원특별자치도 화천군 상서면 다파로 1586-51,강원특별자치도 화천군 상서면 파포리 851-3,,,,정상가동,86.4,380,60,2023,태양광,2023-11-23,강원특별자치도 화천군청,,2025-03-26
광기A 2호 태양광발전소,강원특별자치도 화천군 상서면 다파로 1586-51,강원특별자치도 화천군 상서면 파포리 851-3,,,,정상가동,86.4,380,60,2023,태양광,2023-11-23,강원특별자치도 화천군청,,2025-03-26
그린태양광발전소,,강원특별자치도 화천군 화천읍 신읍리 243-3,,,,정상가동,99,380,60,2023,태양광,2023-11-22,강원특별자치도 화천군청,,2025-03-26
광기A 1호 태양광발전소,강원특별자치도 화천군 상서면 다파로 1586-51,강원특별자치도 화천군 상서면 파포리 851-3,,,,정상가동,86.4,380,60,2023,태양광,2023-11-23,강원특별자치도 화천군청,,2025-03-26
영부태양광발전소2호,,강원특별자치도 화천군 화천읍 신읍리 243-3,,,,정상가동,99,380,60,2023,태양광,2023-11-22,강원특별자치도 화천군청,,2025-03-26
원B 2호 태양광발전소,강원특별자치도 화천군 상서면 토고미길 141,강원특별자치도 화천군 상서면 신대리 318,,,,정상가동,98.4,380,60,2023,태양광,2023-11-15,강원특별자치도 화천군청,,2025-03-26
원B 1호 태양광발전소,강원특별자치도 화천군 상서면 토고미길 141,강원특별자치도 화천군 상서면 신대리 318,,,,정상가동,97.2,380,60,2023,태양광,2023-11-14,강원특별자치도 화천군청,,2025-03-26
둥지 태양광발전소,,강원특별자치도 화천군 상서면 부촌리 1488,,,,정상가동,99.96,380,60,2023,태양광,2023-09-26,강원특별자치도 화천군청,,2025-03-26
풍산1 태양광발전소,,강원특별자치도 화천군 화천읍 풍산리 619,,,,정상가동,99.96,380,60,2023,태양광,2023-09-11,강원특별자치도 화천군청,,2025-03-26
풍산2 태양광발전소,,"강원특별자치도 화천군 화천읍 풍산리 619 , 666",,,,정상가동,99.96,380,60,2023,태양광,2023-09-11,강원특별자치도 화천군청,,2025-03-26
멋둔3호 태양광발전소,,강원특별자치도 화천군 상서면 부촌리 1211-1,,,,정상가동,99.73,380,60,2023,태양광,2023-08-10,강원특별자치도 화천군청,,2025-03-26
멋둔1호 태양광발전소,,강원특별자치도 화천군 상서면 부촌리 1211-1,,,,정상가동,99.73,380,60,2023,태양광,2023-08-10,강원특별자치도 화천군청,,2025-03-26
멋둔2호 태양광발전소,,강원특별자치도 화천군 상서면 부촌리 1211-1,,,,정상가동,99.73,380,60,2023,태양광,2023-08-10,강원특별자치도 화천군청,,2025-03-26
멋둔4호 태양광발전소,,강원특별자치도 화천군 상서면 부촌리 1211-1,,,,정상가동,99.73,380,60,2023,태양광,2023-08-10,강원특별자치도 화천군청,,2025-03-26
세성2 태양광발전소,강원특별자치도 화천군 상서면 다파로 1207,강원특별자치도 화천군 상서면 봉오리 155,,,,정상가동,29.75,380,60,2023,태양광,2023-08-10,강원특별자치도 화천군청,,2025-03-26
하늘목장1호 태양광발전소,강원특별자치도 화천군 상서면 장촌리길 125-92,강원특별자치도 화천군 상서면 장촌리 850-2,,,,정상가동,99.19,380,60,2023,태양광,2023-07-18,강원특별자치도 화천군청,,2025-03-26
하늘목장2호 태양광발전소,강원특별자치도 화천군 상서면 장촌리길 125-92,강원특별자치도 화천군 상서면 장촌리 850-2,,,,정상가동,99.19,380,60,2023,태양광,2023-07-18,강원특별자치도 화천군청,,2025-03-26
하늘목장3호 태양광발전소,강원특별자치도 화천군 상서면 장촌리길 125-92,강원특별자치도 화천군 상서면 장촌리 850-2,,,,정상가동,99.19,380,60,2023,태양광,2023-07-18,강원특별자치도 화천군청,,2025-03-26
153태양광2호 태양광발전소,,강원특별자치도 화천군 상서면 다목리 102,,,,정상가동,19.8,380,60,2023,태양광,2023-06-28,강원특별자치도 화천군청,,2025-03-26
대근2 태양광발전소,강원특별자치도 화천군 상서면 부촌리길 167-10,강원특별자치도 화천군상서면 부촌리 90,,,,정상가동,96,380,60,2023,태양광,2023-06-22,강원특별자치도 화천군청,,2025-03-26
주식회사 현대태양광,,"강원특별자치도 화천군 화천읍 신읍리 239, 240",,,,정상가동,990.36,380,60,2023,태양광,2023-06-08,강원특별자치도 화천군청,,2025-03-26
고주목 태양광발전소,강원특별자치도 화천군 화천읍 산수화로 164-46,강원특별자치도 화천군 화천읍 중리 23,,,,정상가동,99.75,380,60,2023,태양광,2023-05-09,강원특별자치도 화천군청,,2025-03-26
파로호로4호 태양광발전소,강원특별자치도 화천군 간동면 용호길 109,강원특별자치도 화천군 간동면 용호리 1337,,,,정상가동,99.12,380,60,2023,태양광,2023-05-02,강원특별자치도 화천군청,,2025-03-26
파로호로2호 태양광발전소,강원특별자치도 화천군 간동면 용호길 125,강원특별자치도 화천군 간동면 용호리 1555-7,,,,정상가동,94.4,380,60,2023,태양광,2023-03-22,강원특별자치도 화천군청,,2025-03-26
샤인 태양광발전소,강원특별자치도 화천군 화천읍 평화로 301-33,강원특별자치도 화천군 화천읍 대이리 411-2,,,,정상가동,99,380,60,2023,태양광,2023-04-18,강원특별자치도 화천군청,,2025-03-26
성환 태양광발전소,,"강원특별자치도 화천군 화천읍 신읍리 232,235,236",,,,정상가동,98.28,380,60,2023,태양광,2023-04-05,강원특별자치도 화천군청,,2025-03-26
백세 태양광발전소,,"강원특별자치도 화천군 화천읍 신읍리 232,235,236",,,,정상가동,98.28,380,60,2023,태양광,2023-04-04,강원특별자치도 화천군청,,2025-03-26
그린 태양광발전소,강원특별자치도 화천군 하남면 계파로 6-15,강원특별자치도 화천군 하남면 원천리 909,,,,폐기,63.72,380,60,2023,태양광,2023-03-14,강원특별자치도 화천군청,,2025-03-26
기우 태양광발전소,,강원특별자치도 화천군 간동면 오음리 38-2,,,,정상가동,99,380,60,2023,태양광,2023-03-13,강원특별자치도 화천군청,,2025-03-26
예진 태양광발전소,,강원특별자치도 화천군 간동면 오음리 38-2,,,,정상가동,99.12,380,60,2023,태양광,2023-03-13,강원특별자치도 화천군청,,2025-03-26
미영 태양광발전소,,강원특별자치도 화천군 간동면 오음리 38-2,,,,정상가동,99.12,380,60,2023,태양광,2023-03-13,강원특별자치도 화천군청,,2025-03-26
한울 태양광발전소,강원특별자치도 화천군 화천읍 노신로 102-31,강원특별자치도 화천군 화천읍 신읍리 763-2,,,,정상가동,76.7,380,60,2023,태양광,2023-03-03,강원특별자치도 화천군청,,2025-03-26
김종희3호 태양광발전소,강원특별자치도 화천군 하남면 계파로 125-47,강원특별자치도 화천군 하남면 계성리 699,,,,정상가동,99.96,380,60,2023,태양광,2023-02-28,강원특별자치도 화천군청,,2025-03-26
김종희2호 태양광발전소,강원특별자치도 화천군 하남면 계파로 125-47,강원특별자치도 화천군 하남면 계성리 699,,,,정상가동,99.96,380,60,2023,태양광,2023-02-28,강원특별자치도 화천군청,,2025-03-26
김종희1호 태양광발전소,강원특별자치도 화천군 하남면 계파로 125-47,강원특별자치도 화천군 하남면 계성리 699,,,,정상가동,99.96,380,60,2023,태양광,2023-02-28,강원특별자치도 화천군청,,2025-03-26
부자3호 태양광발전소,강원특별자치도 화천군 간동면 먼내길 66-20,강원특별자치도 화천군 간동면 유촌리 60,,,,정상가동,69.12,380,60,2023,태양광,2023-02-01,강원특별자치도 화천군청,,2025-03-26
부자2호 태양광발전소,강원특별자치도 화천군 간동면 먼내길 66-20,강원특별자치도 화천군 간동면 유촌리 60,,,,정상가동,67.2,380,60,2023,태양광,2023-02-01,강원특별자치도 화천군청,,2025-03-26
부자1호 태양광발전소,강원특별자치도 화천군 간동면 먼내길 66-6,강원특별자치도 화천군 간동면 유촌리 60,,,,정상가동,99.5,380,60,2023,태양광,2023-02-01,강원특별자치도 화천군청,,2025-03-26
늘찬2호 태양광발전소,강원특별자치도 화천군 간동면 느릅길 66-8,강원특별자치도 화천군 간동면 유촌리 955,,,,정상가동,55.46,380,60,2023,태양광,2023-01-26,강원특별자치도 화천군청,,2025-03-26
늘찬1호 태양광발전소,강원특별자치도 화천군 간동면 느릅길 66-8,강원특별자치도 화천군 간동면 유촌리 955,,,,정상가동,99.12,380,60,2023,태양광,2023-01-26,강원특별자치도 화천군청,,2025-03-26
종숙2 태양광발전소,강원특별자치도 화천군 간동면 파로호로 962,강원특별자치도 화천군 간동면 유촌리 277-10,,,,정상가동,46.61,380,60,2023,태양광,2023-01-26,강원특별자치도 화천군청,,2025-03-26
대우농장5호 태양광발전소,강원특별자치도 화천군 사내면 솔대길 151,강원특별자치도 화천군 사내면 사창리 53,,,,정상가동,49.92,380,60,2022,태양광,2022-12-23,강원특별자치도 화천군청,,2025-03-26
대우농장4호 태양광발전소,강원특별자치도 화천군 사내면 솔대길 151,강원특별자치도 화천군 사내면 사창리 53,,,,정상가동,99.84,380,60,2022,태양광,2022-12-23,강원특별자치도 화천군청,,2025-03-26
대우농장3호 태양광발전소,강원특별자치도 화천군 사내면 솔대길 151,강원특별자치도 화천군 사내면 사창리 53,,,,정상가동,99.84,380,60,2022,태양광,2022-12-23,강원특별자치도 화천군청,,2025-03-26
대우농장2호 태양광발전소,강원특별자치도 화천군 사내면 솔대길 151,강원특별자치도 화천군 사내면 사창리 53,,,,정상가동,99.84,380,60,2022,태양광,2022-12-23,강원특별자치도 화천군청,,2025-03-26
대우농장1호 태양광발전소,강원특별자치도 화천군 사내면 솔대길 151,강원특별자치도 화천군 사내면 사창리 53,,,,정상가동,99.84,380,60,2023,태양광,2023-06-19,강원특별자치도 화천군청,,2025-03-26
모닝3호 태양광발전소,강원특별자치도 화천군 간동면 모현동로 198-9,강원특별자치도 화천군 간동면 유촌리 362-18,,,,정상가동,84.96,380,60,2022,태양광,2022-12-22,강원특별자치도 화천군청,,2025-03-26
모닝2호 태양광발전소,강원특별자치도 화천군 간동면 모현동로 198-9,강원특별자치도 화천군 간동면 유촌리 362-18,,,,정상가동,95.58,380,60,2022,태양광,2022-12-22,강원특별자치도 화천군청,,2025-03-26
모닝1호 태양광발전소,강원특별자치도 화천군 간동면 모현동로 198-10,강원특별자치도 화천군 간동면 유촌리 362-18,,,,정상가동,57.82,380,60,2022,태양광,2022-12-22,강원특별자치도 화천군청,,2025-03-26
