태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
중앙 태양광발전소,경기도 고양시 일산서구 덕산로 175,,37.6951047611375,126.722352116876,,정상가동,5.0,380,60,2006,발전사업용,,,,2025-12-11
일산종하 태양광발전소,"경기도 고양시 일산서구 멱절길 3,5",,,,,정상가동,63.36,380,60,2007,발전사업용,,,,2025-12-11
GS칼텍스장항주유소태양광발전소,경기도 고양시 일산동구 백마로 54,,37.6438555808385,126.761811239755,,정상가동,12.0,380,60,2008,발전사업용,,,,2025-12-11
김상봉 태양광 발전소,경기도 고양시 일산동구 성현로659번길 166,,37.6970367165357,126.847537654799,,정상가동,20.0,380,60,2012,발전사업용,,,,2025-12-11
설문1 태양광 발전소,경기도 고양시 일산동구 장진천길 168,,37.7220137267151,126.808645158523,,정상가동,99.0,380,60,2012,발전사업용,,,,2025-12-11
설문2 태양광 발전소,경기도 고양시 일산동구 장진천길 168,,37.7220137267151,126.808645158523,,정상가동,99.0,380,60,2012,발전사업용,,,,2025-12-11
민서 태양광발전소,경기도 고양시 덕양구 용두로47번길 110,,37.6255112101096,126.89058040234,,정상가동,34.68,380,60,2012,발전사업용,,,,2025-12-11
다현 태양광발전소,경기도 고양시 일산동구 장항로 12-1,,,,,정상가동,50.0,380,60,2013,발전사업용,,,,2025-12-11
성석 태양광발전소,경기도 고양시 일산동구 성석로 169-4,,37.69224375766,126.797049928318,,정상가동,99.75,380,60,2013,발전사업용,,,,2025-12-11
신화 태양광발전소,경기도 고양시 덕양구 독곶이길 195,,37.6564234562238,126.821614499198,,정상가동,19.0,380,60,2013,발전사업용,,,,2025-12-11
여여 태양광발전소,경기도 고양시 덕양구 고골길 49-5,,37.7119742497948,126.858161555145,,정상가동,31.2,380,60,2013,발전사업용,,,,2025-12-11
선샤인하우스 태양광발전소,경기도 고양시 일산동구 지영로181번길 49,,37.7153031972553,126.825359964059,,정상가동,45.32,380,60,2014,발전사업용,,,,2025-12-11
고양정수장태양광발전소,경기도 고양시 일산동구 대주로 326,,37.6471426190523,126.813684447906,,정상가동,267.84,380,60,2013,발전사업용,,,,2025-12-11
프라자골프연습장 태양광발전소,경기도 고양시 일산서구 덕산로 293,,37.696313822962,126.73461957627,,정상가동,49.5,380,60,2014,발전사업용,,,,2025-12-11
장진 태양광발전소,경기도 고양시 일산동구 장진천길 66-35,,37.713107957054,126.813293027837,,정상가동,99.0,380,60,2014,발전사업용,,,,2025-12-11
이재근 태양광발전소,경기도 고양시 덕양구 통일로414번길 91,,37.6713873241345,126.891602023441,,정상가동,30.0,380,60,2014,발전사업용,,,,2025-12-11
OCI 지축태양광발전소,,경기도 고양시 덕양구 지축동 717-4,37.6506649725239,126.905243186572,,정상가동,702.0,380,60,2014,발전사업용,,,,2025-12-11
현대태양광발전소,경기도 고양시 일산서구 송산로27번길 36,,37.6839024125361,126.684587059659,,정상가동,300.0,380,60,2014,발전사업용,,,,2025-12-11
푸른(원당1)태양광발전소,경기도 고양시 덕양구 원당로 412,,37.6852760726433,126.850404036004,,정상가동,27.0,380,60,2014,발전사업용,,,,2025-12-11
고양내유태양광발소,경기도 고양시 덕양구 유산길 22,,37.7261602339841,126.84547554898,,정상가동,32.5,380,60,2014,발전사업용,,,,2025-12-11
뉴싱글벙글태양광발전소,경기도 고양시 일산동구 노첨길24번길 13,,37.6333499515092,126.775747867415,,정상가동,66.78,380,60,2014,발전사업용,,,,2025-12-11
동녁태양광발전소,경기도 고양시 일산동구 노첨길24번길 13,,37.6333499515092,126.775747867415,,정상가동,66.78,380,60,2014,발전사업용,,,,2025-12-11
아름태양광발전소,경기도 고양시 일산동구 노첨길24번길 13,,37.6333499515092,126.775747867415,,정상가동,66.78,380,60,2014,발전사업용,,,,2025-12-11
