태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
갈매태양광발전소,경기도 구리시 담터길 17(갈매동),,37.6413083399815,127.114478873725,,정상가동,30.87,220380,60,2016,,,,,2023-11-24
피엠솔라 14호 태양광발전소,경기도 구리시 한다라길4번길 54(교문동),,,,,정상가동,269.37,380,60,2018,,,,,2023-11-24
해송태양광발전소,경기도 구리시 도촌길 152(갈매동),,37.6256492841711,127.119677385801,,정상가동,18.72,380,60,2018,,,,,2023-11-24
준성태양광발전소,경기도 구리시 동구릉로459번길 153(사노동),,37.6371156261771,127.131974568703,,정상가동,18.72,380,60,2018,,,,,2023-11-24
구리천부교회 태양광발전소,"경기도 구리시 아차산로405번길 21-3,구리천부교회(교문동)",,37.5910241818497,127.129660977626,,정상가동,19.2,380,60,2020,,,,,2023-11-24
강북배수지 1호 태양광발전소,"경기도 구리시 인창2로 77번길 34,강북배수지(인창동)",,,,,정상가동,99.645,380,60,2021,,,,,2023-11-24
강북배수지 2호 태양광발전소,"경기도 구리시 인창2로 77번길 34,강북배수지(인창동)",,,,,정상가동,99.76,380,60,2021,,,,,2023-11-24
갈매배수지 1호 태양광발전소,"경기도 구리시 산마루로158,갈매배수지(사노동)",,37.6292835214055,127.12963678675,,정상가동,99.645,380,60,2021,,,,,2023-11-24
갈매배수지 2호 태양광발전소,"경기도 구리시 산마루로158,갈매배수지(사노동)",,37.6292835214055,127.12963678675,,정상가동,99.645,380,60,2021,,,,,2023-11-24
윤준발전소,경기도 구리시 검배로59번길 10-20(수택동),,37.5965511395525,127.146446972651,,정상가동,29.76,380,60,2022,,,,,2023-11-24
