태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
하이원태양광발전소(군포),경기도 군포시 번영로 82 (부곡동),경기도 군포시 부곡동 1231,37.32959795,126.9348359,옥외,정상가동,983.84,22900,60,2011,발전사업용,2009-10-30,경기도,19335.0,2025-09-05
당정 태양광발전소,경기도 군포시 산본로101번길 9-3,경기도 군포시 당정동 352-7,37.35348749,126.9561081,옥외,정상가동,9.0,380,60,2012,발전사업용,2012-05-17,경기도,56.5,2025-09-05
크레텍책임태양공발전소㈜,경기도 군포시 공단로124번길 4,경기도 군포시 당정동 1117,37.35581513,126.9506434,옥외,정상가동,576.2,22900,60,2018,발전사업용,2017-11-15,경기도,3549.5,2025-09-05
우성현대태양광발전소,경기도 군포시 공단로 125,경기도 군포시 당동 44,37.35637319,126.9490751,옥외,정상가동,99.28,380,60,2018,발전사업용,2017-11-10,경기도 군포시,542.64,2025-09-05
군포시민햇빛발전소1호기,경기도 군포시 당산로 76,경기도 군포시 당동 729-16,37.3583048,126.9462007,옥외,정상가동,38.16,380,60,2018,발전사업용,2017-11-27,경기도 군포시,211.36,2025-09-05
속달태양광발전소,경기도 군포시 속달로 130,경기도 군포시 속달동 206-1,37.33582138,126.9062589,옥외,정상가동,70.2,380,60,2018,발전사업용,2018-04-17,경기도 군포시,324.0,2025-09-05
동화태양광발전소,경기도 군포시 한세로56번길 15,경기도 군포시 당정동 971-1,37.34709179,126.9553307,옥외,정상가동,10.88,380,60,2018,발전사업용,2018-04-17,경기도 군포시,60.71,2025-09-05
지구물산태양광발전소,경기도 군포시 군포첨단산업2로 70,경기도 군포시 부곡동 1243-2,37.32761016,126.9448999,옥외,정상가동,99.36,380,60,2018,발전사업용,2018-05-21,경기도 군포시,572.0,2025-09-05
파인텍태양광발전소,경기도 군포시 공단로160번길 18(당정동),경기도 군포시 당정동 1070,37.35873659,126.9503612,옥외,정상가동,93.15,380,60,2019,발전사업용,2019-03-15,경기도 군포시,576.059,2025-09-05
한독기술태양광발전소,경기도 군포시 군포첨단산업1로 4 (부곡동),경기도 군포시 부곡동 1233-3,37.32641222,126.9387981,옥외,정상가동,259.74,380,60,2019,발전사업용,2019-04-15,경기도 군포시,3010.0,2025-09-05
팩컴에이에이피㈜태양광발전소,경기도 군포시 농심로59번길 1(당정동),경기도 군포시 당정동 225-3,37.36316626,126.9551985,옥상,정상가동,99.6,380,60,2020,발전사업용,2019-10-02,경기도 군포시,530.0,2025-09-05
군포시민햇빛발전소2호기,경기도 군포시 수리산로 112,경기도 군포시 산본동 1151-10,37.35921675,126.9194206,주차장,정상가동,99.9,380,60,2020,발전사업용,2019-12-18,경기도 군포시,515.5,2025-09-05
㈜푸름케이디 태양광발전소,"경기도 군포시 공단로 148, 150(당정동)",경기도 군포시 당정동 1066-2,37.35821167,126.94997,옥외,정상가동,131.25,380,60,2020,발전사업용,2020-08-26,경기도 군포시,712.0,2025-09-05
지영태양광발전소,경기도 군포시 용호1로2번길31(당동),경기도 군포시 당동 966-7,37.3455444,126.9404872,옥외,정상가동,19.8,380,60,2021,발전사업용,2021-01-04,경기도 군포시,95.03,2025-09-05
박용배태양광발전소,경기도 군포시 한세로4번길 20(당정동),경기도 군포시 당정동 1008-9,37.3443722,126.9503389,옥외,정상가동,12.0,380,60,2021,발전사업용,2021-01-14,경기도 군포시,63.0,2025-09-05
드림이삭태양광발전소,경기도 군포시 군포첨단산업1로 15(부곡동),경기도 군포시 부곡동 1234-4,37.32549331,126.9378633,옥외,정상가동,96.0,380,60,2021,발전사업용,2021-09-01,경기도 군포시,670.0,2025-09-05
밴디스태양광발전소,경기도 군포시 엘에스로91번길 76(금정동),경기도 군포시 금정동 692-9,37.36838704,126.9476391,옥외,정상가동,40.12,380,60,2022,발전사업용,2022-08-01,경기도 군포시,131.28,2025-09-05
예린 태양광발전소,경기도 군포시 엘에스로166번길 10-16(금정동),경기도 군포시 금정동 1-61,37.3749212,126.945876,옥외,정상가동,70.805,380,60,2023,발전사업용,2023-11-30,경기도 군포시,328.99,2025-09-05
경남자동차 태양광발전소,경기도 군포시 번영로200번길 4(부곡동),경기도 군포시 부곡동 1183,37.33352971,126.9268419,옥외,정상가동,52.03,380,60,2023,발전사업용,2023-12-26,경기도 군포시,240.1,2025-09-05
성우전자㈜군포 태양광발전소,경기도 군포시 공단로 356-16(산본동),경기도 군포시 산본동 1026-22,37.37554205,126.9425909,옥외,정상가동,93.17,380,60,2024,발전사업용,2024-03-27,경기도 군포시,429.85,2025-09-05
군포희망에너지㈜태양광발전소,,경기도 군포시 부곡동 247-2,37.33486305,126.9331362283,옥외,정상가동,925.83,22900,60,2024,발전사업용,2024-08-22,경기도 군포시,6930.0,2025-09-05
만도모터스 태양광발전소,경기도 군포시 산본로 113 (당정동),경기도 군포시 당정동 348,37.3530529152,126.954649,옥외,정상가동,30.48,380,60,2025,발전사업용,2024-10-08,경기도 군포시,135.0,2025-09-05
㈜이룸디엔티 태양광발전소,경기도 군포시 고산로126번길 25 (당정동),경기도 군포시 당정동 465,37.3516980593,126.9558968549,옥외,정상가동,30.24,380,60,2025,발전사업용,2024-10-08,경기도 군포시,135.0,2025-09-05
㈜지원테크1호 태양광발전소,경기도 군포시 군포첨단산업1로 11(부곡동),경기도 군포시 부곡동 1234-5,37.3254736785,126.938296,옥외,정상가동,89.54,380,60,2025,발전사업용,2025-03-06,경기도 군포시,397.36,2025-09-05
㈜지원테크2호 태양광발전소,경기도 군포시 군포첨단산업1로 11(부곡동),경기도 군포시 부곡동 1234-5,37.3254736785,126.938296,옥외,정상가동,88.27,380,60,2025,발전사업용,2025-03-06,경기도 군포시,390.26,2025-09-05
스탠다드1호 태양광발전소,경기도 군포시 군포첨단산업2로 120 (부곡동),경기도 군포시 부곡동 1242,37.327865,126.9387765134,옥외,정상가동,87.68,380,60,2025,발전사업용,2025-04-25,경기도 군포시,391.3,2025-09-05
스탠다드2호 태양광발전소,경기도 군포시 군포첨단산업2로 120 (부곡동),경기도 군포시 부곡동 1242,37.327865,126.9387765134,옥외,정상가동,88.9,380,60,2025,발전사업용,2025-04-25,경기도 군포시,391.3,2025-09-05
스탠다드3호 태양광발전소,경기도 군포시 군포첨단산업2로 120 (부곡동),경기도 군포시 부곡동 1242,37.327865,126.9387765134,옥외,정상가동,39.37,380,60,2025,발전사업용,2025-04-25,경기도 군포시,173.29,2025-09-05
한국웰딩테크 태양광발전소,경기도 군포시 공단로 248 (금정동),경기도 군포시 금정동 695-2,37.3665580167,126.9469735381,옥외,정상가동,46.08,380,60,2025,발전사업용,2025-05-29,경기도 군포시,197.92,2025-09-05
MS몰드에칭 태양광발전소,경기도 군포시 공단로 39-1(당동),경기도 군포시 당동 168-4,37.3491958635,126.9490711214,옥외,정상가동,51.2,380,60,2025,발전사업용,2025-07-14,경기도 군포시,276.74,2025-09-05
