태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
다원2호 태양광발전소,경기도 김포시 통진읍 김포대로2385번길 67-167,경기도 김포시 통진읍 옹정리 58-43,,,,정상가동,58.59,380,60,2022,,2024-12-23,,,2026-01-02
다원1호 태양광발전소,경기도 김포시 통진읍 김포대로2385번길 67-167,경기도 김포시 통진읍 옹정리 58-43,,,,정상가동,57.96,380,60,2022,,2024-12-23,,,2026-01-02
올해세드,경기도 김포시 통진읍 월하로652번길 124,경기도 김포시 통진읍 동을산리 89-3,,,,정상가동,50.4,380,60,2022,,2024-12-23,,,2026-01-02
세븐워터 2호 태양광발전소,경기도 김포시 대곶면 율생중앙로206번길 91,경기도 김포시 대곶면 송마리 3-38,,,,정상가동,58.59,380,60,2022,,2024-12-23,,,2026-01-02
세븐워터 1호 태양광발전소,경기도 김포시 대곶면 율생중앙로206번길 91,경기도 김포시 대곶면 송마리 3-38,,,,정상가동,58.59,380,60,2022,,2024-12-23,,,2026-01-02
에스엠디3호 발전소,경기도 김포시 양촌읍 황금산단2로 50,경기도 김포시 양촌읍 학운리 4116,,,,정상가동,59.06,380,60,2022,,2024-12-20,,,2026-01-02
에스엠디2호 발전소,경기도 김포시 양촌읍 황금산단2로 50,경기도 김포시 양촌읍 학운리 4116,,,,정상가동,89.54,380,60,2022,,2024-12-20,,,2026-01-02
에스엠디1호 발전소,경기도 김포시 양촌읍 황금산단2로 50,경기도 김포시 양촌읍 학운리 4116,,,,정상가동,89.54,380,60,2022,,2024-12-20,,,2026-01-02
성산기업 태양광발전소,경기도 김포시 통진읍 김포대로2385번길 101-1,경기도 김포시 통진읍 옹정리 59-2,,,,정상가동,91.98,380,60,2022,,2024-12-19,,,2026-01-02
비젼2호 태양광발전소,경기도 김포시 하성면 귀전로 190-2,경기도 김포시 하성면 원산리 80-4,,,,정상가동,53.25,380,60,2022,,2024-12-19,,,2026-01-02
비젼1호 태양광발전소,경기도 김포시 하성면 귀전로 188-1,경기도 김포시 하성면 원산리 80-8,,,,정상가동,99.4,380,60,2022,,2024-12-19,,,2026-01-02
율림금속 율림3호 태양광발전소,경기도 김포시 대곶면 대명항로403번길 109,경기도 김포시 대곶면 율생리 853,,,,정상가동,99.7,380,60,2022,,2024-12-19,,,2026-01-02
율림금속 율림2호 태양광발전소,경기도 김포시 대곶면 대명항로403번길 109,경기도 김포시 대곶면 율생리 853,,,,정상가동,99.7,380,60,2022,,2024-12-19,,,2026-01-02
율림금속 율림1호 태양광발전소,경기도 김포시 대곶면 대명항로403번길 109,경기도 김포시 대곶면 율생리 853,,,,정상가동,99.06,380,60,2022,,2024-12-19,,,2026-01-02
YB테크2호 태양광발전소,경기도 김포시 통진읍 월하로 586-110,경기도 김포시 통진읍 귀전리 704,,,,정상가동,50.4,380,60,2022,,2024-12-16,,,2026-01-02
제이엠워시존발전소,경기도 김포시 풍무로 131번길 9,경기도 김포시 풍무동 82-1,,,,정상가동,32.13,380,60,2022,,2024-12-13,,,2026-01-02
아이하비 태양광발전소,경기도 김포시 통진읍 동을산로 128,경기도 김포시 통진읍 동을산리 378,,,,정상가동,43.47,380,60,2022,,2024-12-13,,,2026-01-02
삼호 태양광발전소,경기도 김포시 양촌읍 삼도공단로63번길 47,경기도 김포시 양촌읍 학운리 448-219,,,,정상가동,195.58,380,60,2022,,2024-12-13,,,2026-01-02
재윤전기 태양광발전소,,경기도 김포시 월곶면 개곡리 111,,,,정상가동,249.56,380,60,2022,,2024-12-11,,,2026-01-02
버섯농장2호 발전소,경기도 김포시 통진읍 대서명로 73-1,경기도 김포시 통진읍 서암리 541-3,,,,정상가동,18.9,380,60,2022,,2024-12-23,,,2026-01-02
버섯농장1호 발전소,경기도 김포시 통진읍 대서명로 73-3,경기도 김포시 통진읍 서암리 541,,,,정상가동,98.28,380,60,2022,,2024-12-23,,,2026-01-02
대명발전소,경기도 김포시 월곶면 김포대로2918번길 49,경기도 김포시 월곶면 포내리 149-5,,,,정상가동,69.58,380,60,2022,,2024-12-10,,,2026-01-02
디와이에너지 태양광발전소 1호,경기도 김포시 양촌읍 황금산단3로 85,경기도 김포시 양촌읍 학운리 4199,,,,정상가동,360,380,60,2022,,2024-12-06,,,2026-01-02
민성이엘씨 태양광발전소,경기도 김포시 하성면 봉성로 143-2,경기도 김포시 하성면 봉성리 8-12,,,,정상가동,76.68,380,60,2022,,2024-12-05,,,2026-01-02
중앙3호 태양광발전소,경기도 김포시 통진읍 월하로519번길 180,경기도 김포시 통진읍 귀전리 264-4,,,,정상가동,158.75,380,60,2022,,2024-12-05,,,2026-01-02
엠제이3호 태양광발전소,경기도 김포시 대곶면 대곶서로166번길 52,경기도 김포시 대곶면 대벽리 200,,,,정상가동,35.91,380,60,2022,,2024-12-04,,,2026-01-02
엠제이2호 태양광발전소,경기도 김포시 대곶면 대곶서로166번길 52,경기도 김포시 대곶면 대벽리 200,,,,정상가동,98.28,380,60,2022,,2024-12-04,,,2026-01-02
엠제이1호 태양광발전소,경기도 김포시 대곶면 대곶서로166번길 52,경기도 김포시 대곶면 대벽리 200,,,,정상가동,98.28,380,60,2022,,2024-12-04,,,2026-01-02
디티2호 태양광발전소,경기도 김포시 양촌읍 황금산단6로 16,경기도 김포시 양촌읍 학운리 4101,,,,정상가동,98.28,380,60,2022,,2024-12-04,,,2026-01-02
넥스트에너지2호 태양광발전소,경기도 김포시 하성면 월하로778번길 72,경기도 김포시 하성면 마곡리 415-2,,,,정상가동,34.65,380,60,2022,,2024-12-03,,,2026-01-02
넥스트에너지1호 태양광발전소,경기도 김포시 하성면 월하로778번길 72,경기도 김포시 하성면 마곡리 415-2,,,,정상가동,82.53,380,60,2022,,2024-12-03,,,2026-01-02
더원2호 태양광발전소,경기도 김포시 대곶면 대곶로382번길 50,경기도 김포시 대곶면 석정리 232-45,,,,정상가동,72.45,380,60,2022,,2024-12-02,,,2026-01-02
더원1호 태양광발전소,경기도 김포시 대곶면 대곶로382번길 50,경기도 김포시 대곶면 석정리 232-45,,,,정상가동,93.87,380,60,2022,,2024-12-02,,,2026-01-02
청호2호 태양광발전소,경기도 김포시 양촌읍 황금산단6로 20,경기도 김포시 양촌읍 학운리 4102,,,,정상가동,46.8,380,60,2022,,2024-11-29,,,2026-01-02
청호1호 태양광발전소,경기도 김포시 양촌읍 황금산단6로 20,경기도 김포시 양촌읍 학운리 4102,,,,정상가동,97.2,380,60,2022,,2024-11-29,,,2026-01-02
김태균 태양광발전소,경기도 김포시 양촌읍 흥신로131번길 170,경기도 김포시 양촌읍 흥신리 363,,,,정상가동,68.04,380,60,2022,,2024-11-28,,,2026-01-02
이티아이3호 발전소,경기도 김포시 양촌읍 황금산단5로 8,경기도 김포시 양촌읍 학운리 4079,,,,정상가동,37.8,380,60,2022,,2024-11-27,,,2026-01-02
이티아이2호 발전소,경기도 김포시 양촌읍 황금산단5로 8,경기도 김포시 양촌읍 학운리 4079,,,,정상가동,97.8,380,60,2022,,2024-11-27,,,2026-01-02
이티아이1호 발전소,경기도 김포시 양촌읍 황금산단5로 8,경기도 김포시 양촌읍 학운리 4079,,,,정상가동,98.4,380,60,2022,,2024-11-27,,,2026-01-02
정도 태양광발전소,경기도 김포시 월곶면 애기봉로456번길 122,경기도 김포시 월곶면 개곡리 486-1,,,,정상가동,94.5,380,60,2022,,2024-11-26,,,2026-01-02
푸드앤코디 태양광발전소,경기도 김포시 대곶면 학의동로34번길 50-2,경기도 김포시 대곶면 대명리 55-28,,,,정상가동,60.2,380,60,2022,,2024-11-25,,,2026-01-02
은혜2호 태양광발전소,경기도 김포시 하성면 월하로860번길 145,경기도 김포시 하성면 전류리 312-2,,,,정상가동,71.88,380,60,2022,,2024-11-25,,,2026-01-02
현대산기2호 태양광발전소,경기도 김포시 대곶면 대곶서로256번길 11-52,경기도 김포시 대곶면 상마리 12,,,,정상가동,276.57,380,60,2022,,2024-11-25,,,2026-01-02
현대산기1호 태양광발전소,경기도 김포시 대곶면 대곶서로256번길 11-39,경기도 김포시 대곶면 상마리 6,,,,정상가동,150.57,380,60,2022,,2024-11-25,,,2026-01-02
대원세라믹스3호 발전소,경기도 김포시 금포로1491번길 52 (운양동),경기도 김포시 운양동 1209-5,,,,정상가동,47.88,380,60,2022,,2024-11-25,,,2026-01-02
대원세라믹스2호 발전소,경기도 김포시 금포로1491번길 42 (운양동),경기도 김포시 운양동 1209-3,,,,정상가동,54.81,380,60,2022,,2024-11-25,,,2026-01-02
대원세라믹스1호 발전소,경기도 김포시 금포로1491번길 42 (운양동),경기도 김포시 운양동 1209-3,,,,정상가동,81.9,380,60,2022,,2024-11-25,,,2026-01-02
동평산업3호 발전소,경기도 김포시 하성면 석평로15번길 120,경기도 김포시 하성면 석탄리 326,,,,정상가동,88.83,380,60,2022,,2024-11-21,,,2026-01-02
동평산업2호 발전소,경기도 김포시 하성면 석평로15번길 120,경기도 김포시 하성면 석탄리 326,,,,정상가동,89.46,380,60,2022,,2024-11-21,,,2026-01-02
동평산업1호 발전소,경기도 김포시 하성면 석평로15번길 120,경기도 김포시 하성면 석탄리 326,,,,정상가동,92.61,380,60,2022,,2024-11-21,,,2026-01-02
유빈2호 태양광발전소,경기도 김포시 통진읍 옹정로17번길 60-1,경기도 김포시 통진읍 옹정리 325-6,,,,정상가동,35.5,380,60,2022,,2024-11-19,,,2026-01-02
유빈1호 태양광발전소,경기도 김포시 통진읍 옹정로17번길 60-1,경기도 김포시 통진읍 옹정리 325-6,,,,정상가동,99.4,380,60,2022,,2024-11-19,,,2026-01-02
화신 태양광발전소,경기도 김포시 대곶면 상마신기로41번길 22,경기도 김포시 대곶면 상마리 305-7,,,,정상가동,99.4,380,60,2022,,2024-11-19,,,2026-01-02
예서린2호 태양광발전소,경기도 김포시 대곶면 대곶로382번길 71,경기도 김포시 대곶면 석정리 238-1,,,,정상가동,19.38,380,60,2022,,2024-11-19,,,2026-01-02
