태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
수동태양광발전소,서울특별시 성동구 성수이로 137,서울특별시 성동구 성수동2가 834,37.54792511,127.0564731,,정상가동,80.0,22900,60,2008,,2008-04-08,경기도 남양주시청,,2024-12-12
그린 태양광 발전소(김성자),경기도 남양주시 진접읍 부마로155번길 16,경기도 남양주시 진접읍 부평리 301-2,37.75632655,127.1921345,,정상가동,30.0,380,60,2009,,2009-02-11,경기도 남양주시청,,2024-12-12
월문 태양광발전소,경기도 남양주시 와부읍 글개울로 100,경기도 남양주시 와부읍 월문리 658,37.60816535,127.245254,,정상가동,75.0,380,60,2011,,2011-04-27,경기도 남양주시청,,2024-12-12
팔야2 태양광발전소,경기도 남양주시 진접읍 금강로1845번길 61-8,경기도 남양주시 진접읍 팔야리 602,37.75368057,127.2120135,,정상가동,30.25,380,60,2011,,2011-10-20,경기도 남양주시청,,2024-12-12
고센태양광발전소,경기도 남양주시 수동면 비룡로1270번길 170,경기도 남양주시 수동면 내방리 151-3,37.74276543,127.2854967,,정상가동,80.0,380,60,2012,,2012-02-29,경기도 남양주시청,,2024-12-12
수동 2호 태양광 발전소,경기도 남양주시 수동면 입석1길 13-19,경기도 남양주시 수동면 입석리 200-6,37.70573892,127.3357431,,정상가동,24.0,380,60,2012,,2012-04-05,경기도 남양주시청,,2024-12-12
팔야리 태양광 발전소,경기도 남양주시 진접읍 금강로1845번길 61-38,경기도 남양주시 진접읍 팔야리 607-5,37.75484628,127.2124445,,정상가동,90.0,380,60,2012,,2012-06-18,경기도 남양주시청,,2024-12-12
칠성 태양광발전소,경기도 남양주시 퇴계원읍 퇴계원로6번길 9,경기도 남양주시 퇴계원읍 퇴계원리 218-16,37.64800646,127.1414511,,정상가동,300.0,22900,60,2012,,2012-08-22,경기도 남양주시청,,2024-12-12
이마트 남양주 태양광발전소[(주)이마트],서울특별시 성동구 뚝섬로 377,서울특별시 성동구 성수동2가 333-16,37.54002085,127.0529082,,정상가동,98.28,380,60,2012,,2012-09-03,경기도 남양주시청,,2024-12-12
축령나눔 발전소,경기도 남양주시 수동면 외방로62번길 145-35,경기도 남양주시 수동면 외방리 50,37.73547718,127.3260868,,정상가동,15.0,380,60,2012,,2012-10-04,경기도 남양주시청,,2024-12-12
한양트랜스 태양광발전소,경기도 남양주시 화도읍 마석로 110,경기도 남양주시 화도읍 마석우리 598,37.6611921,127.3045576,,정상가동,20.0,380,60,2012,,2012-10-16,경기도 남양주시청,,2024-12-12
팔야1 태양광발전소,경기도 남양주시 진접읍 금강로1845번길 61-8,경기도 남양주시 진접읍 팔야리 602,37.75368057,127.2120135,,정상가동,90.0,380,60,2012,,2012-12-10,경기도 남양주시청,,2024-12-12
번개파워1 태양광발전소,경기도 남양주시 별내5로23번길 4-31,경기도 남양주시 별내동 1083-7,37.65169823,127.1149218,,정상가동,19.5,380,60,2013,,2013-03-06,경기도 남양주시청,,2024-12-12
학림 풍효섭 태양광발전소,경기도 남양주시 진접읍 팔야로 109-109,경기도 남양주시 진접읍 팔야리 450-8,37.75175455,127.2210978,,정상가동,60.0,380,60,2013,,2013-03-13,경기도 남양주시청,,2024-12-12
대진기획 태양광발전소,경기도 남양주시 진건읍 진건오남로 98,경기도 남양주시 진건읍 용정리 750-1,37.65944607,127.1784436,,정상가동,29.4,380,60,2013,,2013-04-01,경기도 남양주시청,,2024-12-12
프린스코리아 태양광발전소,경기도 남양주시 일패로 95,경기도 남양주시 일패동 826,37.62380766,127.1741079,,정상가동,40.43,380,60,2013,,2013-09-02,경기도 남양주시청,,2024-12-12
초록 태양광발전소 1호,경기도 남양주시 화도읍 경춘로2394번길 20-2,경기도 남양주시 화도읍 답내리 112,37.65788792,127.3531099,,정상가동,18.0,380,60,2013,,2013-09-04,경기도 남양주시청,,2024-12-12
손인식 태양광발전소,경기도 남양주시 진접읍 봉현로 153-5,경기도 남양주시 진접읍 장현리 488-8,37.72591162,127.1732153,,정상가동,60.0,380,60,2013,,2013-09-23,경기도 남양주시청,,2024-12-12
덕소정수장 태양광발전소[한국수자원공사],대전광역시 대덕구 신탄진로 200,대전광역시 대덕구 연축동 산 6-2,36.39791698,127.4237319,,정상가동,327.36,22900,60,2013,,2013-10-04,경기도 남양주시청,,2024-12-12
동문태양광발전소,경기도 남양주시 진접읍 내각1로 79,경기도 남양주시 진접읍 내각리 322-4,37.70463888,127.1656137,,정상가동,40.0,380,60,2014,,2014-01-07,경기도 남양주시청,,2024-12-12
TS태양광발전소,경기도 남양주시 진건읍 진관산단로59번길 35,경기도 남양주시 진건읍 진관리 981,37.63870879,127.1535318,,정상가동,73.0,380,60,2014,,2014-02-13,경기도 남양주시청,,2024-12-12
웰빙태양광발전소,경기도 남양주시 수동면 비룡로742번길 92,경기도 남양주시 수동면 운수리 55-42,37.69871294,127.3316157,,정상가동,30.0,380,60,2014,,2014-02-27,경기도 남양주시청,,2024-12-12
송능태양광발전소,경기도 남양주시 진건읍 사릉로적성길 18-66,경기도 남양주시 진건읍 송능리 444,37.64688292,127.2068797,,정상가동,68.0,380,60,2014,,2014-07-09,경기도 남양주시청,,2024-12-12
TSⅡ태양광발전소,경기도 남양주시 진건읍 진관산단로59번길 35,경기도 남양주시 진건읍 진관리 981,37.63870879,127.1535318,,정상가동,76.0,380,60,2014,,2014-08-06,경기도 남양주시청,,2024-12-12
천혜인 태양광발전소,경기도 남양주시 진접읍 봉현로 154,경기도 남양주시 진접읍 장현리 488-33,37.72642003,127.1740165,,정상가동,40.0,380,60,2014,,2014-11-11,경기도 남양주시청,,2024-12-12
성지태양광발전소,경기도 남양주시 진접읍 양진로 942,경기도 남양주시 진접읍 연평리 217-5,37.7032698,127.1796769,,정상가동,45.0,380,60,2014,,2014-11-25,경기도 남양주시청,,2024-12-12
광명태양광발전소,경기도 남양주시 화도읍 가곡로88번길 92,경기도 남양주시 화도읍 가곡리 344-29,37.69508732,127.3020458,,정상가동,30.0,380,60,2014,,2014-12-16,경기도 남양주시청,,2024-12-12
동양 태양광발전소,경기도 남양주시 화도읍 비룡로440번길 34,경기도 남양주시 화도읍 가곡리 135,37.6849092,127.3114307,,정상가동,60.0,380,60,2014,,2014-12-16,경기도 남양주시청,,2024-12-12
SPS태양광발전소,경기도 남양주시 와부읍 석실로자운길 129-12,경기도 남양주시 와부읍 도곡리 17-1,37.58374586,127.2447665,,정상가동,99.0,380,60,2015,,2015-01-21,경기도 남양주시청,,2024-12-12
내곡3리 태양광발전소,경기도 남양주시 진접읍 금강로 989-16,경기도 남양주시 진접읍 내곡리 199-1,37.68894263,127.1612577,,정상가동,10.0,380,60,2015,,2015-02-02,경기도 남양주시청,,2024-12-12
