태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
푸른산업,경기도 부천시 소사구 연동로146번길 6,경기도 부천시 소사구 옥길동 501-5,37.47473808,126.8243866,옥상,정상가동,19,380,60,2013,발전사업용,,경기도 부천시,,2025-02-05
청솔태양광발전소,경기도 부천시 오정구 신흥로438번길 62,경기도 부천시 오정구 내동128-2,37.52248519,126.7790857,옥상,정상가동,39.78,380,60,2019,발전사업용,,경기도 부천시,,2025-02-05
더헤르첸태양광발전소,경기도 부천시 원미구 수도로 88-17,경기도 부천시 원미구 도당동 222-20,37.51457361,126.7764905,옥상,정상가동,70.2,380,60,2019,발전사업용,,경기도 부천시,,2025-02-05
주왕교회태양광발전소,경기도 부천시 소사구 양지로 111-17,경기도 부천시 소사구 옥길동782,37.47280442,126.8160013,옥상,정상가동,98.42,380,60,2020,발전사업용,,경기도 부천시,,2025-02-05
에너지디자인부천발전소,경기도 부천시 원미구 원미로156번길 38,경기도 부천시 원미구 원미동 151-37,37.49617172,126.7936302,옥상,정상가동,3,380,60,2005,발전사업용,,경기도 부천시,,2025-02-05
약대동태양광발전소,경기도 부천시 원미구 평천로706번길 26,경기도 부천시 원미구 약대동 77-4,37.51401382,126.7690286,옥상,정상가동,29.6,380,60,2020,발전사업용,,경기도 부천시,,2025-02-05
심곡(부천)태양광발전소,경기도 부천시 원미구 신흥로 51,경기도 부천시 원미구 심곡동 343-13,37.48842609,126.7766013,옥상,정상가동,25.48,380,60,2022,발전사업용,,경기도 부천시,,2025-02-05
소림사태양광발전소,경기도 부천시 원미구 경인로216번길 106,경기도 부천시 원미구 심곡본동 642-3,37.47862209,126.778512,옥상,정상가동,19.77,380,60,2013,발전사업용,,경기도 부천시,,2025-02-05
성광수중펌프태양광발전소,경기도 부천시 오정구 소사로 916,경기도 부천시 오정구 고강동 169-3,37.53715436,126.8084414,옥상,정상가동,97.28,380,60,2020,발전사업용,,경기도 부천시,,2025-02-05
서림1호태양광발전소,경기도 부천시 오정구 석천로 462,경기도 부천시 오정구 삼정동 50-3,37.52758496,126.7699827,옥상,정상가동,103.68,380,60,2023,발전사업용,,경기도 부천시,,2025-02-05
삼도에스에스SOLARPOWER,경기도 부천시 원미구 부천로377번길 59,경기도 부천시 원미구 도당동 15-1,37.51656958,126.7815868,옥상,정상가동,29.68,380,60,2021,발전사업용,,경기도 부천시,,2025-02-05
삼경태양광발전소,경기도 부천시 원미구 심중로 106,경기도 부천시 원미구 심곡동 314,37.49242815,126.7707435,옥상,정상가동,62.01,380,60,2013,발전사업용,,경기도 부천시,,2025-02-05
부천시민햇빛발전소1호기,경기도 부천시 오정구 벌말로 122,경기도 부천시 오정구 대장동 607,37.5423023,126.7653679,옥상,정상가동,40.5,380,60,2014,발전사업용,,경기도 부천시,,2025-02-05
부산성베네딕도수녀회,경기도 부천시 소사구 소사로320번길 35,경기도 부천시 소사구 소사동 20-3,37.48613923,126.7964245,옥상,정상가동,64.5,380,60,2021,발전사업용,,경기도 부천시,,2025-02-05
부천시민햇빛발전소4호기,경기도 부천시 소사구 은성로68번길 46,경기도 부천시 소사구 소사본동 200-1,37.47312398,126.7980162,옥상,정상가동,99,380,60,2022,발전사업용,,경기도 부천시,,2025-02-05
경기기계태양광발전소,경기도 부천시 원미구 정주로48번길 35,경기도 부천시 원미구 도당동 246-48,37.50898437,126.779306,옥상,정상가동,19.8,380,60,2021,발전사업용,,경기도 부천시,,2025-02-05
㈜월드컬렉션,경기도 부천시 오정구 오정로 176,경기도 부천시 오정구 내동 207-17,37.52559157,126.780029,옥상,정상가동,97.5,380,60,2022,발전사업용,,경기도 부천시,,2025-02-05
프로텐트 태양광발전소,경기도 부천시 오정구 오정로 50-15,경기도 부천시 오정구 삼정동 29-24,37.525141,126.765827,옥상,정상가동,57.12,380,60,2023,발전사업용,,경기도 부천시,,2025-02-05
지구촌 태양광발전소,경기도 부천시 원미구 부천로40번길 23,경기도 부천시 원미구 심곡동 162-26,37.4878318,126.7848221371,옥상,정상가동,14.16,380,60,2023,발전사업용,,경기도 부천시,,2025-02-05
복사골 태양광발전소,경기도 부천시 소사구 경인로 36,경기도 부천시 소사구 송내동 403-4,37.4832391,126.7593105071,옥상,정상가동,19.63,380,60,2024,발전사업용,,경기도 부천시,,2025-02-05
태양툴스 태양광발전소,경기도 부천시 원미구 부천로369번길 36,경기도 부천시 원미구 도당동 21-8,37.5167493,126.7827343,옥상,정상가동,31.98,380,60,2024,발전사업용,,경기도 부천시,,2025-02-05
이천호 태양광발전소,경기도 부천시 원미구 장말로362번길 33,경기도 부천시 원미구 심곡동 353-7,37.4887930968,126.7820332,옥상,정상가동,19.36,380,60,2024,발전사업용,,경기도 부천시,,2025-02-05
지산메드텍 태양광발전소,경기도 부천시 원미구 옥산로 222,경기도 부천시 원미구 도당동 161-10,37.5133204,126.7807797414,옥상,정상가동,94.5,380,60,2024,발전사업용,,경기도 부천시,,2025-02-05
