태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
협신푸드 태양광발전소,경기도 성남시 수정구 동판교로 356 (사송동),경기도 성남시 수정구 사송동 489,37.413596,127.113703,옥상,정상가동,78.54,380,60,2023,발전사업용,2023-03-03,경기도 성남시,,2026-01-26
인스코 태양광발전소,"경기도 성남시 분당구 대왕판교로 187, 금곡동산업전시시설 (금곡동)",경기도 성남시 분당구 금곡동 113-2,37.360333,127.1011,옥상,정상가동,59.95,380,60,2022,발전사업용,2022-06-29,경기도 성남시,300.92,2026-01-26
신성태양광발전소,"경기도 성남시 중원구 산성대로 540, 신성빌딩 (은행동)",경기도 성남시 중원구 은행동 978,37.458713,127.165248,옥상,정상가동,19.72,380,60,2022,발전사업용,2022-05-10,경기도 성남시,92.45,2026-01-26
도하 태양광발전소,경기도 성남시 중원구 갈현로 43(갈현동),경기도 성남시 중원구 갈현동 160,37.424099,127.177495,옥상,정상가동,80.16,380,60,2022,발전사업용,2022-04-15,경기도 성남시,385.2,2026-01-26
세계평화통일가정연합 태양광발전소,경기도 성남시 중원구 마지로 46-8(하대원동),경기도 성남시 중원구 하대원동 9,37.427842,127.135095,옥상,정상가동,37.7,380,60,2022,발전사업용,2022-03-30,경기도 성남시,166.26,2026-01-26
염광교회 태양광발전소,"경기도 성남시 수정구 단대로16번길 2, 염광빌딩 (단대동)",경기도 성남시 수정구 단대동 76-1,37.452555,127.158376,옥상,정상가동,29.76,380,60,2022,발전사업용,2022-03-28,경기도 성남시,143.0,2026-01-26
혜성 태양광발전소,경기도 성남시 중원구 산성대로372번길 13-1(금광동),경기도 성남시 중원구 금광동 4354,37.445106,127.158686,옥상,정상가동,19.62,360,60,2021,발전사업용,2021-09-28,경기도 성남시,92.0,2026-01-26
이송태양광발전소,경기도 성남시 수정구 청계산로4길 15 (고등동),경기도 성남시 수정구 고등동 611-12,37.424585,127.099441,옥상,정상가동,19.35,380,60,2021,발전사업용,2021-05-18,경기도 성남시,,2026-01-26
dopco 태양광발전소,경기도 성남시 분당구 안양판교로828번길 201 (석운동),경기도 성남시 분당구 석운동 70-5,37.372007,127.04986,옥상,정상가동,252.0,380,60,2021,발전사업용,2021-02-10,경기도 성남시,,2026-01-26
민욱태양광발전소,경기도 성남시 중원구 도촌로26번길 5 (도촌동),경기도 성남시 중원구 도촌동 603,37.416463,127.151482,옥상,정상가동,19.92,220,60,2020,발전사업용,2020-05-15,경기도 성남시,,2026-01-26
