태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
안산태양광발전소,,경기도 안산시 단원구 고잔동 734-6,37.31368709,126.8380526,기타,정상가동,9.8,380,60,2008,발전사업용,2007-11-23,경기도 안산시,,2025-06-10
본오 태양광발전소,,경기도 안산시 상록구 본오동 736-2,37.29382791,126.8758871,기타,정상가동,9.8,380,60,2008,발전사업용,2008-02-18,경기도 안산시,,2025-06-10
㈜지에스이앤알 태양광발전소,,경기도 안산시 단원구 초지동 661,37.2982635,126.8004557,기타,정상가동,96.83,380,60,2008,발전사업용,2008-07-03,경기도 안산시,,2025-06-10
대부동 태양광발전소,,경기도 안산시 단원구 대부동동 255-4,37.24379205,126.614341,기타,정상가동,29.7,380,60,2009,발전사업용,2009-07-20,경기도 안산시,,2025-06-10
성곡 태양광발전소,,경기도 안산시 단원구 성곡동 679-2,37.30740575,126.7520194,기타,정상가동,98.112,380,60,2009,발전사업용,2009-07-31,경기도 안산시,,2025-06-10
롯데마트 안산점 태양광발전소(구),,경기도 안산시 상록구 성포동 590,37.31745109,126.8489048,기타,정상가동,99.072,380,60,2010,발전사업용,2010-04-26,경기도 안산시,,2025-06-10
새힘 태양광발전소,,경기도 안산시 상록구 일동 601-32,37.31143369,126.8660478,기타,정상가동,19.36,380,60,2011,발전사업용,2010-10-21,경기도 안산시,,2025-06-10
SUN 태양광발전소,,경기도 안산시 상록구 본오동 885-16,37.29231836,126.8615713,기타,정상가동,10.416,380,60,2011,발전사업용,2010-11-15,경기도 안산시,,2025-06-10
이마트 고잔 태양광발전소,,경기도 안산시 단원구 초지동 742-6외 4필지(건물옥상),37.30311495,126.8129202,기타,정상가동,97.846,380,60,2011,발전사업용,2011-04-12,경기도 안산시,,2025-06-10
솔라맥스 태양광발전소,,경기도 안산시 상록구 본오동 878-6,37.30148049,126.8623288,기타,정상가동,87.5,380,60,2012,발전사업용,2011-04-25,경기도 안산시,,2025-06-10
KnH 솔라 광명전기 태양광발전소,,경기도 안산시 단원구 목내동 389,37.31340731,126.7778821,기타,정상가동,500,380,60,2012,발전사업용,2012-06-21,경기도 안산시,,2025-06-10
안산 성곡 태양광발전소구:안산 성곡배수지 태양광발전소,,경기도 안산시 단원구 성곡동 639-1 배수지상부,37.3192503,126.7617193,기타,정상가동,170,380,60,2012,발전사업용,2012-08-13,경기도 안산시,,2025-06-10
안산 와동 태양광발전소구:안산 와동배수지 태양광발전소,,경기도 안산시 단원구 와동 884 배수지상부,37.334674,126.8273702,기타,정상가동,210,380,60,2012,발전사업용,2012-08-13,경기도 안산시,,2025-06-10
안산 초지 태양광발전소구:안산 초지배수지 태양광발전소,,경기도 안산시 단원구 초지동 636-1 배수지상부,37.30869969,126.7964114,기타,정상가동,160,380,60,2012,발전사업용,2012-08-13,경기도 안산시,,2025-06-10
안산 목내 태양광발전소구:안산 목내배수지 태양광발전소,,경기도 안산시 단원구 목내동 471-1 배수지상부,37.31953486,126.7792787,기타,정상가동,180,380,60,2012,발전사업용,2012-08-13,경기도 안산시,,2025-06-10
안산 선부 태양광발전소구:안산 선부1배수지 태양광발전소,,경기도 안산시 단원구 선부동 1145-16 배수지상부,37.34171405,126.7994675,기타,정상가동,80.5,380,60,2012,발전사업용,2012-08-13,경기도 안산시,,2025-06-10
안산 공단 태양광발전소구:안산 공단배수지 태양광발전소,,경기도 안산시 단원구 신길동 산11-12외 2필지 배수지상부,37.32211435,126.7712495,기타,정상가동,210,380,60,2012,발전사업용,2012-08-13,경기도 안산시,,2025-06-10
상록 태양광발전소,,경기도 안산시 상록구 사동 1167-1(건물옥상),37.30035291,126.8407872,기타,정상가동,17,380,60,2012,발전사업용,2012-10-12,경기도 안산시,,2025-06-10
이동 태양광발전소,,경기도 안산시 상록구 이동 708(건물옥상),37.31001718,126.8508365,기타,정상가동,15.6,380,60,2012,발전사업용,2012-10-30,경기도 안산시,,2025-06-10
태형 태양광발전소,,경기도 안산시 상록구 본오동 747-5(건물위),37.2955409,126.8776669,기타,정상가동,19.5,380,60,2013,발전사업용,2012-12-06,경기도 안산시,,2025-06-10
콩태양광발전,,경기도 안산시 상록구 본오동 1135-9,37.30104051,126.8761773,옥상,정상가동,15,380,60,2013,발전사업용,2012-12-26,경기도 안산시,,2025-06-10
안산중앙도서관 태양광발전소,,경기도 안산시 단원구 고잔동 721(건물옥상),37.30450333,126.8213619,기타,정상가동,30,380,60,2013,발전사업용,2013-04-11,경기도 안산시,,2025-06-10
대신 태양광발전소,,경기도 안산시 단원구 목내동 457-12외 1필지(건물위),37.30606936,126.7708595,기타,정상가동,99.75,380,60,2013,발전사업용,2013-06-18,경기도 안산시,,2025-06-10
상록햇빛발전소,,경기도 안산시 상록구 사동 1341-7 건물위,37.29403002,126.8564007,기타,정상가동,24,380,60,2014,발전사업용,2013-08-30,경기도 안산시,,2025-06-10
신영정밀금속 태양광발전소,,경기도 안산시 단원구 원시동 824-1 8블럭6롯트(건물위),37.29697176,126.7787952,기타,정상가동,99,380,60,2013,발전사업용,2013-09-03,경기도 안산시,,2025-06-10
시흥정수장 태양광발전소,,"경기도 안산시 단원구 선부동 1169(건물위-구내용수펌프동, 급속여과지동 일부), 시흥시 군자동 786(급속여과지동 일부)",37.35172549,126.7925465,기타,정상가동,99.2,380,60,2013,발전사업용,2013-10-24,경기도 안산시,,2025-06-10
대부태양광발전소,,경기도 안산시 단원구 대부북동 243,37.24614519,126.5812888,옥상,정상가동,19.08,380,60,2014,발전사업용,2014-04-18,경기도 안산시,,2025-06-10
안산시민햇빛발전 호수동 주민2호 발전소,,경기도 안산시 단원구 고잔동 721,37.30450333,126.8213619,옥상,정상가동,19.8,380,60,2014,발전사업용,2014-04-25,경기도 안산시,,2025-06-10
반월태양광발전소,,경기도 안산시 상록구 건건동 831-2,37.30507787,126.9112035,옥상,정상가동,22.5,380,60,2014,발전사업용,2014-07-15,경기도 안산시,,2025-06-10
동서일태양광발전소,,경기도 안산시 단원구 목내동 402,37.30541451,126.7748589,옥상,정상가동,99.55,380,60,2014,발전사업용,2014-08-01,경기도 안산시,,2025-06-10
화성이태양광발전소,,경기도 안산시 단원구 목내동 402,37.30541451,126.7748589,옥상,정상가동,99.55,380,60,2014,발전사업용,2014-08-01,경기도 안산시,,2025-06-10
규식태양광발전소,,경기도 안산시 상록구 월피동 449-10,37.33259103,126.8514438,옥상,정상가동,14.31,380,60,2014,발전사업용,2014-09-04,경기도 안산시,118.8,2025-06-10
대부도 태양광발전소,,"경기도 안산시 단원구 대부북동 658-2, 658-9, 658-11, 658-13, 659, 660-1",37.24467482,126.5753536,기타,정상가동,431.2,380,60,2015,발전사업용,2015-01-02,경기도 안산시,,2025-06-10
대부제일태양광발전소,,경기도 안산시 단원구 대부남동 82-2,37.22129225,126.5903708,옥상,정상가동,15,380,60,2015,발전사업용,2015-01-21,경기도 안산시,97,2025-06-10
김종한 태양광발전소,,경기도 안산시 단원구 선부동 1058-43,37.34333199,126.8078859,옥상,정상가동,15,380,60,2015,발전사업용,2015-03-04,경기도 안산시,108.4,2025-06-10
경기도 안산시민 햇빛발전4호 태양광발전소,,경기도 안산시 단원구 초지동 666-1,37.31947754,126.8164903,기타,정상가동,299,380,60,2015,발전사업용,2015-03-06,경기도 안산시,,2025-06-10
시연태양광발전소,,경기도 안산시 단원구 선부동 1097,37.34569345,126.8156092,옥상,정상가동,27,380,60,2015,발전사업용,2015-07-08,경기도 안산시,158.76,2025-06-10
새중앙 태양광발전소,,경기도 안산시 단원구 대부남동 7-13,37.21494528,126.6043997,옥상,정상가동,50,380,60,2016,발전사업용,2015-12-01,경기도 안산시,328,2025-06-10
우진공업 태양광발전소,,경기도 안산시 단원구 원시동 770-1,37.3177265,126.7900634,옥상,정상가동,99.64,380,60,2016,발전사업용,2016-01-04,경기도 안산시,631,2025-06-10
금비전자,,경기도 안산시 상록구 장상동 544-6,37.3613604,126.8778239,옥상,정상가동,30,380,60,2016,발전사업용,2016-01-11,경기도 안산시,210,2025-06-10
동아일보사 태양광발전소,,경기도 안산시 단원구 신길동 1125-3,37.32191903,126.7797445,기타,정상가동,300,380,60,2016,발전사업용,2016-04-28,경기도 안산시,1940,2025-06-10
시화1태양광,,경기도 안산시 단원구 성곡동 714-9,37.31783204,126.7322202,옥상,정상가동,99.54,380,60,2016,발전사업용,2016-05-25,경기도 안산시,619.4,2025-06-10
세림태양광발전소,,경기도 안산시 단원구 초지동 645,37.3047473,126.7966625,옥상,정상가동,99.84,380,60,2017,발전사업용,2016-09-29,경기도 안산시,610,2025-06-10
안산시민햇빛7호발전소,,경기도 안산시 단원구 고잔동 817(예술의전당 전시동),37.31846036,126.8231073,옥상,정상가동,99.855,380,60,2017,발전사업용,2016-10-04,경기도 안산시,622,2025-06-10
