태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
명목3 태양광발전소,경기도 안성시 양성면 칠목길 53-16,경기도 안성시 양성면 명목리 246-1,37.03828525,127.1954459,옥상,정상가동,89.6,380,60,2025,사업용,2025-02-12,경기도 안성시청,,2025-11-25
명목2 태양광발전소,경기도 안성시 양성면 칠목길 53-16,경기도 안성시 양성면 명목리 246-1,37.03828525,127.1954459,옥상,정상가동,89.6,380,60,2025,사업용,2025-02-12,경기도 안성시청,,2025-11-25
명목1 태양광발전소,경기도 안성시 양성면 칠목길 53-16,경기도 안성시 양성면 명목리 246-1,37.03828525,127.1954459,옥상,정상가동,89.6,380,60,2025,사업용,2025-02-12,경기도 안성시청,,2025-11-25
모햇발전소 1807호 태양광발전소,경기도 안성시 죽산면 용대길 70-22,경기도 안성시 죽산면 두교리 108-5,37.01395893,127.446863,옥상,정상가동,83.7,380,60,2025,사업용,2025-02-10,경기도 안성시청,,2025-11-25
우석스톤 태양광발전소,경기도 안성시 죽산면 걸미로 522-8,경기도 안성시 죽산면 장계리 783-5,37.04355956,127.4185709,옥상,정상가동,161.93,380,60,2025,사업용,2025-02-10,경기도 안성시청,,2025-11-25
나이스 태양광발전소,경기도 안성시 죽산면 상삼로 20-18,경기도 안성시 죽산면 두현리 375,37.07713475,127.4073898,옥상,정상가동,26.88,380,60,2025,사업용,2025-02-10,경기도 안성시청,,2025-11-25
광평 태양광발전소,경기도 안성시 미양면 중앙배수1길 170-47,경기도 안성시 미양면 정동리 505-1,36.97809619,127.1937418,옥상,정상가동,596.4,22900,60,2025,사업용,2025-01-23,경기도 안성시청,,2025-11-25
진성 태양광발전소,경기도 안성시 일죽면 가리안길 9-55,경기도 안성시 일죽면 가리 370,37.08186393,127.4821323,옥상,정상가동,99.7,380,60,2025,사업용,2025-01-23,경기도 안성시청,,2025-11-25
금이태양광발전소2호,경기도 안성시 죽산면 용대길 130,경기도 안성시 죽산면 두교리 18-1,37.01942649,127.442431,옥상,정상가동,99.54,380,60,2025,사업용,2025-01-22,경기도 안성시청,,2025-11-25
금이태양광발전소3호,경기도 안성시 죽산면 용대길 130,경기도 안성시 죽산면 두교리 18-1,37.01942649,127.442431,옥상,정상가동,99.54,380,60,2025,사업용,2025-01-22,경기도 안성시청,,2025-11-25
금이태양광발전소1호,경기도 안성시 죽산면 용대길 130,경기도 안성시 죽산면 두교리 18-1,37.01942649,127.442431,옥상,정상가동,99.54,380,60,2025,사업용,2025-01-22,경기도 안성시청,,2025-11-25
명성 태양광발전소,경기도 안성시 일죽면 오방길 38,경기도 안성시 일죽면 고은리 1152-13,37.10926464,127.4342979,옥상,정상가동,73.71,380,60,2025,사업용,2025-01-17,경기도 안성시청,,2025-11-25
이글2호 태양광발전소,경기도 안성시 삼죽면 개나리길 75,경기도 안성시 삼죽면 진촌리 84,37.05473095,127.3724511,옥상,정상가동,36.2,380,60,2025,사업용,2025-01-14,경기도 안성시청,,2025-11-25
이글1호 태양광발전소,경기도 안성시 삼죽면 개나리길 75,경기도 안성시 삼죽면 진촌리 84,37.05473095,127.3724511,옥상,정상가동,89.54,380,60,2025,사업용,2025-01-14,경기도 안성시청,,2025-11-25
한솔라테크,경기도 안성시 공도읍 대신두길 42-68,경기도 안성시 공도읍 웅교리 3-12,36.988709,127.1966838,옥상,정상가동,136.08,380,60,2025,사업용,2025-01-14,경기도 안성시청,,2025-11-25
리안3호 태양광발전소,경기도 안성시 미양면 고지1길 131-12,경기도 안성시 미양면 고지리 62,36.95701027,127.2177497,옥상,정상가동,99.54,380,60,2025,사업용,2025-01-13,경기도 안성시청,,2025-11-25
