태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
나라상사발전소 1호 태양광발전소,경기도 양주시 은현면 운하로101번길 28,"경기도 양주시 은현면 운암리 396-40 , 396-51",,,,정상가동,99.6,380,60,2024,,2024-08-19,경기도 양주시청,,2024-10-10
나라상사발전소 2호 태양광발전소,경기도 양주시 은현면 운하로101번길 28,"경기도 양주시 은현면 운암리 396-40 , 396-51",,,,정상가동,33.6,380,60,2024,,2024-08-19,경기도 양주시청,,2024-10-10
창현2호 태양광발전소,경기도 양주시 은현면 봉암11길 5,경기도 양주시 은현면 봉암리 203-11 (건물 위),,,,정상가동,30,380,60,2024,,2024-08-06,경기도 양주시청,,2024-10-10
창현1호 태양광발전소,경기도 양주시 은현면 봉암11길 10,경기도 양주시 은현면 봉암리 203-2 (건물 위),,,,정상가동,27,380,60,2024,,2024-08-06,경기도 양주시청,,2024-10-10
효성산업 2호 태양광발전소,경기도 양주시 은현면 화합로691번길 232-32,"경기도 양주시 은현면 운암리 156-7 , 156-36, 156-37, 166(건물 위)",,,,정상가동,89.25,380,60,2024,,2024-08-06,경기도 양주시청,,2024-10-10
효성산업 1호 태양광발전소,경기도 양주시 은현면 화합로691번길 232-32,"경기도 양주시 은현면 운암리 156-7 , 156-36, 156-37, 166(건물 위)",,,,정상가동,99.96,380,60,2024,,2024-08-06,경기도 양주시청,,2024-10-10
에이스전자 태양광발전소,경기도 양주시 광적면 그루고개로221번길 192-26,,,,,정상가동,49.8,380,60,2024,,2024-07-30,경기도 양주시청,,2024-10-10
환기 태양광발전소,경기도 양주시 만삼로 46,경기도 양주시 만송동 48-8 (건물 위),,,,정상가동,50.4,380,60,2024,,2024-07-29,경기도 양주시청,,2024-10-10
효민2호 태양광발전소,경기도 양주시 광적면 현석로719번길 276-12,,,,,정상가동,98.4,380,60,2024,,2024-07-25,경기도 양주시청,,2024-10-10
새현섬유 태양광발전소,경기도 양주시 남면 감악산로52번길 55-7,,,,,정상가동,58,380,60,2024,,2024-07-19,경기도 양주시청,,2024-10-10
일진2호 태양광발전소,경기도 양주시 광적면 부흥로 881-33,,,,,정상가동,94.01,380,60,2024,,2024-07-15,경기도 양주시청,,2024-10-10
엘케이솔라텍,경기도 양주시 칠봉산로227번길 76-39,,,,,정상가동,99.96,380,60,2024,,2024-07-11,경기도 양주시청,,2024-10-10
미선 태양광발전소,경기도 양주시 은현면 은현로 437-14,,,,,정상가동,99.5,380,60,2024,,2024-07-09,경기도 양주시청,,2024-10-10
제(1)일팔 태양광발전소,경기도 양주시 백석읍 중앙로 112-11,,,,,정상가동,38.08,380,60,2024,,2024-06-25,경기도 양주시청,,2024-10-10
백경 태양광발전소,경기도 양주시 양주산성로307번길 57-16,,,,,정상가동,30,380,60,2024,,2024-06-21,경기도 양주시청,,2024-10-10
