태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
전수1리새마을회 태양광발전소,경기도 양평군 강하면 전의1길 52,경기도 양평군 강하면 전수리 404,37.5006328652,127.4325352073,기타,정상가동,10,380,60,2024,발전사업용,2024-04-30,경기도 양평군,,2024-09-30
선미태양광발전소,경기도 양평군 개군면 개군산로 224-36,경기도 양평군 개군면 앙덕리 90-2,37.4491823733,127.5066755567,기타,정상가동,19.8,220,60,2024,발전사업용,2024-03-27,경기도 양평군,,2024-09-30
메인통상발전소2호,경기도 양평군 지평면 지평로 447,경기도 양평군 지평면 지평리 672-7,37.4712714652,127.6344506068,기타,정상가동,65.1,380,60,2024,발전사업용,2024-03-26,경기도 양평군,,2024-09-30
메인통상발전소1호,경기도 양평군 지평면 지평로 447,경기도 양평군 지평면 지평리 672-7,37.4712714652,127.6344506068,기타,정상가동,98.58,380,60,2024,발전사업용,2024-03-26,경기도 양평군,,2024-09-30
상동3태양광발전소,경기도 양평군 양동면 양동로 1895-31,경기도 양평군 양동면 쌍학리 869-7,37.4110196847,127.7556427976,기타,정상가동,73.2,380,60,2024,발전사업용,2024-02-22,경기도 양평군,,2024-09-30
상동2태양광발전소,경기도 양평군 양동면 양동로 1895-31,경기도 양평군 양동면 쌍학리 869-7,37.4110196847,127.7556427976,기타,정상가동,99,380,60,2024,발전사업용,2024-02-22,경기도 양평군,,2024-09-30
상동1 태양광발전소,경기도 양평군 양동면 양동로 1895-31,경기도 양평군 양동면 쌍학리 869-7,37.4110196847,127.7556427976,기타,정상가동,99,380,60,2024,발전사업용,2024-02-22,경기도 양평군,,2024-09-30
토마스 태양광발전소,경기도 양평군 지평면 수곡로 196-48,경기도 양평군 지평면 수곡리 497-2,37.4297088983,127.5982528896,기타,정상가동,196.2,380,60,2024,발전사업용,2024-02-02,경기도 양평군,,2024-09-30
앙덕2리 주민대표회의 태양관발전소,경기도 양평군 개군면 숲속마을길 1,경기도 양평군 개군면 앙덕리 294,37.4452168435,127.5140473115,기타,정상가동,17.4,220,60,2024,발전사업용,2024-01-12,경기도 양평군,,2024-09-30
부1리새마을회 태양광발전소 2호,경기도 양평군 개군면 쇠부리길 63,경기도 양평군 개군면 부리 125-2,37.4353917540,127.5511174402,기타,정상가동,6,220,60,2024,발전사업용,2024-01-11,경기도 양평군,,2024-09-30
옥천2호 태양광발전소,경기도 양평군 옥천면 소청이길 11,경기도 양평군 옥천면 아신리 123,37.5257094722,127.4494140034,기타,정상가동,24.99,380,60,2023,발전사업용,2023-12-28,경기도 양평군,,2024-09-30
자연리 태양광발전소,경기도 양평군 개군면 추읍로 187,경기도 양평군 개군면 자연리 110-5,37.4313541475,127.5590080764,기타,정상가동,10.2,220,60,2023,발전사업용,2023-12-21,경기도 양평군,,2024-09-30
장터발전소,경기도 양평군 용문면 장대1길 106,경기도 양평군 용문면 다문리 167-1,37.4783167538,127.6024958239,기타,정상가동,19.8,380,60,2023,발전사업용,2023-12-13,경기도 양평군,,2024-09-30
국수1리 새마을 태양광발전소,경기도 양평군 양서면 정자골길23번길 2,경기도 양평군 양서면 국수리 201-1,37.5224058699,127.4002743089,기타,정상가동,11,220,60,2023,발전사업용,2023-11-02,경기도 양평군,,2024-09-30
양평1태양광발전소,,경기도 양평군 지평면 옥현리 855,37.4315578386,127.6116843527,기타,정상가동,99.2,380,60,2023,발전사업용,2023-10-20,경기도 양평군,,2024-09-30
양평2태양광발전소,,경기도 양평군 지평면 옥현리 855,37.4315578386,127.6116843527,기타,정상가동,99.2,380,60,2023,발전사업용,2023-10-20,경기도 양평군,,2024-09-30
양평3태양광발전소,,경기도 양평군 지평면 옥현리 855,37.4315578386,127.6116843527,기타,정상가동,99.2,380,60,2023,발전사업용,2023-10-20,경기도 양평군,,2024-09-30
수진태양광발전소,,경기도 양평군 지평면 옥현리 855,37.4315578386,127.6116843527,기타,정상가동,99.2,380,60,2023,발전사업용,2023-10-20,경기도 양평군,,2024-09-30
양평태양광발전소,,경기도 양평군 지평면 옥현리 855,37.4315578386,127.6116843527,기타,정상가동,99.2,380,60,2023,발전사업용,2023-10-20,경기도 양평군,,2024-09-30
액티브넷태양광발전소,,경기도 양평군 지평면 옥현리 855,37.4315578386,127.6116843527,기타,정상가동,99.2,380,60,2023,발전사업용,2023-10-20,경기도 양평군,,2024-09-30
곡수1리 새마을회 태양광발전소,경기도 양평군 지평면 곡수뒷말길 4-1,경기도 양평군 지평면 곡수리 433-8,37.4163577400,127.6145145385,기타,정상가동,19.8,380,60,2023,발전사업용,2023-10-13,경기도 양평군,,2024-09-30
양지수발전소,경기도 양평군 지평면 오종개안길 21-28,경기도 양평군 지평면 수곡리 978-1,37.4220082420,127.5913669501,기타,정상가동,93.81,380,60,2023,발전사업용,2023-10-13,경기도 양평군,,2024-09-30
신원2호 태양광발전소,경기도 양평군 양서면 신원1길 21-10,경기도 양평군 양서면 신원리 397-6,37.5244824109,127.3753557375,기타,정상가동,29.75,380,60,2023,발전사업용,2023-08-30,경기도 양평군,,2024-09-30
청운미리6호 태양광발전소,경기도 양평군 청운면 경강로 4776-46,경기도 양평군 청운면 갈운리 608-1,37.5371073918,127.7605556931,기타,정상가동,51.66,380,60,2023,발전사업용,2023-08-14,경기도 양평군,,2024-09-30
향소태양광발전소,경기도 양평군 단월면 소정들길 21,경기도 양평군 단월면 향소리 17-1,37.5528881888,127.6669961196,기타,정상가동,33.32,380,60,2023,발전사업용,2023-08-14,경기도 양평군,,2024-09-30
문화류씨 약재공종중 태양광발전소,경기도 양평군 옥천면 용천로 468,경기도 양평군 옥천면 용천리 산 30-23,37.5577766803,127.5066322212,기타,정상가동,28.32,380,60,2023,발전사업용,2023-08-14,경기도 양평군,,2024-09-30
연수태양광발전소 1호,경기도 양평군 용문면 장수길 83,경기도 양평군 용문면 연수리 629-2,37.5132716651,127.5602912874,기타,정상가동,19.64,380,60,2023,발전사업용,2023-08-14,경기도 양평군,,2024-09-30
신점2리 새마을회 태양광발전소,경기도 양평군 용문면 용문산로 492-20,경기도 양평군 용문면 신점리 309-8,37.5371430397,127.5932455521,기타,정상가동,10.8,380,60,2023,발전사업용,2023-07-11,경기도 양평군,,2024-09-30
망미1리 새마을회 태양광발전소,경기도 양평군 지평면 대평로 471,경기도 양평군 지평면 망미리 1314-3,37.4434584062,127.6544714595,기타,정상가동,7.77,380,60,2023,발전사업용,2023-07-11,경기도 양평군,,2024-09-30
지평3리 새마을회 태양광발전소,경기도 양평군 지평면 지평의병로 72,경기도 양평군 지평면 지평리 1080-6,37.4754976232,127.6338224500,기타,정상가동,10.8,380,60,2023,발전사업용,2023-07-11,경기도 양평군,,2024-09-30
곡수2리 새마을회 태양광발전소,경기도 양평군 지평면 곡수길 85,경기도 양평군 지평면 곡수리 459-3,37.4166512437,127.6114646906,기타,정상가동,9.6,380,60,2023,발전사업용,2023-07-11,경기도 양평군,,2024-09-30
왕림버섯 태양광발전소 5호기,경기도 양평군 지평면 통로골길 36,경기도 양평군 지평면 수곡리 472-4,37.4329014907,127.5932521858,기타,정상가동,82.5,380,60,2023,발전사업용,2023-07-11,경기도 양평군,,2024-09-30
왕림버섯 태양광발전소 4호기,경기도 양평군 지평면 통로골길 36,경기도 양평군 지평면 수곡리 472-4,37.4329014907,127.5932521858,기타,정상가동,99,380,60,2023,발전사업용,2023-07-11,경기도 양평군,,2024-09-30
왕림버섯 태양광발전소 3호기,경기도 양평군 지평면 통로골길 36,경기도 양평군 지평면 수곡리 472-4,37.4329014907,127.5932521858,기타,정상가동,99,380,60,2023,발전사업용,2023-07-11,경기도 양평군,,2024-09-30
왕림버섯 태양광발전소 2호기,경기도 양평군 지평면 통로골길 36,경기도 양평군 지평면 수곡리 472-4,37.4329014907,127.5932521858,기타,정상가동,99,380,60,2023,발전사업용,2023-07-11,경기도 양평군,,2024-09-30
왕림버섯 태양광발전소 1호기,경기도 양평군 지평면 통로골길 36,경기도 양평군 지평면 수곡리 472-4,37.4329014907,127.5932521858,기타,정상가동,99,380,60,2023,발전사업용,2023-07-11,경기도 양평군,,2024-09-30
