태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
이상원 태양광발전소,경기도 여주시 가남읍 가남로 280-1,경기도 여주시 가남읍 양귀리 156-1,37.21379568,127.5806055,,정상가동,15,380,60,2012,,,,,2023-11-15
오일로태양광발전소,경기도 여주시 가남읍 대신리길 87-31,경기도 여주시 가남읍 대신리 97-2,37.19142708,127.5420652,,정상가동,30,380,60,2014,,,,,2023-11-15
계림1호 발전소,경기도 여주시 가남읍 대신리길 99-105,경기도 여주시 가남읍 은봉리 691,37.18494621,127.5429376,,정상가동,60.75,380,60,2020,,,,,2023-11-15
정태문 태양광발전소,경기도 여주시 가남읍 마구실길 47,경기도 여주시 가남읍 태평리 423-1,37.20219337,127.5375532,,정상가동,9,380,60,2012,,,,,2023-11-15
가자원태양광&farm,경기도 여주시 가남읍 삼정길 142-19,경기도 여주시 가남읍 송림리 68,37.18019075,127.6464869,,정상가동,29.75,380,60,2013,,,,,2023-11-15
산촌 태양광발전소,경기도 여주시 가남읍 상활2길 83-118,경기도 여주시 가남읍 신해리 495-1,37.23201358,127.5364059,,정상가동,11.97,380,60,2017,,,,,2023-11-15
신해1리햇빛발전소,경기도 여주시 가남읍 신해2길 9,경기도 여주시 가남읍 신해리 302-5,37.22501259,127.546932,,정상가동,51.8,380,60,2020,,,,,2023-11-15
이제현 태양광발전소,경기도 여주시 가남읍 양귀1길 37,경기도 여주시 가남읍 양귀리 424-3,37.20749748,127.5841494,,정상가동,15,380,60,2012,,,,,2023-11-15
새턴 태양광발전소,경기도 여주시 가남읍 양귀1길 37,경기도 여주시 가남읍 양귀리 424-3,37.20749748,127.5841494,,정상가동,30,380,60,2013,,,,,2023-11-15
유찬에너지,경기도 여주시 가남읍 양귀1길 8,경기도 여주시 가남읍 양귀리 370-2,37.20993969,127.5826977,,정상가동,49.68,380,60,2020,,,,,2023-11-15
성원 태양광발전소,경기도 여주시 가남읍 양화로 277,경기도 여주시 가남읍 화평리 218-3,37.24768881,127.5603721,,정상가동,33.18,380,60,2020,,,,,2023-11-15
가남 태양광발전소,경기도 여주시 가남읍 여주남로 631,경기도 여주시 가남읍 본두리 산 39-3,37.24205684,127.5838471,,정상가동,19.44,380,60,2019,,,,,2023-11-15
혜원 태양광발전소,경기도 여주시 가남읍 정단길 102-34,경기도 여주시 가남읍 정단리 120,37.25122859,127.550465,,정상가동,28,380,60,2020,,,,,2023-11-15
아진솔라팜,경기도 여주시 가남읍 정단길 102-34,경기도 여주시 가남읍 정단리 120,37.25122859,127.550465,,정상가동,28,380,60,2020,,,,,2023-11-15
