태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
유정현 태양광,경기도 연천군 전곡읍 선사로361번길 28,경기도 연천군 전곡읍 전곡리 324-29,38.0213856562,127.0739800173,옥상,정상가동,19.69,380,60,2025,태양광발전시설,2025-11-06,,,2025-11-24
모햇발전소 2410호 태양광발전소,서울특별시 성북구 보문로 91,서울특별시 성북구 보문동5가 7,37.58342471,127.0200533,기타,정상가동,423.8,380,60,2025,태양광발전시설,2025-10-31,,,2025-11-24
모햇발전소 2411호 태양광발전소,서울특별시 성북구 보문로 91,서울특별시 성북구 보문동5가 7,37.58342471,127.0200533,기타,정상가동,390,380,60,2025,태양광발전시설,2025-11-03,,,2025-11-24
고능 태양광발전소,경기도 연천군 전곡읍 양연로1503번길 122-33,경기도 연천군 전곡읍 고능리 52,38.0177757118,127.0539877238,기타,정상가동,170.1,380,60,2025,태양광발전시설,2025-10-31,,,2025-11-24
옥길리883 태양광발전소,경기도 파주시 고봉로 755-27,경기도 파주시 상지석동 133-27,37.7236894344,126.7901608204,기타,정상가동,997.92,380,60,2025,태양광발전시설,2025-09-30,,,2025-11-24
북삼에너지1호 태양광발전소,,경기도 연천군 왕징면 북삼리 676,38.0842736958,126.973937872,기타,정상가동,849.92,380,60,2025,태양광발전시설,2025-09-29,,,2025-11-24
우정새마을회 태양광발전소,경기도 연천군 미산면 청정로1715번길 15-1,경기도 연천군 미산면 우정리 427-7,38.0525395777,127.0098563559,옥상,정상가동,10.2,380,60,2025,태양광발전시설,2025-09-29,,,2025-11-24
제이 태양광발전소,경기도 수원시 권선구 칠보로 102,경기도 수원시 권선구 호매실동 1361,37.2657948882,126.950430371,기타,정상가동,84,380,60,2025,태양광발전시설,2025-09-04,,,2025-11-24
리본에너지 태양광발전소,,경기도 연천군 청산면 백의리 117,38.0285380589,127.1326049453,기타,정상가동,84,380,60,2025,태양광발전시설,2025-09-04,,,2025-11-24
사단 태양광발전소,경기도 용인시 수지구 성복2로 10,경기도 용인시 수지구 성복동 789,37.3112644829,127.0832141605,기타,정상가동,84,380,60,2025,태양광발전시설,2025-09-04,,,2025-11-24
빛초록백의 태양광발전소,경기도 포천시 내촌면 금강로2820번길 29,경기도 포천시 내촌면 소학리 109,37.8168837157,127.2609652761,기타,정상가동,249.6,380,60,2025,태양광발전시설,2025-09-04,,,2025-11-24
상생9호 태양광발전소,경기도 수원시 영통구 인계로284번길 5-8,경기도 수원시 영통구 매탄동 819-2,37.2632215837,127.0478631697,기타,정상가동,99.12,380,60,2025,태양광발전시설,2025-09-01,,,2025-11-24
광산백의리 태양광발전소,,경기도 연천군 청산면 백의리 636-2,38.0173207447,127.1103666963,기타,정상가동,499.73,380,60,2025,태양광발전시설,2025-09-01,,,2025-11-24
참태양광백의리 태양광발전소,경상북도 안동시 경동로 433,경상북도 안동시 태화동 692-7,36.5687900812,128.7071458881,기타,정상가동,499.73,380,60,2025,태양광발전시설,2025-09-01,,,2025-11-24
연천백의리 태양광발전소,경상북도 예천군 호명읍 검무로 27,경상북도 예천군 호명읍 산합리 1400,36.5791068166,128.494681976,기타,정상가동,99.12,380,60,2025,태양광발전시설,2025-09-01,,,2025-11-24
메테시드백의 태양광발전소,경상북도 포항시 북구 양학로32번길 9-2,경상북도 포항시 북구 학잠동 38-40,36.0263723888,129.3513878087,기타,정상가동,99.12,380,60,2025,태양광발전시설,2025-09-01,,,2025-11-24
금강5호 태양광발전소,경기도 수원시 영통구 인계로284번길 5-8,경기도 수원시 영통구 매탄동 819-2,37.2632215837,127.0478631697,기타,정상가동,99.12,380,60,2025,태양광발전시설,2025-09-01,,,2025-11-24
다니3호 태양광발전소,경기도 시흥시 배곧3로 27-8,경기도 시흥시 배곧동 139,37.3744461951,126.7269934628,기타,정상가동,99.12,380,60,2025,태양광발전시설,2025-09-01,,,2025-11-24
문백의리 태양광발전소,경기도 과천시 별양로 11,경기도 과천시 원문동 10,37.4230629409,126.9908331982,기타,정상가동,302.08,380,60,2025,태양광발전시설,2025-09-01,,,2025-11-24
신대문2호 태양광발전소,경기도 파주시 별하람로 53,경기도 파주시 와동동 1664-601,,,기타,정상가동,89.54,380,60,2025,태양광발전시설,2025-08-28,,,2025-11-24
신대문1호 태양광발전소,경기도 파주시 별하람로 53,경기도 파주시 와동동 1664-601,,,기타,정상가동,89.54,380,60,2025,태양광발전시설,2025-08-28,,,2025-11-24
평화로 720 태양광발전소,경기도 연천군 전곡읍 은빛로 16,경기도 연천군 전곡읍 은대리 485-12,38.034500813,127.0657314538,옥상,정상가동,40.96,380,60,2025,태양광발전시설,2025-08-28,,,2025-11-24
(주)플레이팩토리2호 태양광발전소,서울특별시 영등포구 여의나루로 7,서울특별시 영등포구 여의도동 28,37.52033261,126.9206805,기타,정상가동,721.36,380,60,2025,태양광발전시설,2025-08-19,,,2025-11-24
22호썬토피아(주) 태양광발전소,서울특별시 영등포구 여의나루로 7,서울특별시 영등포구 여의도동 28,37.52033261,126.9206805,기타,정상가동,929.64,380,60,2025,태양광발전시설,2025-08-19,,,2025-11-24
디케이씨발전소,경기도 광명시 양지로 21,경기도 광명시 일직동 512-3,37.4186747296,126.8826473235,기타,정상가동,391.92,380,60,2025,태양광발전시설,2025-08-18,,,2025-11-24
고박사 연천 태양광발전소,경기도 용인시 수지구 만현로 127,경기도 용인시 수지구 상현동 861,37.3045669038,127.087711863,기타,정상가동,250.19,380,60,2025,태양광발전시설,2025-08-07,,,2025-11-24
서종 양원 태양광발전소,경기도 양평군 서종면 갈맬길 45-11,경기도 양평군 서종면 문호리 489-20,37.6173224483,127.3547592609,기타,정상가동,250.19,380,60,2025,태양광발전시설,2025-06-25,,,2025-11-24
연천양원광동 태양광발전소,인천광역시 연수구 송도과학로27번길 30,인천광역시 연수구 송도동 157,37.3845629781,126.6644501082,기타,정상가동,89.53,380,60,2025,태양광발전시설,2025-08-07,,,2025-11-24
