태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
병준태양광발전소,경기도 오산시 부산동길 69 (부산동),,37.184989,127.033192,옥상,정상가동,19.53,380,60,2024,발전사업용,2024-07-03,경기도 오산시,170.0,2025-06-30
신형에프에이 태양광발전소,경기도 오산시 가장산업서북로 103-20 (지곶동),,37.161279,127.0305984,옥상,정상가동,495.3,380,60,2024,발전사업용,2024-06-24,경기도 오산시,479.0,2025-06-30
보은태양광 발전소,"경기도 오산시 외삼미로152번길 12, (주)허브그린 (외삼미동)",,37.156141,127.071491,옥상,정상가동,59.4,380,60,2024,발전사업용,2024-04-29,경기도 오산시,493.0,2025-06-30
소영호 태양광발전소,경기도 오산시 청호로 17 (갈곶동),,37.156141,127.071491,옥상,정상가동,70.0,380,60,2024,발전사업용,2024-04-12,경기도 오산시,481.0,2025-06-30
아델스 태양광발전소,경기도 오산시 독산성로269번길 6-8 (지곶동),,37.18266055,127.0275074,옥상,정상가동,71.3,380,60,2023,발전사업용,2023-12-08,경기도 오산시,405.0,2025-06-30
가장동태양광발전소,"경기도 오산시 가장산업동로 28-48, 태화산업 (가장동)",,37.1530682,127.0733128,옥상,정상가동,199.92,380,60,2023,발전사업용,2023-09-04,경기도 오산시,76.0,2025-06-30
명희태양광발전소,경기도 오산시 세남로 74-3 (세교동),,37.1895823,127.041668,옥상,정상가동,78.54,380,60,2023,발전사업용,2023-07-17,경기도 오산시,456.0,2025-06-30
정동발전소,경기도 오산시 가장로534번길 37 (가장동),,37.193727,127.041963,옥상,정상가동,93.22,380,60,2023,발전사업용,2023-04-17,경기도 오산시,463.0,2025-06-30
시온4호 태양광발전소,경기도 오산시 수목원로 46-25(누읍동),,37.18415635,127.0383417,옥상,정상가동,149.76,380,60,2023,발전사업용,2023-03-14,경기도 오산시,468.0,2025-06-30
시온3호 태양광발전소,경기도 오산시 수목원로 46-25(누읍동),,37.1939793,127.041975,옥상,정상가동,149.76,380,60,2023,발전사업용,2023-03-14,경기도 오산시,464.0,2025-06-30
