태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
주주 태양광발전소,경기도 용인시 처인구 이동읍 묘봉로,경기도 용인시 처인구 이동읍,,,,정상가동,31.5,380,60,2025,,2024-11-27,경기도 용인시,,2025-07-22
다락원 6호 태양광발전소,경기도 용인시 처인구 백암면 백원로,경기도 용인시 처인구 백암면,,,,정상가동,73.03,380,60,2025,,2024-11-22,경기도 용인시,,2025-07-22
쏠라윈 태양광발전소,경기도 용인시 처인구 이동읍 덕성산단1로,경기도 용인시 처인구 이동읍,,,,폐기,121.25,380,60,2025,,2024-10-29,경기도 용인시,,2025-07-22
소금 태양광발전소,경기도 용인시 처인구 백령로,경기도 용인시 처인구 유방동,,,,정상가동,26.46,380,60,2025,,2024-10-16,경기도 용인시,,2025-07-22
성○ 태양광발전소,경기도 용인시 처인구 원삼면 죽양대로,경기도 용인시 처인구 원삼면,,,,정상가동,200,380,60,2025,,2024-10-02,경기도 용인시,,2025-07-22
승리사 태양광발전소2호,경기도 용인시 처인구 모현읍 곡현로,경기도 용인시 처인구 모현읍,,,,정상가동,88.2,380,60,2025,,2024-09-25,경기도 용인시,,2025-07-22
승리사 태양광발전소1호,경기도 용인시 처인구 모현읍 곡현로,경기도 용인시 처인구 모현읍,,,,정상가동,99.54,380,60,2025,,2024-09-25,경기도 용인시,,2025-07-22
세양산업 태양광발전소,경기도 용인시 처인구 이동읍 묘봉로,경기도 용인시 처인구 이동읍,,,,정상가동,98.91,380,60,2025,,2024-09-25,경기도 용인시,,2025-07-22
이○○ 태양광발전소,경기도 용인시 처인구 모현읍 이일로,경기도 용인시 처인구 모현읍,,,,정상가동,51.66,380,60,2025,,2024-09-03,경기도 용인시,,2025-07-22
장○○ 태양광발전소,경기도 용인시 처인구 모현읍 백옥대로,경기도 용인시 처인구 모현읍,,,,정상가동,25.63,380,60,2025,,2024-08-20,경기도 용인시,,2025-07-22
피케이 태양광발전소,경기도 용인시 처인구 이동읍 묘봉로,경기도 용인시 처인구 이동읍,,,,정상가동,87.63,380,60,2025,,2024-08-20,경기도 용인시,,2025-07-22
쏠에너지 태양광발전소,경기도 용인시 처인구 이동읍 묘봉로,경기도 용인시 처인구 이동읍,,,,정상가동,87.63,380,60,2024,,2024-08-20,경기도 용인시,,2025-07-22
박○○ 태양광발전소,경기도 용인시 처인구 양지면 주북로,경기도 용인시 처인구 양지면,,,,정상가동,99.54,380,60,2024,,2024-08-14,경기도 용인시,,2025-07-22
제이에이치5호 태양광발전소,경기도 용인시 처인구 백암면 청계로,경기도 용인시 처인구 백암면,,,,정상가동,117.18,380,60,2025,,2024-08-13,경기도 용인시,,2025-07-22
박○○ 태양광발전소,경기도 용인시 처인구 백암면 삼백로,경기도 용인시 처인구 백암면,,,,정상가동,30,380,60,2024,,2024-08-13,경기도 용인시,,2025-07-22
유○ 태양광발전소,경기도 용인시 처인구 모현읍 백옥대로,경기도 용인시 처인구 모현읍,,,,정상가동,53.1,380,60,2024,,2024-08-12,경기도 용인시,,2025-07-22
별빛 태양광발전소,경기도 용인시 기흥구 동백1로,경기도 용인시 기흥구 중동,,,,정상가동,18.9,380,60,2025,,2024-08-09,경기도 용인시,,2025-07-22
조○○2 태양광발전소,경기도 용인시 처인구 모현읍 외개일로,경기도 용인시 처인구 모현읍,,,,정상가동,16.88,380,60,2025,,2024-08-08,경기도 용인시,,2025-07-22
조○○1 태양광발전소,경기도 용인시 처인구 모현읍 외개일로,경기도 용인시 처인구 모현읍,,,,정상가동,16.25,380,60,2024,,2024-08-08,경기도 용인시,,2025-07-22
상○ 태양광발전소,경기도 용인시 처인구 백암면 용천로,경기도 용인시 처인구 백암면,,,,정상가동,314.4,380,60,2025,,2024-07-17,경기도 용인시,,2025-07-22
신○○ 태양광발전소,경기도 용인시 처인구 포곡읍 석성로,경기도 용인시 처인구 포곡읍,,,,정상가동,89.46,380,60,2025,,2024-07-10,경기도 용인시,,2025-07-22
대전 태양광발전소,경기도 용인시 처인구 포곡읍 석성로,경기도 용인시 처인구 포곡읍,,,,정상가동,60.48,380,60,2024,,2024-07-10,경기도 용인시,,2025-07-22
큐브 태양광발전소,경기도 용인시 처인구 모현읍 문현로,경기도 용인시 처인구 모현읍,,,,정상가동,60,380,60,2024,,2024-07-09,경기도 용인시,,2025-07-22
한○2호 태양광발전소,경기도 용인시 처인구 포곡읍 옥현로,경기도 용인시 처인구 포곡읍,,,,정상가동,35.56,380,60,2024,,2024-07-02,경기도 용인시,,2025-07-22
다락원 1호 태양광발전소,경기도 용인시 처인구 백암면 백원로,경기도 용인시 처인구 백암면,,,,정상가동,89.54,380,60,2024,,2024-07-01,경기도 용인시,,2025-07-22
동광 태양광발전소,경기도 용인시 처인구 백암면 고안로,경기도 용인시 처인구 백암면,,,,정상가동,466.83,380,60,2024,,2024-06-17,경기도 용인시,,2025-07-22
정○발전소1호 태양광발전소,경기도 용인시 처인구 모현읍 초부로,경기도 용인시 처인구 모현읍,,,,정상가동,30.94,380,60,2024,,2024-05-28,경기도 용인시,,2025-07-22
오○○ 태양광발전소,경기도 용인시 처인구 원삼면 어현로,경기도 용인시 처인구 원삼면,,,,정상가동,16.66,380,60,2024,,2024-05-27,경기도 용인시,,2025-07-22
스카이 태양광발전소,경기도 용인시 처인구 포곡읍 금어로,경기도 용인시 처인구 포곡읍,,,,정상가동,33,380,60,2024,,2024-05-21,경기도 용인시,,2025-07-22
진성기업 태양광발전소,경기도 용인시 처인구 모현읍 백옥대로,경기도 용인시 처인구 모현읍,,,,정상가동,38.4,380,60,2024,,2024-05-22,경기도 용인시,,2025-07-22
예○5호 태양광발전소,경기도 용인시 처인구 백암면 삼백로,경기도 용인시 처인구 백암면,,,,폐기,22.99,380,60,2024,,2024-05-17,경기도 용인시,,2025-07-22
예○4호 태양광발전소,경기도 용인시 처인구 백암면 삼백로,경기도 용인시 처인구 백암면,,,,정상가동,99.22,380,60,2024,,2024-05-17,경기도 용인시,,2025-07-22
예○3호 태양광발전소,경기도 용인시 처인구 백암면 삼백로,경기도 용인시 처인구 백암면,,,,정상가동,99.22,380,60,2024,,2024-05-17,경기도 용인시,,2025-07-22
예○2호 태양광발전소,경기도 용인시 처인구 백암면 삼백로,경기도 용인시 처인구 백암면,,,,정상가동,99.22,380,60,2024,,2024-05-17,경기도 용인시,,2025-07-22
예○1호 태양광발전소,경기도 용인시 처인구 백암면 삼백로,경기도 용인시 처인구 백암면,,,,정상가동,99.22,380,60,2025,,2024-05-17,경기도 용인시,,2025-07-22
여명2호 태양광발전소,경기도 용인시 처인구 원삼면 두창로,경기도 용인시 처인구 원삼면,,,,정상가동,99.38,380,60,2025,,2024-05-17,경기도 용인시,,2025-07-22
여명3호 태양광발전소,경기도 용인시 처인구 원삼면 두창로,경기도 용인시 처인구 원삼면,,,,정상가동,99.38,380,60,2025,,2024-05-17,경기도 용인시,,2025-07-22
여명4호 태양광발전소,경기도 용인시 처인구 원삼면 두창로,경기도 용인시 처인구 원삼면,,,,정상가동,99.38,380,60,2025,,2024-05-17,경기도 용인시,,2025-07-22
여명5호 태양광발전소,경기도 용인시 처인구 원삼면 두창로,경기도 용인시 처인구 원삼면,,,,폐기,50,380,60,2024,,2024-05-17,경기도 용인시,,2025-07-22
햅스토어 태양광발전소,경기도 용인시 처인구 백암면 삼백로,경기도 용인시 처인구 백암면,,,,정상가동,276.52,380,60,2024,,2024-05-17,경기도 용인시,,2025-07-22
트리화인 태양광발전소,경기도 용인시 처인구 이동읍 덕성산단1로,경기도 용인시 처인구 이동읍,,,,정상가동,108.9,380,60,2024,,2024-05-10,경기도 용인시,,2025-07-22
포에스지 태양광발전소,경기도 용인시 수지구 동천로,경기도 용인시 수지구 동천동,,,,폐기,66,380,60,2024,,2024-05-09,경기도 용인시,,2025-07-22
예○2호 태양광발전소,경기도 용인시 처인구 백암면 삼백로,경기도 용인시 처인구 백암면,,,,정상가동,99.22,380,60,2024,,2024-05-09,경기도 용인시,,2025-07-22
예○1호 태양광발전소,경기도 용인시 처인구 백암면 삼백로,경기도 용인시 처인구 백암면,,,,정상가동,99.22,380,60,2024,,2024-05-09,경기도 용인시,,2025-07-22
예○3호 태양광발전소,경기도 용인시 처인구 백암면 삼백로,경기도 용인시 처인구 백암면,,,,정상가동,99.22,380,60,2024,,2024-05-09,경기도 용인시,,2025-07-22
