태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
의왕시부곡하수처리장태양광발전소,경기도 의왕시 왕송못동로289,경기도 의왕시 월암동 568,,,옥상,정상가동,50,380,60,2007,,,경기도청,,2025-11-28
롯데마트의왕점태양광발전소,경기도 의왕시 계원대학로7,경기도 의왕시 내손동 743 롯데마트,,,옥상,정상가동,99.491,380,60,2011,,,경기도청,,2025-11-28
재인태양광발전소,경기도 의왕시 부곡중앙남5길 19-8(삼동),경기도 의왕시 삼동 215-39,,,옥상,정상가동,15,380,60,2014,,,경기도 의왕시청,,2025-11-28
선덕여왕태양광발전소,경기도 의왕시 통미마을길 23-12(왕곡동),경기도 의왕시 왕곡동 382,,,옥상,정상가동,19,380,60,2014,,,경기도 의왕시청,,2025-11-28
왕곡태양광발전소,경기도 의왕시 왕곡로218,경기도 의왕시 왕곡동 39번지,,,옥상,정상가동,30.6,380,60,2018,,,경기도 의왕시청,,2025-11-28
부곡중앙태양광발전소,경기도 의왕시 부곡중앙남6길31,경기도 의왕시 삼동 216번지 23,,,옥상,정상가동,29.25,380,60,2019,,,경기도 의왕시청,,2025-11-28
의왕시민햇빛발전소1호,경기도 의왕시 왕송못동로307,경기도 의왕시 월암동 543-3,,,주차장,정상가동,516.15,380,60,2020,,,경기도청,,2025-11-28
성재하우스태양광발전소,경기도 의왕시 백운로 163 (오전동),경기도 의왕시 오전동,,,옥상,정상가동,16.65,380,60,2020,,,경기도 의왕시청,,2025-11-28
덕성태양광발전소,경기도 의왕시 초평로 154-3 (초평동),경기도 의왕시 초평동,,,옥상,정상가동,49.47,380,60,2021,,,경기도 의왕시청,,2025-11-28
의왕태양광발전소,경기도 의왕시 오봉산단3로60,경기도 의왕시 삼동 715,,,옥상,정상가동,244.8,380,60,2022,,,경기도 의왕시청,,2025-11-28
우미씽크대붙박이장,경기도 의왕시 백운로157,경기도 의왕시 오전동 663-17,,,옥상,정상가동,19.11,380,60,2021,,,경기도 의왕시청,,2025-11-28
수양태양광발전소,경기도 의왕시 철도박물관로8,경기도 의왕시 삼동 428-10,,,옥상,정상가동,73.71,380,60,2022,,,경기도 의왕시청,,2025-11-28
의왕시민햇빛발전소2호,경기도 의왕시 내손순환로139,경기도 의왕시 내손동 666,,,옥상,정상가동,99.19,380,60,2022,,,경기도 의왕시청,,2025-11-28
이병두 태양광발전소,경기도 의왕시 골우물길 33-1 (고천동),경기도 의왕시 고천동 154-1,,,옥상,정상가동,16.83,380,60,2023,,,경기도 의왕시청,,2025-11-28
의왕 백운호수 2호 태양광발전소,경기도 의왕시 의일로 65,경기도 의왕시 학의동 512-1,,,주차장,정상가동,90.75,380,60,2024,,,경기도 의왕시청,,2025-11-28
의왕 백운호수 1호 태양광발전소,경기도 의왕시 의일로 65,경기도 의왕시 학의동 512-1,,,주차장,정상가동,46.75,380,60,2024,,,경기도 의왕시청,,2025-11-28
오케이 1호 태양광발전소,경기도 의왕시 안양판교로 257,경기도 의왕시 청계동 996-11,,,옥상,정상가동,66.78,380,60,2025,,,경기도 의왕시청,,2025-11-28
