태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
의정부공공하수처리시설 태양광 발전소[의정부시],경기도 의정부시 장곡로 147,경기도 의정부시 장암동 44-5,37.72247853,127.0516878,옥상,정상가동,327.6,380,60,2013,발전사업용,2012-07-17,경기도 의정부시청,,2025-07-31
녹양 태양광 발전소,경기도 의정부시 버들로47번길 11,경기도 의정부시 녹양동 207-1,37.7638423,127.0218976,옥상,정상가동,30,380,60,2012,발전사업용,2012-08-07,경기도 의정부시청,,2025-07-31
도봉차량기지 태양광발전소,경기도 의정부시 서계로 42,경기도 의정부시 장암동 153,37.70517625,127.0556136,주차장,정상가동,700,380,60,2013,발전사업용,2013-08-02,경기도 의정부시청,,2025-07-31
푸른숲 태양광발전소,경기도 의정부시 녹양로 125번길 133,경기도 의정부시 녹양동 190-11,37.76240595,127.0271957,옥상,정상가동,70,380,60,2013,발전사업용,2013-08-08,경기도청,,2025-07-31
대광 태양광발전소,경기도 의정부시 신흥로 355,경기도 의정부시 가능동 648-36,37.74795451,127.0425073,옥상,정상가동,19.75,380,60,2013,발전사업용,2013-12-03,경기도청,,2025-07-31
김혜선태양광발전소,경기도 의정부시 평화로49번길 58,경기도 의정부시 호원동 217-5,37.69712724,127.0420465,옥상,정상가동,49,380,60,2014,발전사업용,2013-12-09,경기도 의정부시청,,2025-07-31
(주)대륜발전,경기도 의정부시 민락로 244-6,경기도 의정부시 민락동 852,37.74479871,127.105480,주차장,정상가동,282,380,60,2014,발전사업용,2014-01-09,경기도 의정부시청,1720,2025-07-31
SYH태양광발전소,경기도 의정부시 호국로1346번길 32-6,경기도 의정부시 의정부동 20-11,37.74360383,127.053359,옥상,정상가동,12,380,60,2014,발전사업용,2014-01-29,경기도 의정부시청,,2025-07-31
해 발전소 2호,"경기도 의정부시 호국로1051번길 34, 3층",경기도 의정부시 가능동 591-35,37.74223427,127.0220629,옥상,정상가동,10.62,380,60,2014,발전사업용,2014-02-25,경기도청,,2025-07-31
루시아참요양원발전소,경기도 의정부시 입석로70번길 60,경기도 의정부시 녹양동 314,37.75759471,127.0188436,옥상,정상가동,30.8,380,60,2014,발전사업용,2014-06-12,경기도 의정부시청,,2025-07-31
도봉차량기지 태양광발전소,경기도 의정부시 서계로 42,"경기도 의정부시 장암동 153, 297",37.70517625,127.0556136,주차장,정상가동,648,380,60,2012,발전사업용,2015-03-09,경기도청,,2025-07-31
에너비스솔라제2태양광발전소,경기도 의정부시 평화로 453,경기도 의정부시 의정부동 369-6,37.73246252,127.0476915,옥상,정상가동,40.26,380,60,2015,발전사업용,2015-04-08,경기도 의정부시청,645.96,2025-07-31
신흥태양광발전소,경기도 의정부시 보한재길 47,경기도 의정부시 고산동 276-2,37.73592873,127.107010,옥상,정상가동,35.28,380,60,2018,발전사업용,2015-05-08,경기도 의정부시청,152.31,2025-07-31
장백태양광발전소,경기도 의정부시 신촌로 86,경기도 의정부시 의정부동 235-39,37.75031054,127.0442297,옥상,정상가동,14.81,380,60,2017,발전사업용,2016-10-04,경기도 의정부시청,122.6,2025-07-31
신일태양광발전소,경기도 의정부시 망월로 10,경기도 의정부시 호원동 119-138,37.70860998,127.0468426,옥상,정상가동,26.46,380,60,2017,발전사업용,2017-08-28,경기도 의정부시청,155.32,2025-07-31
호루스벤누태양광발전소,경기도 의정부시 체육로 250-34,경기도 의정부시 녹양동 407-9,37.76071365,127.0366013,옥상,정상가동,61.2,380,60,2018,발전사업용,2017-09-22,경기도 의정부시청,351.57,2025-07-31
해발전소1호,경기도 의정부시 호국로 1069-5,경기도 의정부시 가능동 583-12,37.7427472,127.0225424,옥상,정상가동,12.45,380,60,2019,발전사업용,2019-07-17,경기도 의정부시청,64.272,2025-07-31
호원테니스장 태양광 발전소,경기도 의정부시 범골로35번길 87,경기도 의정부시 호원동 381-27,37.7272352,127.0353451,옥상,정상가동,99.84,380,60,2022,발전사업용,2021-10-15,경기도 의정부시청,510,2025-07-31
서원 태양광발전소,경기도 의정부시 입석로 70,경기도 의정부시 가능동 420-5,37.755352,127.018202,주차장 +,정상가동,74.8,380,60,2022,발전사업용,2022-01-18,경기도 의정부시청,1829,2025-07-31
시너지에너지5호 태양광,경기도 의정부시 산단로 152,경기도 의정부시 용현동 519-1,37.74648504,127.0826934,옥상,정상가동,299.52,380,60,2012,발전사업용,2022-03-02,경기도 의정부시청,1736.54,2025-07-31
동훈 태양광발전소,경기도 의정부시 입석로 68,경기도 의정부시 가능동 420-6,37.75564311,127.0186177,주차장 +,정상가동,74.8,380,60,2022,발전사업용,2022-03-23,경기도 의정부시청,1500,2025-07-31
제2호 의정부시민햇빛발전소,경기도 의정부시 민락로 299,경기도 의정부시 민락동 888,37.74921112,127.1093237,옥상,정상가동,81.12,380,60,2012,발전사업용,2022-07-19,경기도 의정부시청,402,2025-07-31
의정부 칠성 바이오가스 발전소,경기도 의정부시 장곡로 147,경기도 의정부시 장암동 44-5,37.72247853,127.0516878,기타,정상가동,720,380,60,2023,발전사업용,2023-08-24,경기도 의정부시청,294.06,2025-07-31
제3호 의정부시민햇빛발전소,경기도 의정부시 청사로 1,경기도 의정부시 신곡동 800,37.74753665,127.0716818,옥상,정상가동,123.22,380,60,2023,발전사업용,2023-10-30,경기도 의정부시청,578.28,2025-07-31
경기도민 햇빛발전소 11호기_북부청사,경기도 의정부시 청사로 1,경기도 의정부시 신곡동 800,37.74753665,127.0716818,옥상 + ,정상가동,147.46,380,60,2024,발전사업용,2023-10-30,경기도 의정부시청,692.04,2025-07-31
동두천자연에너지 햇빛2호 경기북부청사 발전소,경기도 의정부시 청사로 1,경기도 의정부시 신곡동 800,37.74753665,127.0716818,주차장,정상가동,89.39,380,60,2024,발전사업용,2023-11-06,경기도 의정부시청,419.49,2025-07-31
제1호 의정부시민햇빛발전소,경기도 의정부시 체육로 72(녹양동),경기도 의정부시 녹양동 산 89-15,37.75583958,127.026600,주차장,정상가동,99.36,380,60,2023,발전사업용,2022-02-07,경기도 의정부시청,481.2,2025-07-31
류정현 태양광발전소,경기도 의정부시 용민로303번길 31 (낙양동),경기도 의정부시 낙양동 722-3,37.75272355,127.1031117,옥상,정상가동,18.42,380,60,2025,발전사업용,2023-07-06,경기도 의정부시청,79.15,2025-07-31
SK의정부 태양광발전소,경기도 의정부시 의정로 82 (의정부동),경기도 의정부시 의정부동 476,37.74011297,127.0351194,옥상,정상가동,37.49,380,60,2024,발전사업용,2023-08-11,경기도 의정부시청,181.48,2025-07-31
제4호 의정부시민햇빛발전소,"경기도 의정부시 범골로 137, 경기도일자리재단 여성능력개발본부 (의정부동)",경기도 의정부시 의정부동 510,37.73618866,127.0407508,옥상,정상가동,75,380,60,2024,발전사업용,2024-05-09,경기도 의정부시청,340,2025-07-31
동두천자연에너지 햇빛3호 경기건설본부 발전소,"경기도 의정부시 범골로 138, 경기도건설본부 북부도로과 (의정부동)",경기도 의정부시 의정부동 551-2,37.73557147,127.0408292,옥상 + ,정상가동,139.38,380,60,2025,발전사업용,2024-08-06,경기도 의정부시청,650,2025-07-31
