태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
다누리 태양광 행복발전소 1호,,경기도 여주시 강천면 걸은리 산90,,,,가동중단,2000,22900,60,1910,발전사업용,,경기도,,2025-11-18
연천광성 태양광발전소,,경기도 연천군 왕징면 강서리 산62-1외 3필지,,,,가동중단,1996,22900,60,1910,발전사업용,,경기도,,2025-11-18
해바라기3 발전소,,경기도 연천군 미산면 아미리 산179-1,38.0322925217525,126.943741102659,,가동중단,2994,22900,60,1910,발전사업용,,경기도,,2025-11-18
효촌지구 수상태양광 발전소,경기도 양주시 남면 휴암로284번길 316-8,경기도 양주시 남면 구암리 340,37.8745786276007,126.971175074255,,가동중단,2999,22900,60,1910,발전사업용,,경기도,,2025-11-18
에스엘에너지발전소,,경기도 연천군 미산면 아미리 산179-1,38.0322925217525,126.943741102659,,가동중단,2994,22900,60,1910,발전사업용,,경기도,,2025-11-18
아민에너지 발전소,,경기도 연천군 미산면 아미리 산179-1,38.0322925217525,126.943741102659,,가동중단,2100,22900,60,1910,발전사업용,,경기도,,2025-11-18
도농에너지 제1발전소,,경기도 연천군 미산면 아미리 산179-1,38.0322925217525,126.943741102659,,가동중단,2100,22900,60,1910,발전사업용,,경기도,,2025-11-18
네모그린1 발전소,,경기도 연천군 미산면 아미리 산179-1,38.0322925217525,126.943741102659,,가동중단,2100,22900,60,1910,발전사업용,,경기도,,2025-11-18
현경 태양광발전소,경기도 안성시 사곡길 106-22,경기도 안성시 사곡동 산 77-1,,,,가동중단,2018,22900,60,1910,발전사업용,,경기도,,2025-11-18
굿파워 화성운평 태양광발전소,,경기도 화성시 우정읍 운평리 1141-8 등,37.0672044457365,126.769142254844,,가동중단,1955,22900,60,1910,발전사업용,,경기도,,2025-11-18
굿파워 화성운평2호 태양광발전소,,"경기도 화성시 우정읍 운평리 798-4, 798-9, 798-10, 798-11, 798-12, 902-2, 902-4, 903-1, 903-6, 903-7",,,,가동중단,2600,22900,60,1910,발전사업용,,경기도,,2025-11-18
군남옥계 태양광발전소,,경기도 연천군 군남면 옥계리 184,38.1316351188368,127.054855173065,,가동중단,1800,22900,60,1910,발전사업용,,경기도,,2025-11-18
마전리 태양광발전소,,경기도 연천군 신서면 마전리 8,38.2302862104152,127.115794717001,,가동중단,1500,22900,60,1910,발전사업용,,경기도,,2025-11-18
삼정 태양광발전소,,"경기도 포천시 신북면 삼정리 24, 26",,,,가동중단,2100,22900,60,1910,발전사업용,,경기도,,2025-11-18
건일산업 태양광발전소,경기도 연천군 장남면 장백로 353,경기도 연천군 장남면 원당리 1558(건물 위),37.9885223513393,126.878397195445,,가동중단,1080,22900,60,1910,발전사업용,,경기도,,2025-11-18
가현2 태양광발전소,,경기도 김포시 통진읍 가현리 140-1,37.6735219482048,126.603675314081,,가동중단,1030,22900,60,1910,발전사업용,,경기도,,2025-11-18
경기 광주 오포 맑은물 복원센터 태양광발전소,경기도 광주시 문현로 71,경기도 광주시 문형동 332,,,,가동중단,1272,22900,60,1910,발전사업용,,경기도,,2025-11-18
경기 광주 맑은물 복원센터 태양광발전소,경기도 광주시 초월읍 경수길 11,"경기도 광주시 초월읍 지월리 729-23, 729-45, 729-43, 729-37, 729-44, 729-46(건물 위)",,,,가동중단,1618,22900,60,1910,발전사업용,,경기도,,2025-11-18
경기 광주 곤지암 태양광발전소,경기도 광주시 초월읍 현산로 130-24,경기도 광주시 초월읍 도평리 8-1,,,,가동중단,2440,22900,60,1910,발전사업용,,경기도,,2025-11-18
케이씨태양광발전㈜,,경기도 화성시 서신면 전곡리 630-5,37.1917719635812,126.669794134966,,정상가동,1130,22900,60,2008,발전사업용,,경기도,,2025-11-18
안산하수처리시설 태양광 발전소,경기도 안산시 단원구 첨단로 312,경기도 안산시 단원구 성곡동 791 하수처리시설 위,,,,정상가동,1368,22900,60,2013,발전사업용,,경기도,,2025-11-18
안산 연성정수장 태양광발전소,경기도 시흥시 시흥대로412번길 87,"경기도 시흥시 광석동 146-1(여과지동 옥상, 송수펌프동 옥상, 침전지 상부)",,,,정상가동,1490,22900,60,2013,발전사업용,,경기도,,2025-11-18
KnH솔라 KTC 태양광발전소,경기도 화성시 팔탄면 3.1만세로 643-11,경기도 화성시 팔탄면 해창리 160외5필지(건물지붕),37.1109657687818,126.869996656813,,정상가동,1387,22900,60,2013,발전사업용,,경기도,,2025-11-18
큐원솔라 광명시 맑은물사업소 태양광발전소,,경기도 광명시 노온사동 2-1,37.4494537386043,126.855733917842,,정상가동,1783,22900,60,2013,발전사업용,,경기도,,2025-11-18
㈜에스에이치에너지 발전소,경기도 광주시 곤지암읍 만삼로 357,경기도 광주시 곤지암읍 삼합리 64-2외 12필지(13개동 건물위),37.3804368051548,127.442231661724,,정상가동,1450,22900,60,2013,발전사업용,,경기도,,2025-11-18
코스콘태양광㈜ 제일모직 발전소,경기도 김포시 고촌읍 아라육로 75,"경기도 김포시 고촌읍 전호리 743(센터동, 사무동 건물지붕)",37.5898510238836,126.792148682581,,정상가동,1692,22900,60,2013,발전사업용,,경기도,,2025-11-18
농심포승공장 태양광발전소,경기도 평택시 포승읍 포승공단순환로 245,경기도 평택시 포승읍 내기리 680(건물위),36.9730682435832,126.859159409872,,정상가동,1300,22900,60,2014,발전사업용,,경기도,,2025-11-18
수원 환경사업소 태양광발전소,경기도 화성시 태안로 263,"경기도 화성시 송산동 5-1외 4필지(환경사업소내 침전조, 포기조)",37.2144878310237,127.021127516249,,정상가동,1500,22900,60,2014,발전사업용,,경기도,,2025-11-18
㈜팜스코 태양광발전소 1호,경기도 이천시 부발읍 부흥로81번길 140-81,경기도 이천시 부발읍 고백리 599-3(건물위),37.3056215522112,127.527532250926,,정상가동,2990,22900,60,2014,발전사업용,,경기도,,2025-11-18
화성지구 태양광발전소,경기도 화성시 우정읍 궁평항로 904,경기도 화성시 우정읍 매향리 979 일원(토지위),,,,정상가동,2993,22900,60,2014,발전사업용,,경기도,,2025-11-18
강북아리수정수장,경기도 남양주시 고산로 171,경기도 남양주시 삼패동 397,,,,정상가동,2970,22900,60,2014,발전사업용,,경기도,,2025-11-18
OCI강북정수장,경기도 남양주시 고산로 171,경기도 남양주시 삼패동 397,,,,정상가동,2981,22900,60,2014,발전사업용,,경기도,,2025-11-18
의정부 행복태양광발전소,경기도 의정부시 장곡로 147,경기도 의정부시 장암동 44-5번지 하수처리장 위,37.722478256597,127.051687778456,,정상가동,2480,22900,60,2015,발전사업용,,경기도,,2025-11-18
그린오산 태양광발전소,경기도 오산시 경기동로186번길 15,경기도 오산시 부산동 787(건물위),37.1564203952399,127.094013650344,,정상가동,2000,22900,60,2015,발전사업용,,경기도,,2025-11-18
지축차량기지 태양광발전소,경기도 고양시 덕양구 삼송로 300,경기도 고양시 덕양구 지축동 818-64번지 외 47필지,37.6496180734177,126.912167788573,,정상가동,2000,22900,60,2015,발전사업용,,경기도,,2025-11-18
제일종축 태양광발전소 1호,경기도 이천시 부발읍 중부대로1925번길 113,경기도 이천시 부발읍 신원리 227외 29필지,37.2972831589659,127.520455905162,,정상가동,2220,22900,60,2015,발전사업용,,경기도,,2025-11-18
그린나래에너지제3군사태양광발전소,,경기도 용인시 처인구 역북동,37.2462035848033,127.188111660691,,정상가동,1414,22900,60,2015,발전사업용,,경기도,,2025-11-18
용인청정에너지 태양광발전소,,"경기도 용인시 처인구 백암면 근곡리 554, 550-39",,,,정상가동,1134,22900,60,2015,발전사업용,,경기도,,2025-11-18
그린나래에너지 605수송대대 태양광발전소,,경기도 포천시 이동면 노곡리 871-1(605부대 신설주차장 차양대 지붕위),38.0035313596639,127.328294503829,,정상가동,1518,22900,60,2016,발전사업용,,경기도,,2025-11-18
