태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
(주)대산1호 태양광발전소,경기도 파주시 월롱면 정문로 171-152,경기도 파주시 월롱면 영태리 228-21,37.7710432642,126.810677245,,정상가동,89.54,380,60,2025,태양광,2025-07-10,경기도 파주시,,2025-09-16
(주)대산2호 태양광발전소,경기도 파주시 월롱면 정문로 171-152,경기도 파주시 월롱면 영태리 228-21,37.7710432642,126.810677245,,정상가동,89.54,380,60,2025,태양광,2025-07-10,경기도 파주시,,2025-09-16
(주)대산3호 태양광발전소,경기도 파주시 월롱면 정문로 171-152,경기도 파주시 월롱면 영태리 228-21,37.7710432642,126.810677245,,정상가동,89.54,380,60,2025,태양광,2025-07-10,경기도 파주시,,2025-09-16
(주)대산4호 태양광발전소,경기도 파주시 월롱면 정문로 171-152,경기도 파주시 월롱면 영태리 228-21,37.7710432642,126.810677245,,정상가동,89.54,380,60,2025,태양광,2025-07-10,경기도 파주시,,2025-09-16
(주)대산5호 태양광발전소,경기도 파주시 월롱면 정문로 171-152,경기도 파주시 월롱면 영태리 228-21,37.7710432642,126.810677245,,정상가동,27.94,380,60,2025,태양광,2025-07-10,경기도 파주시,,2025-09-16
483크래프트 태양광발전소,경기도 파주시 장터고개길 182-68,경기도 파주시 맥금동 483-22,37.7804779171,126.733172001,,정상가동,60.16,380,60,2025,태양광,2025-05-01,경기도 파주시,,2025-09-16
CH1호 태양광발전소,경기도 파주시 탄현면 축현산단로 21-27,경기도 파주시 탄현면 축현리 2-8,37.807134529,126.739996101,,정상가동,81.65,380,60,2025,태양광,2025-08-08,경기도 파주시,,2025-09-16
CH2호 태양광발전소,경기도 파주시 탄현면 축현산단로 21-27,경기도 파주시 탄현면 축현리 2-8,37.807134529,126.739996101,,정상가동,53.25,380,60,2025,태양광,2025-08-08,경기도 파주시,,2025-09-16
CH3호 태양광발전소,경기도 파주시 법원읍 자운서원로 149-40,경기도 파주시 법원읍 가야리 13,37.8621272492,126.8703719044,,정상가동,90.88,380,60,2025,태양광,2025-08-22,경기도 파주시,,2025-09-16
DY 태양광발전소,경기도 파주시 방촌로 358-21,경기도 파주시 맥금동 410,37.7790178697,126.7256992381,,정상가동,149.76,380,60,2025,태양광,2025-08-25,경기도 파주시,,2025-09-16
J2 태양광발전소,,경기도 파주시 법원읍 동문리 206-2,37.8721982575,126.8629357744,,정상가동,199.44,380,60,2025,태양광,2025-08-29,경기도 파주시,,2025-09-16
jw energy 태양광발전소,경기도 파주시 문산읍 율곡로39번길 19,경기도 파주시 문산읍 당동리 621,37.8670269113,126.7650122403,,정상가동,58,380,60,2025,태양광,2025-03-31,경기도 파주시,,2025-09-16
kr energy 태양광발전소,경기도 파주시 탄현면 소리개길 164-15,경기도 파주시 탄현면 법흥리 282-14,37.7888917936,126.7116189882,,정상가동,99.54,380,60,2025,태양광,2025-03-31,경기도 파주시,,2025-09-16
sw energy태양광발전소,경기도 파주시 문산읍 율곡로39번길 19,경기도 파주시 문산읍 당동리 621,37.8670269113,126.7650122403,,정상가동,58,380,60,2025,태양광,2025-03-31,경기도 파주시,,2025-09-16
YA발전소 태양광발전소,경기도 파주시 법원읍 보광로1837번길 101,경기도 파주시 법원읍 대능리 389-1,37.8345376826,126.8612963213,,정상가동,86.4,380,60,2025,태양광,2025-08-11,경기도 파주시,,2025-09-16
가나안1호 태양광발전소,경기도 파주시 광탄면 장지산로368번길 122,경기도 파주시 광탄면 분수리 137-27,37.7627805506,126.8717859111,,정상가동,64.8,380,60,2025,태양광,2025-06-30,경기도 파주시,,2025-09-16
가나안2호 태양광발전소,경기도 파주시 광탄면 장지산로368번길 120,경기도 파주시 광탄면 분수리 137-29,37.7630042017,126.8716493384,,정상가동,64.8,380,60,2025,태양광,2025-06-30,경기도 파주시,,2025-09-16
가나안3호 태양광발전소,경기도 파주시 광탄면 장지산로368번길 116,경기도 파주시 광탄면 분수리 137-26,37.7628179064,126.8712585789,,정상가동,64.8,380,60,2025,태양광,2025-06-30,경기도 파주시,,2025-09-16
가야1호 태양광발전소,,경기도 파주시 법원읍 가야리 109,37.8626202594,126.869242613,,정상가동,89.5,380,60,2025,태양광,2025-05-15,경기도 파주시,,2025-09-16
가야2호 태양광발전소,,경기도 파주시 법원읍 가야리 109,37.8626202594,126.869242613,,정상가동,89.5,380,60,2025,태양광,2025-05-15,경기도 파주시,,2025-09-16
가야3호 태양광발전소,,경기도 파주시 법원읍 가야리 109,37.8626202594,126.869242613,,정상가동,89.5,380,60,2025,태양광,2025-05-15,경기도 파주시,,2025-09-16
가야4호 태양광발전소,,경기도 파주시 법원읍 가야리 109,37.8626202594,126.869242613,,정상가동,89.5,380,60,2025,태양광,2025-05-15,경기도 파주시,,2025-09-16
가야리베짱이 태양광발전소,,경기도 파주시 법원읍 가야리 116-2,37.8613863803,126.863715641,,정상가동,99.7,380,60,2025,태양광,2025-05-19,경기도 파주시,,2025-09-16
가야리선우 태양광발전소,,경기도 파주시 법원읍 가야리 116-2,37.8613863803,126.863715641,,정상가동,99.7,380,60,2025,태양광,2025-05-19,경기도 파주시,,2025-09-16
강남8,,경기도 파주시 파주읍 부곡리 138,37.8115722139,126.825812416,,정상가동,330.2,380,60,2025,태양광,2025-04-09,경기도 파주시,,2025-09-16
강원산업1호 태양광발전소,경기도 파주시 적성면 적성산단1로 40-7,경기도 파주시 적성면 가월리 1849-1,37.9722550989,126.9116931497,,정상가동,230.4,380,60,2025,태양광,2025-07-28,경기도 파주시,,2025-09-16
강원산업2호 태양광발전소,경기도 파주시 적성면 적성산단1로 40-7,경기도 파주시 적성면 가월리 1849-1,37.9722550989,126.9116931497,,정상가동,120.32,380,60,2025,태양광,2025-07-28,경기도 파주시,,2025-09-16
강원산업3호 태양광발전소,경기도 파주시 적성면 적성산단1로 40-7,경기도 파주시 적성면 가월리 1849-1,37.9722550989,126.9116931497,,정상가동,84.48,380,60,2025,태양광,2025-08-04,경기도 파주시,,2025-09-16
같은온도 태양광발전소,경기도 파주시 월롱면 다락고개길 98-14,경기도 파주시 월롱면 위전리 581-47,37.7937836593,126.7904283361,,정상가동,33.28,380,60,2025,태양광,2025-08-12,경기도 파주시,,2025-09-16
객현1호 태양광발전소,,경기도 파주시 적성면 객현리 347-4,37.9697749748,126.9462562813,,정상가동,250.16,380,60,2025,태양광,2025-07-28,경기도 파주시,,2025-09-16
고대산 태양광발전소,경기도 파주시 탄현면 가시내길 244,경기도 파주시 탄현면 법흥리 259,37.7854232307,126.7169685934,,정상가동,86.36,380,60,2025,태양광,2025-06-25,경기도 파주시,,2025-09-16
고릴라윈도우1호 태양광발전소,경기도 파주시 파평면 파평산로331번길 31,경기도 파주시 파평면 마산리 380,37.8919764984,126.8455671618,,정상가동,88.96,380,60,2025,태양광,2025-08-18,경기도 파주시,,2025-09-16
고릴라윈도우2호 태양광발전소,경기도 파주시 파평면 파평산로331번길 31,경기도 파주시 파평면 마산리 380,37.8919764984,126.8455671618,,정상가동,88.96,380,60,2025,태양광,2025-08-18,경기도 파주시,,2025-09-16
고박사 파주 태양광발전소,,경기도 파주시 파평면 두포리 341-1,37.9066211023,126.8345042289,,정상가동,280.03,380,60,2025,태양광,2025-06-23,경기도 파주시,,2025-09-16
고성2 태양광발전소,,경기도 파주시 법원읍 웅담리 133-1,37.9175053453,126.8981667392,,정상가동,328.93,380,60,2025,태양광,2025-07-08,경기도 파주시,,2025-09-16
광산동문리1호 태양광발전소,,경기도 파주시 법원읍 동문리 219,37.8713166409,126.8590967794,,정상가동,999.6,22900,60,2025,태양광,2025-06-19,경기도 파주시,,2025-09-16
광산자장리 태양광발전소,,경기도 파주시 적성면 자장리 366,37.9595433393,126.863471433,,정상가동,802.06,22900,60,2025,태양광,2025-08-22,경기도 파주시,,2025-09-16
광인사4호 태양광발전소,경기도 파주시 월롱면 정문로 286,경기도 파주시 월롱면 도내리 635-2,37.7846331339,126.8125200875,,정상가동,57.33,380,60,2025,태양광,2025-02-14,경기도 파주시,,2025-09-16
광탄모빌리스1호 발전소,경기도 파주시 광탄면 만장산로 136-71,경기도 파주시 광탄면 창만리 452-15,37.7856512055,126.8592059324,,정상가동,73.84,380,60,2025,태양광,2025-05-30,경기도 파주시,,2025-09-16
광탄모빌리스2호 발전소,경기도 파주시 광탄면 만장산로 136-71,경기도 파주시 광탄면 창만리 452-15,37.7856512055,126.8592059324,,정상가동,58.22,380,60,2025,태양광,2025-05-30,경기도 파주시,,2025-09-16
광탄미공1호 발전소,경기도 파주시 광탄면 만장산로 136-31,경기도 파주시 광탄면 창만리 457-1,37.7869490492,126.8574893503,,정상가동,60.96,380,60,2025,태양광,2025-06-13,경기도 파주시,,2025-09-16
광탄미공2호 발전소,경기도 파주시 광탄면 만장산로 136-31,경기도 파주시 광탄면 창만리 457-1,37.7869490492,126.8574893503,,정상가동,45.72,380,60,2025,태양광,2025-06-13,경기도 파주시,,2025-09-16
구상1호 태양광발전소,경기도 파주시 광탄면 명봉산로352번길 107,경기도 파주시 광탄면 용미리 808-19,37.7433560378,126.8637297005,,정상가동,81.28,380,60,2025,태양광,2025-07-02,경기도 파주시,,2025-09-16
구상2호 태양광발전소,경기도 파주시 광탄면 명봉산로352번길 107,경기도 파주시 광탄면 용미리 808-19,37.7433560378,126.8637297005,,정상가동,55.68,380,60,2025,태양광,2025-07-02,경기도 파주시,,2025-09-16
구읍1호 태양광발전소,,경기도 파주시 적성면 구읍리 269,37.9750817799,126.9298394338,,정상가동,99.6,380,60,2025,태양광,2025-04-18,경기도 파주시,,2025-09-16
구읍2호 태양광발전소,,경기도 파주시 적성면 구읍리 269,37.9750817799,126.9298394338,,정상가동,99.6,380,60,2025,태양광,2025-04-18,경기도 파주시,,2025-09-16
국제테크 태양광발전소,경기도 파주시 조리읍 팔학골길 139-28,경기도 파주시 조리읍 봉일천리 62-92,37.7372139685,126.8341428087,,정상가동,34.93,380,60,2025,태양광,2025-05-02,경기도 파주시,,2025-09-16
국제테크태양광 1호,경기도 파주시 조리읍 팔학골길 139-28,경기도 파주시 조리읍 봉일천리 62-92,37.7372139685,126.8341428087,,정상가동,80.01,380,60,2025,태양광,2025-05-02,경기도 파주시,,2025-09-16
굿모닝보영1호 발전소,경기도 파주시 월롱면 엘지로344번길 29,경기도 파주시 월롱면 덕은리 842-1,37.8155647863,126.7642361291,,정상가동,53.25,380,60,2025,태양광,2025-07-10,경기도 파주시,,2025-09-16
굿모닝보영2호 발전소,경기도 파주시 월롱면 엘지로344번길 29,경기도 파주시 월롱면 덕은리 842-1,37.8155647863,126.7642361291,,정상가동,63.9,380,60,2025,태양광,2025-07-10,경기도 파주시,,2025-09-16
굿모닝세진정판1호 발전소,경기도 파주시 광탄면 장지산로 184-70,경기도 파주시 광탄면 분수리 50-2,37.7505816732,126.8859235166,,정상가동,89.46,380,60,2025,태양광,2025-08-11,경기도 파주시,,2025-09-16
굿모닝세진정판2호 발전소,경기도 파주시 광탄면 장지산로 184-70,경기도 파주시 광탄면 분수리 50-2,37.7505816732,126.8859235166,,정상가동,55.38,380,60,2025,태양광,2025-08-11,경기도 파주시,,2025-09-16
굿모닝세진정판3호 발전소,경기도 파주시 광탄면 장지산로 184-70,경기도 파주시 광탄면 분수리 50-2,37.7505816732,126.8859235166,,정상가동,89.46,380,60,2025,태양광,2025-08-11,경기도 파주시,,2025-09-16
굿모닝센트럴준승1호 발전소,경기도 파주시 파주읍 센트럴산단1로 60,경기도 파주시 파주읍 봉암리 1368-2,37.8085830072,126.7950153159,,정상가동,89.54,380,60,2025,태양광,2025-06-02,경기도 파주시,,2025-09-16
굿모닝센트럴준승2호 발전소,경기도 파주시 파주읍 센트럴산단1로 60,경기도 파주시 파주읍 봉암리 1368-2,37.8085830072,126.7950153159,,정상가동,89.54,380,60,2025,태양광,2025-06-02,경기도 파주시,,2025-09-16
굿모닝센트럴준승3호 발전소,경기도 파주시 파주읍 센트럴산단1로 60,경기도 파주시 파주읍 봉암리 1368-2,37.8085830072,126.7950153159,,정상가동,89.54,380,60,2025,태양광,2025-06-02,경기도 파주시,,2025-09-16
굿모닝센트럴준승4호 발전소,경기도 파주시 파주읍 센트럴산단1로 60,경기도 파주시 파주읍 봉암리 1368-2,37.8085830072,126.7950153159,,정상가동,48.9,380,60,2025,태양광,2025-06-02,경기도 파주시,,2025-09-16
굿모닝적성 5호,경기도 파주시 적성면 적성산단1로 39-10,경기도 파주시 적성면 가월리 1850,37.9727314984,126.9097749782,,정상가동,89.46,380,60,2025,태양광,2025-03-24,경기도 파주시,,2025-09-16
굿모닝적성2호 태양광발전소,경기도 파주시 적성면 적성산단1로 39-10,경기도 파주시 적성면 가월리 1850,37.9727314984,126.9097749782,,정상가동,88.75,380,60,2025,태양광,2025-03-24,경기도 파주시,,2025-09-16
굿모닝적성3호,경기도 파주시 적성면 적성산단1로 39-10,경기도 파주시 적성면 가월리 1850,37.9727314984,126.9097749782,,정상가동,85.2,380,60,2025,태양광,2025-03-24,경기도 파주시,,2025-09-16
굿모닝적성4호,경기도 파주시 적성면 적성산단1로 39-10,경기도 파주시 적성면 가월리 1850,37.9727314984,126.9097749782,,정상가동,55.38,380,60,2025,태양광,2025-03-24,경기도 파주시,,2025-09-16
굿모닝탄현1호 발전소,경기도 파주시 탄현면 방촌로879번길 122-18,경기도 파주시 탄현면 오금리 112-1,37.8222675249,126.7188553362,,정상가동,58.8,380,60,2025,태양광,2025-01-15,경기도 파주시,,2025-09-16
굿모닝탄현6호 발전소,경기도 파주시 탄현면 방촌로879번길 124-20,경기도 파주시 탄현면 오금리 112,37.8225343871,126.7187465416,,정상가동,99.4,380,60,2025,태양광,2025-01-15,경기도 파주시,,2025-09-16
굿모닝탄현7호 발전소,경기도 파주시 탄현면 방촌로879번길 124-20,경기도 파주시 탄현면 오금리 112,37.8225343871,126.7187465416,,정상가동,99.4,380,60,2025,태양광,2025-01-15,경기도 파주시,,2025-09-16
굿모닝탄현8호 발전소,경기도 파주시 탄현면 방촌로879번길 124-20,경기도 파주시 탄현면 오금리 112,37.8225343871,126.7187465416,,정상가동,99.4,380,60,2025,태양광,2025-01-15,경기도 파주시,,2025-09-16
굿모닝탄현9호 태양광발전,경기도 파주시 탄현면 방촌로879번길 124-20,경기도 파주시 탄현면 오금리 112,37.8225343871,126.7187465416,,정상가동,81.2,380,60,2025,태양광,2025-01-15,경기도 파주시,,2025-09-16
굿모닝파주금강특장2호 발전소,경기도 파주시 적성면 적성산단3로 34,경기도 파주시 적성면 가월리 1859-12,37.9700030417,126.9141277229,,정상가동,89.54,380,60,2025,태양광,2025-01-09,경기도 파주시,,2025-09-16
굿모닝파주금강특장3호 발전소,경기도 파주시 적성면 적성산단3로 34,경기도 파주시 적성면 가월리 1859-12,37.9700030417,126.9141277229,,정상가동,89.54,380,60,2025,태양광,2025-01-09,경기도 파주시,,2025-09-16
굿모닝파주금강특장4호 발전소,경기도 파주시 적성면 적성산단3로 34,경기도 파주시 적성면 가월리 1859-12,37.9700030417,126.9141277229,,정상가동,27.31,380,60,2025,태양광,2025-01-09,경기도 파주시,,2025-09-16
굿모닝파주흥성1호 발전소,경기도 파주시 광탄면 장지산로200번길 59,경기도 파주시 광탄면 분수리 2-8,37.7554817504,126.882427814,,정상가동,89.46,380,60,2025,태양광,2025-08-13,경기도 파주시,,2025-09-16
굿모닝파주흥성2호 발전소,경기도 파주시 광탄면 장지산로200번길 59,경기도 파주시 광탄면 분수리 2-8,37.7554817504,126.882427814,,정상가동,89.46,380,60,2025,태양광,2025-08-13,경기도 파주시,,2025-09-16
굿모닝파주흥성3호 발전소,경기도 파주시 광탄면 장지산로200번길 69,경기도 파주시 광탄면 분수리 2-10,37.7556319222,126.88267961,,정상가동,89.46,380,60,2025,태양광,2025-08-13,경기도 파주시,,2025-09-16
굿모닝파주흥성4호 발전소,경기도 파주시 광탄면 장지산로200번길 59,경기도 파주시 광탄면 분수리 2-8,37.7554817504,126.882427814,,정상가동,89.46,380,60,2025,태양광,2025-08-13,경기도 파주시,,2025-09-16
굿파워 파주금곡 태양광발전소,,경기도 파주시 법원읍 금곡리 105,37.8802082402,126.8850442352,,정상가동,89.6,380,60,2025,태양광,2025-05-19,경기도 파주시,,2025-09-16
굿파워 파주동문 태양광발전소,,경기도 파주시 법원읍 동문리 406-1,37.8670318689,126.8495444421,,정상가동,429.44,380,60,2025,태양광,2025-06-19,경기도 파주시,,2025-09-16
그린3호 태양광발전소,,경기도 파주시 법원읍 금곡리 105,37.8802082402,126.8850442352,,정상가동,89.6,380,60,2025,태양광,2025-05-19,경기도 파주시,,2025-09-16
그린로드일호5,경기도 파주시 조리읍 은골길 275-38,경기도 파주시 조리읍 장곡리 50,37.7509361645,126.8458959644,,정상가동,128.91,380,60,2025,태양광,2025-06-26,경기도 파주시,,2025-09-16
금1호 태양광발전소,경기도 파주시 법원읍 보광로1837번길 75,경기도 파주시 법원읍 대능리 389-12,37.834862492,126.8626934325,,정상가동,89.46,380,60,2025,태양광,2025-08-08,경기도 파주시,,2025-09-16
