태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
GS칼텍스 동방주유소 태양광발전소,경기도 평택시 경기대로 1624 (신장동),,37.0892978031,127.0633864577,,정상가동,8,380,60,2008,태양광 발전사업,2008-09-12,경기도 평택시청,,2025-07-01
라온쏠라,"경기도 평택시 경기대로1376번길 38-6, 라온고등학교, 라온중학교 (서정동)",,37.0694056212,127.066952239,,정상가동,300,380,60,2020,태양광 발전사업,2020-02-12,경기도 평택시청,,2025-07-01
해창 태양광발전소,경기도 평택시 고덕면 고덕로 36-64,,37.0250690435,127.0259581548,,정상가동,32,380,60,2015,태양광 발전사업,2015-11-06,경기도 평택시청,,2025-07-01
해창 태양광발전소2,경기도 평택시 고덕면 고덕로 36-66,,37.0253347424,127.0260913056,,정상가동,19.5,380,60,2015,태양광 발전사업,2015-11-13,경기도 평택시청,,2025-07-01
해창 태양광발전소,경기도 평택시 고덕면 고덕로 59,,37.0223254616,127.0197586934,,정상가동,158.76,380,60,2020,태양광 발전사업,2020-08-24,경기도 평택시청,,2025-07-01
대순박 태양광발전소,경기도 평택시 고덕면 고덕북로 185-20,,37.0700020157,127.0206626545,,정상가동,99.28,380,60,2019,태양광 발전사업,2019-07-05,경기도 평택시청,,2025-07-01
평김 태양광발전소,"경기도 평택시 고덕면 고덕북로 29-3, SOLSR HOUSE",,37.0761329024,127.0358113809,,정상가동,10,380,60,2007,태양광 발전사업,2007-02-15,경기도 평택시청,,2025-07-01
당현 태양광발전소,"경기도 평택시 고덕면 고덕북로 29-7, SolarHouse",,37.0763594653,127.0362933672,,정상가동,7.2,380,60,2008,태양광 발전사업,2008-01-10,경기도 평택시청,,2025-07-01
평택 태양광발전소,경기도 평택시 고덕면 당현1길 105-8,,37.0660429859,127.0336144651,,정상가동,47.12,380,60,2015,태양광 발전사업,2015-12-30,경기도 평택시청,,2025-07-01
평철목장 태양광발전소,경기도 평택시 고덕면 당현1길 114-1,,37.0647709901,127.0327988244,,정상가동,60,380,60,2014,태양광 발전사업,2014-11-19,경기도 평택시청,,2025-07-01
평철목장 태양광발전소 2,경기도 평택시 고덕면 당현1길 114-1,,37.0647709901,127.0327988244,,정상가동,15.6,220,60,2015,태양광 발전사업,2015-10-23,경기도 평택시청,,2025-07-01
옥연 태양광발전소,경기도 평택시 고덕면 동고1길 41,,37.0117418766,127.0399784334,,정상가동,99,380,60,2017,태양광 발전사업,2017-11-10,경기도 평택시청,,2025-07-01
철의 태양광발전소,경기도 평택시 고덕면 동고1길 42,,37.0116826777,127.0405035823,,정상가동,18,220,60,2014,태양광 발전사업,2014-12-31,경기도 평택시청,,2025-07-01
범석 태양광발전소,경기도 평택시 고덕면 동고3길 104-1,,37.0065901187,127.0428416741,,정상가동,46.8,380,60,2016,태양광 발전사업,2016-06-22,경기도 평택시청,,2025-07-01
노다지 태양광발전소,경기도 평택시 고덕면 동고3길 165,,37.0019559936,127.0384942517,,정상가동,98.55,380,60,2019,태양광 발전사업,2019-03-08,경기도 평택시청,,2025-07-01
태양 태양광발전소,"경기도 평택시 고덕면 동고3길 165, 1,2동 건축물지붕위",,37.0019559936,127.0384942517,,정상가동,98.55,380,60,2019,태양광 발전사업,2019-03-06,경기도 평택시청,,2025-07-01
둥지2 태양광발전소,경기도 평택시 고덕면 동고3길 39-16,,37.0030356951,127.0457839047,,정상가동,99,380,60,2013,태양광 발전사업,2013-12-03,경기도 평택시청,,2025-07-01
준호 태양광발전소,경기도 평택시 고덕면 동고3길 39-4,,37.0026600488,127.046211054,,정상가동,19,380,60,2014,태양광 발전사업,2014-05-07,경기도 평택시청,,2025-07-01
대운태양광,경기도 평택시 고덕면 동고3길 95-70,,37.001269422,127.0391585486,,정상가동,342,380,60,2018,태양광 발전사업,2018-08-20,경기도 평택시청,,2025-07-01
우사10-1 태양광발전소,"경기도 평택시 고덕면 동청2길 25-24, [건물위]",,37.050271352,127.007238089,,정상가동,99.96,380,60,2023,태양광 발전사업,2023-09-11,경기도 평택시청,,2025-07-01
우사10-2 태양광발전소,"경기도 평택시 고덕면 동청2길 25-24, [건물위]",,37.050271352,127.007238089,,정상가동,99.96,380,60,2023,태양광 발전사업,2023-09-11,경기도 평택시청,,2025-07-01
우사10-3 태양광발전소,"경기도 평택시 고덕면 동청2길 25-24, [건물위]",,37.050271352,127.007238089,,정상가동,95.2,380,60,2023,태양광 발전사업,2023-09-11,경기도 평택시청,,2025-07-01
우사10 태양광발전소,"경기도 평택시 고덕면 동청2길 25-24, A동 건물 위",,37.050271352,127.007238089,,정상가동,99.96,380,60,2023,태양광 발전사업,2023-05-01,경기도 평택시청,,2025-07-01
우사4 태양광발전소,"경기도 평택시 고덕면 동청2길 25-24, A동 건물위",,37.050271352,127.007238089,,정상가동,99.96,380,60,2023,태양광 발전사업,2023-05-01,경기도 평택시청,,2025-07-01
우사3-1 태양광발전소,"경기도 평택시 고덕면 동청2길 62, [건물위]",,37.048410559,127.0052001452,,정상가동,94.61,380,60,2023,태양광 발전사업,2023-09-11,경기도 평택시청,,2025-07-01
우사3-2 태양광발전소,"경기도 평택시 고덕면 동청2길 62, [건물위]",,37.048410559,127.0052001452,,정상가동,99.96,380,60,2023,태양광 발전사업,2023-09-11,경기도 평택시청,,2025-07-01
우사3-3 태양광발전소,"경기도 평택시 고덕면 동청2길 62, [건물위]",,37.048410559,127.0052001452,,정상가동,99.96,380,60,2023,태양광 발전사업,2023-09-11,경기도 평택시청,,2025-07-01
우사3 태양광발전소,"경기도 평택시 고덕면 동청2길 62, A동, B동 건물위",,37.048410559,127.0052001452,,정상가동,99.96,380,60,2023,태양광 발전사업,2023-03-17,경기도 평택시청,,2025-07-01
동청2호 태양광발전소,"경기도 평택시 고덕면 동청2길 73, 건축물지붕 위",,37.0476032983,127.0067419733,,정상가동,19.71,380,60,2019,태양광 발전사업,2019-06-20,경기도 평택시청,,2025-07-01
준호 태양광발전소,경기도 평택시 고덕면 동청3길 114,,37.0390423318,127.0029600025,,정상가동,99,380,60,2015,태양광 발전사업,2015-11-25,경기도 평택시청,,2025-07-01
문곡해뜸1호 태양광발전소,경기도 평택시 고덕면 문곡2길 98,,37.0628060032,127.0118047988,,정상가동,99.84,380,60,2019,태양광 발전사업,2019-12-04,경기도 평택시청,,2025-07-01
대경 태양광발전소,경기도 평택시 고덕면 문곡3길 117,,37.0627959529,127.0093108244,,정상가동,19.25,380,60,2013,태양광 발전사업,2013-04-30,경기도 평택시청,,2025-07-01
드림팜1호 태양광발전소,경기도 평택시 고덕면 문곡3길 71-32,,37.0627143953,127.0019155931,,정상가동,98.28,380,60,2019,태양광 발전사업,2019-09-20,경기도 평택시청,,2025-07-01
드림팜2호 태양광발전소,경기도 평택시 고덕면 문곡3길 71-32,,37.0627143953,127.0019155931,,정상가동,98.28,380,60,2019,태양광 발전사업,2019-09-20,경기도 평택시청,,2025-07-01
드림팜3호 태양광발전소,경기도 평택시 고덕면 문곡3길 71-32,,37.0627143953,127.0019155931,,정상가동,98.28,380,60,2019,태양광 발전사업,2019-09-20,경기도 평택시청,,2025-07-01
미화산업 태양광발전소,경기도 평택시 고덕면 문곡길 7,,37.0561659877,127.0087547345,,정상가동,29.52,380,60,2019,태양광 발전사업,2019-08-12,경기도 평택시청,,2025-07-01
리치 태양광발전소,경기도 평택시 고덕면 문화마을길 154-49,,37.0504639742,127.0120194063,,정상가동,71.25,380,60,2024,태양광 발전사업,2024-07-01,경기도 평택시청,,2025-07-01
고덕 태양광발전소,경기도 평택시 고덕면 문화마을길 27-1,,37.0376595203,127.0135800888,,정상가동,49.5,380,60,2014,태양광 발전사업,2014-03-27,경기도 평택시청,,2025-07-01
해창이오 발전소,경기도 평택시 고덕면 방시천길 29,,37.0204845248,127.0194074944,,정상가동,13.1,380,60,2021,태양광 발전사업,2021-07-05,경기도 평택시청,,2025-07-01
