태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
케이씨태양광발전㈜,,경기도 화성시 서신면,,,,정상가동,1130,22900,60,2006,발전사업용,2006-02-16,경기도 화성시청,,2025-09-12
화성 태양광발전소,,경기도 화성시 장안면 장안리,,,,정상가동,99,380,60,2007,발전사업용,2007-11-23,경기도 화성시청,,2025-09-12
동화 태양광발전소,,경기도 화성시 봉담읍 동화리,,,,정상가동,3.68,380,60,2008,발전사업용,2008-07-11,경기도 화성시청,,2025-09-12
해강 태양광발전소,,경기도 화성시 장안면 덕다리,,,,정상가동,99,380,60,2008,발전사업용,2008-07-25,경기도 화성시청,,2025-09-12
디엠에스발안 태양광발전소,,경기도 화성시 팔탄면 지월리,,,,정상가동,5.84,380,60,2008,발전사업용,2008-12-10,경기도 화성시청,,2025-09-12
화성한과 시민햇빛발전소,,경기도 화성시 양감면 사창리,,,,정상가동,9.8,380,60,2009,발전사업용,2009-02-04,경기도 화성시청,,2025-09-12
유화 태양광발전소,,경기도 화성시 봉담읍 상기리,,,,정상가동,9.6,380,60,2009,발전사업용,2009-02-04,경기도 화성시청,,2025-09-12
화성 태양광발전소,,경기도 화성시 우정읍 화산리,,,,정상가동,99.2,380,60,2009,발전사업용,2009-06-24,경기도 화성시청,,2025-09-12
유일 화성공장 태양광발전소,,경기도 화성시 팔탄면 구장리,,,,정상가동,99.36,380,60,2009,발전사업용,2009-10-21,경기도 화성시청,,2025-09-12
롯데마트 화성 태양광발전소,,경기도 화성시 반월동,,,,정상가동,99.26,380,60,2010,발전사업용,2010-02-24,경기도 화성시청,,2025-09-12
사곳리 태양광발전소,,경기도 화성시 서신면 사곳리,,,,정상가동,9.09,380,60,2010,발전사업용,2010-02-25,경기도 화성시청,,2025-09-12
향남태양광발전소,,경기도 화성시 향남읍 상신리,,,,정상가동,93.5,380,60,2010,발전사업용,2010-04-16,경기도 화성시청,,2025-09-12
새말햇살집번샘터 태양광발전소,,경기도 화성시 봉담읍 동화리,,,,정상가동,0.04,380,60,2010,발전사업용,2010-10-20,경기도 화성시청,,2025-09-12
낭내기햇살번샘터 태양광발전소,,경기도 화성시 봉담읍 동화리,,,,정상가동,3.8,380,60,2010,발전사업용,2010-10-20,경기도 화성시청,,2025-09-12
현우 태양광발전소,,경기도 화성시 팔탄면 창곡리,,,,정상가동,6,380,60,2011,발전사업용,2011-04-22,경기도 화성시청,,2025-09-12
율암리 태양광발전소,,경기도 화성시 팔탄면 율암리,,,,정상가동,30,380,60,2011,발전사업용,2011-04-22,경기도 화성시청,,2025-09-12
선망 호 태양광발전소,,경기도 화성시 팔탄면 구장리,,,,정상가동,4.49,380,60,2011,발전사업용,2011-08-17,경기도 화성시청,,2025-09-12
선망 2호 태양광발전소,,경기도 화성시 팔탄면 구장리,,,,정상가동,5.75,380,60,2011,발전사업용,2011-08-17,경기도 화성시청,,2025-09-12
선망 3호 태양광발전소,,경기도 화성시 팔탄면 구장리,,,,정상가동,5.75,380,60,2011,발전사업용,2011-08-17,경기도 화성시청,,2025-09-12
진우 태양광발전소,,경기도 화성시 우정읍 호곡리,,,,정상가동,30.24,380,60,2011,발전사업용,2011-08-29,경기도 화성시청,,2025-09-12
선망 4호 태양광발전소,,경기도 화성시 팔탄면 구장리,,,,정상가동,3,380,60,2011,발전사업용,2011-10-24,경기도 화성시청,,2025-09-12
수원 환경사업소 태양광발전소,,경기도 화성시 송산동,,,,정상가동,1500,22900,60,2012,발전사업용,2012-01-16,경기도 화성시청,,2025-09-12
대양리 태양광발전소,,경기도 화성시 양감면 대양리,,,,정상가동,5,380,60,2012,발전사업용,2012-03-09,경기도 화성시청,,2025-09-12
*** 태양광발전소,,경기도 화성시 운정읍 조암리,,,,정상가동,5,380,60,2012,발전사업용,2012-03-19,경기도 화성시청,,2025-09-12
*** 태양광발전소,,경기도 화성시 팔탄면 율암리,,,,정상가동,8,380,60,2012,발전사업용,2012-03-28,경기도 화성시청,,2025-09-12
화성지구 태양광발전소,,경기도 화성시 우정읍,,,,정상가동,2993,22900,60,2012,발전사업용,2012-04-09,경기도 화성시청,,2025-09-12
*** 태양광발전소,,경기도 화성시 남양읍 남양리,,,,정상가동,5,380,60,2012,발전사업용,2012-04-16,경기도 화성시청,,2025-09-12
수직 태양광발전소,,경기도 화성시 향남읍 수직리,,,,정상가동,5,380,60,2012,발전사업용,2012-05-11,경기도 화성시청,,2025-09-12
*** 태양광발전소,,경기도 화성시 장안면 장안리,,,,정상가동,5,380,60,2012,발전사업용,2012-05-16,경기도 화성시청,,2025-09-12
이화 태양광발전소,,경기도 화성시 우정읍 이화리,,,,정상가동,5,380,60,2012,발전사업용,2012-05-16,경기도 화성시청,,2025-09-12
*** 태양광발전소,,경기도 화성시 우정읍 매향리,,,,정상가동,54,380,60,2012,발전사업용,2012-05-16,경기도 화성시청,,2025-09-12
석포 태양광발전소,,경기도 화성시 장안면 석포리,,,,정상가동,5,380,60,2012,발전사업용,2012-05-16,경기도 화성시청,,2025-09-12
*** 태양광발전소,,경기도 화성시 장안면 사랑리,,,,정상가동,20,380,60,2012,발전사업용,2012-05-18,경기도 화성시청,,2025-09-12
*** 태양광발전소,,경기도 화성시 우정읍 매향리,,,,정상가동,38,380,60,2012,발전사업용,2012-05-25,경기도 화성시청,,2025-09-12
*** 태양광발전소,,경기도 화성시 우정읍 매향리,,,,정상가동,8,380,60,2012,발전사업용,2012-05-25,경기도 화성시청,,2025-09-12
*** 태양광발전소,,경기도 화성시 우정읍 매향리,,,,정상가동,3.5,380,60,2012,발전사업용,2012-05-25,경기도 화성시청,,2025-09-12
*** 태양광발전소,,경기도 화성시 우정읍 매향리,,,,정상가동,2,380,60,2012,발전사업용,2012-05-25,경기도 화성시청,,2025-09-12
KnH솔라 KTC 태양광발전소,,경기도 화성시 팔탄면,,,,정상가동,1387,22900,60,2012,발전사업용,2012-06-21,경기도 화성시청,,2025-09-12
*** 태양광발전소,,경기도 화성시 우정읍 매향리,,,,정상가동,30,380,60,2012,발전사업용,2012-06-27,경기도 화성시청,,2025-09-12
*** 태양광발전소,경기도 화성시 봉담읍 고시길,,,,,정상가동,30,380,60,2012,발전사업용,2012-07-11,경기도 화성시청,,2025-09-12
지월리 마을회 태양광 발전소,경기도 화성시 팔탄면 지월길,,,,,정상가동,8.36,380,60,2012,발전사업용,2012-07-27,경기도 화성시청,,2025-09-12
앤엠에스 태양광발전소,경기도 화성시 팔탄면 시청로721번길,,,,,정상가동,2,380,60,2012,발전사업용,2012-08-06,경기도 화성시청,,2025-09-12
낙원 태양광발전소,경기도 화성시 봉담읍 고시길,,,,,정상가동,2,380,60,2012,발전사업용,2012-08-16,경기도 화성시청,,2025-09-12
모던인더스트리 태양광발전소,,경기도 화성시 정남면 문학리,,,,정상가동,9,380,60,2012,발전사업용,2012-08-16,경기도 화성시청,,2025-09-12
메카시스 태양광발전소,,경기도 화성시 정남면 백리,,,,정상가동,9,380,60,2012,발전사업용,2012-08-16,경기도 화성시청,,2025-09-12
초롱 태양광발전소,,경기도 화성시 비봉면 청요리,,,,정상가동,78,380,60,2012,발전사업용,2012-08-16,경기도 화성시청,,2025-09-12
경동제약호 태양광발전소,,경기도 화성시 양감면 대양리,,,,정상가동,99,380,60,2012,발전사업용,2012-09-06,경기도 화성시청,,2025-09-12
경동제약2호 태양광발전소,,경기도 화성시 양감면 대양리,,,,정상가동,20,380,60,2012,발전사업용,2012-09-28,경기도 화성시청,,2025-09-12
KTS 태양광발전소,,경기도 화성시 향남읍 평리,,,,정상가동,25.5,380,60,2012,발전사업용,2012-10-04,경기도 화성시청,,2025-09-12
왕림 태양광발전소,,경기도 화성시 봉담읍 왕림리,,,,정상가동,99.75,380,60,2012,발전사업용,2012-10-12,경기도 화성시청,,2025-09-12
태명 태양광발전소,,경기도 화성시 양감면 사창리,,,,정상가동,30,380,60,2012,발전사업용,2012-10-12,경기도 화성시청,,2025-09-12
경진부로아 화성공장 태양광발전소,,경기도 화성시 우정읍 이화리,,,,정상가동,360,380,60,2012,발전사업용,2012-11-20,경기도 화성시청,,2025-09-12
영표 태양광발전소,,경기도 화성시 마도면 송정리,,,,정상가동,30,380,60,2013,발전사업용,2013-01-11,경기도 화성시청,,2025-09-12
삼희 태양광발전소,,경기도 화성시 봉담읍 내리,,,,정상가동,5,380,60,2013,발전사업용,2013-03-12,경기도 화성시청,,2025-09-12
피에스케이㈜ 태양광발전소 호,,경기도 화성시 석우동,,,,정상가동,9.8,380,60,2013,발전사업용,2013-03-13,경기도 화성시청,,2025-09-12
*** 태양광발전소,,경기도 화성시 서신면 매화리,,,,정상가동,20,380,60,2013,발전사업용,2013-04-22,경기도 화성시청,,2025-09-12
*** 태양광발전소,,경기도 화성시 비봉면 청요리,,,,정상가동,8,380,60,2013,발전사업용,2013-05-14,경기도 화성시청,,2025-09-12
진주 태양광발전소,,경기도 화성시 비봉면 구포리,,,,정상가동,98,380,60,2013,발전사업용,2013-05-22,경기도 화성시청,,2025-09-12
*** 태양광발전소,,경기도 화성시 정남면 발산리,,,,정상가동,8,380,60,2013,발전사업용,2013-07-10,경기도 화성시청,,2025-09-12
화산(가) 태양광발전소,,경기도 화성시 우정읍 화산리,,,,정상가동,35,380,60,2013,발전사업용,2013-08-20,경기도 화성시청,,2025-09-12
AP시스템 태양광발전소,,경기도 화성시 동탄면 방교리,,,,정상가동,300,380,60,2013,발전사업용,2013-08-21,경기도 화성시청,,2025-09-12
㈜두원 화성공장 태양광발전소,,경기도 화성시 양감면 사창리,,,,정상가동,97.52,380,60,2013,발전사업용,2013-09-02,경기도 화성시청,,2025-09-12
*** 태양광발전소,,경기도 화성시 송사면 용포리,,,,정상가동,6.24,380,60,2013,발전사업용,2013-09-09,경기도 화성시청,,2025-09-12
*** 태양광발전소,,경기도 화성시 비봉면 청요리,,,,정상가동,30,380,60,2013,발전사업용,2013-09-09,경기도 화성시청,,2025-09-12
에이원 태양광발전소,,경기도 화성시 봉담읍 왕림리,,,,정상가동,9.76,380,60,2013,발전사업용,2013-09-23,경기도 화성시청,,2025-09-12
우진호 태양광발전소,,경기도 화성시 정남면 신리,,,,정상가동,20,380,60,2013,발전사업용,2013-09-23,경기도 화성시청,,2025-09-12
우진2호 태양광발전소,,경기도 화성시 정남면 신리,,,,정상가동,20,380,60,2013,발전사업용,2013-09-23,경기도 화성시청,,2025-09-12
다인산전 태양광발전소,,경기도 화성시 팔탄면 창곡리,,,,정상가동,38.25,380,60,2013,발전사업용,2013-10-01,경기도 화성시청,,2025-09-12
일승 태양광발전소,,경기도 화성시 서신면 용두리,,,,정상가동,30,380,60,2013,발전사업용,2013-10-01,경기도 화성시청,,2025-09-12
세진 태양광발전소,,경기도 화성시 팔탄면 구장리,,,,정상가동,29.64,380,60,2013,발전사업용,2013-10-10,경기도 화성시청,,2025-09-12
맥스컴솔라호 태양광발전소,,경기도 화성시 장안면 덕다리,,,,정상가동,99,380,60,2013,발전사업용,2013-10-10,경기도 화성시청,,2025-09-12
대한열기 태양광발전소,,경기도 화성시 양감면 송산리,,,,정상가동,99,380,60,2013,발전사업용,2013-10-11,경기도 화성시청,,2025-09-12
덕승 태양광발전소,,경기도 화성시 정남면 오일리,,,,정상가동,60,380,60,2013,발전사업용,2013-10-18,경기도 화성시청,,2025-09-12
경동제약3호 태양광발전소,,경기도 화성시 양감면 대양리,,,,정상가동,57.24,380,60,2013,발전사업용,2013-10-21,경기도 화성시청,,2025-09-12
산호 태양광발전소,,경기도 화성시 정남면 관항리,,,,정상가동,20,380,60,2013,발전사업용,2013-10-22,경기도 화성시청,,2025-09-12
삼영 태양광발전소,,경기도 화성시 북양동,,,,정상가동,0.88,380,60,2013,발전사업용,2013-11-25,경기도 화성시청,,2025-09-12
대명 태양광발전소,,경기도 화성시 정남면 괘랑리,,,,정상가동,40,380,60,2013,발전사업용,2013-11-25,경기도 화성시청,,2025-09-12
우리P&C태양광발전소,,경기도 화성시 배양동,,,,정상가동,50,380,60,2014,발전사업용,2014-01-02,경기도 화성시청,,2025-09-12
대산 태양광발전소,,경기도 화성시 팔탄면 가재리,,,,정상가동,8,380,60,2014,발전사업용,2014-01-10,경기도 화성시청,,2025-09-12
율암리새마을 태양광발전소,경기도 화성시 팔탄면 율암길,,,,,정상가동,30,380,60,2014,발전사업용,2014-01-10,경기도 화성시청,,2025-09-12
청미르햇빛 태양광발전소,,경기도 화성시 송산면 고정리,,,,정상가동,45,380,60,2014,발전사업용,2014-01-22,경기도 화성시청,,2025-09-12
에이치아이디태양광발전소,경기도 화성시 마도면 마도로620번길,,,,,정상가동,98.8,380,60,2014,발전사업용,2014-04-08,경기도 화성시청,,2025-09-12
우주일렉트로닉스 태양광발전소 호,,경기도 화성시 양감면 사창리,,,,정상가동,355,380,60,2014,발전사업용,2014-04-09,경기도 화성시청,,2025-09-12
우일 태양광발전소,,경기도 화성시 송산면 고정리,,,,정상가동,7.25,380,60,2014,발전사업용,2014-04-15,경기도 화성시청,,2025-09-12
율암태양광발전소 호,,경기도 화성시 팔탄면 율암리,,,,정상가동,97.2,380,60,2014,발전사업용,2014-04-15,경기도 화성시청,,2025-09-12
율암태양광발전소 2호,,경기도 화성시 팔탄면 율암리,,,,정상가동,29.7,380,60,2014,발전사업용,2014-04-15,경기도 화성시청,,2025-09-12
드림쏠라6호 태양광발전소,,경기도 화성시 향남읍 상두리,,,,정상가동,20.25,380,60,2014,발전사업용,2014-04-23,경기도 화성시청,,2025-09-12
창곡2리새마을회 태양광발전소,,경기도 화성시 팔탄면 창곡리,,,,정상가동,5,380,60,2014,발전사업용,2014-04-25,경기도 화성시청,,2025-09-12
