태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
광성 태양광발전소,경상남도 거제시 연초면 소오비길 11-10,경상남도 거제시 연초면 오비리 1164-9(건물 위),34.8998023,128.6307712,,정상가동,71.82,380,60,2025,태양광발전,2024-09-11,경상남도 거제시,3242,2026-01-23
금화 태양광발전소,경상남도 거제시 사등면 거제대로 6025-17,경상남도 거제시 사등면 청곡리 204,34.896500,128.5063521,,정상가동,450.12,380,60,2025,태양광발전,2024-09-25,경상남도 거제시,17052,2026-01-23
신화1호 태양광발전소,경상남도 거제시 사등면 두동로 193-3,경상남도 거제시 사등면 사곡리 419-4,34.8850017689,128.5724237989,,정상가동,229.32,380,60,2025,태양광발전,2024-11-15,경상남도 거제시,10192,2026-01-23
중앙1호 태양광발전소,경상남도 거제시 연초면 거제대로 4500-24,경상남도 거제시 연초면 연사리 1373-117(건물 위),34.897400,128.639700,,정상가동,92.61,380,60,2025,태양광발전,2024-11-15,경상남도 거제시,4062,2026-01-23
중앙2호 태양광발전소,경상남도 거제시 연초면 거제대로 4500-22,경상남도 거제시 연초면 연사리 1373-116(건물 위),34.897300,128.640100,,정상가동,78.75,380,60,2025,태양광발전,2024-11-15,경상남도 거제시,3452,2026-01-23
중앙3호 태양광발전소,경상남도 거제시 거제대로 4500-32,경상남도 거제시 고현동 1080-5(건물 위),34.89667988,128.639800,,정상가동,58.59,380,60,2025,태양광발전,2024-11-15,경상남도 거제시,2572,2026-01-23
와이엠1 태양광발전소,경상남도 거제시 하청면 와항1길 47,"경상남도 거제시 하청면 실전리 1045, 997-10(건물 위)",34.96318142,128.6503912,,정상가동,99.06,380,60,2025,태양광발전,2024-11-15,경상남도 거제시,4372,2026-01-23
와이엠2 태양광발전소,경상남도 거제시 하청면 와항1길 47,"경상남도 거제시 하청면 실전리 1045, 997-10(건물 위)",34.96318142,128.6503912,,정상가동,99.06,380,60,2025,태양광발전,2024-11-15,경상남도 거제시,4372,2026-01-23
와이엠3 태양광발전소,경상남도 거제시 하청면 와항1길 47,"경상남도 거제시 하청면 실전리 1045, 997-10(건물 위)",34.96318142,128.6503912,,정상가동,75.57,380,60,2025,태양광발전,2024-11-15,경상남도 거제시,3332,2026-01-23
대성에너지1 태양광발전소,경상남도 거제시 연초면 연하해안로 725-2,경상남도 거제시 연초면 한내리 120-8(건물 위),34.92655237,128.6053677,,정상가동,93.35,380,60,2025,태양광발전,2024-12-14,경상남도 거제시,4282,2026-01-23
대성에너지2 태양광발전소,경상남도 거제시 연초면 연하해안로 725-2,경상남도 거제시 연초면 한내리 120-8(건물 위),34.92655237,128.6053677,,정상가동,89.54,380,60,2025,태양광발전,2024-12-14,경상남도 거제시,4102,2026-01-23
신화3호 태양광발전소,경상남도 거제시 연초면 연하해안로 725-4,경상남도 거제시 연초면 한내리 120,34.92734835,128.6033085,,정상가동,485.78,22900,60,2025,태양광발전,2024-12-14,경상남도 거제시,2138412,2026-01-23
신화2호 태양광발전소,경상남도 거제시 연초면 연하해안로 725-4,경상남도 거제시 연초면 한내리 120(건물 위),34.92734835,128.6033085,,정상가동,220.98,22900,60,2025,태양광발전,2024-12-14,경상남도 거제시,9732,2026-01-23
거제 태양광 발전소,경상남도 거제시 문동4길 83-27,경상남도 거제시 문동동 7-14,34.86058273,128.658300,,정상가동,16,220,60,2025,태양광발전,2025-03-05,경상남도 거제시,702,2026-01-23
거제돔관광호텔 태양광발전소,경상남도 거제시 일운면 거제대로 2372,경상남도 거제시 일운면 지세포리 481-3,34.8224454458,128.7099629974,,정상가동,142.08,380,60,2025,태양광발전,2025-04-04,경상남도 거제시,6212,2026-01-23
함박금 태양광 발전소,경상남도 거제시 동부면 함박금길 222,,34.7791623489,128.5464394095,,정상가동,19.2,380,60,2025,태양광발전,2025-05-16,경상남도 거제시,1402,2026-01-23
량상 태양광발전소,경상남도 거제시 사등면 덕호신촌2길 2,,34.88262628,128.4780211,,정상가동,19.74,380,60,2025,태양광발전,2025-06-19,경상남도 거제시,862,2026-01-23
대성에너지3(하청) 태양광발전소,경상남도 거제시 하청면 거제북로 500,경상남도 거제시 하청면 하청리 675-4,34.95266741,128.6554298274,,정상가동,107.32,380,60,2025,태양광발전,2025-06-19,경상남도 거제시,4722,2026-01-23
정용이 태양광 발전소,경상남도 거제시 연초면 연사4길 33-5,경상남도 거제시 연초면 연사리 1085-6,34.91035967,128.644200,,정상가동,19.05,380,60,2025,태양광발전,2025-07-25,경상남도 거제시,842,2026-01-23
신숙 태양광 발전소,경상남도 거제시 일운면 지세포2길 10,경상남도 거제시 일운면 지세포리 997-2,34.8285299,128.7042042,,정상가동,19.84,380,60,2025,태양광발전,2025-08-14,경상남도 거제시,872,2026-01-23
김성기 태양광 발전소,경상남도 거제시 장목면 장목6길 8,경상남도 거제시 장목면 장목리 219-3,34.98528336,128.6793215,,정상가동,19.05,380,60,2025,태양광발전,2025-08-14,경상남도 거제시,842,2026-01-23
광열발전소,경상남도 거제시 일운면 지세포3길 21 (건물옥상),,34.82737115,128.7010912,,정상가동,19.2,220,60,2008,태양광발전,2008-08-22,경상남도 거제시,702,2026-01-23
드비치골프클럽태양광발전소,,경상남도 거제시 장목면 송진포리 산 77번지 3호 외 5필지,35.01648633,128.6743691,,정상가동,75,380,60,2011,태양광발전,2010-06-15,경상남도 거제시,4002,2026-01-23
미인태양광발전소,경상남도 거제시 거제면 동상명진길 61,,34.8480468,128.5992001,,정상가동,24.36,380,60,2012,태양광발전,2012-04-02,경상남도 거제시,992,2026-01-23
사등모터월드태양광발전소,경상남도 거제시 사등면 지석2길 20,,34.90740782,128.5150218,,정상가동,36.48,380,60,2013,태양광발전,2012-09-19,경상남도 거제시,2532,2026-01-23
(주)유성기업태양광발전소,경상남도 거제시 장평3로 80 (장평동),,34.89713105,128.6102142,,정상가동,26.25,380,60,2013,태양광발전,2012-10-24,경상남도 거제시,1862,2026-01-23
학동자동차야영장태양광발전소,경상남도 거제시 동부면 거제대로 987-13,경상남도 거제시 동부면 학동리 252,34.77693099,128.6411957,,정상가동,5,220,60,2013,태양광발전,2013-04-12,경상남도 거제시,342,2026-01-23
제1호연초농협태양광발전소,경상남도 거제시 연초면 거제북로 26,,34.91352903,128.6550733,,정상가동,20,220,60,2013,태양광발전,2013-07-26,경상남도 거제시,1302,2026-01-23
제2호연초농협태양광발전소,경상남도 거제시 연초면 거제북로 26-1,,34.91348248,128.6553466,,정상가동,20,220,60,2013,태양광발전,2013-07-26,경상남도 거제시,1302,2026-01-23
외포태양광발전소,경상남도 거제시 장목면 외포대금산길 50-2,,34.9496032,128.7138361,,정상가동,9.01,220,60,2014,태양광발전,2013-08-27,경상남도 거제시,532,2026-01-23
거제해양관광개발제1발전소,경상남도 거제시 일운면 지세포해안로 41,,34.83369487,128.7018883,,정상가동,48.6,380,60,2014,태양광발전,2014-03-31,경상남도 거제시,2872,2026-01-23
거제해양관광개발제2발전소,경상남도 거제시 일운면 지세포해안로 25,,34.83490436,128.7016253,,정상가동,48.6,380,60,2014,태양광발전,2014-03-31,경상남도 거제시,2872,2026-01-23
거제해양관광개발제3발전소,경상남도 거제시 계룡로 175 (고현동),,34.88480011,128.6188856,,정상가동,97.2,380,60,2014,태양광발전,2014-03-31,경상남도 거제시,5712,2026-01-23
둔덕태양광발전소,경상남도 거제시 둔덕면 거림1길 5,,34.85173314,128.5106713,,정상가동,18,380,60,2014,태양광발전,2014-04-14,경상남도 거제시,1142,2026-01-23
세종태양광발전소,,경상남도 거제시 문동동 135-9,34.85581697,128.650741,,정상가동,99,380,60,2015,태양광발전,2014-12-01,경상남도 거제시,5352,2026-01-23
블루팜 태양광 발전소,경상남도 거제시 거제면 읍내로 300-8,,34.86878421,128.5818068,,정상가동,18,220,60,2015,태양광발전,2015-04-21,경상남도 거제시,1092,2026-01-23
하민빌 태양광 발전소,경상남도 거제시 수양1길 14-1 (수월동),,34.88987866,128.6476098,,정상가동,20,380,60,2015,태양광발전,2015-07-13,경상남도 거제시,1032,2026-01-23
등대 태양광발전소,,경상남도 거제시 일운면 망치리 259,34.81474623,128.6633502,,정상가동,97.65,380,60,2016,태양광발전,2015-07-13,경상남도 거제시,18122,2026-01-23
국동태양광발전소,,경상남도 거제시 둔덕면 학산리 산9-1,34.8731866,128.4791271,,정상가동,99.36,380,60,2019,태양광발전,2016-05-10,경상남도 거제시,5812,2026-01-23
영환태양광발전소,,경상남도 거제시 둔덕면 학산리 산9-1,34.8731866,128.4791271,,정상가동,99.36,380,60,2019,태양광발전,2016-05-10,경상남도 거제시,5812,2026-01-23
SG태양광발전소,,경상남도 거제시 둔덕면 학산리 산9-1,34.8731866,128.4791271,,정상가동,99.36,380,60,2019,태양광발전,2016-05-10,경상남도 거제시,5812,2026-01-23
미광태양광발전소,,경상남도 거제시 둔덕면 학산리 산9-1,34.8731866,128.4791271,,정상가동,99.36,380,60,2019,태양광발전,2016-05-10,경상남도 거제시,5812,2026-01-23
(주)그랜드썬기술단4호 태양광발전소,,경상남도 거제시 둔덕면 학산리 산9-1,34.8731866,128.4791271,,정상가동,99.36,380,60,2019,태양광발전,2016-05-10,경상남도 거제시,5812,2026-01-23
성광 태양광발전소,,경상남도 거제시 하청면 유계리 825,34.95810505,128.6373171,,정상가동,99,380,60,2017,태양광발전,2016-07-04,경상남도 거제시,5122,2026-01-23
환희 태양광발전소,경상남도 거제시 하청면 유계7길 30-7,,34.95859898,128.6370263,,정상가동,48.4,380,60,2017,태양광발전,2016-07-04,경상남도 거제시,2452,2026-01-23
우주 태양광발전소,경상남도 거제시 용소4길 20,,34.87586239,128.6898539,,정상가동,20,380,60,2017,태양광발전,2017-04-07,경상남도 거제시,1192,2026-01-23
서당골농원,,경상남도 거제시 동부면 구천리 602，603，604，605,34.81195709,128.6388005,,정상가동,99,380,60,2017,태양광발전,2017-07-17,경상남도 거제시,11092,2026-01-23
무지개목장태양광발전소,경상남도 거제시 연초면 소오비2길 85,경상남도 거제시 연초면 오비리 3,34.90611743,128.6350331,,정상가동,16.2,220,60,2019,태양광발전,2017-10-11,경상남도 거제시,3962,2026-01-23
경하태양광발전소,경상남도 거제시 사등면 성포로 284,,34.91811477,128.5343399,,정상가동,51.2,380,60,2018,태양광발전,2018-01-08,경상남도 거제시,7032,2026-01-23
해송태양광발전소,,경상남도 거제시 거제면 내간리 58-1,34.84454973,128.5632984,,정상가동,149.31,380,60,2019,태양광발전,2018-01-23,경상남도 거제시,20792,2026-01-23
양정1 태양광발전소,,경상남도 거제시 양정동 100，100-1，44,34.87266717,128.6531186,,정상가동,289.44,380,60,2019,태양광발전,2018-03-21,경상남도 거제시,20482,2026-01-23
양정 태양광발전소,경상남도 거제시 양정4길 29,,34.87322115,128.6557044,,정상가동,490.44,380,60,2017,태양광발전,2017-04-07,경상남도 거제시,26342,2026-01-23
솔 태양광발전소,,경상남도 거제시 동부면 율포리 552，556，557-1，565，557，555，563，564,34.77234173,128.5952862,,정상가동,299.3,380,60,2019,태양광발전,2018-06-20,경상남도 거제시,15422,2026-01-23
거제햇빛발전소1,,경상남도 거제시 둔덕면 학산리 산9-11,34.87265009,128.4828832,,정상가동,99.6,380,60,2020,태양광발전,2018-08-28,경상남도 거제시,8252,2026-01-23
거제햇빛발전소3,,경상남도 거제시 둔덕면 학산리 산9-11,34.87265009,128.4828832,,정상가동,99.6,380,60,2020,태양광발전,2018-08-28,경상남도 거제시,11862,2026-01-23
거제햇빛발전소5,,경상남도 거제시 둔덕면 학산리 산9-11,34.87265009,128.4828832,,정상가동,99.6,380,60,2020,태양광발전,2018-08-28,경상남도 거제시,12552,2026-01-23
거제가야1호,,경상남도 거제시 둔덕면 학산리 산9-11,34.87265009,128.4828832,,정상가동,99.6,380,60,2020,태양광발전,2018-08-28,경상남도 거제시,7552,2026-01-23
거제햇빛발전소8,,경상남도 거제시 둔덕면 학산리 산9-11,34.87265009,128.4828832,,정상가동,97.6,380,60,2020,태양광발전,2018-08-28,경상남도 거제시,7452,2026-01-23
대명원태양광발전소,,경상남도 거제시 동부면 산촌리 412-1，412-4，412-6，412-8，418-4,34.83613201,128.6077181,,정상가동,99.36,380,60,2019,태양광발전,2018-11-21,경상남도 거제시,13852,2026-01-23
장좌태양광발전소,,경상남도 거제시 사등면 지석리 471，554-1，555-1,34.90305006,128.5242845,,정상가동,98.42,380,60,2020,태양광발전,2018-11-21,경상남도 거제시,14042,2026-01-23
호텔메종드거제발전소,경상남도 거제시 능포로 114(능포동),,34.87403327,128.7312729,,정상가동,19.8,380,60,2019,태양광발전,2018-11-27,경상남도 거제시,2022,2026-01-23
성포양조장 태양광발전소,,경상남도 거제시 사등면 지석리 918-4，991-1，918-5，919-8,34.90798808,128.5163605,,정상가동,52.56,380,60,2019,태양광발전,2019-03-05,경상남도 거제시,17082,2026-01-23
삼녹제작3공장 태양광발전소,경상남도 거제시 연초면 연하해안로 473-41(주1동)(건물위),,34.91777713,128.6184983,,정상가동,300,380,60,2020,태양광발전,2019-05-13,경상남도 거제시,31802,2026-01-23
윤상준태양광발전소,경상남도 거제시 고현로 146 (고현동),,34.89008192,128.627809,,정상가동,29.76,380,60,2019,태양광발전,2019-08-16,경상남도 거제시,1612,2026-01-23
율포 태양광발전소,,경상남도 거제시 동부면 율포리 410(건물위),34.77254482,128.5979861,,정상가동,18.38,380,60,2021,태양광발전,2019-10-21,경상남도 거제시,992,2026-01-23
석포마을 태양광발전소,경상남도 거제시 하청면 연하해안로 1002-24,,34.94728416,128.6020578,,정상가동,81.9,380,60,2020,태양광발전,2019-10-28,경상남도 거제시,5022,2026-01-23
아주운동장 주차장 태양광발전소,,경상남도 거제시 아주동 1158-4，295-12，295-11,34.86345583,128.6886891,,정상가동,104.28,380,60,2020,태양광발전,2020-02-12,경상남도 거제시,4902,2026-01-23
거제스포츠파크 태양광발전소,,경상남도 거제시 거제면 서정리 808-7，822-20，823-13,34.85185585,128.5815342,,정상가동,464.92,380,60,2020,태양광발전,2020-02-12,경상남도 거제시,21822,2026-01-23
옥포운동장 주차장 태양광발전소,,경상남도 거제시 옥포동 1128，1128-4,34.90141965,128.6944557,,정상가동,52.14,380,60,2020,태양광발전,2020-02-12,경상남도 거제시,2472,2026-01-23
