태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
신화성 태양광2,경상남도 고성군 동해면 내곡1길 78,,,,옥외,정상가동,11.9,380,60,2024,,2024-04-15,경상남도 고성군청,,2025-10-31
신화성 태양광1,경상남도 고성군 동해면 내곡1길 78,,,,옥상,정상가동,17.85,380,60,2024,,2024-04-15,경상남도 고성군청,,2025-10-31
진 태양광발전소,경상남도 고성군 마암면 옥천로 169,,,,옥상,정상가동,78.65,380,60,2024,,2024-04-15,경상남도 고성군청,,2025-10-31
춘암 태양광발전소,경상남도 고성군 하일면 춘암4길 121,,,,옥상,정상가동,71.34,380,60,2024,,2024-04-15,경상남도 고성군청,,2025-10-31
원정1 태양광발전소,경상남도 고성군 하이면 자란만로 366,,,,옥상,정상가동,99.96,380,60,2024,,2024-03-29,경상남도 고성군청,,2025-10-31
봉계 태양광발전소,경상남도 고성군 하이면 봉현2길 27-52,,,,,정상가동,94.38,380,60,2024,,2024-03-11,경상남도 고성군청,,2025-10-31
이건 태양광발전소,경상남도 고성군 개천면 청광로 340,,,,옥상,정상가동,92.4,380,60,2024,,2024-02-16,경상남도 고성군청,,2025-10-31
허영무 태양광발전소,경상남도 고성군 구만면 화림1길 110,,,,옥상,정상가동,19.04,380,60,2024,,2024-02-06,경상남도 고성군청,,2025-10-31
신라 태양광 발전소,경상남도 고성군 고성읍 남해안대로 2524,,,,옥상,정상가동,99.96,380,60,2024,,2023-11-02,경상남도 고성군청,,2025-10-31
영실1 태양광 발전소,경상남도 고성군 구만면 구만로 753,,,,옥상,정상가동,94.38,380,60,2024,,2023-10-31,경상남도 고성군청,,2025-10-31
천광 태양광발전소4,경상남도 고성군 고성읍 남해안대로 2764-6,,,,옥상,정상가동,69.44,380,60,2024,,2023-10-11,경상남도 고성군청,,2025-10-31
천광 태양광발전소3,경상남도 고성군 고성읍 남해안대로 2764-6,,,,옥상,정상가동,99.2,380,60,2024,,2023-10-11,경상남도 고성군청,,2025-10-31
천광 태양광발전소2,경상남도 고성군 고성읍 남해안대로 2756,,,,옥상,정상가동,48.36,380,60,2024,,2023-10-11,경상남도 고성군청,,2025-10-31
천광 태양광발전소1,경상남도 고성군 고성읍 남해안대로 2756,,,,옥상,정상가동,99.2,380,60,2024,,2023-10-11,경상남도 고성군청,,2025-10-31
민준민성태양광발전소,경상남도 고성군 회화면 마구들2길 17,,,,옥상,정상가동,35.7,380,60,2024,,2023-10-05,경상남도 고성군청,,2025-10-31
두수마을3 태양광발전소,경상남도 고성군 하이면 덕호4길 2-25,,,,,정상가동,11.9,380,60,2023,,2023-08-23,경상남도 고성군청,,2025-10-31
햇살농장3발전소,경상남도 고성군 영오면 대가로 2155-138,,,,,정상가동,99,380,60,2024,,2023-07-31,경상남도 고성군청,,2025-10-31
햇살농장2발전소,경상남도 고성군 영오면 대가로 2155-138,,,,,정상가동,99,380,60,2024,,2023-07-31,경상남도 고성군청,,2025-10-31
고성2태양광발전소,,경상남도 고성군 고성읍 신월리 36,,,,정상가동,99.82,380,60,2023,,2023-07-24,경상남도 고성군청,,2025-10-31
고성1태양광발전소,,경상남도 고성군 고성읍 신월리 36,,,,정상가동,109.74,380,60,2023,,2023-07-24,경상남도 고성군청,,2025-10-31
