태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
북곡2호 태양광발전소,경상남도 김해시 생림면 마사로459번길 4-10,,35.3733611994961,128.823303600344,,정상가동,32.39,380,60,2025,,,,,2025-09-08
서희솔라에너지1호 태양광 발전소,경상남도 김해시 한림면 김해대로 1102-19,,35.2945101469982,128.804689968555,,정상가동,89.6,380,60,2025,,,,,2025-09-08
서희솔라에너지3호 태양광 발전소,경상남도 김해시 한림면 김해대로 1102-19,,35.2945101469982,128.804689968555,,정상가동,24.96,380,60,2025,,,,,2025-09-08
서희솔라에너지2호 태양광 발전소,경상남도 김해시 한림면 김해대로 1102-19,,35.2945101469982,128.804689968555,,정상가동,89.6,380,60,2025,,,,,2025-09-08
우림 태양광발전소,경상남도 김해시 한림면 용덕로132번길 24-12,,35.2909362650097,128.833327496406,,정상가동,199.71,380,60,2025,,,,,2025-09-08
명동프라자 태양광발전소,경상남도 김해시 한림면 명동산단안길 8,,35.2949239302916,128.801495951807,,정상가동,81.92,380,60,2025,,,,,2025-09-08
모햇발전소1754호,"경상남도 김해시 생림면 장재로 293, 화진산업기계",,35.3240009961282,128.824993278189,,정상가동,59.16,380,60,2025,,,,,2025-09-08
모햇발전소1753호,"경상남도 김해시 생림면 장재로 293, 화진산업기계",,35.3240009961282,128.824993278189,,정상가동,59.74,380,60,2025,,,,,2025-09-08
미자1 태양광발전소,경상남도 김해시 한림면 안하로 227-83,,35.3174525142843,128.818717424967,,정상가동,87.63,380,60,2025,,,,,2025-09-08
미자2 태양광발전소,경상남도 김해시 한림면 안하로 227-83,,35.3174525142843,128.818717424967,,정상가동,86.36,380,60,2025,,,,,2025-09-08
미자3 태양광발전소,경상남도 김해시 한림면 안하로 227-83,,35.3174525142843,128.818717424967,,정상가동,88.9,380,60,2025,,,,,2025-09-08
제1호 가야기술 태양광발전소,경상남도 김해시 대동면 대동산단8로 15-38,,35.2819805815855,128.989239972841,,정상가동,132.48,380,60,2025,,,,,2025-09-08
승진4호 태양광 발전소,경상남도 김해시 한림면 가동로 128,,35.332235951517,128.763664482059,,정상가동,17.78,380,60,2025,,,,,2025-09-08
승진2호 태양광 발전소,경상남도 김해시 한림면 가동로 128,,35.332235951517,128.763664482059,,정상가동,89.54,380,60,2025,,,,,2025-09-08
승진3호 태양광 발전소,경상남도 김해시 한림면 가동로 128,,35.332235951517,128.763664482059,,정상가동,89.54,380,60,2025,,,,,2025-09-08
승진1호 태양광 발전소,경상남도 김해시 한림면 가동로 128,,35.332235951517,128.763664482059,,정상가동,89.54,380,60,2025,,,,,2025-09-08
코스모스 태양광 발전소,경상남도 김해시 진례면 테크노밸리1로 77,,35.2674860775279,128.772465116579,,정상가동,490.86,380,60,2025,,,,,2025-09-08
제1호 후광 유하 태양광발전소,경상남도 김해시 유하로 45-14 (유하동),,35.2075920771782,128.814552421775,,정상가동,148.59,380,60,2025,,,,,2025-09-08
혜성 태양광발전소,경상남도 김해시 한림면 안곡로 543,,35.3034373595089,128.833764433353,,정상가동,97.65,380,60,2025,,,,,2025-09-08
어은2 태양광발전소,경상남도 김해시 한림면 한림로252번길 27-238,,35.3151106430408,128.816671291814,,정상가동,58.59,380,60,2025,,,,,2025-09-08
어은1 태양광발전소,경상남도 김해시 한림면 한림로252번길 27-238,,35.3151106430408,128.816671291814,,정상가동,88.83,380,60,2025,,,,,2025-09-08
용이3호 태양광발전소,경상남도 김해시 생림면 안양로 75,,35.3582910518956,128.850017911738,,정상가동,89.54,380,60,2025,,,,,2025-09-08
용이2호 태양광발전소,경상남도 김해시 생림면 안양로 75,,35.3582910518956,128.850017911738,,정상가동,89.54,380,60,2025,,,,,2025-09-08
용이1호 태양광발전소,경상남도 김해시 생림면 안양로 75,,35.3582910518956,128.850017911738,,정상가동,89.54,380,60,2025,,,,,2025-09-08
태양3호 태양광 발전소,경상남도 김해시 한림면 안하로4번길 16-27,,35.3052482455454,128.833826634753,,정상가동,71.12,380,60,2025,,,,,2025-09-08
태양2호 태양광 발전소,경상남도 김해시 한림면 안하로4번길 16-27,,35.3052482455454,128.833826634753,,정상가동,60.96,380,60,2025,,,,,2025-09-08
태양1호 태양광 발전소,경상남도 김해시 한림면 안하로4번길 16-27,,35.3052482455454,128.833826634753,,정상가동,60.96,380,60,2025,,,,,2025-09-08
양지5호 태양광발전소,경상남도 김해시 생림면 장재로 370-37,,35.3228289848818,128.835143120069,,정상가동,49.53,380,60,2025,,,,,2025-09-08
양지4호 태양광발전소,경상남도 김해시 생림면 장재로 370-37,,35.3228289848818,128.835143120069,,정상가동,89.54,380,60,2025,,,,,2025-09-08
신원2호 태양광발전소,경상남도 김해시 한림면 김해대로974번길 130-17,,35.2822272997581,128.78869314909,,정상가동,62.08,380,60,2025,,,,,2025-09-08
신원1호 태양광발전소,경상남도 김해시 한림면 김해대로974번길 130-17,,35.2822272997581,128.78869314909,,정상가동,62.72,380,60,2025,,,,,2025-09-08
성기 태양광 발전소,경상남도 김해시 한림면 안곡로 350-1,,35.2922490968881,128.847567773808,,정상가동,87.0,380,60,2025,,,,,2025-09-08
뉴삼영 태양광발전소,경상남도 김해시 대동면 대동산단2로 271,,35.2801074137372,128.994285556134,,정상가동,460.2,380,60,2025,,,,,2025-09-08
옥규3호 태양광 발전소,경상남도 김해시 한림면 한림로 701-88,,35.3344127958975,128.779720634096,,정상가동,55.88,380,60,2025,,,,,2025-09-08
옥규2호 태양광 발전소,경상남도 김해시 한림면 한림로 701-88,,35.3344127958975,128.779720634096,,정상가동,55.88,380,60,2025,,,,,2025-09-08
옥규1호 태양광 발전소,경상남도 김해시 한림면 한림로 701-88,,35.3344127958975,128.779720634096,,정상가동,83.82,380,60,2025,,,,,2025-09-08
모햇발전소1755호,경상남도 김해시 생림면 봉림로 101-74,,35.3350296729613,128.843086185571,,정상가동,89.9,380,60,2025,,,,,2025-09-08
원정 태양광 발전소,경상남도 김해시 상동면 묵방로 170,,35.3022745813941,128.912547569043,,정상가동,140.97,380,60,2025,,,,,2025-09-08
은진기업 태양광발전소,경상남도 김해시 진영읍 본산로193번길 37,,35.3187585262514,128.74717612799,,정상가동,129.54,380,60,2025,,,,,2025-09-08
덕만 태양광 발전소,경상남도 김해시 상동면 묵방로 18,,35.2911429365153,128.913295050807,,정상가동,105.41,380,60,2025,,,,,2025-09-08
휴먼 태양광발전소,경상남도 김해시 칠산로265번길 16-8 (화목동),,35.1979890515881,128.845771035717,,정상가동,30.48,380,60,2025,,,,,2025-09-08
세운3태양광발전소,경상남도 김해시 대동면 대동산단2로 170,,35.2711274431332,128.994876307396,,정상가동,49.53,380,60,2025,,,,,2025-09-08
세운2태양광발전소,경상남도 김해시 대동면 대동산단2로 170,,35.2711274431332,128.994876307396,,정상가동,89.54,380,60,2025,,,,,2025-09-08
세운1태양광발전소,경상남도 김해시 대동면 대동산단2로 170,,35.2711274431332,128.994876307396,,정상가동,89.54,380,60,2025,,,,,2025-09-08
삼우발전소2,경상남도 김해시 생림면 나전로 250-3,,35.3073097966393,128.87804041506,,정상가동,388.62,380,60,2025,,,,,2025-09-08
삼우발전소1,경상남도 김해시 생림면 나전로 250-3,,35.3073097966393,128.87804041506,,정상가동,175.26,380,60,2025,,,,,2025-09-08
가온 태양광발전소,,경상남도 김해시 구산동 824,35.2538224748623,128.866581210921,,정상가동,19.53,380,60,2025,,,,,2025-09-08
경진테크 2호 태양광 발전소,경상남도 김해시 주촌면 서부로1637번안길 44-4,,35.2587696782798,128.81983066657,,정상가동,49.14,380,60,2025,,,,,2025-09-08
경진테크 1호 태양광 발전소,경상남도 김해시 주촌면 서부로1637번안길 44-4,,35.2587696782798,128.81983066657,,정상가동,89.46,380,60,2025,,,,,2025-09-08
정본 태양광발전소,경상남도 김해시 한림면 장방로 221-25,,35.3288513169874,128.776790891309,,정상가동,387.35,380,60,2025,,,,,2025-09-08
보헌태양광 1호발전소,경상남도 김해시 한림면 장재로 117-44,,35.3272226428948,128.809570845276,,정상가동,74.3,380,60,2025,,,,,2025-09-08
보헌태양광 2호발전소,경상남도 김해시 한림면 장재로 117-44,,35.3272226428948,128.809570845276,,정상가동,28.58,380,60,2025,,,,,2025-09-08
민세은 태양광발전소,경상남도 김해시 한림면 장재로 190-34,,35.3214816974738,128.814718828151,,정상가동,388.08,380,60,2025,,,,,2025-09-08
케이엠에스3호 태양광발전소,경상남도 김해시 진영읍 하계로240번길 93-11,,35.2812377783601,128.727180169711,,정상가동,89.46,380,60,2025,,,,,2025-09-08
케이엠에스2호 태양광발전소,경상남도 김해시 진영읍 하계로240번길 93-11,,35.2812377783601,128.727180169711,,정상가동,89.46,380,60,2025,,,,,2025-09-08
화성공업 주식회사,경상남도 김해시 한림면 병동산단로 27,,35.2920724742867,128.793092567214,,정상가동,254.52,380,60,2025,,,,,2025-09-08
한국적외선3호 태양광발전소,경상남도 김해시 주촌면 이지산단로 133,,35.2231149696417,128.839117901491,,정상가동,57.79,380,60,2025,,,,,2025-09-08
한국적외선2호 태양광발전소,경상남도 김해시 주촌면 이지산단로 133,,35.2231149696417,128.839117901491,,정상가동,57.79,380,60,2025,,,,,2025-09-08
한국적외선1호 태양광발전소,경상남도 김해시 주촌면 이지산단로 133,,35.2231149696417,128.839117901491,,정상가동,89.54,380,60,2025,,,,,2025-09-08
광선 태양광발전소,경상남도 김해시 한림면 안곡로 350-1,,35.2922490968881,128.847567773808,,정상가동,34.93,380,60,2025,,,,,2025-09-08
김대원 태양광발전소,경상남도 김해시 주촌면 서부로1295번길 106-21,,35.2285705283236,128.803176110114,,정상가동,80.0,380,60,2025,,,,,2025-09-08
민1호 태양광발전소,경상남도 김해시 진영읍 서부로 85,,35.2893746717465,128.764698140536,,정상가동,61.74,380,60,2025,,,,,2025-09-08
디베로 태양광발전소,경상남도 김해시 대동면 동남로117번길 17-3,,35.2440826435508,128.994808071918,,정상가동,35.56,380,60,2025,,,,,2025-09-08
진구 태양광발전소,경상남도 김해시 진영읍 본산로 181,,35.3164814444063,128.745212995774,,정상가동,200.97,380,60,2025,,,,,2025-09-08
삼창1호 태양광발전소,경상남도 김해시 상동면 상동로 338-29,,35.3029329485175,128.908808754695,,정상가동,89.54,380,60,2025,,,,,2025-09-08
삼창2호 태양광발전소,경상남도 김해시 상동면 상동로 338-30,,35.3029371326349,128.908224027765,,정상가동,57.79,380,60,2025,,,,,2025-09-08
신성이엔지태양광발전소,경상남도 김해시 상동면 묵방로 14,,35.290915247776,128.913423675382,,정상가동,78.74,380,60,2025,,,,,2025-09-08
안명농장에너지2호 태양광발전소,경상남도 김해시 한림면 한림로252번길 135,,35.3130950890767,128.82116683344,,정상가동,119.07,380,60,2025,,,,,2025-09-08
(주)대성축산기업,경상남도 김해시 주촌면 서부로1541번길 86-71,,35.2396070091899,128.812226900767,,정상가동,249.48,380,60,2025,,,,,2025-09-08
