태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
봉화 태양광 발전소,,경상남도 남해군 삼동면 봉화리 825번지,,,기타,정상가동,99,380,60,2015,발전사업용,2014-09-11,경상남도 남해군청,1672,2025-11-20
봉 태양광 발전소,경상남도 남해군 창선면 서부로 1365,,,,기타,정상가동,18.75,380,60,2014,발전사업용,2014-09-15,경상남도 남해군청,120,2025-11-20
유신 태양광 발전소,경상남도 남해군 창선면 서부로 1497,,,,기타,정상가동,18.75,380,60,2014,발전사업용,2014-09-15,경상남도 남해군청,120,2025-11-20
고두태양광발전소,,경상남도 남해군 창선면 가인리 216-3,,,기타,정상가동,48,220,60,2016,발전사업용,2015-07-23,경상남도 남해군청,1533,2025-11-20
청광태양광발전소,경상남도 남해군 남해읍 남해대로 2836,,,,기타,정상가동,75.95,380,60,2015,발전사업용,2015-01-08,경상남도 남해군청,513,2025-11-20
수정태양광발전소,경상남도 남해군 창선면 서부로1230번길 47-7,,,,기타,정상가동,15,220,60,2015,발전사업용,2015-02-26,경상남도 남해군청,96,2025-11-20
태영태양광발전소,경상남도 남해군 창선면 서부로 1259,,,,기타,정상가동,60,380,60,2015,발전사업용,2015-02-26,경상남도 남해군청,265,2025-11-20
YS태양광발전소,,"경상남도 남해군 남면 죽전리 401, 406",,,기타,정상가동,99.75,380,60,2015,발전사업용,2015-03-10,경상남도 남해군청,645,2025-11-20
남해전기관당태양광발전소,경상남도 남해군 고현면 고설로197번길 27-7,,,,기타,정상가동,45,380,60,2016,발전사업용,2015-04-07,경상남도 남해군청,687,2025-11-20
외금썬태양광발전소,경상남도 남해군 남해읍 당넘로247번길 40-42,,,,기타,정상가동,86.4,380,60,2016,발전사업용,2015-04-17,경상남도 남해군청,1334,2025-11-20
금빛태양광발전소,,경상남도 남해군 남해읍 평현리 1796번지,,,기타,정상가동,99,380,60,2015,발전사업용,2015-05-19,경상남도 남해군청,1820,2025-11-20
꿈엔들쏠라태양광발전소 2호,경상남도 남해군 남면 남서대로 1125,,,,기타,정상가동,30,380,60,2015,발전사업용,2015-05-19,경상남도 남해군청,768,2025-11-20
정포발전 태양광발전소,경상남도 남해군 서면 정포로260번길 2,,,,기타,정상가동,18,220,60,2015,발전사업용,2015-05-22,경상남도 남해군청,115,2025-11-20
해오름 태양광발전소,,"경상남도 남해군 삼동면 봉화리 1856번지, 삼동면 봉화리 1853-3번지",,,기타,정상가동,99,380,60,2016,발전사업용,2015-11-09,경상남도 남해군청,1580,2025-11-20
그린솔루션 태양광발전소,,"경상남도 남해군 삼동면 봉화리1856-1, 봉화리 1853-2",,,기타,정상가동,99,380,60,2016,발전사업용,2015-11-09,경상남도 남해군청,1106,2025-11-20
내산태양광발전소,,경상남도 남해군 삼동면 봉화리 1769-4,,,기타,정상가동,99,380,60,2017,발전사업용,2015-11-20,경상남도 남해군청,1648,2025-11-20
그랜드썬에너지 태양광발전소,,경상남도 남해군 서면 정포리 45번지,,,기타,정상가동,67.5,380,60,2018,발전사업용,2015-12-04,경상남도 남해군청,437,2025-11-20
내금2 마을회 태양광발전소,경상남도 남해군 남해읍 당넘로 77,,,,기타,정상가동,9,220,60,2016,발전사업용,2015-12-17,경상남도 남해군청,198,2025-11-20
내금태양광발전,경상남도 남해군 남해읍 당넘로 77,,,,기타,정상가동,66,380,60,2015,발전사업용,2015-06-08,경상남도 남해군청,1760,2025-11-20
서희 태양광발전소,경상남도 남해군 창선면 흥선로 1320번길 15-5,,,,기타,정상가동,18,220,60,2016,발전사업용,2016-01-07,경상남도 남해군청,660,2025-11-20
당항교회 장학회 태양광발전소,,"경상남도 남해군 남면 당항리 1099-2번지, 남면 당항리 1099-13번지",,,기타,정상가동,99.84,380,60,2016,발전사업용,2016-03-24,경상남도 남해군청,4100,2025-11-20
꿈엔들쏠라 2호 태양광발전소,경상남도 남해군 남면 남서대로 1125,,,,기타,정상가동,62.22,380,60,2016,발전사업용,2016-05-26,경상남도 남해군청,768,2025-11-20
영숙태양광 발전소,경상남도 남해군 남해읍 남해대로 2984번길 58-3,,,,기타,정상가동,40.5,380,60,2016,발전사업용,2016-06-07,경상남도 남해군청,169,2025-11-20
남희 태양광발전소,,"경상남도 남해군 남면 임포리 45-1번지, 임포리 250-1번지",,,기타,정상가동,99,380,60,2017,발전사업용,2016-06-20,경상남도 남해군청,1604,2025-11-20
삼조 태양광발전소,경상남도 남해군 삼동면 동부대로 1542-83,,,,기타,정상가동,94.5,380,60,2016,발전사업용,2016-07-21,경상남도 남해군청,2502,2025-11-20
서원 태양광발전소,경상남도 남해군 서면 정포로260번길 45-106,,,,기타,정상가동,64.32,380,60,2017,발전사업용,2016-08-18,경상남도 남해군청,806,2025-11-20
인철1호 태양광발전소,,경상남도 남해군 설천면 진목리 780번지,,,기타,정상가동,99,380,60,2018,발전사업용,2017-02-14,경상남도 남해군청,1239,2025-11-20
성희 태양광발전소,,"경상남도 남해군 서면 서상리 1404, 1405번지",,,기타,정상가동,99.2,380,60,2017,발전사업용,2017-02-20,경상남도 남해군청,2078,2025-11-20
상신태양광발전소 1호,,"경상남도 남해군 창선면 상신리 405-1, 433-1, 432번지",,,기타,정상가동,97.28,380,60,2017,발전사업용,2017-02-27,경상남도 남해군청,3062,2025-11-20
상신태양광발전소 2호,,"경상남도 남해군 창선면 상신리 432, 405-1, 431번지",,,기타,정상가동,97.28,380,60,2017,발전사업용,2017-02-27,경상남도 남해군청,1795,2025-11-20
남해전기차산 태양광발전소,,경상남도 남해군 남해읍 차산리 36-63번지,,,기타,정상가동,192,380,60,2020,발전사업용,2017-03-31,경상남도 남해군청,3103,2025-11-20
건아 태양광발전소,,경상남도 남해군 남면 석교리 1085번지,,,기타,정상가동,96.48,380,60,2017,발전사업용,2017-04-10,경상남도 남해군청,575,2025-11-20
장수 태양광발전소,경상남도 남해군 설천면 강진로438번길 35-21,,,,기타,정상가동,96.48,380,60,2017,발전사업용,2017-04-10,경상남도 남해군청,565,2025-11-20
봉성마을 태양광발전소,,"경상남도 남해군 남해읍 평현리 1846, 1855번지",,,기타,정상가동,98.8,380,60,2017,발전사업용,2017-04-19,경상남도 남해군청,1954,2025-11-20
소형 태양광발전소,,"경상남도 남해군 이동면 용소리 413-2, 413-5번지",,,기타,정상가동,99.36,380,60,2018,발전사업용,2017-04-27,경상남도 남해군청,2400,2025-11-20
