태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
조일에너지,경상남도 사천시 서포면 후포길 137,,,,,정상가동,189,380,60,2024,발전사업용,,경상남도 사천시,,2024-10-07
(주)곤명태양광발전소,,경상남도 사천시 곤명면 마곡리 산 70,,,,정상가동,200,380,60,2009,발전사업용,,경상남도 사천시,,2024-10-07
(주)마곡태양광발전소,,경상남도 사천시 곤명면 마곡리 산 70 3,,,,정상가동,200,380,60,2009,발전사업용,,경상남도 사천시,,2024-10-07
옥동태양광발전소,,경상남도 사천시 곤명면 은사리 산 35 2,,,,정상가동,99,380,60,2010,발전사업용,,경상남도 사천시,,2024-10-07
(주)삼정태양광발전소(사천),경상남도 사천시 곤명면 서정길 29,,,,,정상가동,1000,22900,60,2009,발전사업용,,경상남도 사천시,,2024-10-07
(주)한태연3호사천태양광발전소,,경상남도 사천시 곤명면 송림리 산 56-1,,,,정상가동,300,22900,60,2009,발전사업용,,경상남도 사천시,,2024-10-07
(주)골드개발 태양광발전소,,경상남도 사천시 용현면 석계리 산 25-1 47번지 6호,,,,정상가동,1000,380,60,2013,발전사업용,,경상남도 사천시,,2024-10-07
대경 태양광발전소,경상남도 사천시 사남면 진삼로 1068,,,,,정상가동,43,380,60,2012,발전사업용,,경상남도 사천시,,2024-10-07
썬이앤씨태양광발전소,경상남도 사천시 사남면 초전로 52,,,,,정상가동,33,380,60,2012,발전사업용,,경상남도 사천시,,2024-10-07
썬이앤씨2 태양광발전소,경상남도 사천시 사남면 초전로 53-2,,,,,정상가동,3,380,60,2012,발전사업용,,경상남도 사천시,,2024-10-07
안중열태양광발전소,경상남도 사천시 사남면 초전로 28,,,,,정상가동,32,380,60,2012,발전사업용,,경상남도 사천시,,2024-10-07
채경근태양광발전소,경상남도 사천시 정동면 고읍1길 89,,,,,정상가동,14,380,60,2012,발전사업용,,경상남도 사천시,,2024-10-07
은민태양광발전소,,경상남도 사천시 사남면 방지리 323번지,,,,정상가동,55,380,60,2012,발전사업용,,경상남도 사천시,,2024-10-07
차연옥태양광발전소,경상남도 사천시 사남면 초전로 28,,,,,정상가동,28,380,60,2012,발전사업용,,경상남도 사천시,,2024-10-07
