태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
선하재 태양광발전소,경상남도 산청군 산청읍 꽃봉산로 30-3,,,,,정상가동,19.84,380,60,2024,,,,,2024-12-10
소남태양광발전소 9호기,,경상남도 산청군 단성면 소남리 687-2,,,,정상가동,7.44,380,60,2024,,,,,2024-12-10
물안실 태양광발전소,경상남도 산청군 산청읍 물안실로 478-164,,,,,정상가동,10,380,60,2024,,,,,2024-12-10
신흥이병학2태양광,경상남도 산청군 신안면 문익점로113번길 22-6,,,,,정상가동,18.45,380,60,2024,,,,,2024-12-10
길리 태양광발전소1호,,"경상남도 산청군 단성면 길리 산 129-1 , 241-9",,,,정상가동,99.9,380,60,2024,,,,,2024-12-10
길리 태양광발전소2호,,"경상남도 산청군 단성면 길리 산 129-1 , 241-9",,,,정상가동,52.36,380,60,2024,,,,,2024-12-10
동양기계 태양광발전소,경상남도 산청군 생초면 왕산로 508,,,,,정상가동,64.2,380,60,2024,,,,,2024-12-10
소남태양광발전소 8호기,,경상남도 산청군 단성면 소남리 687-2,,,,정상가동,17.85,380,60,2024,,,,,2024-12-10
창식 태양광발전소,경상남도 산청군 차황면 친환경로 3602,,,,,정상가동,16.94,380,60,2024,,,,,2024-12-10
평촌 태양광발전소,,"경상남도 산청군 생초면 평촌리 672-1 , 673-1",,,,정상가동,40.2,380,60,2024,,,,,2024-12-10
김년월 태양광발전소,경상남도 산청군 단성면 호암로 1125-1,,,,,정상가동,30,380,60,2024,,,,,2024-12-10
외고리 태양광발전소,경상남도 산청군 신안면 신차로 231-25,,,,,정상가동,72,380,60,2024,,,,,2024-12-10
도담2 태양광발전소,경상남도 산청군 단성면 목화로 110-4,,,,,정상가동,99.5,380,60,2024,,,,,2024-12-10
도담1 태양광발전소,경상남도 산청군 단성면 목화로 110-4,,,,,정상가동,99.5,380,60,2024,,,,,2024-12-10
무결4 태양광발전소,,"경상남도 산청군 금서면 평촌리 196 , 204-6, 산67-30",,,,정상가동,70.2,380,60,2024,,,,,2024-12-10
무결3 태양광발전소,,"경상남도 산청군 금서면 평촌리 196 , 204-6, 산67-30",,,,정상가동,97.2,380,60,2024,,,,,2024-12-10
무결2 태양광발전소,,"경상남도 산청군 금서면 평촌리 196 , 204-6, 산67-30",,,,정상가동,97.2,380,60,2024,,,,,2024-12-10
무결1 태양광발전소,,"경상남도 산청군 금서면 평촌리 196 , 204-6, 산67-30",,,,정상가동,97.2,380,60,2024,,,,,2024-12-10
김정순 태양광발전소,,"경상남도 산청군 생초면 평촌리 509-11 , 511",,,,정상가동,26.62,380,60,2024,,,,,2024-12-10
함양산청축협4호 태양광발전소,경상남도 산청군 금서면 동의보감로 773-16,,,,,정상가동,430.76,380,60,2024,,,,,2024-12-10
진옥태양광발전소2호,경상남도 산청군 신안면 중촌갈전로499번길 239,,,,,정상가동,52.5,380,60,2024,,,,,2024-12-10
진옥태양광발전소1호,경상남도 산청군 신안면 중촌갈전로499번길 239,,,,,정상가동,97.5,380,60,2024,,,,,2024-12-10
누리2호 태양광발전소,,"경상남도 산청군 단성면 강누리 1036-1 1036, 1037, 1038",,,,정상가동,99.96,380,60,2024,,,,,2024-12-10
석산태양광3호발전소,경상남도 산청군 금서면 친환경로2346번길 24,,,,,정상가동,19.7,220,60,2024,,,,,2024-12-10
상호 태양광발전소,경상남도 산청군 생초면 새실로 623-11,,,,,정상가동,82.8,380,60,2024,,,,,2024-12-10
주상동 태양광발전소,경상남도 산청군 금서면 화계오봉로46번길 36-4,,,,,정상가동,19.64,380,60,2023,,,,,2024-12-10
산음누에마을신재생에너지,경상남도 산청군 금서면 동의보감로724번길 16,,,,,정상가동,10,380,60,2023,,,,,2024-12-10
백산 태양광발전소,,경상남도 산청군 단성면 백운리 49-3,,,,정상가동,79.87,380,60,2023,,,,,2024-12-10
원지죽재 태양광발전소,경상남도 산청군 단성면 강누방목로 3,,,,,정상가동,49.98,380,60,2023,,,,,2024-12-10
임촌 태양광발전소,경상남도 산청군 산청읍 친환경로 3210-8,,,,,정상가동,88.33,380,60,2023,,,,,2024-12-10
극동 태양광발전소,경상남도 산청군 산청읍 산수로 116-31,,,,,정상가동,99.19,380,60,2024,,,,,2024-12-10
신기마을회태양광발전소,,"경상남도 산청군 오부면 오전리 1062-1 , 1063-1",,,,정상가동,19.04,380,60,2023,,,,,2024-12-10
영남제과3 태양광발전소,경상남도 산청군 생비량면 진산로 2101-8,,,,,정상가동,49.61,380,60,2023,,,,,2024-12-10
영남제과2 태양광발전소,경상남도 산청군 생비량면 진산로 2101-8,,,,,정상가동,99.22,380,60,2023,,,,,2024-12-10
주간보호시설 태양광발전소,경상남도 산청군 산청읍 덕우지길 74-8,,,,,정상가동,45.22,380,60,2024,,,,,2024-12-10
운봉 태양광발전소,경상남도 산청군 신등면 장천로139번길 22-23,,,,,정상가동,17.85,220,60,2023,,,,,2024-12-10
준호 태양광발전소,경상남도 산청군 산청읍 범학길 104-4,,,,,정상가동,12.5,380,60,2023,,,,,2024-12-10
좋은1호 태양광발전소,경상남도 산청군 오부면 오동로 615,,,,,정상가동,46.41,380,60,2023,,,,,2024-12-10
종일태양광발전소,경상남도 산청군 오부면 오동로273번길 88-4,,,,,정상가동,47.03,380,60,2023,,,,,2024-12-10
황매스마트팜솔라,경상남도 산청군 차황면 신차로2172번길 103,,,,,정상가동,72.96,380,60,2023,,,,,2024-12-10
상중태양광발전소,경상남도 산청군 차황면 신차로2000번길 99,,,,,정상가동,99,380,60,2023,,,,,2024-12-10
경산 태양광발전소,"경상남도 산청군 금서면 동의보감로 167, (주)동양요업",,,,,정상가동,450,380,60,2024,,,,,2024-12-10
쏠라큐 태양광발전소,"경상남도 산청군 단성면 석대로321번길 9, 한솔버섯농장",,,,,정상가동,220,380,60,2024,,,,,2024-12-10
민성 태양광발전소,경상남도 산청군 금서면 왕산로 15-7,,,,,정상가동,19.62,380,60,2023,,,,,2024-12-10
빈빈3호 태양광,경상남도 산청군 단성면 지리산대로 2587-67,,,,,정상가동,49.5,380,60,2023,,,,,2024-12-10
빈빈2호 태양광,경상남도 산청군 단성면 지리산대로 2587-67,,,,,정상가동,99.66,380,60,2023,,,,,2024-12-10
빈빈1호 태양광,경상남도 산청군 단성면 지리산대로 2587-67,,,,,정상가동,99.66,380,60,2023,,,,,2024-12-10
문대태양광발전소,경상남도 산청군 신안면 신차로 32,,,,,정상가동,67.2,380,60,2023,,,,,2024-12-10
민준태양광발전소,경상남도 산청군 단성면 지리산대로3045번길 156,,,,,정상가동,98.01,380,60,2023,,,,,2024-12-10
물장구2 태양광발전소,경상남도 산청군 신안면 지리산대로4002번길 47,,,,,정상가동,99.84,380,60,2023,,,,,2024-12-10
물장구3 태양광발전소,경상남도 산청군 신안면 지리산대로4002번길 47,,,,,정상가동,99.84,380,60,2023,,,,,2024-12-10
물장구1 태양광발전소,경상남도 산청군 신안면 지리산대로4002번길 47,,,,,정상가동,99.84,380,60,2023,,,,,2024-12-10
초원1 태양광발전소,,"경상남도 산청군 신안면 문대리 115-4 , 115-6",,,,정상가동,99.47,380,60,2023,,,,,2024-12-10
