태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
와이에이치아이5 태양광발전소,경상남도 창원시 마산회원구 내서읍 함마대로 2527,경상남도 창원시 마산회원구 내서읍 용담리 322-2,35.26279144,128.4999113,옥상,정상가동,96.72,380,60,2024,발전사업용,2024-01-26,경상남도 창원시,458,2024-09-27
와이에이치아이4 태양광발전소,경상남도 창원시 마산회원구 내서읍 함마대로 2517,경상남도 창원시 마산회원구 내서읍 용담리 313-13,35.26277157,128.4980959,옥상,정상가동,69.44,380,60,2024,발전사업용,2024-01-26,경상남도 창원시,373,2024-09-27
다원에너지1호,"경상남도 창원시 마산합포구 진북면 진북산업로 485, (주)서안에어텍","경상남도 창원시 마산합포구 진북면 추곡리 571-3, 577-2",35.15678165,128.4745181,옥상,정상가동,99.2,380,60,2024,발전사업용,2024-01-25,경상남도 창원시,471,2024-09-27
동성 태양광발전소,경상남도 창원시 성산구 연덕로15번길 26 (웅남동),경상남도 창원시 성산구 웅남동 61-50,35.20827882,128.653475,옥상,정상가동,152.06,380,60,2024,발전사업용,2024-01-17,경상남도 창원시,152.06,2024-09-27
태현테크원 2호 태양광발전소,경상남도 창원시 의창구 팔용로359번길 7 (팔용동),경상남도 창원시 의창구 팔용동 27-6,35.2499768,128.6071516,옥상,정상가동,43.56,380,60,2024,발전사업용,2024-01-12,경상남도 창원시,175.5,2024-09-27
태현테크원 1호 태양광발전소,경상남도 창원시 의창구 팔용로359번길 7 (팔용동),경상남도 창원시 의창구 팔용동 27-6,35.2499768,128.6071516,옥상,정상가동,98.01,380,60,2024,발전사업용,2024-01-12,경상남도 창원시,394.9,2024-09-27
디에이치쏠라텍4 태양광발전소,경상남도 창원시 의창구 사화로 312 (팔용동),경상남도 창원시 의창구 팔용동 37-1,35.24070084,128.6348602,옥상,정상가동,99.6,380,60,2024,발전사업용,2024-01-10,경상남도 창원시,458.53,2024-09-27
디에이치쏠라텍3 태양광발전소,경상남도 창원시 의창구 사화로 312 (팔용동),경상남도 창원시 의창구 팔용동 37-1,35.24070084,128.6348602,옥상,정상가동,99.6,380,60,2024,발전사업용,2024-01-10,경상남도 창원시,458.53,2024-09-27
디에이치쏠라텍2 태양광발전소,경상남도 창원시 의창구 사화로 312 (팔용동),경상남도 창원시 의창구 팔용동 37-1,35.24070084,128.6348602,옥상,정상가동,99.6,380,60,2024,발전사업용,2024-01-10,경상남도 창원시,458.53,2024-09-27
디에이치쏠라텍1 태양광발전소,경상남도 창원시 의창구 사화로 312 (팔용동),경상남도 창원시 의창구 팔용동 37-1,35.24070084,128.6348602,옥상,정상가동,99.6,380,60,2024,발전사업용,2024-01-10,경상남도 창원시,458.53,2024-09-27
