태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
매계마을 태양광발전소,,"경상남도 하동군 악양면 매계리 593-2, 594, 595-2",,,,정상가동,30,380,60,2023,,,경상남도 하동군청,,2023-12-27
잼 태양광발전소,,경상남도 하동군 하동읍 화심리 715-7,,,,정상가동,19.8,220,60,2023,,,경상남도 하동군청,,2023-12-27
금성ENG태양광발전소,,"경상남도 하동군 금성면 궁항리 102-5, 102-8",,,,정상가동,84.7,380,60,2023,,,경상남도 하동군청,,2023-12-27
용ENG태양광발전소,,"경상남도 하동군 금성면 궁항리 102-5, 102-8",,,,정상가동,84.7,380,60,2023,,,경상남도 하동군청,,2023-12-27
춘석1 태양광발전소,,경상남도 하동군 고전면 대덕리 128-1,,,,정상가동,14.55,380,60,2023,,,경상남도 하동군청,,2023-12-27
진주3호 태양광발전소,,경상남도 하동군 양보면 통정리 242,,,,정상가동,19.64,380,60,2023,,,경상남도 하동군청,,2023-12-27
국현 태양광발전소,,경상남도 하동군 하동읍 두곡리 109,,,,정상가동,60.6,380,60,2023,,,경상남도 하동군청,,2023-12-27
용수 태양광발전소,,경상남도 하동군 양보면 감당리 146,,,,정상가동,23.04,380,60,2023,,,경상남도 하동군청,,2023-12-27
찬유 태양광발전소,,경상남도 하동군 금성면 가덕리 872,,,,정상가동,19.68,380,60,2023,,,경상남도 하동군청,,2023-12-27
영일2호 태양광발전소,,경상남도 하동군 진교면 양포리 191-21,,,,정상가동,19.47,380,60,2023,,,경상남도 하동군청,,2023-12-27
영일1호 태양광발전소,,경상남도 하동군 진교면 양포리 191-18,,,,정상가동,15.93,380,60,2023,,,경상남도 하동군청,,2023-12-27
금오마을 태양광발전소,,경상남도 하동군 금남면 진정리 204-8,,,,정상가동,8.28,220,60,2023,,,경상남도 하동군청,,2023-12-27
영계마을 태양광발전소,,"경상남도 하동군 양보면 감당리 128-3, 129-3",,,,정상가동,15.18,380,60,2023,,,경상남도 하동군청,,2023-12-27
구통마을 태양광발전소,,경상남도 하동군 하동읍 목도리 101-2,,,,정상가동,19.32,380,60,2023,,,경상남도 하동군청,,2023-12-27
밤골4호 태양광발전소,,"경상남도 하동군 적량면 관리 736, 752, 962-6",,,,정상가동,19.4,380,60,2023,,,경상남도 하동군청,,2023-12-27
하동스카이파워,,경상남도 하동군 양보면 지례리 197-2,,,,정상가동,99.96,380,60,2023,,,경상남도 하동군청,,2023-12-27
대경하동1 태양광발전소,,경상남도 하동군 양보면 지례리 197-2,,,,정상가동,99.96,380,60,2023,,,경상남도 하동군청,,2023-12-27
보화2호발전소,,경상남도 하동군 양보면 지례리 197-2,,,,정상가동,99.96,380,60,2023,,,경상남도 하동군청,,2023-12-27
하동솔라TEC,,경상남도 하동군 양보면 지례리 197-2,,,,정상가동,99.96,380,60,2023,,,경상남도 하동군청,,2023-12-27
금영3호발전소,,경상남도 하동군 양보면 지례리 197-2,,,,정상가동,99.96,380,60,2023,,,경상남도 하동군청,,2023-12-27
온그린발전소,,경상남도 하동군 양보면 지례리 197-2,,,,정상가동,99.96,380,60,2023,,,경상남도 하동군청,,2023-12-27
대경1호 태양광발전소,,경상남도 하동군 양보면 지례리 196-1,,,,정상가동,49.98,380,60,2023,,,경상남도 하동군청,,2023-12-27
옐로우에너지,,경상남도 하동군 양보면 지례리 196-1,,,,정상가동,99.96,380,60,2023,,,경상남도 하동군청,,2023-12-27
강변 태양광발전소,,경상남도 하동군 고전면 전도리 1094,,,,정상가동,39.53,380,60,2023,,,경상남도 하동군청,,2023-12-27
지산이엔씨1호 태양광발전소,,경상남도 하동군 진교면 송원리 610-12,,,,정상가동,30.68,380,60,2023,,,경상남도 하동군청,,2023-12-27
소은숙 태양광발전소,,경상남도 하동군 진교면 양포리 823,,,,정상가동,99.71,380,60,2023,,,경상남도 하동군청,,2023-12-27
주포발전소,,경상남도 하동군 옥종면 청룡리 189-1,,,,정상가동,17.85,380,60,2023,,,경상남도 하동군청,,2023-12-27
동기 태양광발전소,,"경상남도 하동군 양보면 운암리 102, 103-3",,,,정상가동,94.99,380,60,2023,,,경상남도 하동군청,,2023-12-27
악양 태양광발전소,경상남도 하동군 악양면 악양동로 346-34,,,,,정상가동,19.4,380,60,2023,,,경상남도 하동군청,,2023-12-27
이점희2호 태양광발전소,경상남도 하동군 진교면 이곡길 76-56,,,,,정상가동,29.4,380,60,2023,,,경상남도 하동군청,,2023-12-27
성2호 태양광발전소,,경상남도 하동군 진교면 고이리 172-6,,,,정상가동,29.4,380,60,2023,,,경상남도 하동군청,,2023-12-27
햇님 태양광발전소,,"경상남도 하동군 횡천면 월평리 175, 177",,,,정상가동,99.84,380,60,2023,,,경상남도 하동군청,,2023-12-27
꼭지3호 태양광발전소,,"경상남도 하동군 북천면 사평리 62-3, 63-2",,,,정상가동,99.91,380,60,2023,,,경상남도 하동군청,,2023-12-27
꼭지2호 태양광발전소,,"경상남도 하동군 북천면 사평리 62-3, 63-2",,,,정상가동,99.91,380,60,2023,,,경상남도 하동군청,,2023-12-27
꼭지1호 태양광발전소,,"경상남도 하동군 북천면 사평리 62-3, 63, 63-2",,,,정상가동,99.91,380,60,2023,,,경상남도 하동군청,,2023-12-27
파크 태양광발전소,,경상남도 하동군 고전면 성천리 595,,,,정상가동,99.76,380,60,2023,,,경상남도 하동군청,,2023-12-27
골드 태양광발전소,,경상남도 하동군 고전면 성천리 595,,,,정상가동,99.76,380,60,2023,,,경상남도 하동군청,,2023-12-27
미르 태양광발전소,,경상남도 하동군 고전면 성천리 668-1,,,,정상가동,99.76,380,60,2023,,,경상남도 하동군청,,2023-12-27
맑은 태양광발전소,,경상남도 하동군 고전면 성천리 668-1,,,,정상가동,63.8,380,60,2023,,,경상남도 하동군청,,2023-12-27
유현 태양광발전소,,"경상남도 하동군 고전면 고하리 473, 480",,,,정상가동,95,380,60,2023,,,경상남도 하동군청,,2023-12-27
아산2호 태양광발전소,,"경상남도 하동군 고전면 고하리 477, 480",,,,정상가동,98.77,380,60,2023,,,경상남도 하동군청,,2023-12-27
오메가3 태양광발전소,,"경상남도 하동군 고전면 고하리 477, 478, 479",,,,정상가동,98.77,380,60,2023,,,경상남도 하동군청,,2023-12-27
민주 태양광발전소,,경상남도 하동군 고전면 고하리 472,,,,정상가동,98.77,380,60,2023,,,경상남도 하동군청,,2023-12-27
프리미엄 태양광발전소,,경상남도 하동군 고전면 고하리 472,,,,정상가동,98.77,380,60,2023,,,경상남도 하동군청,,2023-12-27
하동22호 태양광발전소,,경상남도 하동군 고전면 고하리 467,,,,정상가동,98.77,380,60,2023,,,경상남도 하동군청,,2023-12-27
고하25 태양광발전소,,"경상남도 하동군 고전면 고하리 463, 464, 465-2, 467",,,,정상가동,98.77,380,60,2023,,,경상남도 하동군청,,2023-12-27
고하24 태양광발전소,,"경상남도 하동군 고전면 고하리 464, 467",,,,정상가동,98.77,380,60,2023,,,경상남도 하동군청,,2023-12-27
고하23 태양광발전소,,경상남도 하동군 고전면 고하리 467,,,,정상가동,98.77,380,60,2023,,,경상남도 하동군청,,2023-12-27
혜성2호 태양광발전소,,"경상남도 하동군 고전면 고하리 477, 479, 480",,,,정상가동,98.77,380,60,2023,,,경상남도 하동군청,,2023-12-27
천지인 태양광발전소,,경상남도 하동군 고전면 고하리 480,,,,정상가동,98.77,380,60,2023,,,경상남도 하동군청,,2023-12-27
진앤정 태양광발전소,,"경상남도 하동군 고전면 고하리 476, 477, 480",,,,정상가동,98.77,380,60,2023,,,경상남도 하동군청,,2023-12-27
주완3 태양광발전소,,경상남도 하동군 고전면 고하리 480,,,,정상가동,98.77,380,60,2023,,,경상남도 하동군청,,2023-12-27
조일에너지5호 태양광발전소,,경상남도 하동군 고전면 고하리 480,,,,정상가동,98.77,380,60,2023,,,경상남도 하동군청,,2023-12-27
자연에너지2호 태양광발전소,,"경상남도 하동군 고전면 고하리 477, 480",,,,정상가동,98.77,380,60,2023,,,경상남도 하동군청,,2023-12-27
임내 태양광발전소,,"경상남도 하동군 고전면 고하리 477, 478, 480",,,,정상가동,98.77,380,60,2023,,,경상남도 하동군청,,2023-12-27
사천남양1호 태양광발전소,,"경상남도 하동군 고전면 고하리 477, 480",,,,정상가동,98.77,380,60,2023,,,경상남도 하동군청,,2023-12-27
문화2호 태양광발전소,,"경상남도 하동군 고전면 고하리 477, 478, 479 480",,,,정상가동,98.77,380,60,2023,,,경상남도 하동군청,,2023-12-27
동명2호 태양광발전소,,"경상남도 하동군 고전면 고하리 477, 480",,,,정상가동,98.77,380,60,2023,,,경상남도 하동군청,,2023-12-27
악양전파사 발전소,,"경상남도 하동군 악양면 정서리 354-1, 354-5",,,,정상가동,40.18,380,60,2023,,,경상남도 하동군청,,2023-12-27
해성 태양광발전소,,경상남도 하동군 북천면 직전리 560-1,,,,정상가동,27.84,380,60,2022,,,경상남도 하동군청,,2023-12-27
정승용 태양광발전소,,경상남도 하동군 양보면 장암리 696-2,,,,정상가동,34.81,380,60,2022,,,경상남도 하동군청,,2023-12-27
태완 태양광발전소,,경상남도 하동군 양보면 운암리 777,,,,정상가동,29.5,380,60,2022,,,경상남도 하동군청,,2023-12-27
썬플라워 태양광발전소,,경상남도 하동군 금성면 궁항리 100-10,,,,정상가동,40.74,380,60,2022,,,경상남도 하동군청,,2023-12-27
혜원 태양광발전소,,경상남도 하동군 악양면 동매리 515-3,,,,정상가동,19.6,220,60,2022,,,경상남도 하동군청,,2023-12-27
서이규 태양광발전소,,경상남도 하동군 양보면 운암리 44,,,,정상가동,30.09,380,60,2022,,,경상남도 하동군청,,2023-12-27
경애2 태양광발전소,경상남도 하동군 양보면 영계시영길 37-8,,,,,정상가동,65.4,380,60,2022,,,경상남도 하동군청,,2023-12-27
객길마을회 태양광발전소,,경상남도 하동군 금성면 궁항리 240-30,,,,정상가동,17.28,380,60,2022,,,경상남도 하동군청,,2023-12-27
살대밑2 태양광발전소,,"경상남도 하동군 고전면 성평리 442-3, 442-9",,,,정상가동,72,380,60,2022,,,경상남도 하동군청,,2023-12-27
살대밑1 태양광발전소,,경상남도 하동군 고전면 성평리 442-3,,,,정상가동,52,380,60,2022,,,경상남도 하동군청,,2023-12-27
대박3호 태양광발전소,,경상남도 하동군 횡천면 월평리 1021-1,,,,정상가동,6.96,220,60,2022,,,경상남도 하동군청,,2023-12-27
대박2호 태양광발전소,,경상남도 하동군 횡천면 월평리 1016,,,,정상가동,16.24,220,60,2022,,,경상남도 하동군청,,2023-12-27
대박1호 태양광발전소,,경상남도 하동군 횡천면 월평리 1021,,,,정상가동,19.14,220,60,2022,,,경상남도 하동군청,,2023-12-27
신평2호 태양광발전소,,경상남도 하동군 옥종면 법대리 306,,,,정상가동,99.9,380,60,2022,,,경상남도 하동군청,,2023-12-27
신평1호 태양광발전소,,경상남도 하동군 옥종면 법대리 306,,,,정상가동,99.9,380,60,2022,,,경상남도 하동군청,,2023-12-27
방초3호 태양광발전소,,"경상남도 하동군 청암면 평촌리 119-2, 119-3",,,,정상가동,99.84,380,60,2022,,,경상남도 하동군청,,2023-12-27
방초2호 태양광발전소,,"경상남도 하동군 청암면 평촌리 119-2, 119-3",,,,정상가동,99.84,380,60,2022,,,경상남도 하동군청,,2023-12-27
방초1호 태양광발전소,,"경상남도 하동군 청암면 평촌리 119-2, 119-3",,,,정상가동,99.84,380,60,2022,,,경상남도 하동군청,,2023-12-27
이화 태양광발전소,경상남도 하동군 악양면 대축길 42-6,,,,,정상가동,62.4,380,60,2022,,,경상남도 하동군청,,2023-12-27
하동지연 태양광발전소,,경상남도 하동군 고전면 고하리 410,,,,정상가동,99.76,380,60,2022,,,경상남도 하동군청,,2023-12-27
영3호 태양광발전소,경상남도 하동군 양보면 진양로 871-20,,,,,정상가동,99.11,380,60,2022,,,경상남도 하동군청,,2023-12-27
영2호 태양광발전소,경상남도 하동군 양보면 진양로 871-20,,,,,정상가동,99.36,380,60,2022,,,경상남도 하동군청,,2023-12-27
영1호 태양광발전소,경상남도 하동군 양보면 진양로 871-20,,,,,정상가동,99.36,380,60,2022,,,경상남도 하동군청,,2023-12-27
미법마을 태양광발전소,경상남도 하동군 금남면 미법마을길 134-4,,,,,정상가동,19.2,380,60,2022,,,경상남도 하동군청,,2023-12-27
가람에너지 태양광발전소,경상남도 하동군 양보면 진양로 864-10,,,,,정상가동,29.28,380,60,2022,,,경상남도 하동군청,,2023-12-27
명성솔라 태양광발전소,경상남도 하동군 양보면 진양로 864-10,,,,,정상가동,99.36,380,60,2022,,,경상남도 하동군청,,2023-12-27
정현2호 태양광발전소,,경상남도 하동군 고전면 고하리 410-1,,,,정상가동,86.47,380,60,2022,,,경상남도 하동군청,,2023-12-27
투샤인 태양광발전소,,경상남도 하동군 양보면 지례리 7-10,,,,정상가동,100,380,60,2022,,,경상남도 하동군청,,2023-12-27
투테라 태양광발전소,,경상남도 하동군 양보면 지례리 7-10,,,,정상가동,100,380,60,2022,,,경상남도 하동군청,,2023-12-27
다서 태양광발전소,,경상남도 하동군 양보면 지례리 8-2,,,,정상가동,100,380,60,2022,,,경상남도 하동군청,,2023-12-27
지니 태양광발전소,,경상남도 하동군 양보면 지례리 8-1,,,,정상가동,100,380,60,2022,,,경상남도 하동군청,,2023-12-27
스타 태양광발전소,경상남도 하동군 고전면 섬진강대로 1184-28,,,,,정상가동,99.18,380,60,2022,,,경상남도 하동군청,,2023-12-27
금성 태양광발전소2,,경상남도 하동군 금성면 궁항리 1393,,,,정상가동,52.65,380,60,2022,,,경상남도 하동군청,,2023-12-27
상삼천마을 태양광발전소,경상남도 하동군 금남면 큰삼내길 34-3,,,,,정상가동,11.52,380,60,2022,,,경상남도 하동군청,,2023-12-27
서이규 태양광발전소,경상남도 하동군 양보면 상고개로 37-4,,,,,정상가동,50.15,380,60,2022,,,경상남도 하동군청,,2023-12-27
정이 태양광발전소,,"경상남도 하동군 하동읍 화심리 135-1, 135-4, 136-4",,,,정상가동,46,380,60,2022,,,경상남도 하동군청,,2023-12-27
(주)삼정 태양광발전소 6호,,"경상남도 하동군 금성면 궁항리 127, 143",,,,정상가동,940.5,380,60,2022,,,경상남도 하동군청,,2023-12-27
진정마을 태양광발전소,경상남도 하동군 금남면 진정2길 33,,,,,정상가동,20.16,380,60,2022,,,경상남도 하동군청,,2023-12-27
종철3 태양광발전소,,경상남도 하동군 고전면 범아리 904-1 외 4필지,,,,정상가동,82.8,380,60,2022,,,경상남도 하동군청,,2023-12-27
신기마을 태양광발전소,,경상남도 하동군 금남면 송문리 110,,,,정상가동,20.16,380,60,2022,,,경상남도 하동군청,,2023-12-27
힘찬 태양광발전소,,경상남도 하동군 금남면 진정리 649-2,,,,정상가동,66.24,380,60,2022,,,경상남도 하동군청,,2023-12-27
선진에너지 태양광발전소,,경상남도 하동군 고전면 성천리 597,,,,정상가동,99.36,380,60,2022,,,경상남도 하동군청,,2023-12-27
SUN 태양광발전소,,경상남도 하동군 고전면 성천리 597,,,,정상가동,99.36,380,60,2022,,,경상남도 하동군청,,2023-12-27
영광 태양광발전소,,경상남도 하동군 고전면 성천리 597,,,,정상가동,99.36,380,60,2022,,,경상남도 하동군청,,2023-12-27
범식 태양광발전소,,경상남도 하동군 진교면 고룡리 700,,,,정상가동,71.76,380,60,2022,,,경상남도 하동군청,,2023-12-27
햇님1 태양광발전소,,경상남도 하동군 횡천면 월평리 169-1,,,,정상가동,99.36,380,60,2022,,,경상남도 하동군청,,2023-12-27
진오 태양광발전소,,경상남도 하동군 진교면 고룡리 379-8,,,,정상가동,99.36,380,60,2022,,,경상남도 하동군청,,2023-12-27
태중2호 태양광발전소,,경상남도 하동군 악양면 봉대리 425-2,,,,정상가동,32.4,380,60,2022,,,경상남도 하동군청,,2023-12-27
태중1호 태양광발전소,,경상남도 하동군 악양면 봉대리 425-2,,,,정상가동,32.4,380,60,2022,,,경상남도 하동군청,,2023-12-27
회열 태양광발전소,,"경상남도 하동군 고전면 범아리 411-1, 411-3",,,,정상가동,82.81,380,60,2022,,,경상남도 하동군청,,2023-12-27
미소5호 태양광발전소,,"경상남도 하동군 횡천면 월평리 601-3, 601-8",,,,정상가동,99.82,380,60,2022,,,경상남도 하동군청,,2023-12-27
미소4호 태양광발전소,,"경상남도 하동군 횡천면 월평리 601-1, 602-2",,,,정상가동,99.82,380,60,2022,,,경상남도 하동군청,,2023-12-27
하동 태양광발전소,,"경상남도 하동군 고전면 고하리 412-1, 412-2",,,,정상가동,99.6,380,60,2022,,,경상남도 하동군청,,2023-12-27
쪽빛 태양광발전소,,경상남도 하동군 고전면 고하리 412-1,,,,정상가동,99.6,380,60,2022,,,경상남도 하동군청,,2023-12-27
선녀달 태양광발전소,,"경상남도 하동군 고전면 고하리 490, 412-1",,,,정상가동,99.6,380,60,2022,,,경상남도 하동군청,,2023-12-27
진교 태양광발전소,,경상남도 하동군 진교면 백련리 335-1,,,,정상가동,99.6,380,60,2022,,,경상남도 하동군청,,2023-12-27
(주)예미담 황토3호 태양광발전소,,"경상남도 하동군 옥종면 병천리 957-13, 696, 청룡리 79-4",,,,정상가동,91.35,380,60,2022,,,경상남도 하동군청,,2023-12-27
(주)예미담 황토2호 태양광발전소,,"경상남도 하동군 옥종면 병천리 957-13, 696, 청룡리 79-4",,,,정상가동,91.35,380,60,2022,,,경상남도 하동군청,,2023-12-27
(주)예미담 황토1호 태양광발전소,,"경상남도 하동군 옥종면 병천리 957-13, 696, 청룡리 79-4",,,,정상가동,91.35,380,60,2022,,,경상남도 하동군청,,2023-12-27
살대밑 태양광발전소,,"경상남도 하동군 고전면 성평리 442-3, 442-9",,,,정상가동,99.68,380,60,2022,,,경상남도 하동군청,,2023-12-27
두루미1호 태양광발전소,,"경상남도 하동군 고전면 범아리 540, 540-1",,,,정상가동,99.6,380,60,2022,,,경상남도 하동군청,,2023-12-27
성 태양광발전소,,"경상남도 하동군 진교면 고이리 174-1, 174-2",,,,정상가동,99.75,380,60,2022,,,경상남도 하동군청,,2023-12-27
우리 태양광발전소,,경상남도 하동군 북천면 옥정리 788-1,,,,정상가동,99.82,380,60,2022,,,경상남도 하동군청,,2023-12-27
남도3 태양광발전소,,경상남도 하동군 금남면 덕천리 1058-6,,,,정상가동,19.32,380,60,2022,,,경상남도 하동군청,,2023-12-27
햇님 태양광발전소,,경상남도 하동군 횡천면 월평리 169-1,,,,정상가동,99.36,380,60,2022,,,경상남도 하동군청,,2023-12-27
유성2 태양광발전소,,경상남도 하동군 적량면 우계리 509-1,,,,정상가동,280.14,380,60,2022,,,경상남도 하동군청,,2023-12-27
인후 태양광발전소,,경상남도 하동군 적량면 우계리 509-7,,,,정상가동,298.845,380,60,2022,,,경상남도 하동군청,,2023-12-27
정은 태양광발전소,,"경상남도 하동군 적량면 우계리 509-14, 795-3",,,,정상가동,99,380,60,2022,,,경상남도 하동군청,,2023-12-27
LST 태양광발전소,,경상남도 하동군 적량면 우계리 509-3,,,,정상가동,99,380,60,2022,,,경상남도 하동군청,,2023-12-27
은빛 태양광발전소,,경상남도 하동군 적량면 우계리 509-9,,,,정상가동,99,380,60,2022,,,경상남도 하동군청,,2023-12-27
서진 태양광발전소,,경상남도 하동군 적량면 우계리 509-2,,,,정상가동,99,380,60,2022,,,경상남도 하동군청,,2023-12-27
햇볕 태양광발전소,,경상남도 하동군 적량면 우계리 509-4,,,,정상가동,99,380,60,2022,,,경상남도 하동군청,,2023-12-27
