태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
꽃들 태양광발전소,,경상남도 합천군 야로면 정대리 271,,,,정상가동,15,380,60,2024,발전사업용,2024-01-18,경상남도 합천군청,,2025-11-28
비계 태양광발전소,경상남도 합천군 가야면 비계산로1길 49-59,,,,,정상가동,19.36,220,60,2024,발전사업용,2023-11-13,경상남도 합천군청,,2025-11-28
솔밭6호 태양광발전소,경상남도 합천군 초계면 중리2길 5,,,,,정상가동,18.6,380,60,2024,발전사업용,2023-10-30,경상남도 합천군청,,2025-11-28
정토7호 태양광발전소,,경상남도 합천군 적중면 정토리 322-13,,,,정상가동,40.95,380,60,2024,발전사업용,2023-09-27,경상남도 합천군청,,2025-11-28
청덕5호 태양광발전소,,경상남도 합천군 청덕면 미곡리 424,,,,정상가동,29.75,380,60,2024,발전사업용,2023-09-11,경상남도 합천군청,,2025-11-28
유니3 태양광발전소,,경상남도 합천군 가야면 이천리 131-1,,,,정상가동,85.2,380,60,2023,발전사업용,2023-07-21,경상남도 합천군청,,2025-11-28
청덕2호 태양광발전소,경상남도 합천군 청덕면 강북로 141,,,,,정상가동,99.96,380,60,2024,발전사업용,2023-06-16,경상남도 합천군청,,2025-11-28
청덕1호 태양광발전소,경상남도 합천군 청덕면 강북로 141,,,,,정상가동,99.96,380,60,2024,발전사업용,2023-06-16,경상남도 합천군청,,2025-11-28
청덕4호 태양광발전소,경상남도 합천군 청덕면 강북로 141,,,,,정상가동,80.33,380,60,2024,발전사업용,2023-06-16,경상남도 합천군청,,2025-11-28
만수2호 태양광발전소,,경상남도 합천군 야로면 정대리 54,,,,정상가동,99.99,380,60,2024,발전사업용,2023-06-19,경상남도 합천군청,,2025-11-28
만수1호 태양광발전소,,경상남도 합천군 야로면 정대리 54,,,,정상가동,99.99,380,60,2024,발전사업용,2023-06-19,경상남도 합천군청,,2025-11-28
아싸야로1호 태양광발전소,경상남도 합천군 야로면 매촌2길 62-4,,,,,정상가동,29.7,380,60,2024,발전사업용,2023-06-19,경상남도 합천군청,,2025-11-28
아싸야로2호 태양광발전소,,경상남도 합천군 야로면 매촌리 46-1,,,,정상가동,29.7,380,60,2024,발전사업용,2023-06-19,경상남도 합천군청,,2025-11-28
현대 태양광발전소,경상남도 합천군 야로면 선원우복길 25,,,,,정상가동,19.8,380,60,2023,발전사업용,2023-06-13,경상남도 합천군청,,2025-11-28
꿈꾸는태양광발전소 1,경상남도 합천군 삼가면 합천대로 1052-42,,,,,정상가동,39.6,380,60,2023,발전사업용,2023-05-22,경상남도 합천군청,,2025-11-28
동신 태양광발전소,,경상남도 합천군 야로면 하빈리 63,,,,정상가동,93.6,380,60,2024,발전사업용,2023-05-22,경상남도 합천군청,,2025-11-28
합천새남부농협본점1호 태양광발전소,경상남도 합천군 삼가면 삼가중앙길 31,,,,,정상가동,41.65,380,60,2024,발전사업용,2023-05-22,경상남도 합천군청,,2025-11-28
반달블록6호 태양광발전소,경상남도 합천군 율곡면 동부로 268-11,,,,,정상가동,24.99,380,60,2023,발전사업용,2023-05-22,경상남도 합천군청,,2025-11-28
반달블록5호 태양광발전소,경상남도 합천군 적중면 황강옥전로 1807,,,,,정상가동,27.44,380,60,2023,발전사업용,2023-05-22,경상남도 합천군청,,2025-11-28
반달블록1호 태양광발전소,경상남도 합천군 대양면 대야로 426-34,,,,,정상가동,24.99,380,60,2023,발전사업용,2023-05-22,경상남도 합천군청,,2025-11-28
민기1호 태양광발전소,경상남도 합천군 청덕면 가현1길 23-5,,,,,정상가동,30.94,380,60,2023,발전사업용,2023-05-22,경상남도 합천군청,,2025-11-28
청계농장 태양광발전소,,경상남도 합천군 야로면 청계리 228,,,,정상가동,99.96,380,60,2023,발전사업용,2023-05-22,경상남도 합천군청,,2025-11-28
호문 태양광발전소,,경상남도 합천군 청덕면 두곡리 355-14,,,,정상가동,61.88,380,60,2024,발전사업용,2023-05-22,경상남도 합천군청,,2025-11-28
형제3호 태양광발전소,,경상남도 합천군 가야면 야천리 354,,,,정상가동,99.95,380,60,2023,발전사업용,2023-04-06,경상남도 합천군청,,2025-11-28
형제1호 태양광발전소,,경상남도 합천군 가야면 야천리 354,,,,정상가동,99.95,380,60,2023,발전사업용,2023-04-06,경상남도 합천군청,,2025-11-28
형제2호 태양광발전소,경상남도 합천군 가야면 야천로 221-64,,,,,정상가동,99.95,380,60,2023,발전사업용,2023-04-06,경상남도 합천군청,,2025-11-28
