태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
미숙태양광발전소,경상북도 경산시 하양읍 지식산업1로 68,,35.9371860092,128.823171615,,정상가동,67.83,380.0,60,2023,,2023-03-30,,,2025-11-19
성우하이텍1태양광발전소,경상북도 경산시 진량읍 공단12로 51,,35.8585141938,128.8433470947,,정상가동,89.6,380.0,60,2025,,2025-06-17,,,2025-11-19
성우하이텍4태양광발전소,경상북도 경산시 진량읍 공단12로 51,,35.8585141938,128.8433470947,,정상가동,19.84,380.0,60,2025,,2025-06-17,,,2025-11-19
성우하이텍2태양광발전소,경상북도 경산시 진량읍 공단12로 51,,35.8585141938,128.8433470947,,정상가동,89.6,380.0,60,2025,,2025-06-17,,,2025-11-19
성우하이텍3태양광발전소,경상북도 경산시 진량읍 공단12로 51,,35.8585141938,128.8433470947,,정상가동,89.6,380.0,60,2025,,2025-06-17,,,2025-11-19
태암2태양광발전소,경상북도 경산시 진량읍 대학로 1413,,35.9043242467,128.8235936735,,정상가동,89.54,380.0,60,2025,,2025-06-13,,,2025-11-19
태암태양광발전소,경상북도 경산시 진량읍 대학로 1413,,35.9043242467,128.8235936735,,정상가동,89.54,380.0,60,2025,,2025-06-13,,,2025-11-19
HJ2태양광발전소,경상북도 경산시 진량읍 다문로 120,,35.8762258719,128.8238004857,,정상가동,69.85,380.0,60,2025,,2025-06-09,,,2025-11-19
HJ1태양광발전소,경상북도 경산시 진량읍 다문로 120,,35.8762258719,128.8238004857,,정상가동,72.39,380.0,60,2025,,2025-06-09,,,2025-11-19
도담에너지,경상북도 경산시 압량읍 당리길4길 14,,35.8202407029,128.7963289406,,정상가동,30.48,380.0,60,2025,,2025-05-26,,,2025-11-19
제이3태양광발전소,경상북도 경산시 압량읍 가일길32길 12-5,,35.8430567138,128.7862209881,,정상가동,98.54,380.0,60,2025,,2025-05-26,,,2025-11-19
제이4태양광발전소,경상북도 경산시 압량읍 가일길32길 12-5,,35.8430567138,128.7862209881,,정상가동,41.91,380.0,60,2025,,2025-05-26,,,2025-11-19
제이2태양광발전소,경상북도 경산시 압량읍 가일길32길 12-5,,35.8430567138,128.7862209881,,정상가동,89.54,380.0,60,2025,,2025-05-26,,,2025-11-19
제이1태양광발전소,경상북도 경산시 압량읍 가일길32길 12-5,,35.8430567138,128.7862209881,,정상가동,86.36,380.0,60,2025,,2025-05-26,,,2025-11-19
제이5태양광발전소,경상북도 경산시 압량읍 가일길32길 12-5,,35.8430567138,128.7862209881,,정상가동,41.91,380.0,60,2025,,2025-05-26,,,2025-11-19
다경에너지,경상북도 경산시 진량읍 다문로70길 62-18,,35.8719833745702,128.846590429278,,정상가동,313.69,380.0,60,2025,,2025-05-26,,,2025-11-19
모햇발전소2040호,"경상북도 경산시 자인면 한장군로 490, (주)S.K니트",,35.8286892163,128.8249850806,,정상가동,212.04,380.0,60,2025,,2025-05-21,,,2025-11-19
지니솔라경산2태양광발전소,"경상북도 경산시 진량읍 공단4로 195, 노리터 하우스",,35.8748861447,128.8281122,,정상가동,89.6,380.0,60,2025,,2025-05-16,,,2025-11-19
지니솔라경산3태양광발전소,"경상북도 경산시 진량읍 공단4로 195, 노리터 하우스",,35.8748861447,128.8281122,,정상가동,89.6,380.0,60,2025,,2025-05-16,,,2025-11-19
지니솔라경산4태양광발전소,"경상북도 경산시 진량읍 공단4로 195, 노리터 하우스",,35.8748861447,128.8281122,,정상가동,89.6,380.0,60,2025,,2025-05-16,,,2025-11-19
지니솔라경산1태양광발전소,"경상북도 경산시 진량읍 공단4로 195, 노리터 하우스",,35.8748861447,128.8281122,,정상가동,89.6,380.0,60,2025,,2025-05-16,,,2025-11-19
경산기아오토큐 태양광발전소3호,경상북도 경산시 압량읍 대학로 511-1,,35.8533429895,128.7652695603,,정상가동,44.8,380.0,60,2025,,2025-05-07,,,2025-11-19
경산기아오토큐 태양광발전소2호,경상북도 경산시 압량읍 대학로 511-1,,35.8533429895,128.7652695603,,정상가동,53.76,380.0,60,2025,,2025-05-07,,,2025-11-19
경산기아오토큐 태양광발전소4호,경상북도 경산시 압량읍 대학로 511-1,,35.8533429895,128.7652695603,,정상가동,44.8,380.0,60,2025,,2025-05-07,,,2025-11-19
경산기아오토큐 태양광발전소1호,경상북도 경산시 압량읍 대학로 511,,35.8530801666,128.7658617247,,정상가동,53.76,380.0,60,2025,,2025-05-07,,,2025-11-19
동부1태양광발전소,경상북도 경산시 자인면 일연로 212,,35.8298906988,128.8150965189,,정상가동,53.76,380.0,60,2025,,2025-05-02,,,2025-11-19
안촌2호태양광발전소,경상북도 경산시 진량읍 안촌길 100-122,,35.8472072108411,128.822122020322,,정상가동,89.6,380.0,60,2025,,2025-04-28,,,2025-11-19
안촌1호태양광발전소,경상북도 경산시 진량읍 안촌길 100-121,,35.8470210943953,128.82172042651,,정상가동,89.6,380.0,60,2025,,2025-04-28,,,2025-11-19
영창태양광발전소,"경상북도 경산시 남천면 협석2길 80-20, 영창가구산업",,35.7885613302,128.7214365372,,정상가동,89.54,380.0,60,2025,,2025-04-24,,,2025-11-19
우림4호태양광발전소,경상북도 경산시 남천면 옥실길 245,,35.7955442549,128.7284364055,,정상가동,87.63,380.0,60,2025,,2025-04-24,,,2025-11-19
건영이엔씨,경상북도 경산시 압량읍 가일길20길 25-27,,35.8383103638,128.782373,,정상가동,38.74,380.0,60,2025,,2025-04-21,,,2025-11-19
