태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
광림2 태양광발전소,,"경상북도 고령군 운수면 월산리 118, 119-1, 119-2, 718-200",35.76551635,128.2765405,,정상가동,99.0,380,60,2017,태양광,2016-04-06,경상북도 고령군,,2025-06-25
경빈1호 태양광발전소,,경상북도 고령군 성산면 강정리 253,35.75637815,128.3751156,,정상가동,99.71,380,60,2023,태양광,2022-10-18,경상북도 고령군,,2025-06-25
경빈2호 태양광발전소,,경상북도 고령군 성산면 강정리 253,35.75637815,128.3751156,,정상가동,99.71,380,60,2023,태양광,2022-10-18,경상북도 고령군,,2025-06-25
경빈3호 태양광발전소,,경상북도 고령군 성산면 강정리 253,35.75637815,128.3751156,,정상가동,99.71,380,60,2023,태양광,2022-10-18,경상북도 고령군,,2025-06-25
경빈4호 태양광발전소,,경상북도 고령군 성산면 강정리 253,35.75637815,128.3751156,,정상가동,99.71,380,60,2023,태양광,2022-10-18,경상북도 고령군,,2025-06-25
병길 태양광발전소,,경상북도 고령군 다산면 벌지리 535,35.81555585,128.3982834,,정상가동,113.0,380,60,2017,태양광,2016-04-12,경상북도 고령군,,2025-06-25
개경포 태양광발전소,경상북도 고령군 개진면 개경포로 507-19,,35.70945366,128.3423956,,정상가동,99.96,380,60,2023,태양광,2022-10-19,경상북도 고령군,,2025-06-25
청정 태양광발전소,경상북도 고령군 개진면 독실길 129-6,,35.7083394,128.4206578,,정상가동,99.96,380,60,2023,태양광,2022-10-19,경상북도 고령군,,2025-06-25
동현1호 태양광발전소,경상북도 고령군 성산면 신기길 86-7,,35.77803123,128.3502555,,정상가동,99.12,380,60,2023,태양광,2022-11-11,경상북도 고령군,,2025-06-25
동현2호 태양광발전소,경상북도 고령군 성산면 신기길 86-7,,35.77803123,128.3502555,,정상가동,99.12,380,60,2023,태양광,2022-11-11,경상북도 고령군,,2025-06-25
동현3호 태양광발전소,경상북도 고령군 성산면 신기길 86-7,,35.77803123,128.3502555,,정상가동,99.12,380,60,2023,태양광,2022-11-11,경상북도 고령군,,2025-06-25
지율2호 태양광발전소,경상북도 고령군 성산면 신기길 84,,35.77775007,128.3515379,,정상가동,99.71,380,60,2023,태양광,2022-11-14,경상북도 고령군,,2025-06-25
지율3호 태양광발전소,경상북도 고령군 성산면 신기길 84,,35.77775007,128.3515379,,정상가동,99.71,380,60,2023,태양광,2022-11-14,경상북도 고령군,,2025-06-25
지율4호 태양광발전소,경상북도 고령군 성산면 신기길 84,,35.77775007,128.3515379,,정상가동,99.71,380,60,2023,태양광,2022-11-14,경상북도 고령군,,2025-06-25
지율1호 태양광발전소,경상북도 고령군 성산면 신기길 84,,35.77775007,128.3515379,,정상가동,99.71,380,60,2023,태양광,2022-11-14,경상북도 고령군,,2025-06-25
대덕테크1 태양광발전소,경상북도 고령군 성산면 성산로 804,,35.74740756,128.3496681,,정상가동,99.12,380,60,2023,태양광,2022-11-14,경상북도 고령군,,2025-06-25
대덕테크 태양광발전소,경상북도 고령군 성산면 안어실길 56,,35.74562216,128.3620803,,정상가동,373.68,380,60,2023,태양광,2022-11-14,경상북도 고령군,,2025-06-25
오주 태양광발전소,경상북도 고령군 다산면 나정길 46-6,,35.82705162,128.4052814,,정상가동,69.69,380,60,2023,태양광,2022-12-07,경상북도 고령군,,2025-06-25
동양 태양광발전소,경상북도 고령군 다산면 석재단지길 11-15,,35.82693053,128.3961397,,정상가동,19.47,380,60,2023,태양광,2022-12-07,경상북도 고령군,,2025-06-25
영창2 태양광발전소,경상북도 고령군 운수면 큰구름2길 26-99,,35.74361589,128.2907454,,정상가동,99.91,380,60,2024,태양광,2022-12-14,경상북도 고령군,,2025-06-25
영창1 태양광발전소,경상북도 고령군 운수면 큰구름2길 26-99,,35.74361589,128.2907454,,정상가동,99.91,380,60,2024,태양광,2022-12-14,경상북도 고령군,,2025-06-25
대호태양광발전소,,경상북도 고령군 덕곡면 본리리 344,35.77675647,128.2182829,,정상가동,97.47,380,60,2017,태양광,2016-05-27,경상북도 고령군,,2025-06-25
국제건공 태양광발전소,경상북도 고령군 성산면 성산로 614,,35.74154446,128.3314035,,정상가동,169.33,380,60,2023,태양광,2022-12-21,경상북도 고령군,,2025-06-25
원폴리머 태양광발전소,경상북도 고령군 성산면 운성로 643-20,,35.76345057,128.3420008,,정상가동,49.56,380,60,2023,태양광,2022-12-21,경상북도 고령군,,2025-06-25
황제1 태양광발전소,경상북도 고령군 덕곡면 원송길 53-16,,35.78969848,128.2096935,,정상가동,99.96,380,60,2024,태양광,2022-12-21,경상북도 고령군,,2025-06-25
한영2호 태양광발전소,,경상북도 고령군 성산면 사부리 205,35.7411796,128.3158554,,정상가동,45.43,380,60,2023,태양광,2023-01-18,경상북도 고령군,,2025-06-25
한영1호 태양광발전소,,경상북도 고령군 성산면 사부리 205,35.7411796,128.3158554,,정상가동,46.02,380,60,2023,태양광,2023-01-18,경상북도 고령군,,2025-06-25
영일 태양광발전소,경상북도 고령군 개진면 치산길 65-7,,35.72563919,128.4201565,,정상가동,72.72,380,60,2023,태양광,2023-01-18,경상북도 고령군,,2025-06-25
득성 태양광발전소,,경상북도 고령군 성산면 강정리 157-5,35.75509825,128.3716194,,정상가동,99.49,380,60,2024,태양광,2023-01-18,경상북도 고령군,,2025-06-25
