태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
영강 태양광발전소,,경상북도 문경시 영순면 말응리 194,36.5539105087,128.2429945765,,가동중단,99.84,380,60,2000,,,,,2025-12-24
늘해랑 태양광발전소,,경상북도 문경시 영순면 말응리 194,36.5539105087,128.2429945765,,가동중단,99.84,380,60,2000,,,,,2025-12-24
미리내 태양광발전소,,경상북도 문경시 영순면 말응리 194,36.5539105087,128.2429945765,,가동중단,99.84,380,60,2000,,,,,2025-12-24
미르 태양광발전소,,경상북도 문경시 영순면 말응리 194,36.5539105087,128.2429945765,,가동중단,99.84,380,60,2000,,,,,2025-12-24
지산 태양광발전소,경상북도 문경시 산북면 지산2길 5,경상북도 문경시 산북면 지내리 329,36.6468225535,128.3261843349,,가동중단,15.84,380,60,2000,,,,,2025-12-24
아름 태양광발전소,경상북도 문경시 돈달로 16(모전동),경상북도 문경시 모전동 960-2,36.5944313182,128.1905696602,,가동중단,19.47,380,60,2000,,,,,2025-12-24
포내1 태양광발전소,,경상북도 문경시 영순면 사근리 673,36.5626830145,128.2434862449,,가동중단,30.68,380,60,2000,,,,,2025-12-24
혜영 태양광발전소,"경상북도 문경시 진곡길 125, CJ대한통운택배 (공평동)",경상북도 문경시 공평동 584,36.6049093104,128.1703057995,,가동중단,28.8,380,60,2000,,,,,2025-12-24
재성1호 태양광발전소,경상북도 문경시 가은읍 작천길 35-5,경상북도 문경시 가은읍 작천리 533-2,36.6344053651,128.0487120706,,가동중단,38.4,380,60,2000,,,,,2025-12-24
진명 태양광발전소,경상북도 문경시 마성면 마성공단길 76,경상북도 문경시 마성면 오천리 901,36.6914203208,128.1325355174,,가동중단,271.2,380,60,2000,,,,,2025-12-24
천마 태양광발전소,,경상북도 문경시 영순면 사근리 655-6,36.561446509,128.2460144341,,가동중단,99.96,380,60,2000,,,,,2025-12-24
영호 태양광발전소,경상북도 문경시 영순면 큰고개길 30,경상북도 문경시 영순면 달지리 781-1,36.5727036444,128.2726585951,,가동중단,99.12,380,60,2000,,,,,2025-12-24
여명7 태양광발전소,경상북도 문경시 호계면 부천로 544-8,경상북도 문경시 호계면 지천리 597,36.6576367024,128.2301282411,,가동중단,85,380,60,2000,,,,,2025-12-24
메솔이2호 태양광발전소,경상북도 문경시 마성면 은성로 1501-7,"경상북도 문경시 마성면 정리 124-2 ,124,124-3",36.6831266159,128.1023958463,,가동중단,99.84,380,60,2000,,,,,2025-12-24
메솔이1호 태양광발전소,경상북도 문경시 마성면 은성로 1501-7,"경상북도 문경시 마성면 정리 124-2 ,124,124-3",36.6831266159,128.1023958463,,가동중단,99.84,380,60,2000,,,,,2025-12-24
여명4 태양광발전소,경상북도 문경시 호계면 부천로 544-20,"경상북도 문경시 호계면 지천리 99-1 ,99,100,100-1,527-2,527-3,527-4",36.6562601923,128.2316828896,,가동중단,258.5,380,60,2000,,,,,2025-12-24
운달2 태양광발전소,경상북도 문경시 산북면 석봉길 9,경상북도 문경시 산북면 김용리 93-1,36.7159566998,128.2318664251,,가동중단,66.08,380,60,2000,,,,,2025-12-24
운달1 태양광발전소,경상북도 문경시 산북면 석봉길 9,경상북도 문경시 산북면 김용리 93-1,36.7159566998,128.2318664251,,가동중단,70.8,380,60,2000,,,,,2025-12-24
우리1호 태양광발전소,경상북도 문경시 영순면 삼인길 17,경상북도 문경시 영순면 달지리 769-1,36.573437419,128.2776599344,,가동중단,99.99,380,60,2000,,,,,2025-12-24
우리2호 태양광발전소,경상북도 문경시 영순면 삼인길 17,경상북도 문경시 영순면 달지리 769-1,36.573437419,128.2776599344,,가동중단,99.99,380,60,2000,,,,,2025-12-24
여명1 태양광발전소,경상북도 문경시 산양면 송죽길 124-33,경상북도 문경시 산양면 송죽리 174,36.6056973204,128.2478831779,,가동중단,99.5,380,60,2000,,,,,2025-12-24
여명3 태양광발전소,경상북도 문경시 산양면 송죽길 124-33,경상북도 문경시 산양면 송죽리 174,36.6056973204,128.2478831779,,가동중단,99.5,380,60,2000,,,,,2025-12-24
여명2 태양광발전소,경상북도 문경시 산양면 송죽길 124-33,경상북도 문경시 산양면 송죽리 174,36.6056973204,128.2478831779,,가동중단,99.5,380,60,2000,,,,,2025-12-24
승현 태양광발전소,경상북도 문경시 산양면 덕암안길 30-2,경상북도 문경시 산양면 송죽리 323,36.5966161501,128.2506218053,,가동중단,99.5,380,60,2000,,,,,2025-12-24
규덕 태양광발전소,경상북도 문경시 산양면 산동로 33-14,경상북도 문경시 산양면 연소리 412-1,36.6180747527,128.2590998401,,가동중단,99.5,380,60,2000,,,,,2025-12-24
주현 태양광발전소,,경상북도 문경시 산양면 송죽리 323,36.5966161501,128.2506218053,,가동중단,99.5,380,60,2000,,,,,2025-12-24
상위농장2 태양광발전소,경상북도 문경시 산양면 현리4길 47-78,경상북도 문경시 산양면 현리 20,36.640056934,128.2646120717,,가동중단,99.5,380,60,2000,,,,,2025-12-24
상위농장1 태양광발전소,경상북도 문경시 산양면 현리4길 47-78,경상북도 문경시 산양면 현리 20,36.640056934,128.2646120717,,가동중단,99.5,380,60,2000,,,,,2025-12-24
상위농장3 태양광발전소,경상북도 문경시 산양면 현리4길 47-78,경상북도 문경시 산양면 현리 20,36.640056934,128.2646120717,,가동중단,99.5,380,60,2000,,,,,2025-12-24
상위농장5 태양광발전소,,경상북도 문경시 산양면 현리 26,36.6414880096,128.2644516447,,가동중단,49.5,380,60,2000,,,,,2025-12-24
상위농장4 태양광발전소,,경상북도 문경시 산양면 현리 26,36.6414880096,128.2644516447,,가동중단,99.5,380,60,2000,,,,,2025-12-24
상위농장7 태양광발전소,경상북도 문경시 산양면 우본길 215-49,경상북도 문경시 산양면 우본리 182,36.6356543372,128.2863550563,,가동중단,49.5,380,60,2000,,,,,2025-12-24
상위농장6 태양광발전소,경상북도 문경시 산양면 우본길 215-49,경상북도 문경시 산양면 우본리 182,36.6356543372,128.2863550563,,가동중단,99.5,380,60,2000,,,,,2025-12-24
말응2호 태양광발전소,,경상북도 문경시 영순면 말응리 181,36.5546486952,128.2422045075,,가동중단,99.96,380,60,2000,,,,,2025-12-24
말응1호 태양광발전소,,경상북도 문경시 영순면 말응리 181,36.5546486952,128.2422045075,,가동중단,99.96,380,60,2000,,,,,2025-12-24
말응4호 태양광발전소,,"경상북도 문경시 영순면 말응리 180 ,181",36.5547575398,128.2416384054,,가동중단,99.96,380,60,2000,,,,,2025-12-24
말응9호 태양광발전소,,"경상북도 문경시 영순면 말응리 180 ,181",36.5547575398,128.2416384054,,가동중단,99.96,380,60,2000,,,,,2025-12-24
말응8호 태양광발전소,,"경상북도 문경시 영순면 말응리 180 ,181",36.5547575398,128.2416384054,,가동중단,99.96,380,60,2000,,,,,2025-12-24
말응7호 태양광발전소,,"경상북도 문경시 영순면 말응리 180 ,181",36.5547575398,128.2416384054,,가동중단,99.96,380,60,2000,,,,,2025-12-24
말응6호 태양광발전소,,"경상북도 문경시 영순면 말응리 180 ,181",36.5547575398,128.2416384054,,가동중단,99.96,380,60,2000,,,,,2025-12-24
말응5호 태양광발전소,,"경상북도 문경시 영순면 말응리 180 ,181",36.5547575398,128.2416384054,,가동중단,99.96,380,60,2000,,,,,2025-12-24
말응3호 태양광발전소,,경상북도 문경시 영순면 말응리 181,36.5546486952,128.2422045075,,가동중단,99.96,380,60,2000,,,,,2025-12-24
산탁재1 태양광발전소,,"경상북도 문경시 영순면 율곡리 971-2 ,984,985-1,985-2",36.5463765566,128.2244224097,,가동중단,99.5,380,60,2000,,,,,2025-12-24
산탁재4 태양광발전소,,"경상북도 문경시 영순면 율곡리 971-2 ,984,985-1,985-2",36.5463765566,128.2244224097,,가동중단,99.5,380,60,2000,,,,,2025-12-24
산탁재3 태양광발전소,,"경상북도 문경시 영순면 율곡리 971-2 ,984,985-1,985-2",36.5463765566,128.2244224097,,가동중단,99.5,380,60,2000,,,,,2025-12-24
산탁재2 태양광발전소,,"경상북도 문경시 영순면 율곡리 971-2 ,984,985-1,985-2",36.5463765566,128.2244224097,,가동중단,99.5,380,60,2000,,,,,2025-12-24
산탁재5 태양광발전소,,"경상북도 문경시 영순면 율곡리 971-2 ,984,985-1,985-2",36.5463765566,128.2244224097,,가동중단,99.5,380,60,2000,,,,,2025-12-24
무탈3호 태양광발전소,경상북도 문경시 호계면 가열1길 10-60,"경상북도 문경시 호계면 견탄리 65-4 ,65-3,66",36.6481536483,128.1726843152,,가동중단,99.84,380,60,2000,,,,,2025-12-24
무탈1호 태양광발전소,경상북도 문경시 호계면 가열1길 10-60,"경상북도 문경시 호계면 견탄리 65-4 ,65-3,66",36.6481536483,128.1726843152,,가동중단,99.84,380,60,2000,,,,,2025-12-24
무탈2호 태양광발전소,경상북도 문경시 호계면 가열1길 10-60,"경상북도 문경시 호계면 견탄리 65-4 ,65-3,66",36.6481536483,128.1726843152,,가동중단,99.84,380,60,2000,,,,,2025-12-24
한울1호 태양광발전소,경상북도 문경시 호계면 가열1길 10-60,"경상북도 문경시 호계면 견탄리 65-4 ,65-3,66",36.6481536483,128.1726843152,,가동중단,99.84,380,60,2000,,,,,2025-12-24
가좌3호 태양광발전소,경상북도 문경시 산북면 운달로 1359,경상북도 문경시 산북면 가좌리 283-3,36.7743641009,128.2374597228,,가동중단,92.43,380,60,2000,,,,,2025-12-24
태영태양광(2호) 태양광발전소,,경상북도 문경시 동로면 노은리 18-2,36.7610679209,128.3183631242,,가동중단,99.71,380,60,2000,,,,,2025-12-24
윤서 태양광발전소,경상북도 문경시 산양면 상위1길 65-33,"경상북도 문경시 산양면 위만리 145 ,144-1,515-10",36.643483863,128.3071978131,,가동중단,99.5,380,60,2000,,,,,2025-12-24
가좌2호 태양광발전소,경상북도 문경시 산북면 운달로 1359,경상북도 문경시 산북면 가좌리 283-3,36.7743641009,128.2374597228,,가동중단,92.43,380,60,2000,,,,,2025-12-24
가좌1호 태양광발전소,경상북도 문경시 산북면 운달로 1359,경상북도 문경시 산북면 가좌리 283-3,36.7743641009,128.2374597228,,가동중단,92.43,380,60,2000,,,,,2025-12-24
태영태양광(1호) 태양광발전소,,"경상북도 문경시 동로면 노은리 17-1 ,18",36.760963791,128.3178319667,,가동중단,99.71,380,60,2000,,,,,2025-12-24
상훈 태양광발전소,,경상북도 문경시 산양면 녹문리 297-2,36.6252216217,128.2536657136,,가동중단,97.5,380,60,2000,,,,,2025-12-24
낙수바위3 태양광발전소,경상북도 문경시 농암면 한우물길 156,경상북도 문경시 농암면 종곡리 106,36.5873197473,128.0021823831,,가동중단,90.44,380,60,2000,,,,,2025-12-24
신기1호 태양광발전소,경상북도 문경시 신기유곡길 57(신기동),경상북도 문경시 신기동 403-1,36.6281894871,128.1613936419,,가동중단,99,380,60,2000,,,,,2025-12-24
씨와이1호 태양광발전소,경상북도 문경시 영순면 무라이2길 23-24,"경상북도 문경시 영순면 의곡리 717-10 ,717-12",36.5703723204,128.2243039345,,가동중단,99.84,380,60,2000,,,,,2025-12-24
