태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
엘테크태양광2호발전소,경상북도 성주군 선남면 선남농공단지길 42,,,,옥상,가동중단,98.75,380,60,2024,발전사업용,2024-08-05,경상북도 성주군청,430,2024-08-07
엘테크태양광1호발전소,경상북도 성주군 선남면 선남농공단지길 42,,,,옥상,가동중단,98.75,380,60,2024,발전사업용,2024-08-05,경상북도 성주군청,430,2024-08-07
세영3호발전소,경상북도 성주군 선남면 선남농공단지길 42,,,,옥상,가동중단,86.875,380,60,2024,발전사업용,2024-08-05,경상북도 성주군청,372,2024-08-07
세영2호발전소,경상북도 성주군 선남면 선남농공단지길 42,,,,옥상,가동중단,98.75,380,60,2024,발전사업용,2024-08-05,경상북도 성주군청,426,2024-08-07
세영1호발전소,경상북도 성주군 선남면 선남농공단지길 42,,,,옥상,가동중단,98.75,380,60,2024,발전사업용,2024-08-05,경상북도 성주군청,430,2024-08-07
동동 태양광발전소,경상북도 성주군 월항면 선월로 424-10,,,,옥상,가동중단,98.75,380,60,2024,발전사업용,2024-08-05,경상북도 성주군청,442,2024-08-07
경성무역1호 태양광발전소,경상북도 성주군 성주읍 성주로 3421,,,,옥상,가동중단,99.375,380,60,2024,발전사업용,2024-08-05,경상북도 성주군청,455,2024-08-07
가을 태양광발전소,경상북도 성주군 선남면 신부길 183,,,,옥상,가동중단,99.4,380,60,2024,발전사업용,2024-08-05,경상북도 성주군청,441,2024-08-07
IL3 태양광발전소,경상북도 성주군 월항면 월항농공단지1길 24,,,,옥상,가동중단,95.13,380,60,2024,발전사업용,2024-08-05,경상북도 성주군청,421,2024-08-07
IL2 태양광발전소,경상북도 성주군 월항면 월항농공단지1길 24,,,,옥상,가동중단,98.28,380,60,2024,발전사업용,2024-08-05,경상북도 성주군청,435,2024-08-07
IL1 태양광발전소,경상북도 성주군 월항면 월항농공단지1길 24,,,,옥상,가동중단,98.28,380,60,2024,발전사업용,2024-08-05,경상북도 성주군청,435,2024-08-07
토토 태양광발전소,경상북도 성주군 선남면 도성2길 105,,,,옥상,가동중단,78.125,380,60,2024,발전사업용,2024-08-02,경상북도 성주군청,349,2024-08-07
STAR16 태양광발전소,경상북도 성주군 금수면 성주로 1941-15,,,,옥상,가동중단,99.54,380,60,2024,발전사업용,2024-08-01,경상북도 성주군청,600,2024-08-07
STAR01 태양광발전소,경상북도 성주군 금수면 성주로 1941-15,,,,옥상,가동중단,99.54,380,60,2024,발전사업용,2024-08-01,경상북도 성주군청,600,2024-08-07
평화산자3호 태양광발전소,경상북도 성주군 성주읍 성주산업단지로2길  116,,,,옥상,가동중단,60.5,380,60,2024,발전사업용,2024-07-31,경상북도 성주군청,267,2024-08-07
평화산자2호 태양광발전소,경상북도 성주군 성주읍 성주산업단지로2길  116,,,,옥상,가동중단,255.31,380,60,2024,발전사업용,2024-07-31,경상북도 성주군청,1138,2024-08-07
우창 태양광발전소,경상북도 성주군 선남면 유서리길 128-15,,,,옥상,가동중단,50.82,380,60,2024,발전사업용,2024-07-31,경상북도 성주군청,235,2024-08-07
오성 태양광발전소,경상북도 성주군 용암면 운용로 1435,,,,옥상,가동중단,47.1,380,60,2024,발전사업용,2024-07-31,경상북도 성주군청,336,2024-08-07
