태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
태양2호태양광발전소,,경상북도 영덕군 강구면 금호리 60,36.3810821,129.3875006,기타,정상가동,74.88,380,60,2024,,,,,2024-10-07
태양1호태양광발전소,,경상북도 영덕군 강구면 금호리 60,36.3810821,129.3875006,기타,정상가동,99.84,380,60,2024,,,,,2024-10-07
고곡선태양광발전소,,경상북도 영덕군 축산면 고곡리 497-2,36.46263089,129.4060305,기타,정상가동,199.52,380,60,2024,,,,,2024-10-07
고곡윤태양광발전소,,경상북도 영덕군 축산면 고곡리 497-2,36.46263089,129.4060305,기타,정상가동,99.76,380,60,2024,,,,,2024-10-07
TY2호태양광발전소,,경상북도 영덕군 축산면 고곡리 497-2,36.46263089,129.4060305,기타,정상가동,99.76,380,60,2024,,,,,2024-10-07
고곡엽태양광발전소,,경상북도 영덕군 축산면 고곡리 497-2,36.46263089,129.4060305,기타,정상가동,99.76,380,60,2024,,,,,2024-10-07
TY1호태양광발전소,,경상북도 영덕군 축산면 고곡리 497-2,36.46263089,129.4060305,기타,정상가동,99.76,380,60,2024,,,,,2024-10-07
다온태양광발전소,,경상북도 영덕군 축산면 도곡리 247-8,36.52117076,129.3983953,기타,정상가동,300,380,60,2024,,,,,2024-10-07
매일태양광발전소 11호,,경상북도 영덕군 달산면 매일리 253-6,36.37883198,129.2911295,기타,정상가동,36.38,380,60,2024,,,,,2024-10-07
정숙발전소,,경상북도 영덕군 병곡면 각리리 884,36.58183851,129.3564785,기타,정상가동,99.18,380,60,2024,,,,,2024-10-07
상희발전소,,경상북도 영덕군 병곡면 각리리 884,36.58183851,129.3564785,기타,정상가동,99.18,380,60,2024,,,,,2024-10-07
제이1호태양광발전소,,경상북도 영덕군 지품면 기사리 210,36.45856707,129.1758137,기타,정상가동,499.5,380,60,2024,,,,,2024-10-07
도예태양광발전소,,경상북도 영덕군 달산면 대지리 50-14,36.40319488,129.3025671,기타,정상가동,99.84,380,60,2024,,,,,2024-10-07
가질태양광발전소,,경상북도 영덕군 달산면 대지리 50-14,36.40319488,129.3025671,기타,정상가동,99.84,380,60,2024,,,,,2024-10-07
신양태양광발전소 1호,,경상북도 영덕군 지품면 신양리 213,36.42606662,129.3011077,기타,정상가동,99.88,380,60,2024,,,,,2024-10-07
신안태양광발전소,,경상북도 영덕군 지품면 신안리 94-13,36.44951161,129.2829082,기타,정상가동,19.2,380,60,2024,,,,,2024-10-07
경동로태양광발전소,,경상북도 영덕군 지품면 황장리 456,36.49372273,129.1662569,기타,정상가동,13.09,380,60,2024,,,,,2024-10-07
영덕화개태양광발전소,,경상북도 영덕군 영덕읍 화개리 175-4,36.41700435,129.3669772,기타,정상가동,15.5,380,60,2024,,,,,2024-10-07
남광태양광발전소,,경상북도 영덕군 영덕읍 남산리 33-21,36.40007883,129.3711165,기타,정상가동,29.15,380,60,2024,,,,,2024-10-07
황종기태양광발전소,,경상북도 영덕군 지품면 신양리 25,36.43015238,129.3075494,기타,정상가동,29.16,380,60,2024,,,,,2024-10-07
양성2호태양광발전소,,경상북도 영덕군 강구면 금호리 41,36.38238996,129.3908516,기타,정상가동,82.56,380,60,2024,,,,,2024-10-07
양성1호태양광발전소,,경상북도 영덕군 강구면 금호리 41,36.38238996,129.3908516,기타,정상가동,99.84,380,60,2024,,,,,2024-10-07
성광1호태양광발전소,,경상북도 영덕군 창수면 인천리 141,36.63615154,129.2909637,기타,정상가동,98.6,380,60,2024,,,,,2024-10-07
해바라기1호태양광발전소,,경상북도 영덕군 창수면 인천리 141,36.63615154,129.2909637,기타,정상가동,98.6,380,60,2024,,,,,2024-10-07
청명 태양광발전소,,경상북도 영덕군 달산면 옥산리 536,36.34642349,129.2754343,기타,정상가동,199.52,380,60,2024,,,,,2024-10-07
경원태양광발전소,경상북도 영덕군 영덕읍 미동길 82,,36.43147714,129.3707359,기타,정상가동,99.71,380,60,2024,,,,,2024-10-07
해웃소2호태양광발전소,경상북도 영덕군 축산면 영덕로 927-20,,36.46853818,129.3993777,기타,정상가동,94.58,380,60,2024,,,,,2024-10-07
미례2호태양광발전소,,경상북도 영덕군 창수면 수리 58-3,36.64607548,129.3082524,기타,정상가동,99.12,380,60,2024,,,,,2024-10-07
미례4호태양광발전소,,경상북도 영덕군 창수면 수리 58-5,36.64560469,129.3081791,기타,정상가동,99.12,380,60,2024,,,,,2024-10-07
미례3호태양광발전소,,경상북도 영덕군 창수면 수리 58-4,36.6458641,129.3082488,기타,정상가동,99.12,380,60,2024,,,,,2024-10-07
미례1호태양광발전소,,경상북도 영덕군 창수면 수리 58,36.64597081,129.3082666,기타,정상가동,99.12,380,60,2024,,,,,2024-10-07
기상4호태양광발전소,,경상북도 영덕군 축산면 대곡리 128,36.48443521,129.3625562,기타,정상가동,599.72,380,60,2024,,,,,2024-10-07
유쏠라,,경상북도 영덕군 창수면 수리 71-2,36.64373705,129.3084931,기타,정상가동,99.9,380,60,2024,,,,,2024-10-07
몽쏠라,,경상북도 영덕군 창수면 수리 71-1,36.64409104,129.3083747,기타,정상가동,99.84,380,60,2024,,,,,2024-10-07
라쏠라,,경상북도 영덕군 창수면 수리 71,36.64426298,129.3082626,기타,정상가동,99.84,380,60,2024,,,,,2024-10-07
주식회사 썬토피아 15호,,경상북도 영덕군 창수면 창수리 62,36.57989425,129.2670139,기타,정상가동,999.1,380,60,2024,,,,,2024-10-07
삼화1호발전소,,경상북도 영덕군 지품면 삼화리 118-30,36.44559203,129.3401072,기타,정상가동,94.4,380,60,2024,,,,,2024-10-07
삼화2호발전소,,경상북도 영덕군 지품면 삼화리 118-4,36.44507776,129.3399226,기타,정상가동,99.12,380,60,2024,,,,,2024-10-07
성혁발전소,,경상북도 영덕군 지품면 삼화리 118-43,36.44502566,129.3398661,기타,정상가동,99.12,380,60,2024,,,,,2024-10-07
무일발전소,,경상북도 영덕군 지품면 삼화리 118-44,36.44490113,129.3397791,기타,정상가동,99.12,380,60,2024,,,,,2024-10-07
삼화5호발전소,,경상북도 영덕군 지품면 삼화리 118-45,36.44482532,129.3393168,기타,정상가동,99.12,380,60,2024,,,,,2024-10-07
진주2태양광발전소,,경상북도 영덕군 지품면 삼화리 118-46,36.44457498,129.3391256,기타,정상가동,99.12,380,60,2024,,,,,2024-10-07
흥일3태양광발전소,,경상북도 영덕군 병곡면 각리리 602,36.55825632,129.3804237,기타,정상가동,499.96,380,60,2023,,,,,2024-10-07
삼화2태양광발전소,,경상북도 영덕군 지품면 삼화리 118-31,36.44527241,129.3406016,기타,정상가동,99.76,380,60,2023,,,,,2024-10-07
삼화1태양광발전소,,경상북도 영덕군 지품면 삼화리 118-31,36.44527241,129.3406016,기타,정상가동,99.76,380,60,2023,,,,,2024-10-07
오성발전1태양광발전소,경상북도 영덕군 강구면 금호샛길 119,,36.39317158,129.3764012,기타,정상가동,99.76,380,60,2023,,,,,2024-10-07
오성발전태양광발전소,경상북도 영덕군 강구면 금호샛길 119,,36.39317158,129.3764012,기타,정상가동,99.76,380,60,2023,,,,,2024-10-07
무영태양광발전소,,경상북도 영덕군 축산면 축산리 911,36.49290799,129.4302211,기타,정상가동,299.73,380,60,2023,,,,,2024-10-07
구일공2태양광발전소,,경상북도 영덕군 축산면 축산리 910,36.49348122,129.4307367,기타,정상가동,59.67,380,60,2023,,,,,2024-10-07
910태양광발전소,,경상북도 영덕군 축산면 축산리 910,36.49348122,129.4307367,기타,정상가동,99.91,380,60,2023,,,,,2024-10-07
주응리6호태양광발전소,,경상북도 영덕군 달산면 주응리 169-1,36.36337362,129.2861425,기타,정상가동,99.76,380,60,2023,,,,,2024-10-07
주응리1호태양광발전소,,경상북도 영덕군 달산면 주응리 168,36.36316291,129.2863356,기타,정상가동,99.76,380,60,2023,,,,,2024-10-07
자연영덕태양광2호,,경상북도 영덕군 창수면 인천리 53-1,36.63547869,129.2927703,기타,정상가동,99.76,380,60,2023,,,,,2024-10-07
자연영덕태양광1호,,경상북도 영덕군 창수면 인천리 53-1,36.63547869,129.2927703,기타,정상가동,99.76,380,60,2023,,,,,2024-10-07
동양에너지,,경상북도 영덕군 영덕읍 화천리 138-3,36.46361325,129.3828911,기타,정상가동,99.91,380,60,2023,,,,,2024-10-07
화천에너지,,경상북도 영덕군 영덕읍 화천리 138-1,36.46350674,129.3827152,기타,정상가동,199.82,380,60,2023,,,,,2024-10-07
새마을태양광발전소,,경상북도 영덕군 달산면 인곡리 366,36.40774846,129.2696831,기타,정상가동,99.51,380,60,2023,,,,,2024-10-07
백석태양광발전소,,경상북도 영덕군 달산면 인곡리 366,36.40774846,129.2696831,기타,정상가동,99.51,380,60,2023,,,,,2024-10-07
종진2호태양광발전소,,경상북도 영덕군 달산면 인곡리 366,36.40774846,129.2696831,기타,정상가동,99.51,380,60,2023,,,,,2024-10-07
종진1호태양광발전소,,경상북도 영덕군 달산면 인곡리 366,36.40774846,129.2696831,기타,정상가동,99.51,380,60,2023,,,,,2024-10-07
