태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
영섭이네2호 태양광발전소,,경상북도 영양군 청기면 당리 550-1(건물 위),36.7564468163762,129.054325435827,,정상가동,45.72,380,60,2025,,2024-10-22,경상북도 영양군,,2025-11-10
지경리마을태양광발전소,,경상북도 영양군 석보면 지경리 254-1(건물위),36.5599118561943,129.109914592365,,정상가동,19.84,380,60,2024,,2024-08-05,경상북도 영양군,,2025-11-10
문암2호태양광발전소,경상북도 영양군 일월면 홈거리1길 36(건물 위),,36.7730307267008,129.143655157515,,정상가동,99.12,380,60,2024,,2023-07-06,경상북도 영양군,,2025-11-10
문암1호태양광발전소,경상북도 영양군 일월면 홈거리1길 36(건물 위),,36.7730307267008,129.143655157515,,정상가동,99.12,380,60,2024,,2023-07-06,경상북도 영양군,,2025-11-10
극동발전태양광,,경상북도 영양군 입암면 흥구리 40-4,36.5490292278798,129.079057663193,,정상가동,19.0,380,60,2024,,2024-02-29,경상북도 영양군,,2025-11-10
금강3호태양에너지,,경상북도 영양군 수비면 발리리 227-2,36.7724855129247,129.195799640177,,정상가동,99.0,380,60,2023,,2023-04-24,경상북도 영양군,,2025-11-10
빛일곱태양광발전소,,경상북도 영양군 수비면 발리리 161,36.7761283419726,129.199357249673,,정상가동,50.0,380,60,2023,,2023-04-19,경상북도 영양군,,2025-11-10
우리솔라에너지,경상북도 영양군 일월면 절구길 132,,36.8003268256151,129.155904778908,,정상가동,189.0,380,60,2023,,2023-01-10,경상북도 영양군,,2025-11-10
발리5호태양광발전소,,경상북도 영양군 수비면 발리리 153-22,36.7766590829725,129.200141037567,,정상가동,100.0,380,60,2023,,2022-12-22,경상북도 영양군,,2025-11-10
삼봉태양광발전소,,경상북도 영양군 수비면 계리 590,36.7778011695166,129.173764046964,,정상가동,226.0,380,60,2024,,2022-12-19,경상북도 영양군,,2025-11-10
보람에너지2발전소,,경상북도 영양군 수비면 발리리 216-4,36.7714048694099,129.196496162843,,정상가동,100.0,380,60,2023,,2022-12-06,경상북도 영양군,,2025-11-10
보람에너지1발전소,,경상북도 영양군 수비면 발리리 216-4,36.7714048694099,129.196496162843,,정상가동,100.0,380,60,2023,,2022-12-06,경상북도 영양군,,2025-11-10
행복에너지2발전소,,경상북도 영양군 수비면 발리리 216-4,36.7714048694099,129.196496162843,,정상가동,100.0,380,60,2023,,2022-12-06,경상북도 영양군,,2025-11-10
행복에너지1발전소,,경상북도 영양군 수비면 발리리 216-4,36.7714048694099,129.196496162843,,정상가동,100.0,380,60,2023,,2022-12-06,경상북도 영양군,,2025-11-10
오성1태양광발전소,,경상북도 영양군 일월면 오리리 238-1,36.7504490300107,129.136948446215,,정상가동,40.0,380,60,2023,,2022-10-12,경상북도 영양군,,2025-11-10
흐미5호태양광,,경상북도 영양군 석보면 주남리 449,36.561099193931,129.146835723714,,정상가동,21.0,380,60,2024,,2022-10-05,경상북도 영양군,,2025-11-10
코쿤1호태양광발전소,,경상북도 영양군 청기면 청기리 920-7,36.6768258829962,129.082137567701,,정상가동,99.0,380,60,2023,,2022-03-21,경상북도 영양군,,2025-11-10
영양1호태양광발전소,,경상북도 영양군 청기면 청기리 920-100,36.6764118057942,129.082894374746,,정상가동,99.0,380,60,2023,,2022-03-21,경상북도 영양군,,2025-11-10
매봉산솔라에너지,,경상북도 영양군 일월면 오리리 572-4,36.7498283935557,129.124882992322,,정상가동,86.0,380,60,2023,,2022-03-21,경상북도 영양군,,2025-11-10
아무데나태양광발전소,,경상북도 영양군 영양읍 황용리 1,36.694172639313,129.107338901858,,정상가동,99.0,380,60,2024,,2022-01-18,경상북도 영양군,,2025-11-10
경동태양광발전소,,경상북도 영양군 영양읍 황용리 1-4,36.6935538836983,129.106666081721,,정상가동,99.0,380,60,2024,,2022-01-18,경상북도 영양군,,2025-11-10
상용태양광발전소,,경상북도 영양군 영양읍 황용리 1,36.694172639313,129.107338901858,,정상가동,99.0,380,60,2024,,2022-01-18,경상북도 영양군,,2025-11-10
