태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
영섭이네2호 태양광발전소,,경상북도 영양군 청기면 당리 550-1(건물 위),,,,정상가동,45.72,380,60,2025,,2024-10-22,경상북도 영양군,,2025-11-10
지경리마을태양광발전소,,경상북도 영양군 석보면 지경리 254-1(건물위),,,,정상가동,19.84,380,60,2024,,2024-08-05,경상북도 영양군,,2025-11-10
문암2호태양광발전소,경상북도 영양군 일월면 홈거리1길 36(건물 위),,,,,정상가동,99.12,380,60,2024,,2023-07-06,경상북도 영양군,,2025-11-10
문암1호태양광발전소,경상북도 영양군 일월면 홈거리1길 36(건물 위),,,,,정상가동,99.12,380,60,2024,,2023-07-06,경상북도 영양군,,2025-11-10
극동발전태양광,,경상북도 영양군 입암면 흥구리 40-4,,,,정상가동,19,380,60,2024,,2024-02-29,경상북도 영양군,,2025-11-10
금강3호태양에너지,,경상북도 영양군 수비면 발리리 227-2,,,,정상가동,99,380,60,2023,,2023-04-24,경상북도 영양군,,2025-11-10
빛일곱태양광발전소,,경상북도 영양군 수비면 발리리 161,,,,정상가동,50,380,60,2023,,2023-04-19,경상북도 영양군,,2025-11-10
우리솔라에너지,경상북도 영양군 일월면 절구길 132,,,,,정상가동,189,380,60,2023,,2023-01-10,경상북도 영양군,,2025-11-10
발리5호태양광발전소,,경상북도 영양군 수비면 발리리 153-22,,,,정상가동,100,380,60,2023,,2022-12-22,경상북도 영양군,,2025-11-10
삼봉태양광발전소,,경상북도 영양군 수비면 계리 590,,,,정상가동,226,380,60,2024,,2022-12-19,경상북도 영양군,,2025-11-10
보람에너지2발전소,,경상북도 영양군 수비면 발리리 216-4,,,,정상가동,100,380,60,2023,,2022-12-06,경상북도 영양군,,2025-11-10
보람에너지1발전소,,경상북도 영양군 수비면 발리리 216-4,,,,정상가동,100,380,60,2023,,2022-12-06,경상북도 영양군,,2025-11-10
행복에너지2발전소,,경상북도 영양군 수비면 발리리 216-4,,,,정상가동,100,380,60,2023,,2022-12-06,경상북도 영양군,,2025-11-10
행복에너지1발전소,,경상북도 영양군 수비면 발리리 216-4,,,,정상가동,100,380,60,2023,,2022-12-06,경상북도 영양군,,2025-11-10
오성1태양광발전소,,경상북도 영양군 일월면 오리리 238-1,,,,정상가동,40,380,60,2023,,2022-10-12,경상북도 영양군,,2025-11-10
흐미5호태양광,,경상북도 영양군 석보면 주남리 449,,,,정상가동,21,380,60,2024,,2022-10-05,경상북도 영양군,,2025-11-10
코쿤1호태양광발전소,,경상북도 영양군 청기면 청기리 920-7,,,,정상가동,99,380,60,2023,,2022-03-21,경상북도 영양군,,2025-11-10
영양1호태양광발전소,,경상북도 영양군 청기면 청기리 920-100,,,,정상가동,99,380,60,2023,,2022-03-21,경상북도 영양군,,2025-11-10
매봉산솔라에너지,,경상북도 영양군 일월면 오리리 572-4,,,,정상가동,86,380,60,2023,,2022-03-21,경상북도 영양군,,2025-11-10
아무데나태양광발전소,,경상북도 영양군 영양읍 황용리 1,,,,정상가동,99,380,60,2024,,2022-01-18,경상북도 영양군,,2025-11-10
경동태양광발전소,,경상북도 영양군 영양읍 황용리 1-4,,,,정상가동,99,380,60,2024,,2022-01-18,경상북도 영양군,,2025-11-10
상용태양광발전소,,경상북도 영양군 영양읍 황용리 1,,,,정상가동,99,380,60,2024,,2022-01-18,경상북도 영양군,,2025-11-10
예강태양광발전소,,경상북도 영양군 영양읍 황용리 1-4,,,,정상가동,99,380,60,2024,,2022-01-18,경상북도 영양군,,2025-11-10
지윤태양광발전소,,경상북도 영양군 영양읍 황용리 1-4,,,,정상가동,99,380,60,2024,,2022-01-18,경상북도 영양군,,2025-11-10
달구터농장태양광발전소,,경상북도 영양군 영양읍 황용리 1-4,,,,정상가동,99,380,60,2024,,2022-01-18,경상북도 영양군,,2025-11-10
주민태양광발전소,,경상북도 영양군 영양읍 황용리 1,,,,정상가동,99,380,60,2024,,2022-01-18,경상북도 영양군,,2025-11-10
서니태양광발전소,,경상북도 영양군 영양읍 황용리 1,,,,정상가동,99,380,60,2024,,2022-01-18,경상북도 영양군,,2025-11-10
홍림산태양광발전소,,경상북도 영양군 일월면 주곡리 26-7,,,,정상가동,30,380,60,2023,,2022-01-13,경상북도 영양군,,2025-11-10
초원태양광발전소2호,,경상북도 영양군 석보면 지경리 236,,,,정상가동,100,380,60,2023,,2021-11-19,경상북도 영양군,,2025-11-10
초원태양광발전소1호,,경상북도 영양군 석보면 지경리 236,,,,정상가동,99,380,60,2023,,2021-11-19,경상북도 영양군,,2025-11-10
초원태양광발전소3호,,경상북도 영양군 석보면 지경리 236,,,,정상가동,92,380,60,2023,,2021-11-19,경상북도 영양군,,2025-11-10
대림태양광발전소,,경상북도 영양군 석보면 원리리 128-1,,,,정상가동,54,380,60,2023,,2021-11-19,경상북도 영양군,,2025-11-10
