태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
영주태양광발전소,,경상북도 영주시 안정면 동촌리,,,옥외,정상가동,9.4,380,60,2006,,2006-03-24,,,2023-08-18
(주)쏠라지티,,경상북도 영주시 부석면 노곡리,,,옥외,정상가동,199,380,60,2006,,2006-06-14,,,2023-08-18
(주)에너지라이트,,경상북도 영주시 부석면 노곡리,,,옥외,정상가동,199,380,60,2006,,2006-06-14,,,2023-08-18
썬샤인에너지(주),,경상북도 영주시 안정면 동촌리,,,옥외,정상가동,493,380,60,2007,,2006-10-11,,,2023-08-18
(주)삼진태양광발전소,,경상북도 영주시 문수면 만방리,,,옥외,정상가동,498.96,380,60,2008,,2007-04-18,,,2023-08-18
삼성태양광발전소,,경상북도 영주시 안정면 안심리,,,옥외,정상가동,198.9,380,60,2007,,2007-06-05,,,2023-08-18
선우에너지영주태양광발전소,,경상북도 영주시 이산면 운문리,,,옥외,정상가동,1199.2,22900,60,2008,,2007-08-29,,,2023-08-18
솔로몬솔라파워태양광발전소,,경상북도 영주시 안정면 옹암리,,,옥외,정상가동,994.356,22900,60,2008,,2007-09-28,,,2023-08-18
썬샤인3호태양광발전소,,경상북도 영주시 안정면 단촌리,,,옥외,정상가동,461,380,60,2007,,2007-10-15,,,2023-08-18
이산태양광발전소,,경상북도 영주시 이산면 두월리,,,옥외,정상가동,98.8,380,60,2009,,2007-10-17,,,2023-08-18
성우에너지,,경상북도 영주시 이산면 두월리,,,옥외,정상가동,98.28,380,60,2008,,2007-11-27,,,2023-08-18
신아에너지,,경상북도 영주시 조와동,,,옥외,정상가동,98.28,380,60,2008,,2007-11-27,,,2023-08-18
세명에너지,,경상북도 영주시 조와동,,,옥외,정상가동,98.28,380,60,2008,,2007-11-27,,,2023-08-18
봉현1태양광발전소,,경상북도 영주시 봉현면 유전리,,,옥외,정상가동,29.8,380,60,2008,,2007-12-10,,,2023-08-18
에스지에너지제1호천욱발전주식회사,,경상북도 영주시 상망동,,,옥외,정상가동,987.8,22900,60,2009,,2007-12-26,,,2023-08-18
새해에너지승문태양광발전소,,경상북도 영주시 문수면 승문리,,,옥외,정상가동,19.3,380,60,2008,,2008-01-15,,,2023-08-18
㈜솔라파워에너지태양광발전소,,경상북도 영주시 안정면 생현리,,,옥외,정상가동,699.6,22900,60,2009,,2008-01-17,,,2023-08-18
현대에너지,,경상북도 영주시 장수면 갈산리,,,옥외,정상가동,995,22900,60,2009,,2008-01-29,,,2023-08-18
솔싱크영주태양광발전소,,경상북도 영주시 상망동,,,옥외,정상가동,965.952,22900,60,2008,,2008-01-29,,,2023-08-18
영풍1태양광발전소,,경상북도 영주시 안정면 안심리,,,옥외,정상가동,28.02,380,60,2008,,2008-01-29,,,2023-08-18
영풍3태양광발전소,,경상북도 영주시 안정면 안심리,,,옥외,정상가동,28.86,380,60,2008,,2008-01-29,,,2023-08-18
안심태양광발전소,,경상북도 영주시 안정면 안심리,,,옥외,정상가동,29,380,60,2008,,2008-02-01,,,2023-08-18
안정1태양광발전소,,경상북도 영주시 안정면 안심리,,,옥외,정상가동,29,380,60,2008,,2008-02-01,,,2023-08-18
안정2태양광발전소,,경상북도 영주시 안정면 안심리,,,옥외,정상가동,29,380,60,2008,,2008-02-01,,,2023-08-18
신명에너지,,경상북도 영주시 조와동,,,옥외,정상가동,98.28,380,60,2008,,2008-02-19,,,2023-08-18
세명에너지 제2발전소,,경상북도 영주시 조와동,,,옥외,정상가동,98.28,380,60,2008,,2008-02-19,,,2023-08-18
하촌1태양광발전소,,경상북도 영주시 봉현면 하촌리,,,옥외,정상가동,29.92,380,60,2008,,2008-03-28,,,2023-08-18
하촌2태양광발전소,,경상북도 영주시 봉현면 하촌리,,,옥외,정상가동,29.92,380,60,2008,,2008-03-28,,,2023-08-18
풍기제2태양광발전소,,경상북도 영주시 풍기읍 전구리,,,옥외,정상가동,280,380,60,2008,,2022-06-24,,,2023-08-18
풍기제1태양광발전소,,경상북도 영주시 풍기읍 전구리,,,옥외,정상가동,270,380,60,2008,,2022-06-24,,,2023-08-18
㈜영주태양광발전소,,경상북도 영주시 봉현면 대촌리,,,옥외,정상가동,741,22900,60,2010,,2008-04-08,,,2023-08-18
