태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
흥생태양광발전소,경상북도 영천시 고경면 가수길 39,경상북도 영천시 고경면 가수리 111,,,,정상가동,99,220+380,60,2015,태양광,2015-07-17,경상북도 영천시청,,2025-05-08
강성목장태양광발전소,경상북도 영천시 고경면 가징계길 11-5,경상북도 영천시 고경면 가수리 228-1,,,,정상가동,94.5,380,60,2020,태양광,2020-10-12,경상북도 영천시청,,2025-05-08
보현태양광발전소,,"경상북도 영천시 고경면 가수리 29-1, 15, 28, 30",,,,정상가동,99.2,380,60,2014,태양광,2014-09-29,경상북도 영천시청,,2025-05-08
대림태양광발전소,,"경상북도 영천시 고경면 가수리 29-1, 15, 28, 30",,,,정상가동,99,380,60,2014,태양광,2014-09-29,경상북도 영천시청,,2025-05-08
대림태양광발전소,,"경상북도 영천시 고경면 가수리 29-1, 15, 28, 30",,,,정상가동,99.9,380,60,2015,태양광,2015-11-30,경상북도 영천시청,,2025-05-08
활보1호태양광발전소,,"경상북도 영천시 고경면 가수리 415-7, 415-11",,,,정상가동,99.2,380,60,2024,태양광,2024-02-20,경상북도 영천시청,,2025-05-08
가수1호태양광발전소,,"경상북도 영천시 고경면 가수리 58, 59-1",,,,정상가동,99,380,60,2014,태양광,2014-12-16,경상북도 영천시청,,2025-05-08
가수2호태양광발전소,,"경상북도 영천시 고경면 가수리 58, 59-1",,,,정상가동,99,380,60,2014,태양광,2014-12-16,경상북도 영천시청,,2025-05-08
독정2호태양광발전소,,"경상북도 영천시 고경면 가수리 78-2, 79-1",,,,정상가동,99.96,380,60,2022,태양광,2022-11-16,경상북도 영천시청,,2025-05-08
독정1호태양광발전소,,"경상북도 영천시 고경면 가수리 78-2, 79-1",,,,정상가동,99.96,380,60,2022,태양광,2022-11-16,경상북도 영천시청,,2025-05-08
한결태양광,,경상북도 영천시 고경면 가수리 산 14,,,,정상가동,99.2,380,60,2016,태양광,2016-04-26,경상북도 영천시청,,2025-05-08
고경3호태양광발전소,,경상북도 영천시 고경면 가수리 산 14,,,,정상가동,992,380,60,2016,태양광,2016-04-26,경상북도 영천시청,,2025-05-08
새론태양광,,경상북도 영천시 고경면 가수리 산 14,,,,정상가동,99.2,380,60,2016,태양광,2016-04-26,경상북도 영천시청,,2025-05-08
다온태양광,,경상북도 영천시 고경면 가수리 산 14,,,,정상가동,99.2,380,60,2016,태양광,2016-04-26,경상북도 영천시청,,2025-05-08
해솔태양광,,경상북도 영천시 고경면 가수리 산 14,,,,정상가동,99.2,380,60,2016,태양광,2016-04-26,경상북도 영천시청,,2025-05-08
늘찬태양광,,경상북도 영천시 고경면 가수리 산 14,,,,정상가동,99.2,380,60,2016,태양광,2016-04-26,경상북도 영천시청,,2025-05-08
해나태양광,,경상북도 영천시 고경면 가수리 산 14,,,,정상가동,99.2,380,60,2016,태양광,2016-04-26,경상북도 영천시청,,2025-05-08
주식회사대광태양광,,경상북도 영천시 고경면 가수리 산15,,,,정상가동,700.8,380,60,2014,태양광,2014-12-29,경상북도 영천시청,,2025-05-08
대광태양광발전소,경상북도 영천시 고경면 가수길 95-17,경상북도 영천시 고경면 가수리 산15,,,,정상가동,95.4,380,60,2022,태양광,2022-04-28,경상북도 영천시청,,2025-05-08
주식회사시온2호태양광발전소,,"경상북도 영천시 고경면 고도리 20, 21, 22, 24, 25-1, 25-2, 26, 27, 28",,,,정상가동,999.6,22900,60,2020,태양광,2023-02-13,경상북도 영천시청,,2025-05-08
주식회사시온3호태양광발전소,,"경상북도 영천시 고경면 고도리 33, 39, 40, 41, 42, 43, 44, 45, 53",,,,정상가동,600,22900,60,2020,태양광,2023-02-13,경상북도 영천시청,,2025-05-08
주식회사시온1호태양광발전소,,"경상북도 영천시 고경면 고도리 8, 9, 10, 11-1, 15, 16, 17, 18, 19",,,,정상가동,999.6,22900,60,2020,태양광,2023-02-13,경상북도 영천시청,,2025-05-08
덕영2호태양광발전소,,"경상북도 영천시 고경면 논실리 55-1, 56, 56-1",,,,정상가동,99.5,380,60,2023,태양광,2023-03-17,경상북도 영천시청,,2025-05-08
덕영1호태양광발전소,,"경상북도 영천시 고경면 논실리 55-1, 56, 56-1",,,,정상가동,99.5,380,60,2023,태양광,2023-03-17,경상북도 영천시청,,2025-05-08
권영득태양광발전소,,"경상북도 영천시 고경면 단포리 132, 133",,,,정상가동,198,380,60,2018,태양광,2018-01-15,경상북도 영천시청,,2025-05-08
단포솔라,,"경상북도 영천시 고경면 단포리 200-3, 202-3",,,,정상가동,49.92,380,60,2019,태양광,2019-12-06,경상북도 영천시청,,2025-05-08
동부태양광발전소,경상북도 영천시 고경면 호국로 338,경상북도 영천시 고경면 단포리 242-2,,,,정상가동,97.92,380,60,2017,태양광,2017-05-25,경상북도 영천시청,,2025-05-08
승윤영천태양광발전소,경상북도 영천시 고경면 거곡로 20,경상북도 영천시 고경면 단포리 306-1,,,,정상가동,495.72,380,60,2017,태양광,2017-06-12,경상북도 영천시청,,2025-05-08
안젤로태양광발전소,,경상북도 영천시 고경면 대성리 340-11,,,,정상가동,91.88,380,60,2024,태양광,2024-01-26,경상북도 영천시청,,2025-05-08
안젤라태양광발전소,,경상북도 영천시 고경면 대성리 340-11,,,,정상가동,87.5,380,60,2024,태양광,2024-01-26,경상북도 영천시청,,2025-05-08
아녜스태양광발전소,,경상북도 영천시 고경면 대성리 340-5,,,,정상가동,60,380,60,2024,태양광,2024-01-26,경상북도 영천시청,,2025-05-08
라라태양광발전소,,"경상북도 영천시 고경면 대의리 132, 129",,,,정상가동,97.92,380,60,2018,태양광,2018-03-29,경상북도 영천시청,,2025-05-08
수정태양광발전소,경상북도 영천시 고경면 거곡로 227-49,경상북도 영천시 고경면 대의리 152-13,,,,정상가동,99.51,380,60,2021,태양광,2021-04-01,경상북도 영천시청,,2025-05-08
수정3태양광발전소,경상북도 영천시 고경면 거곡로 227-49,경상북도 영천시 고경면 대의리 152-13,,,,정상가동,98.8,380,60,2021,태양광,2021-08-02,경상북도 영천시청,,2025-05-08
수정2태양광발전소,,경상북도 영천시 고경면 대의리 152-13,,,,정상가동,26.75,380,60,2021,태양광,2021-08-02,경상북도 영천시청,,2025-05-08
수정태양광발전소,경상북도 영천시 고경면 거곡로 227-49,경상북도 영천시 고경면 대의리 152-13,,,,정상가동,99.36,380,60,2022,태양광,2022-03-02,경상북도 영천시청,,2025-05-08
수정2태양광발전소,,경상북도 영천시 고경면 대의리 152-13,,,,정상가동,99.49,380,60,2023,태양광,2023-03-02,경상북도 영천시청,,2025-05-08
대의태양광발전소,,경상북도 영천시 고경면 대의리 77-1,,,,정상가동,99,380,60,2020,태양광,2020-11-12,경상북도 영천시청,,2025-05-08
김기성태양광발전소1호,,경상북도 영천시 고경면 대의리 산21,,,,정상가동,198,380,60,2018,태양광,2018-05-31,경상북도 영천시청,,2025-05-08
김기성태양광발전소2호,,경상북도 영천시 고경면 대의리 산21,,,,정상가동,198,380,60,2018,태양광,2018-05-31,경상북도 영천시청,,2025-05-08
성덕태양광발전소,,경상북도 영천시 고경면 덕정리 산29,,,,정상가동,99.36,380,60,2017,태양광,2017-08-08,경상북도 영천시청,,2025-05-08
창바우태양광4호,경상북도 영천시 고경면 호국로 575-266,경상북도 영천시 고경면 도암리 675,,,,정상가동,83.52,380,60,2021,태양광,2021-10-20,경상북도 영천시청,,2025-05-08
창바우2호태양광발전소,경상북도 영천시 고경면 호국로 575-266,"경상북도 영천시 고경면 도암리 675, 676, 677-1",,,,정상가동,99.68,380,60,2020,태양광,2020-11-11,경상북도 영천시청,,2025-05-08
창바우태양광발전소,경상북도 영천시 고경면 호국로 575-266,"경상북도 영천시 고경면 도암리 675, 676, 677-1",,,,정상가동,99.45,380,60,2019,태양광,2019-10-14,경상북도 영천시청,,2025-05-08
창바우태양광3호,,경상북도 영천시 고경면 도암리 676,,,,정상가동,99.76,380,60,2021,태양광,2021-10-20,경상북도 영천시청,,2025-05-08
대한태양광발전소,경상북도 영천시 고경면 호국로 592,경상북도 영천시 고경면 도암리 857,,,,정상가동,79.8,380,60,2020,태양광,2020-12-10,경상북도 영천시청,,2025-05-08
동도태양광발전소,경상북도 영천시 고경면 동도길 68-32,경상북도 영천시 고경면 동도리 267,,,,정상가동,99,380,60,2014,태양광,2014-12-24,경상북도 영천시청,,2025-05-08
88태양광발전소,,경상북도 영천시 고경면 동도리 566-79,,,,정상가동,44.2,380,60,2024,태양광,2024-03-27,경상북도 영천시청,,2025-05-08
씨앤비3사사격장태양광발전소,,"경상북도 영천시 고경면 동도리 차당리 194, 608, 609, 16, 28, 734",,,,정상가동,508.8,380,60,2013,태양광,2013-12-31,경상북도 영천시청,,2025-05-08
빛찬태양광발전소,,"경상북도 영천시 고경면 삼귀리 299-2, 299-3",,,,정상가동,29.7,380,60,2021,태양광,2021-06-03,경상북도 영천시청,,2025-05-08
삼귀쏠라태양광,,"경상북도 영천시 고경면 삼귀리 678-1, 678-2",,,,정상가동,998.4,380,60,2017,태양광,2017-07-14,경상북도 영천시청,,2025-05-08
광찬태양광발전소,,경상북도 영천시 고경면 삼귀리 산61-1,,,,정상가동,999.01,22900,60,2018,태양광,2018-03-28,경상북도 영천시청,,2025-05-08
(주)베스컨썬(해찬태양광발전소),,경상북도 영천시 고경면 삼귀리 산61-1,,,,정상가동,999.01,22900,60,2018,태양광,2018-03-28,경상북도 영천시청,,2025-05-08
스피드태양광에너지발전소,경상북도 영천시 고경면 산수골길 66,경상북도 영천시 고경면 삼산리 425,,,,정상가동,90,380,60,2014,태양광,2014-04-14,경상북도 영천시청,,2025-05-08
태평발전소,경상북도 영천시 고경면 모시밭길 67-48,경상북도 영천시 고경면 삼산리 66,,,,정상가동,98.8,380,60,2014,태양광,2014-02-10,경상북도 영천시청,,2025-05-08
삼포태양광발전소,경상북도 영천시 고경면 삼포길 94,경상북도 영천시 고경면 삼포리 585-1,,,,정상가동,98.55,380,60,2018,태양광,2018-05-24,경상북도 영천시청,,2025-05-08
경일태양광발전소,경상북도 영천시 고경면 초일길 24-11,경상북도 영천시 고경면 상덕리 486-13,,,,정상가동,496.8,380,60,2018,태양광,2018-09-12,경상북도 영천시청,,2025-05-08
경일태양광발전소,경상북도 영천시 고경면 초일길 24-11,경상북도 영천시 고경면 상덕리 486-13,,,,정상가동,99.63,380,60,2019,태양광,2019-06-27,경상북도 영천시청,,2025-05-08
허재석태양광발전소2호,,경상북도 영천시 고경면 상덕리 486-13,,,,정상가동,73.5,380,60,2022,태양광,2024-01-09,경상북도 영천시청,,2025-05-08
이상덕태양광발전소,,"경상북도 영천시 고경면 상덕리 산54-3, 산54-10",,,,정상가동,369,380,60,2018,태양광,2018-05-15,경상북도 영천시청,,2025-05-08
영우1태양광발전소,경상북도 영천시 고경면 배골길 35-27,경상북도 영천시 고경면 상리리 406,,,,정상가동,50.4,380,60,2022,태양광,2022-04-28,경상북도 영천시청,,2025-05-08
영우2태양광발전소,,경상북도 영천시 고경면 상리리 406,,,,정상가동,51.84,380,60,2022,태양광,2022-04-28,경상북도 영천시청,,2025-05-08
손민호태양광발전소,,경상북도 영천시 고경면 상리리 412-2,,,,정상가동,198,380,60,2018,태양광,2018-01-15,경상북도 영천시청,,2025-05-08
짱아태양광발전소,,경상북도 영천시 고경면 상리리 412-2,,,,정상가동,99,380,60,2018,태양광,2018-03-21,경상북도 영천시청,,2025-05-08
작은농장2호태양광발전소,,"경상북도 영천시 고경면 상리리 452, 452-1, 453",,,,정상가동,66.6,380,60,2021,태양광,2021-03-17,경상북도 영천시청,,2025-05-08
작은농장1호태양광발전소,,"경상북도 영천시 고경면 상리리 452, 452-1, 453",,,,정상가동,99.9,380,60,2021,태양광,2021-03-17,경상북도 영천시청,,2025-05-08
상리1호태양광발전소,,"경상북도 영천시 고경면 상리리 575-5, 575-7",,,,정상가동,95.13,380,60,2024,태양광,2024-05-13,경상북도 영천시청,407.71,2025-05-08
두알산업4호태양광발전소,,"경상북도 영천시 고경면 상리리 600-5, 600-6",,,,정상가동,98.94,380,60,2021,태양광,2021-06-25,경상북도 영천시청,,2025-05-08
두알산업3호태양광발전소,,"경상북도 영천시 고경면 상리리 600-5, 600-6",,,,정상가동,98.94,380,60,2021,태양광,2021-06-25,경상북도 영천시청,,2025-05-08
두알산업2호태양광발전소,,"경상북도 영천시 고경면 상리리 600-5, 600-6",,,,정상가동,98.94,380,60,2021,태양광,2021-06-25,경상북도 영천시청,,2025-05-08
두알산업1호태양광발전소,,"경상북도 영천시 고경면 상리리 600-5, 600-6",,,,정상가동,97,380,60,2021,태양광,2021-06-25,경상북도 영천시청,,2025-05-08
