태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
태주 발전소,경상북도 예천군 풍양면 상풍로 1235,,36.5031917832,128.279314284,,정상가동,17.5,380,60,2025,발전사업용,2025-02-19,경상북도 예천군,,2025-12-09
주식회사 풍양면햇빛발전소,"경상북도 예천군 풍양면 영풍로 190-21, 와룡1리 노인회관",,36.5188984104,128.2853826577,,정상가동,9,220,60,2025,발전사업용,2024-12-31,경상북도 예천군,,2025-12-09
이홍식태양광발전소,경상북도 예천군 예천읍 용정길 72-15,,36.6334406749,128.4705783147,,정상가동,20,380,60,2025,발전사업용,2024-12-18,경상북도 예천군,,2025-12-09
혁신2호 태양광발전소,,경상북도 예천군 유천면 광전리 363-57 (건물 위),36.6489820067,128.3798922076,,정상가동,44.73,380,60,2025,발전사업용,2024-09-30,경상북도 예천군,,2025-12-09
낙상3리회태양광발전소,,경상북도 예천군 풍양면 낙상리 659-6 (토지 위),36.5050449512,128.291824051,,정상가동,18,380,60,2025,발전사업용,2024-09-30,경상북도 예천군,,2025-12-09
기용1호태양광발전소,,경상북도 예천군 예천읍 통명리 223-1 (건물 위),36.6523463263,128.4803379824,,정상가동,29.61,380,60,2025,발전사업용,2024-06-21,경상북도 예천군,,2025-12-09
만화2리 햇빛발전소,"경상북도 예천군 지보면 만화2길 8, 만화2리경로당(토지 위)",,36.5615237869,128.3760429354,,정상가동,9,220,60,2025,발전사업용,2024-06-07,경상북도 예천군,,2025-12-09
천용3호 태양광발전소,,경상북도 예천군 지보면 도화리 1482-2 (토지 위),36.5194021782,128.3927962202,,정상가동,60.69,380,60,2025,발전사업용,2023-12-28,경상북도 예천군,,2025-12-09
장환5태양광발전소,경상북도 예천군 지보면 어신2길 322-68,,36.5676613552,128.4364570168,,정상가동,29.75,380,60,2024,발전사업용,2023-12-15,경상북도 예천군,,2025-12-09
지보리 제2발전소,,경상북도 예천군 지보면 지보리 864-14 (건물 위),36.5114734733,128.3753201111,,정상가동,99.63,380,60,2024,발전사업용,2023-10-30,경상북도 예천군,,2025-12-09
지보리 제1발전소,,경상북도 예천군 지보면 지보리 864-14 (건물 위),36.5114734733,128.3753201111,,정상가동,99.63,380,60,2024,발전사업용,2023-10-30,경상북도 예천군,,2025-12-09
쏠라캡4호 태양광발전소,,경상북도 예천군 지보면 도화리 491,36.5437465494,128.4126505078,,정상가동,151.04,380,60,2025,발전사업용,2023-10-20,경상북도 예천군,,2025-12-09
병천태양광발전소,,경상북도 예천군 호명면 황지리 128 (건물 위),,,,정상가동,199.92,380,60,2025,발전사업용,2023-09-20,경상북도 예천군,,2025-12-09
천우2호태양광발전소,,경상북도 예천군 풍양면 흥천리 489,36.5133226797,128.3200358187,,정상가동,88.5,380,60,2024,발전사업용,2023-08-09,경상북도 예천군,,2025-12-09
천우1호태양광발전소,,경상북도 예천군 풍양면 흥천리 489,36.5133226797,128.3200358187,,정상가동,88.5,380,60,2024,발전사업용,2023-08-09,경상북도 예천군,,2025-12-09
청복리1호태양광발전소,,"경상북도 예천군 예천읍 청복리 51-2 50, 52(나동)",,,,정상가동,96.39,380,60,2024,발전사업용,2023-08-10,경상북도 예천군,,2025-12-09
청복리2호태양광발전소,,"경상북도 예천군 예천읍 청복리 51-2 50-1, 52",,,,정상가동,49.98,380,60,2024,발전사업용,2023-08-10,경상북도 예천군,,2025-12-09
규민 태양광발전소,,경상북도 예천군 지보면 소화리 1442,36.5494082433,128.3691257798,,정상가동,66.12,380,60,2025,발전사업용,2023-07-27,경상북도 예천군,,2025-12-09
서니솔라 태양광발전소,,"경상북도 예천군 지보면 상월리 41 , 42, 43",36.5746386665,128.3846452238,,정상가동,299.88,380,60,2025,발전사업용,2023-06-28,경상북도 예천군,,2025-12-09
행자1호태양광발전소,,경상북도 예천군 용궁면 대은리 185 (나동),36.5940823261,128.3285368094,,정상가동,29.89,380,60,2024,발전사업용,2023-06-22,경상북도 예천군,,2025-12-09
덕희1호태양광발전소,,경상북도 예천군 용궁면 대은리 131 (가동),36.5953561448,128.3292076111,,정상가동,74.97,380,60,2024,발전사업용,2023-06-22,경상북도 예천군,,2025-12-09
금영 태양광발전소,,경상북도 예천군 호명면 직산리 1031,,,,정상가동,99.96,380,60,2024,발전사업용,2023-06-01,경상북도 예천군,,2025-12-09
화남3태양광발전소,,경상북도 예천군 유천면 화지리 262,36.6375292776,128.3994205878,,정상가동,66.05,380,60,2025,발전사업용,2023-05-23,경상북도 예천군,,2025-12-09
밤빛1호태양광발전소,,"경상북도 예천군 효자면 백석리 369 , 다동",36.8003424359,128.4502006645,,정상가동,19.68,220,60,2023,발전사업용,2023-05-19,경상북도 예천군,,2025-12-09
애경2호 태양광발전소,,경상북도 예천군 감천면 마촌리 342,36.6962917827,128.5254121111,,정상가동,140.61,380,60,2025,발전사업용,2023-05-16,경상북도 예천군,,2025-12-09
세련태양광발전소,,경상북도 예천군 유천면 율현리 255-2,36.6477311984,128.3622537136,,정상가동,99.96,380,60,2025,발전사업용,2023-04-27,경상북도 예천군,,2025-12-09
기웅4호태양광발전소,,경상북도 예천군 개포면 금리 144-1,36.6224029508,128.4140847104,,정상가동,27.97,380,60,2023,발전사업용,2023-04-27,경상북도 예천군,,2025-12-09
이경호 태양광발전소,,경상북도 예천군 지보면 소화리 1306,36.5391007317,128.3717527294,,정상가동,19.64,380,60,2023,발전사업용,2023-04-27,경상북도 예천군,,2025-12-09
경섭2호태양광발전소,,"경상북도 예천군 유천면 매산리 164 , 166, 436-13",36.6342818201,128.3763336143,,정상가동,49.98,380,60,2025,발전사업용,2023-04-27,경상북도 예천군,,2025-12-09
예천큰빛3호 태양광발전소,,"경상북도 예천군 지보면 도화리 484 , 485, 486",36.5418586516,128.4142426083,,정상가동,99.96,380,60,2024,발전사업용,2023-04-27,경상북도 예천군,,2025-12-09
행복4호 태양광발전소,,"경상북도 예천군 지보면 도화리 484 , 485, 486",36.5418586516,128.4142426083,,정상가동,99.96,380,60,2024,발전사업용,2023-04-27,경상북도 예천군,,2025-12-09
은진2호 태양광발전소,,"경상북도 예천군 지보면 도화리 484 , 487",36.5418586516,128.4142426083,,정상가동,99.96,380,60,2024,발전사업용,2023-04-27,경상북도 예천군,,2025-12-09
정직1호 태양광발전소,,경상북도 예천군 지보면 도화리 487,36.5421257517,128.4134696221,,정상가동,99.96,380,60,2024,발전사업용,2023-04-27,경상북도 예천군,,2025-12-09
한빛태양광발전소,,경상북도 예천군 용궁면 무지리 222-4,36.6059839063,128.3104170721,,정상가동,99.76,380,60,2025,발전사업용,2023-04-20,경상북도 예천군,,2025-12-09
다올태양광발전소,,경상북도 예천군 용궁면 무지리 222-7,36.6056440204,128.3109519942,,정상가동,99.76,380,60,2025,발전사업용,2023-04-20,경상북도 예천군,,2025-12-09
다온태양광발전소,,경상북도 예천군 용궁면 무지리 222-6,36.6057719059,128.3108447716,,정상가동,99.76,380,60,2025,발전사업용,2023-04-20,경상북도 예천군,,2025-12-09
위즈4 태양광발전소,,경상북도 예천군 용궁면 무지리 222-2,36.6062007562,128.3102430155,,정상가동,99.76,380,60,2025,발전사업용,2023-04-20,경상북도 예천군,,2025-12-09
위즈5 태양광발전소,,경상북도 예천군 용궁면 무지리 222-8,36.605397531,128.3108656827,,정상가동,99.76,380,60,2025,발전사업용,2023-04-20,경상북도 예천군,,2025-12-09
위즈3 태양광발전소,,경상북도 예천군 용궁면 무지리 222-3,36.6061032913,128.3102529845,,정상가동,99.76,380,60,2025,발전사업용,2023-04-20,경상북도 예천군,,2025-12-09
위즈2 태양광발전소,,경상북도 예천군 용궁면 무지리 222-1,36.6063546856,128.3102167534,,정상가동,99.76,380,60,2025,발전사업용,2023-04-20,경상북도 예천군,,2025-12-09
이정솔라,,경상북도 예천군 용궁면 무지리 222-5,36.6058454239,128.31058063,,정상가동,99.76,380,60,2025,발전사업용,2023-04-20,경상북도 예천군,,2025-12-09
장미3호태양광발전소,,"경상북도 예천군 예천읍 서본리 201-5 , 201-9, 대심리 81-8",36.645567355,128.4438841201,,정상가동,99.96,380,60,2024,발전사업용,2023-04-20,경상북도 예천군,,2025-12-09
장미2호태양광발전소,,"경상북도 예천군 예천읍 서본리 201-5 , 201-9, 대심리 81-8",36.645567355,128.4438841201,,정상가동,99.96,380,60,2024,발전사업용,2023-04-20,경상북도 예천군,,2025-12-09
장미1호태양광발전소,,"경상북도 예천군 예천읍 서본리 201-5 , 201-9, 대심리 81-8",36.645567355,128.4438841201,,정상가동,99.96,380,60,2024,발전사업용,2023-04-20,경상북도 예천군,,2025-12-09
현진태양광발전소,,경상북도 예천군 예천읍 통명리 483,36.66864263,128.4837473084,,정상가동,99.96,380,60,2025,발전사업용,2023-04-06,경상북도 예천군,,2025-12-09
성일태양광발전소,,경상북도 예천군 예천읍 통명리 483,36.66864263,128.4837473084,,정상가동,99.96,380,60,2025,발전사업용,2023-04-06,경상북도 예천군,,2025-12-09
SI태양광발전소,,경상북도 예천군 호명면 담암리 95,,,,정상가동,99.96,380,60,2024,발전사업용,2023-04-06,경상북도 예천군,,2025-12-09
동일2호태양광발전소,,경상북도 예천군 효자면 용두리 263,36.7944002788,128.3928536029,,정상가동,54.39,380,60,2023,발전사업용,2023-03-24,경상북도 예천군,,2025-12-09
동일1호태양광발전소,,경상북도 예천군 효자면 용두리 554,36.7936265324,128.3926282703,,정상가동,19.95,380,60,2023,발전사업용,2023-03-24,경상북도 예천군,,2025-12-09
재희4호 태양광발전소,,경상북도 예천군 풍양면 낙상리 547 (라동),36.4995143168,128.2907887815,,정상가동,73.7,380,60,2025,발전사업용,2023-03-24,경상북도 예천군,,2025-12-09
