태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
비석태양광발전소,경상북도 청도군 화양읍 비석길,,,,,정상가동,20,380,60,2023,발전사업용,,경상북도 청도군,,2025-06-16
한빛2호태양광발전소,경상북도 청도군 풍각면 승마길,,,,,정상가동,57,380,60,2023,발전사업용,,경상북도 청도군,,2025-06-16
한빛1호태양광발전소,경상북도 청도군 풍각면 승마길,,,,,정상가동,100,380,60,2023,발전사업용,,경상북도 청도군,,2025-06-16
ㅇㅇㅇ농장4호태양광발전소,경상북도 청도군 화양읍 화양남산길,,,,,정상가동,96,380,60,2023,발전사업용,,경상북도 청도군,,2025-06-16
ㅇㅇㅇ농장3호태양광발전소,경상북도 청도군 화양읍 화양남산길,,,,,정상가동,100,380,60,2023,발전사업용,,경상북도 청도군,,2025-06-16
보석2태양광발전소,경상북도 청도군 이서면 대곡길,,,,,정상가동,50,380,60,2023,발전사업용,,경상북도 청도군,,2025-06-16
보석1태양광발전소,경상북도 청도군 이서면 대곡길,,,,,정상가동,100,380,60,2023,발전사업용,,경상북도 청도군,,2025-06-16
대성태양광발전소,경상북도 청도군 매전면 청려로,,,,,정상가동,100,380,60,2023,발전사업용,,경상북도 청도군,,2025-06-16
땡큐쏠라2호태양광발전소,,경상북도 청도군 풍각면 현리리,,,,정상가동,99,380,60,2022,발전사업용,,경상북도 청도군,,2025-06-16
ㅇㅇㅇ농원태양광발전소,경상북도 청도군 각남면 칠성윗길,,,,,정상가동,30,380,60,2022,발전사업용,,경상북도 청도군,,2025-06-16
ㅇㅇㅇ태양광발전소,경상북도 청도군 풍각면 차옥길,,,,,정상가동,20,380,60,2022,발전사업용,,경상북도 청도군,,2025-06-16
ㅇㅇ태양광발전소,,경상북도 청도군 청도읍 덕암리,,,,정상가동,100,380,60,2023,발전사업용,,경상북도 청도군,,2025-06-16
ㅇㅇㅇ태양광발전소,,경상북도 청도군 청도읍 덕암리,,,,정상가동,100,380,60,2023,발전사업용,,경상북도 청도군,,2025-06-16
주식회사해오름태양광발전소,경상북도 청도군 금천면 청려로,,,,,정상가동,468,380,60,2023,발전사업용,,경상북도 청도군,,2025-06-16
복소태양광발전소,,경상북도 청도군 청도읍 덕암리,,,,정상가동,100,380,60,2023,발전사업용,,경상북도 청도군,,2025-06-16
깜2호태양광발전소,경상북도 청도군 풍각면 월봉길,,,,,정상가동,39,380,60,2023,발전사업용,,경상북도 청도군,,2025-06-16
깜1호태양광발전소,,경상북도 청도군 풍각면 차산리,,,,정상가동,59,380,60,2023,발전사업용,,경상북도 청도군,,2025-06-16
ㅇㅇ2호태양광발전소,경상북도 청도군 화양읍 동천3길,,,,,정상가동,100,380,60,2023,발전사업용,,경상북도 청도군,,2025-06-16
ㅇㅇ1호태양광발전소,경상북도 청도군 화양읍 동천3길,,,,,정상가동,100,380,60,2023,발전사업용,,경상북도 청도군,,2025-06-16
화양2호태양광발전소,경상북도 청도군 화양읍 청려로,,,,,정상가동,100,380,60,2023,발전사업용,,경상북도 청도군,,2025-06-16
청도23호태양광발전소,경상북도 청도군 풍각면 헐티로,,,,,정상가동,28,380,60,2022,발전사업용,,경상북도 청도군,,2025-06-16
청도22호태양광발전소,경상북도 청도군 풍각면 헐티로,,,,,정상가동,58,380,60,2022,발전사업용,,경상북도 청도군,,2025-06-16
청도13호태양광발전소,경상북도 청도군 금천면 청려로,,,,,정상가동,57,380,60,2022,발전사업용,,경상북도 청도군,,2025-06-16
청도11호태양광발전소,경상북도 청도군 금천면 청려로,,,,,정상가동,57,380,60,2022,발전사업용,,경상북도 청도군,,2025-06-16
청도6호태양광발전소,경상북도 청도군 청도읍 월곡2길,,,,,정상가동,81,380,60,2022,발전사업용,,경상북도 청도군,,2025-06-16
한우리4호태양광발전소,경상북도 청도군 각북면 각북금천길,,,,,정상가동,30,380,60,2023,발전사업용,,경상북도 청도군,,2025-06-16
