태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
빛모리태양광발전소,,광주광역시 광산구 대산동 172,35.1354952046807,126.673536171199,옥외,정상가동,28.0,220,60,2008,,2007-07-01,광주광역시 광산구청,,2025-07-02
장수에너지,광주광역시 광산구 수남안길 20,광주광역시 광산구 장수동 354,35.1819823618418,126.781645462591,옥상,정상가동,5.67,380,60,2009,,2008-12-01,광주광역시 광산구청,,2025-07-02
롯데마트첨단점태양광발전소,광주광역시 광산구 첨단강변로99번길 22,광주광역시 광산구 쌍암동 694-3,35.2167748780346,126.851917253723,옥상,정상가동,99.0,380,60,2009,,2009-07-20,광주광역시 광산구청,,2025-07-02
한빛4호태양광발전소,광주광역시 광산구 금동학동길 10-131,,35.1858908938329,126.661925218532,옥상,정상가동,59.4,380,60,2024,,2023-11-17,광주광역시 광산구청,,2025-07-02
(주)이마트광산태양광발전소,광주광역시 광산구 사암로 172,광주광역시 광산구 우산동 1598-3,35.1600062566328,126.808579431558,옥상,정상가동,97.85,380,60,2011,,2011-03-28,광주광역시 광산구청,,2025-07-02
금빛산이엔지태양광발전소,광주광역시 광산구 사암로106번길 77,광주광역시 광산구 우산동 1059-12,35.1538940097425,126.811598234314,옥상,정상가동,29.93,380,60,2012,,2010-01-01,광주광역시 광산구청,,2025-07-02
한빛6호태양광발전소,광주광역시 광산구 금동학동길 10-131,,35.1858908938329,126.661925218532,기타,정상가동,27.94,380,60,2025,,2024-08-06,광주광역시 광산구청,,2025-07-02
대각에너지태양광발전소,광주광역시 광산구 금동학동길 10-134,광주광역시 광산구 덕림동 산157-4,35.1859714373847,126.659402643626,옥외,정상가동,660.0,22900,60,2019,,2017-09-04,광주광역시 광산구청,,2025-07-02
㈜지용금속태양광발전소2호,광주광역시 광산구 하남산단천변우로126-8,광주광역시 광산구 도천동 619-25,35.217864920428,126.814932628793,옥상,정상가동,99.75,380,60,2012,,2012-01-10,광주광역시 광산구청,,2025-07-02
이글스에너지㈜,광주광역시 광산구 남산로 54-156,광주광역시 광산구 송치동 180-23,,,옥외,정상가동,1999.58,22900,60,2012,,2011-04-22,광주광역시 광산구청,,2025-07-02
굿파워광주덕림동태양광발전소,광주광역시 광산구 금동학동길 1-17,,35.1911011515406,126.658553027488,옥외,정상가동,399.38,380,60,2024,,2022-10-24,광주광역시 광산구청,,2025-07-02
스카이글러브태양광발전소,광주광역시 광산구 상무대로 296,광주광역시 광산구 송정동 718-4,35.1431642168448,126.798213080804,옥상,정상가동,30.0,380,60,2012,,2012-06-12,광주광역시 광산구청,,2025-07-02
호남제빙태양광발전소,광주광역시 광산구 금동학동길 1-53,광주광역시 광산구 덕림동 990,35.191594320179,126.657513911632,옥상,정상가동,95.0,380,60,2014,,2014-08-12,광주광역시 광산구청,,2025-07-02
오선동태양광발전소,광주광역시 광산구 하남산단6번로 80,광주광역시 광산구 오선동 273-2,35.2021140791348,126.803818430846,옥상,정상가동,59.8,380,60,2012,,2011-09-14,광주광역시 광산구청,,2025-07-02
지상태양광발전소,광주광역시 광산구 하남산단6번로 46,광주광역시 광산구 오선동 273-72,35.2021210908951,126.8006610501,옥상,정상가동,350.0,22900,60,2012,,2012-09-05,광주광역시 광산구청,,2025-07-02
태광태양광발전소,광주광역시 광산구 하남산단9번로 186-21,광주광역시 광산구 도천동 621-43,35.2114177481932,126.81635556267,옥상,정상가동,99.75,380,60,2013,,2013-01-21,광주광역시 광산구청,,2025-07-02
으뜸 태양광발전소,광주광역시 광산구 금동학동길 1-65,광주광역시 광산구 덕림동 991,35.192129593873,126.657022836503,옥외,정상가동,99.75,380,60,2015,,2015-03-25,광주광역시 광산구청,,2025-07-02
신촌1호태양광발전소,,광주광역시 광산구 동호동 781-1,35.1874011389253,126.680702218507,옥외,정상가동,19.2,380,60,2013,,2012-11-13,광주광역시 광산구청,,2025-07-02
솔라뱅크(유),광주광역시 광산구 금동학동길 247,광주광역시 광산구 덕림동 774-9,35.1922257119402,126.67357016844,옥외,정상가동,1500.0,22900,60,2015,,2014-09-02,광주광역시 광산구청,,2025-07-02
대림쏠라태양광발전소,광주광역시 광산구 체암로 1595,광주광역시 광산구 양동 628,35.1463336666614,126.648096820099,옥상,정상가동,96.6,380,60,2013,,2012-12-27,광주광역시 광산구청,,2025-07-02
레드탑㈜태양광발전소,광주광역시 광산구 사암로92번길 99-26,광주광역시 광산구 우산동 1069-4,35.1529506887975,126.812963035405,옥상,정상가동,27.5,380,60,2013,,2013-05-06,광주광역시 광산구청,,2025-07-02
초당환경(유),광주광역시 광산구 금동학동길 306-23,광주광역시 광산구 덕림동 730-5,35.1888653764767,126.671897918058,옥상,정상가동,1100.0,22900,60,2012,,2010-08-01,광주광역시 광산구청,,2025-07-02
