태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
롯데쇼핑㈜,광주광역시 서구 시청로 40,광주광역시 서구 치평동 1239,35.15236836,126.8524222,,정상가동,99.0,380,60,2009,,,,,2025-11-14
㈜세진엔지니어링태양광발전소,광주광역시 서구 유덕로 50-1,광주광역시 서구 유촌동 599-15,35.16634031,126.84933,,정상가동,13.8,380,60,2012,,,,,2025-11-14
에스피디물류㈜,광주광역시 서구 유덕로 46,광주광역시 서구 유촌동 599-17,35.16618754,126.8497034,,정상가동,28.875,380,60,2012,,,,,2025-11-14
엘케이이엔지㈜엘케이화정태양광발전소,광주광역시 서구 상무대로 1032,광주광역시 서구 화정동 305,35.15147596,126.8748778,,정상가동,29.835,380,60,2012,,,,,2025-11-14
일광태양광발전소,광주광역시 서구 유덕로 50-1,광주광역시 서구 유촌동 599-15,35.16634031,126.84933,,정상가동,9.0,380,60,2012,,,,,2025-11-14
벽진태양광발전소,광주광역시 서구 마산길 4-9,광주광역시 서구 벽진동 341-3,35.12604027,126.8320962,,정상가동,12.0,380,60,2013,,,,,2025-11-14
굿모닝태양광발전소,광주광역시 서구 하남대로 568,광주광역시 서구 동천동 123,35.17301916,126.8547755,,정상가동,56.0,380,60,2013,,,,,2025-11-14
평화신재생에너지태양광발전소,광주광역시 서구 상무시민로 75,광주광역시 서구 치평동 1166-11,35.15548927,126.8470736,,정상가동,50.0,380,60,2013,,,,,2025-11-14
대륙태양광발전소,광주광역시 서구하남대로502번길 20-6,광주광역시 서구 동천동 51,35.17425175,126.8469272,,정상가동,70.0,380,60,2014,,,,,2025-11-14
거목태양광발전소,광주광역시 서구 상일로24번길15,광주광역시 서구 쌍촌동 1356-3,35.15766299,126.8648186,,정상가동,19.5,380,60,2013,,,,,2025-11-14
서준태양광발전소,광주광역시 서구 무진대로 605,광주광역시 서구 유촌동 695,35.16393641,126.8461971,,정상가동,90.0,380,60,2013,,,,,2025-11-14
성암태양광발전소,광주광역시 서구 상무대로1081번길 34,광주광역시 서구 화정동 178-100,35.15565893,126.8802595,,정상가동,30.6,380,60,2014,,,,,2025-11-14
무둥3호태양광발전소,광주광역시 서구 유덕로40번길 63,광주광역시 서구 유촌동 591-18,35.17112505,126.8517214,,정상가동,99.6,380,60,2014,,,,,2025-11-14
보선태양광발전소,광주광역시 서구 풍서좌로 199,광주광역시 서구 매월동 219-2,35.12594631,126.8476214,,정상가동,49.5,380,60,2013,,,,,2025-11-14
남헌1호 태양광발전소,광주광역시 서구 금화로482번길 3,광주광역시 서구 농성동 628-31,35.14941553,126.8917106,,정상가동,19.8,380,60,2016,,,,,2025-11-14
성산 태양광발전소,광주광역시 서구 월드컵4강로 28번길 43,광주광역시 서구 화정동 1148,35.1407522,126.8811451,,정상가동,69.5,380,60,2014,,,,,2025-11-14
시온 태양광발전소,광주광역시 서구 금부로103번길 20-14,광주광역시 서구 쌍촌동 1257-6,35.14159759,126.8606764,,정상가동,25.0,380,60,2014,,,,,2025-11-14
신화티에스,광주광역시 서구 대남대로487번길 21-1,광주광역시 서구 농성동 653-15,35.15096752,126.8846125,,정상가동,19.92,380,60,2014,,,,,2025-11-14
소망골 태양광발전소,광주광역시 서구 상일로24번길 13-1,광주광역시 서구 쌍촌동 1356-2,35.15766046,126.8646507,,정상가동,19.24,380,60,2014,,,,,2025-11-14
성암2호 태양광발전소,광주광역시 서구 내방로358번길 12,광주광역시 서구 화정동 126-11,35.15619144,126.8797875,,정상가동,67.83,380,60,2015,,,,,2025-11-14
한일솔라텍금호 태양광발전소,광주광역시 서구 마륵벽진길 120,광주광역시 서구 금호동 674-1,35.13506661,126.8470853,,정상가동,42.0,380,60,2015,,,,,2025-11-14
서림 태양광발전소,광주광역시 서구 매월1로57번길 27,광주광역시 서구 매월동 952-11,35.11472497,126.8601285,,정상가동,40.0,380,60,2014,,,,,2025-11-14
무둥4호 태양광발전소,광주광역시 서구 유덕로40번길 63,광주광역시 서구 유촌동 591-18,35.17112505,126.8517214,,정상가동,99.0,380,60,2015,,,,,2025-11-14
현대아미스 태양광발전소,광주광역시 서구 상무대로673번길 8,광주광역시 서구 마륵동 173-8,35.14265163,126.8385122,,정상가동,76.75,380,60,2014,,,,,2025-11-14
연하 태양광발전소,광주광역시 서구 하남대로 564,광주광역시 서구 동천동 120,35.1731521,126.8543915,,정상가동,99.0,380,60,2014,,,,,2025-11-14
한성산업 태양광발전소,광주광역시 서구 원마륵1길 19-1,광주광역시 서구 마륵동 178-4,35.14514209,126.835569,,정상가동,99.2,380,60,2014,,,,,2025-11-14
선우이엔티 태양광발전소,광주광역시 서구 백석길 8,광주광역시 서구 마륵동 91,35.14246459,126.8505221,,정상가동,55.5,380,60,2014,,,,,2025-11-14
세광플러스 태양광발전소,광주광역시 서구 무진대로 571,광주광역시 서구 덕흥동 28-12,35.16365276,126.8428991,,정상가동,81.6,380,60,2014,,,,,2025-11-14
신호엔지니어링 태양광발전소,광주광역시 서구 무진대로 571-1,광주광역시 서구 덕흥동 28-11,35.16393753,126.8429918,,정상가동,81.6,380,60,2014,,,,,2025-11-14
일광종합기술단 태양광발전소,광주광역시 서구 무진대로 571-2,광주광역시 서구 덕흥동 28-10,35.16423007,126.843098,,정상가동,86.4,380,60,2014,,,,,2025-11-14
한국 태양광발전소,광주광역시 서구 유덕로 122,광주광역시 서구 덕흥동 14-7,35.16735594,126.8419574,,정상가동,50.4,380,60,2014,,,,,2025-11-14
한국철강 태양광발전소,광주광역시 서구 유덕로 122,광주광역시 서구 덕흥동 14-7,35.16735594,126.8419574,,정상가동,97.2,380,60,2014,,,,,2025-11-14
성복 태양광발전소,"광주광역시 서구 화개길 8, 8-1",광주광역시 서구 매월동 137-9,35.12063926,126.8582482,,정상가동,45.0,380,60,2015,,,,,2025-11-14
대성 태양광발전소,광주광역시 서구 하남대로 512,광주광역시 서구 동천동 67,35.17434556,126.8489228,,정상가동,99.2,380,60,2015,,,,,2025-11-14
엘도라도캐슬2호 태양광발전소,광주광역시 서구 상무대로 699,광주광역시 서구 마륵동 171-10,35.14310446,126.8406798,,정상가동,30.0,380,60,2015,,,,,2025-11-14
경인테크,광주광역시 서구 하남대로502번길 20-5,광주광역시 서구 덕흥동 2-19,35.17262712,126.8463415,,정상가동,84.0,380,60,2015,,,,,2025-11-14
한성 태양광발전소,광주광역시 서구 회재유통길 46-5,광주광역시 서구 매월동 636-3,35.11118989,126.8543717,,정상가동,70.965,380,60,2015,,,,,2025-11-14
은진ENG 태양광발전소,광주광역시 서구 풍서좌로299번길 9,광주광역시 서구 벽진동 286-1,35.12743972,126.8375837,,정상가동,29.76,380,60,2015,,,,,2025-11-14
성덕 태양광발전소,광주광역시 서구 하남대로 466,광주광역시 서구 동천동 11,35.17557569,126.843982,,정상가동,99.0,380,60,2015,,,,,2025-11-14
동양 태양광발전소,광주광역시 서구 하남대로502번길 20-7,광주광역시 서구 덕흥동 2-25,35.17304569,126.846469,,정상가동,52.0,380,60,2015,,,,,2025-11-14
천지 태양광발전소,광주광역시 서구 하남대로 550번길 9,광주광역시 서구 동천동 144,35.17288955,126.852839,,정상가동,54.6,380,60,2015,,,,,2025-11-14
에덴 태양광발전소,광주광역시 서구 눌재로 474,광주광역시 서구 세하동 262-1,35.11917813,126.8325169,,정상가동,96.9,380,60,2018,,,,,2025-11-14
