태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
현우 태양광발전소,대구광역시 수성구 국채보상로 1035 (만촌동),,,,,정상가동,19.2,380,60,2025,발전사업용,,,,2025-11-12
(주)유림전기(유림태양광),대구광역시 수성구 고모로24길 6 (가천동),,,,,정상가동,28.8,380,60,2025,발전사업용,,,,2025-11-12
부광 제3 태양광발전소,대구광역시 북구 검단동로 26-10 (검단동),,,,,정상가동,33.12,380,60,2025,발전사업용,,,,2025-11-12
평촌농산 태양광발전소,대구광역시 달성군 구지면 구지동로 193-2,,,,,정상가동,19.84,380,60,2025,발전사업용,,,,2025-11-12
늘품 태양광발전소,대구광역시 달성군 논공읍 금강로1길 22-10,,,,,정상가동,26.67,380,60,2025,발전사업용,,,,2025-11-12
경원 태양광발전소,대구광역시 서구 평리로17길 68 (중리동),,,,,정상가동,88.32,380,60,2025,발전사업용,,,,2025-11-12
SM 제2태양광발전소,대구광역시 서구 염색공단천로14길 16-16 (비산동),,,,,정상가동,42.88,380,60,2025,발전사업용,,,,2025-11-12
SM 제1태양광발전소,대구광역시 서구 팔달로2길 56-1 (비산동),,,,,정상가동,67.84,380,60,2025,발전사업용,,,,2025-11-12
새터 태양광발전소,대구광역시 달성군 다사읍 부곡2길 17,,,,,정상가동,19.44,380,60,2025,발전사업용,,,,2025-11-12
태명4호 태양광발전소,대구광역시 달성군 유가읍 테크노중앙대로2길 29,,,,,정상가동,40,380,60,2025,발전사업용,,,,2025-11-12
태명3호 태양광발전소,대구광역시 달성군 유가읍 테크노중앙대로2길 29,,,,,정상가동,85.72,380,60,2025,발전사업용,,,,2025-11-12
태명2호 태양광발전소,대구광역시 달성군 유가읍 테크노중앙대로2길 29,,,,,정상가동,88.9,380,60,2025,발전사업용,,,,2025-11-12
태명1호 태양광발전소,대구광역시 달성군 유가읍 테크노중앙대로2길 29,,,,,정상가동,88.9,380,60,2025,발전사업용,,,,2025-11-12
드림 발전소,대구광역시 남구 대명로6길 7 (대명동),,,,,정상가동,19.68,380,60,2025,발전사업용,,,,2025-11-12
동일 태양광발전소,대구광역시 북구 검단공단로17길 6 (검단동),,,,,정상가동,346.24,380,60,2025,발전사업용,,,,2025-11-12
다래발전소,대구광역시 달서구 성서공단남로10길 42-3 (대천동),,,,,정상가동,89.28,380,60,2025,발전사업용,,,,2025-11-12
삼화2호 태양광발전소,대구광역시 북구 검단순환로5길 20 (검단동),,,,,정상가동,59.52,380,60,2025,발전사업용,,,,2025-11-12
삼화1호 태양광발전소,대구광역시 북구 검단순환로5길 20 (검단동),,,,,정상가동,85.76,380,60,2025,발전사업용,,,,2025-11-12
동산금속 태양광,대구광역시 수성구 무열로 185 (만촌동),,,,,정상가동,70.04,380,60,2025,발전사업용,,,,2025-11-12
햇살그린협동조합(솔라쉐어 31호),대구광역시 달성군 옥포읍 본리로9길 2-15,,,,,정상가동,33.48,380,60,2025,발전사업용,,,,2025-11-12
햇살그린협동조합(솔라쉐어 30호),대구광역시 달성군 옥포읍 본리로9길 2-15,,,,,정상가동,59.52,380,60,2025,발전사업용,,,,2025-11-12
해드림 태양광발전소,대구광역시 달성군 옥포읍 원전1길 23,,,,,정상가동,89.53,380,60,2025,발전사업용,,,,2025-11-12
엘레강스 발전소,대구광역시 달성군 현풍읍 현풍동로 196,,,,,정상가동,19.84,380,60,2025,발전사업용,,,,2025-11-12
우리 태양광발전소,대구광역시 달성군 옥포읍 교항제림길 2,,,,,정상가동,48.96,380,60,2025,발전사업용,,,,2025-11-12
신흥판금 태양광발전소,대구광역시 북구 검단순환로5길 78 (검단동),,,,,정상가동,174.72,380,60,2025,발전사업용,,,,2025-11-12
제로발전소3,대구광역시 북구 검단동로 27-12 (검단동),,,,,정상가동,61.44,380,60,2025,발전사업용,,,,2025-11-12
제로발전소2,대구광역시 북구 검단동로 27-12 (검단동),,,,,정상가동,80.64,380,60,2025,발전사업용,,,,2025-11-12
제로발전소1,대구광역시 북구 검단동로 27-12 (검단동),,,,,정상가동,78.08,380,60,2025,발전사업용,,,,2025-11-12
대화1호 태양광발전소,대구광역시 북구 노원로 62 (노원동3가),,,,,정상가동,64.77,380,60,2025,발전사업용,,,,2025-11-12
대화2호 태양광발전소,대구광역시 북구 노원로 62 (노원동3가),,,,,정상가동,26.67,380,60,2025,발전사업용,,,,2025-11-12
진공 태양광발전소,대구광역시 북구 팔달북로8길 46 (노원동3가),,,,,정상가동,123.82,380,60,2025,발전사업용,,,,2025-11-12
한국기독교장로회 동부교회(동부교회 태양광발전소),"대구광역시 동구 둔산로29길 5, 동촌동부교회 (방촌동)",,,,,정상가동,53.34,380,60,2025,발전사업용,,,,2025-11-12
경진에프에이(주)(경진1호 태양광발전소),대구광역시 달서구 성서서로51길 7 (신당동),,,,,정상가동,89.6,380,60,2025,발전사업용,,,,2025-11-12
경진에프에이(주)(경진2호 태양광발전소),대구광역시 달서구 성서서로51길 7 (신당동),,,,,정상가동,89.6,380,60,2025,발전사업용,,,,2025-11-12
경진에프에이(주)(경진3호 태양광발전소),대구광역시 달서구 성서서로51길 7 (신당동),,,,,정상가동,57.4,380,60,2025,발전사업용,,,,2025-11-12
아진전력기술 주식회사(아진태양광발전소1호),대구광역시 달서구 달구벌대로264길 20 (이곡동),,,,,정상가동,35.56,380,60,2025,발전사업용,,,,2025-11-12
성일산업 태양광발전소,대구광역시 북구 팔달북로3길 87 (노원동3가),,,,,정상가동,58.24,380,60,2025,발전사업용,,,,2025-11-12
HJ 3호 태양광발전소,대구광역시 달성군 논공읍 논공중앙로52길 14,,,,,정상가동,89.53,380,60,2025,발전사업용,,,,2025-11-12
HJ 2호 태양광발전소,대구광역시 달성군 논공읍 논공중앙로52길 14,,,,,정상가동,89.53,380,60,2025,발전사업용,,,,2025-11-12
HJ 1호 태양광발전소,대구광역시 달성군 논공읍 논공중앙로52길 14,,,,,정상가동,89.53,380,60,2025,발전사업용,,,,2025-11-12
SJ 3호 태양광발전소,대구광역시 달성군 논공읍 논공중앙로52길 14,,,,,정상가동,89.53,380,60,2025,발전사업용,,,,2025-11-12
SJ 2호 태양광발전소,대구광역시 달성군 논공읍 논공중앙로52길 14,,,,,정상가동,89.53,380,60,2025,발전사업용,,,,2025-11-12
SJ 1호 태양광발전소,대구광역시 달성군 논공읍 논공중앙로52길 14,,,,,정상가동,89.53,380,60,2025,발전사업용,,,,2025-11-12
성민 태양광발전소,대구광역시 서구 국채보상로20길 29 (중리동),,,,,정상가동,48.26,380,60,2025,발전사업용,,,,2025-11-12
제일 태양광발전소,대구광역시 수성구 용학로30길 82 (지산동),,,,,정상가동,15.75,380,60,2025,발전사업용,,,,2025-11-12
햇살3호(창조114호),대구광역시 북구 침산로54길 5-1 (침산동),,,,,정상가동,45.44,380,60,2025,발전사업용,,,,2025-11-12
대원솔라 주식회사(대원솔라 가창2호 태양광발전소),대구광역시 달성군 가창면 가창로108길 6,,,,,정상가동,89.6,380,60,2025,발전사업용,,,,2025-11-12
대원솔라 주식회사(대원솔라 가창3호 태양광발전소),대구광역시 달성군 가창면 가창로108길 6,,,,,정상가동,89.6,380,60,2025,발전사업용,,,,2025-11-12
대원솔라 주식회사(대원솔라 가창1호 태양광발전소),대구광역시 달성군 가창면 가창로108길 6,,,,,정상가동,89.6,380,60,2025,발전사업용,,,,2025-11-12
엘림 태양광발전소,대구광역시 군위군 효령면 경북대로 2957-44,,,,,정상가동,64,380,60,2025,발전사업용,,,,2025-11-12
제일 태양광발전소,대구광역시 서구 가르뱅이로 74 (상리동),,,,,정상가동,29.21,380,60,2025,발전사업용,,,,2025-11-12
천일 태양광발전소,대구광역시 북구 노원로40길 34-13 (침산동),,,,,정상가동,37.12,380,60,2025,발전사업용,,,,2025-11-12
승현 태양광발전소,대구광역시 달성군 구지면 국가산단대로66길 26,,,,,정상가동,19.53,380,60,2025,발전사업용,,,,2025-11-12
DS 태양광발전소,대구광역시 달성군 화원읍 비슬로479길 50-7,,,,,정상가동,68.58,380,60,2025,발전사업용,,,,2025-11-12
진솔 태양광발전소,대구광역시 달서구 성서로67길 34 (갈산동),,,,,정상가동,231.77,380,60,2025,발전사업용,,,,2025-11-12
새론섬유주식회사(새론1 태양광발전소),대구광역시 달서구 성서공단북로69길 61 (갈산동),,,,,정상가동,379.52,380,60,2025,발전사업용,,,,2025-11-12
GW13 태양광발전소,대구광역시 달서구 성서로 93 (대천동),,,,,정상가동,45.36,380,60,2025,발전사업용,,,,2025-11-12
GW12 태양광발전소,대구광역시 달서구 성서로 93 (대천동),,,,,정상가동,47.52,380,60,2025,발전사업용,,,,2025-11-12
GW11 태양광발전소,대구광역시 달서구 성서로 93 (대천동),,,,,정상가동,86.4,380,60,2025,발전사업용,,,,2025-11-12
GW10 태양광발전소,대구광역시 달서구 성서로 93 (대천동),,,,,정상가동,88.56,380,60,2025,발전사업용,,,,2025-11-12
한양 태양광발전소,대구광역시 달서구 달구벌대로240길 7 (신당동),,,,,정상가동,326.4,380,60,2025,발전사업용,,,,2025-11-12
스트론 태양광발전소,대구광역시 달서구 성서서로15길 17 (월암동),,,,,정상가동,137.16,380,60,2025,발전사업용,,,,2025-11-12
아영 태양광발전소,대구광역시 북구 3공단로33길 40 (노원동3가),,,,,정상가동,34.29,380,60,2025,발전사업용,,,,2025-11-12
문화교회 태양광발전소,대구광역시 남구 이천로28길 12 (이천동),,,,,정상가동,80,380,60,2025,발전사업용,,,,2025-11-12
황금배3호 태양광발전소,대구광역시 군위군 산성면 산성가음로 790-5,,,,,정상가동,69.76,380,60,2025,발전사업용,,,,2025-11-12
승주7호 태양광발전소,대구광역시 군위군 의흥면 원산금양길 32-11,,,,,정상가동,49.53,380,60,2025,발전사업용,,,,2025-11-12
지수 3호 태양광발전소,"대구광역시 달성군 다사읍 다사로69길 74, 72,72-1,22",,,,,정상가동,80.01,380,60,2025,발전사업용,,,,2025-11-12
ES4호 태양광발전소,대구광역시 달성군 하빈면 하빈로77길 49,,,,,정상가동,61.59,380,60,2025,발전사업용,,,,2025-11-12
ES3호 태양광발전소,대구광역시 달성군 하빈면 하빈로 432,,,,,정상가동,63.5,380,60,2025,발전사업용,,,,2025-11-12
ES2호 태양광발전소,대구광역시 달성군 하빈면 하빈로 432,,,,,정상가동,79.37,380,60,2025,발전사업용,,,,2025-11-12
ES1호 태양광발전소,대구광역시 달성군 하빈면 하빈로 432,,,,,정상가동,45.72,380,60,2025,발전사업용,,,,2025-11-12
유창1호 태양광발전소,대구광역시 달성군 하빈면 하빈남로 307-20,,,,,정상가동,80.01,380,60,2025,발전사업용,,,,2025-11-12
상우 태양광발전소,대구광역시 서구 달구벌대로361길 19 (내당동),,,,,정상가동,19.8,380,60,2025,발전사업용,,,,2025-11-12
동원W3 태양광발전소,대구광역시 달서구 달구벌대로240길 30 (신당동),,,,,정상가동,48,380,60,2025,발전사업용,,,,2025-11-12
동원W2 태양광발전소,대구광역시 달서구 달구벌대로240길 30 (신당동),,,,,정상가동,95.36,380,60,2025,발전사업용,,,,2025-11-12
동원E2 태양광발전소,대구광역시 달서구 달구벌대로240길 30 (신당동),,,,,정상가동,95.36,380,60,2025,발전사업용,,,,2025-11-12
동원E1 태양광발전소,"대구광역시 달서구 성서동로53길 16, (주)동원섬유산업 (장동)",,,,,정상가동,389.12,380,60,2025,발전사업용,,,,2025-11-12
곽윤범 태양광발전소,대구광역시 달서구 문화회관11안길 12-10 (장동),,,,,정상가동,71.4,380,60,2025,발전사업용,,,,2025-11-12
세명 태양광발전소,대구광역시 달서구 달구벌대로250길 59 (갈산동),,,,,정상가동,207.01,380,60,2025,발전사업용,,,,2025-11-12
대광정밀 태양광발전소,대구광역시 달서구 성서동로61길 6-12 (장기동),,,,,정상가동,87.08,380,60,2025,발전사업용,,,,2025-11-12
삼우 태양광발전소,대구광역시 달서구 성서공단로 297 (장동),,,,,정상가동,499.84,380,60,2025,발전사업용,,,,2025-11-12
CJH1호 태양광발전소,대구광역시 동구 안심로 333 (각산동),,,,,정상가동,46.35,380,60,2025,발전사업용,,,,2025-11-12
로빈2 태양광발전소,대구광역시 군위군 소보면 봉소2길 119-5,,,,,정상가동,34.65,380,60,2025,발전사업용,,,,2025-11-12
로빈1 태양광발전소,대구광역시 군위군 소보면 봉소2길 135-13,,,,,정상가동,34.65,380,60,2025,발전사업용,,,,2025-11-12
동운하우징 태양광발전소,대구광역시 달성군 옥포읍 이팝나무길 104,,,,,정상가동,205.74,380,60,2025,발전사업용,,,,2025-11-12
퀀텀 태양광발전소,대구광역시 달성군 구지면 과학마을로2길 5-6,,,,,정상가동,19.53,380,60,2025,발전사업용,,,,2025-11-12
