태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
(주)그린솔라에너지1(그린1-05-해성공업 태양광발전소),부산광역시 강서구 화전산단2로133번길 34(화전동),,35.10706963,128.8870871,,정상가동,434.16,380,60,2022,발전사업용,2022-09-26,부산광역시청,,2022-11-29
SPP3 태양광발전소,부산광역시 강서구 녹산산단231로 16(송정동),,35.09044547,128.8432251,,정상가동,94.4,380,60,2022,발전사업용,2022-07-26,부산광역시청,,2022-11-29
SPP2 태양광발전소,부산광역시 강서구 녹산산단231로 16(송정동),,35.09044547,128.8432251,,정상가동,94.4,380,60,2022,발전사업용,2022-07-26,부산광역시청,,2022-11-29
SPP1 태양광발전소,부산광역시 강서구 녹산산단231로 16(송정동),,35.09044547,128.8432251,,정상가동,94.4,380,60,2022,발전사업용,2022-07-26,부산광역시청,,2022-11-29
(주)에코에너지(에코-05-몰텍 태양광발전소),부산광역시 강서구 신호산단3로88번길 70(신호동),,35.08728302,128.8846901,,정상가동,105.84,380,60,2022,발전사업용,2022-06-13,부산광역시청,,2022-11-29
(주)디에스엠(디에스엠 태양광발전소),부산광역시 강서구 화전산단2로133번길 33(화전동),,35.10690761,128.8858239,,정상가동,249.32,380,60,2022,발전사업용,2022-06-13,부산광역시청,,2022-11-29
주식회사 다온테크닉스(다온 태양광발전소),부산광역시 기장군 정관읍 예림1로 87-34,,35.32560582,129.2107155,,정상가동,50.6,380,60,2022,발전사업용,2022-05-18,부산광역시청,,2022-11-29
다옴금속4호 태양광발전소,부산광역시 강서구 미음국제6로 40(미음동),,35.14940234,128.8635778,,정상가동,99.42,380,60,2022,발전사업용,2022-05-17,부산광역시청,,2022-11-29
다옴금속3호 태양광발전소,부산광역시 강서구 미음국제6로 40(미음동),,35.14940234,128.8635778,,정상가동,99.42,380,60,2022,발전사업용,2022-05-17,부산광역시청,,2022-11-29
다옴금속2호 태양광발전소,부산광역시 강서구 미음국제6로 40(미음동),,35.14940234,128.8635778,,정상가동,99.42,380,60,2022,발전사업용,2022-05-17,부산광역시청,,2022-11-29
다옴금속1호 태양광발전소,부산광역시 강서구 미음국제6로 40(미음동),,35.14940234,128.8635778,,정상가동,84.39,380,60,2022,발전사업용,2022-05-17,부산광역시청,,2022-11-29
주식회사 부산태양광2호(동남철강 태양광발전소),"부산광역시 사상구 장인로 40, 동남철강(주)(감전동)",,35.14302889,128.9735907,,정상가동,173.88,380,60,2022,발전사업용,2022-05-17,부산광역시청,,2022-11-29
세진2호 태양광발전소,부산광역시 강서구 식만로93번길 25(죽림동),,35.20374578,128.9029099,,정상가동,19.88,380,60,2022,발전사업용,2022-05-09,부산광역시청,,2022-11-29
세진1호 태양광발전소,부산광역시 강서구 식만로93번길 25(죽림동),,35.20374578,128.9029099,,정상가동,19.88,380,60,2022,발전사업용,2022-05-09,부산광역시청,,2022-11-29
우현 태양광발전소,부산광역시 강서구 경전철로 219(대저2동),,35.19806114,128.9632336,,정상가동,55.29,380,60,2022,발전사업용,2022-05-06,부산광역시청,,2022-11-29
(주)에코에너지(에코-05-대한피엔에프 태양광발전소),부산광역시 강서구 녹산산업중로 322(송정동),,35.09292404,128.8552264,,정상가동,259.74,380,60,2022,발전사업용,2022-05-06,부산광역시청,,2022-11-29
서부산그린에너지 협동조합(부산-22-서부산그린-12호 태양광발전소),부산광역시 기장군 장안읍 오리산단로 176,,35.35823855,129.2699903,,정상가동,99.9,380,60,2022,발전사업용,2022-04-29,부산광역시청,,2022-11-29
