태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
송건호 태양광발전소,서울특별시 강동구 올림픽로112길 4-29(암사동 116-27),,,,,정상가동,25.48,220,60,2013,,,,,2024-10-08
OCI암사태양광발전소(암사아리수정수센터),서울특별시 강동구 아리수로 131,,,,,정상가동,2475,22900,60,2013,,,,,2024-10-08
서울나눔발전소 1호(암사아리수정수센터),서울특별시 강동구 아리수로 131,,,,,정상가동,2499.48,22900,60,2013,,,,,2024-10-08
두바이 태양광발전소,서울특별시 강동구 천중로29길 14(천호동 105-4),,,,,정상가동,10,220,60,2015,,,,,2024-10-08
강동햇빛나눔발전소1호(대명초등학교),"서울특별시 강동구 상암로 271(명일2동 234, 대명초등학교)",,,,,정상가동,99.75,380,60,2014,,,,,2024-10-08
강동햇빛나눔발전소2호(성내중학교),"서울특별시 강동구 성안로7길 36(성내동 530, 성내중학교)",,,,,정상가동,99.75,380,60,2014,,,,,2024-10-08
강동햇빛나눔발전소5호(서울묘곡초등학교),"서울특별시 강동구 동남로79길46(고덕동 498, 서울묘곡초등학교)",,,,,정상가동,99.75,380,60,2014,,,,,2024-10-08
강동햇빛나눔발전소3호(신명초등학교),서울특별시 강동구 명일로24길 33,,,,,정상가동,76,380,60,2014,,,,,2024-10-08
고덕1호 태양광발전소,서울특별시 강동구 동남로83길51(고덕동 642-7),,,,,정상가동,19.75,220,60,2014,,,,,2024-10-08
고덕 차량기지 태양광발전소,서울특별시 강동구 아리수로87길 32(강일동 227-1),,,,,정상가동,612,22900,60,2015,,,,,2024-10-08
성원 태양광발전소,서울특별시 강동구 올림픽로92길 7(천호동 287-27),,,,,정상가동,14.84,220,60,2015,,,,,2024-10-08
또감사 태양광발전소,서울특별시 강동구 천중로15가길 18,,,,,정상가동,30.87,380,60,2017,,,,,2024-10-08
kepco-1-14-강일초 태양광발전소,"서울특별시 강동구 아리수로98길 24, 강일초등학교",,,,,정상가동,65.205,380,60,2018,,,,,2024-10-08
태광태양광발전소,서울특별시 강동구 상암로 266,,,,,정상가동,57.12,380,60,2018,,,,,2024-10-08
유덕휴먼빌아파트입주자대표회의 태양광발전소,"서울특별시 강동구 천중로 54길 9-14, 유덕휴먼빌아파트",,,,,정상가동,19.44,220,60,2018,,,,,2024-10-08
천호태양광발전소,서울특별시 강동구 올림픽로 92길 52(천호동),,,,,정상가동,12.42,220,60,2019,,,,,2024-10-08
영서 둔촌태양광발전소,서울특별시 강동구 양재대로 96길29,,,,,정상가동,19.505,220,60,2020,,,,,2024-10-08
만복 태양광발전소,서울특별시 강동구 동남로82길 101,,,,,정상가동,13.95,220,60,2020,,,,,2024-10-08
신주리버빌 태양광발전소,서울특별시 강동구 상암로 72-7,,,,,정상가동,21.42,220,60,2021,,,,,2024-10-08
금강블루빌 태양광발전소,서울특별시 강동구 상암로 72-7,,,,,정상가동,17.64,220,60,2021,,,,,2024-10-08
강동나눔발전소(천호빗물펌프장),서울특별시 강동구 선사로 70,,,,,정상가동,98.28,380,60,2021,,,,,2024-10-08
케이서울햇빛발전소 고덕 태양광발전소,서울특별시 강동구 아리수로87길 32(지하철 5호선 고덕차량기지 지붕),,,,,가동중단,978.75,22900,60,2021,,,,,2024-10-08
상용 태양광발전소,서울특별시 강동구 성내로 13길 58-14,,,,,정상가동,15.925,220,60,2021,,,,,2024-10-08
브이센터 태양광발전소,서울특별시 강동구 아리수로 61길 103,,,,,가동중단,70.2,380,60,2021,,,,,2024-10-08
강동타워 태양광발전소,서울특별시 강동구 상일로6길 39(건물옥상),,,,,가동중단,74.88,380,60,2021,,,,,2024-10-08
배재고등학교 태양광발전소,서울특별시 강동구 고덕로 227,,,,,정상가동,497.7,380,60,2021,,,,,2024-10-08
일자산 제1체육관 태양광발전소,서울특별시 강동구 동남로 660(둔촌동 산125),,,,,가동중단,115.2,380,60,2021,,,,,2024-10-08
신주 태양광발전소,서울특별시 강동구 상암로 72-15 옥상,,,,,정상가동,19.32,220,60,2022,,,,,2024-10-08
