태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
곰달래문화복지센터,서울특별시 강서구 강서로5길 50,서울특별시 강서구 화곡동 890,37.5290599728442,126.848898178399,옥상,정상가동,72.25,380,60,2012,,,서울특별시 강서구청,,2025-11-17
발산1동 주민센터,서울특별시 강서구 강서로47길54,서울특별시 강서구 내발산동 681-5,37.5531162952955,126.833177427574,옥상,정상가동,19.5,380,60,2013,,,서울특별시 강서구청,,2025-11-17
해바라기어린이집,서울특별시 강서구 등촌로13자길 39-16,서울특별시 강서구 화곡동 474-17,37.5373130185313,126.855794964664,옥상,정상가동,9.0,220,60,2013,,,서울특별시 강서구청,,2025-11-17
까치산시장고객지원센터,서울특별시 강서구 강서로12길 14,서울특별시 강서구 화곡동 342-16,37.531530986155,126.847860251778,옥상,정상가동,10.0,380,60,2013,,,서울특별시 강서구청,,2025-11-17
남부골목시장고객지원센터,서울특별시 강서구 등촌로5길 62-4,서울특별시 강서구 화곡동 801-9,37.5331816098468,126.860018954293,옥상,정상가동,10.0,380,60,2013,,,서울특별시 강서구청,,2025-11-17
송화벽화시장고객지원센터,서울특별시 강서구 강서로 263-29,서울특별시 강서구 내발산동 720-4,37.5492163029375,126.834568189503,옥상,정상가동,10.0,380,60,2013,,,서울특별시 강서구청,,2025-11-17
강서구청 가양동별관,서울특별시 강서구 양천로59길38,서울특별시 강서구 가양동 1488-9,37.5605975930102,126.859679746042,옥상,정상가동,10.4,380,60,2014,,,서울특별시 강서구청,,2025-11-17
강서통합관제센터,서울특별시 강서구 방화대로 334,서울특별시 강서구 마곡동 733-1,37.5705477003589,126.817073543823,옥상,정상가동,25.0,380,60,2014,,,서울특별시 강서구청,,2025-11-17
가양1동 주민센터,서울특별시 강서구 허준로30,서울특별시 강서구 가양동 1462-3,37.5694881576939,126.844704641864,옥상,정상가동,19.22,380,60,2015,,,서울특별시 강서구청,,2025-11-17
가양도서관(가양유수지 복합센터),서울특별시 강서구 양천로61길 101,서울특별시 강서구 염창동 산 30-1,37.5595866001609,126.86502518738,옥상,정상가동,48.0,380,60,2015,,,서울특별시 강서구청,,2025-11-17
강서구의회,서울특별시 강서구 등촌로185,서울특별시 강서구 등촌동 512-1,37.5464853856531,126.862300842123,옥상,정상가동,22.44,380,60,2015,,,서울특별시 강서구청,,2025-11-17
공항동 주민센터,서울특별시 강서구 송정로45,서울특별시 강서구 공항동 60-28,37.5587828080206,126.810074279462,옥상,정상가동,19.38,380,60,2015,,,서울특별시 강서구청,,2025-11-17
강서청소년회관,서울특별시 강서구 공항대로42길23-19,서울특별시 강서구 내발산동 산 4-5,37.5564791214086,126.844285960325,옥상,정상가동,20.0,380,60,2016,,,서울특별시 강서구청,,2025-11-17
허준박물관,서울특별시 강서구 허준로87,서울특별시 강서구 가양동 26-5,37.5678724473689,126.851031243879,옥상,정상가동,48.36,380,60,2016,,,서울특별시 강서구청,,2025-11-17
방화1동주민센터,서울특별시 강서구 방화동로 124-1,서울특별시 강서구 방화동 567-35,37.5715539612363,126.812215359625,옥상,정상가동,41.0,380,60,2017,,,서울특별시 강서구청,,2025-11-17
마곡레포츠센터,서울특별시 강서구 양천로251,서울특별시 강서구 마곡동 56-22,37.5731554994777,126.832148803205,옥상,정상가동,60.48,380,60,2018,,,서울특별시 강서구청,,2025-11-17
내촌경로당,서울특별시 강서구 개화동로13길12-8,서울특별시 강서구 개화동 551-34,37.5774662163961,126.801600308383,옥상,정상가동,3.0,220,60,2018,,,서울특별시 강서구청,,2025-11-17
