태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
고척근린공원,,서울특별시 구로구 고척동 산 9-14,,,,정상가동,98,380,60,2008,,,서울특별시 구로구청 환경과,,2024-12-26
화원종합복지관,서울특별시 구로구 벚꽃길 484,,,,,정상가동,50,380,60,2009,,,서울특별시 구로구청 환경과,,2024-12-26
고척2동주민센터,서울특별시 구로구 중앙로15길 22,,,,,정상가동,20,380,60,2009,,,서울특별시 구로구청 환경과,,2024-12-26
구로구청(1),서울특별시 구로구 가마산로 245,,,,,정상가동,30,380,60,2009,,,서울특별시 구로구청 환경과,,2024-12-26
구일어린이집,서울특별시 구로구 구일로 62,,,,,정상가동,20,380,60,2009,,,서울특별시 구로구청 어르신복지과,,2024-12-26
궁동종합사회복지관,,서울특별시 구로구 궁동 108-9,,,,정상가동,5,220,60,2013,,,서울특별시 구로구청 환경과,,2024-12-26
구로구민회관,서울특별시 구로구 가마산로25길 21,,,,,정상가동,20,380,60,2013,,,서울특별시 구로구청 환경과,,2024-12-26
신도림생활체육관,서울특별시 구로구 경인로67길 149,,,,,정상가동,37,380,60,2013,,,서울특별시 구로구청 문화관광과,,2024-12-26
구로구민체육센터,서울특별시 구로구 고척로45길 39,,,,,정상가동,20,380,60,2014,,,서울특별시 구로구청 환경과,,2024-12-26
구로3동자치회관,서울특별시 구로구 디지털로31길 109,,,,,정상가동,26,380,60,2014,,,서울특별시 구로구청 자치행정과,,2024-12-26
궁동청소년문화의집,,서울특별시 구로구 궁동 204-4,,,,정상가동,16,380,60,2014,,,서울특별시 구로구청 어르신복지과,,2024-12-26
온수동주민공동이용시설,서울특별시 구로구 부일로1길 62,,,,,정상가동,6,220,60,2014,,,서울특별시 구로구청 환경과,,2024-12-26
구로보건소,서울특별시 구로구 구로중앙로28길 66,,,,,정상가동,10,380,60,2015,,,서울특별시 구로구청 환경과,,2024-12-26
구로희망 햇빛발전소(고척도서관),서울특별시 구로구 고척로45길 31,,,,,정상가동,97,380,60,2015,,,서울특별시 구로구청 환경과,,2024-12-26
신도림빗물펌프장,서울특별시 구로구 신도림로19길 108,,,,,정상가동,45,380,60,2016,,,서울특별시 구로구청 치수과,,2024-12-26
